application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
10765249,21,2006-05-17,MCTNF,0,,0,
10765249,22,2006-09-11,BRCE,0,,0,
10765249,23,2006-09-11,XT/G,0,,0,
10765249,25,2006-09-11,RCEX,25,APPL,21,
10463113,1,2003-06-16,IEXX,0,,0,
10463113,15,2003-06-16,A.PE,0,,0,
10463113,2,2003-06-26,SCAN,0,,0,
10463113,3,2003-06-26,L198,0,,0,
10463113,4,2003-07-01,L194,0,,0,
10463113,6,2003-08-29,CPAP,0,,0,
10463113,8,2003-10-20,CORRSPEC,0,,0,
10463113,9,2003-10-20,SEQLIST,0,,0,
10463113,10,2003-10-20,ADDFLFEE,0,,0,
10463113,7,2003-11-04,CRFE,0,,0,
10463113,11,2003-11-07,COMP,0,,0,
10463113,12,2003-11-07,OIPE,0,,0,
10463113,16,2003-12-15,M844,0,,0,
10463113,19,2003-12-15,RCAP,0,,0,
10463113,29,2003-12-15,IDSC,0,,0,
10463113,13,2003-12-19,C.ADB,0,,0,
10463113,14,2004-02-10,DOCK,0,,0,
10463113,17,2004-03-30,TSSCOMP,0,,0,
10463113,18,2004-08-25,DOCK,0,,0,
10463113,20,2005-03-03,DOCK,0,,0,
10463113,21,2005-10-31,CTRS,0,,0,
10463113,22,2005-11-02,MCTRS,443,PTO,-1,
10463113,23,2006-01-03,XT/G,0,,0,
10463113,24,2006-01-03,ELC.,0,,0,
10463113,24.1,2006-01-03,A.I.,0,,0,
10463113,25,2006-01-31,FWDX,0,,0,
10221694,15,2002-12-06,M844,0,,0,
10221694,6,2003-06-19,M903,0,,0,
10221694,7,2003-06-19,OIPE,0,,0,
10221694,8,2003-06-24,ROIPE,0,,0,
10221694,9,2003-06-24,M903,0,,0,
10221694,10,2003-06-24,WROIPE,0,,0,
10221694,13,2003-09-12,A.PE,0,,0,
10221694,11,2003-10-01,L194,0,,0,
10221694,12,2004-06-03,DOCK,0,,0,
10221694,16,2004-06-03,RCAP,0,,0,
10221694,17,2004-06-03,TSSCOMP,0,,0,
10221694,18,2004-09-20,CTNF,0,,0,
10221694,19,2004-09-29,MCTNF,240,PTO,-1,
10221694,20,2004-12-30,WAMD,0,,0,
10221694,21,2004-12-30,A...,1,APPL,19,
10221694,23,2004-12-30,M844,0,APPL,21,
10221694,24,2004-12-30,RCAP,0,,0,
10221694,22,2005-01-11,FWDX,0,,0,
10221694,25,2005-02-23,C.AD,0,,0,
10221694,26,2005-03-09,CTFR,0,,0,
10221694,27,2005-03-15,MCTFR,0,,0,
10221694,28,2005-07-13,XT/G,0,,0,
10221694,29,2005-07-13,A.NE,0,,0,
10221694,30,2005-07-22,FWDX,0,,0,
10221694,31,2005-08-11,CTAV,0,,0,
10221694,32,2005-08-12,MCTAV,0,,0,
10221694,33,2005-08-18,XT/G,0,,0,
10221694,35,2005-08-18,N/AP,64,APPL,27,
10221694,36,2005-11-07,XT/G,0,,0,
10221694,37,2005-11-07,AP.B,0,,0,
10221694,38,2005-11-15,FWDX,0,,0,
10221694,39,2006-01-03,APEA,0,,0,
10221694,40,2006-01-04,MAPEA,0,,0,
10221694,41,2006-02-27,APRB,0,,0,
10221694,42,2006-03-02,FWDX,0,,0,
10221694,43,2006-03-03,APE2,0,,0,
10221694,44,2006-03-09,MAPE2,0,,0,
10221694,45,2006-03-15,APWD,0,,0,
10221694,46,2006-03-28,APAS,0,,0,
10221694,47,2006-03-28,AP_DK_M,0,,0,
10221694,48,2006-07-28,APDR,0,,0,
10221694,49,2006-07-28,MAPDR,345,PTO,35,
10221694,51,2006-12-27,N/=.,0,,0,
10221694,53,2006-12-29,MN/=.,0,,0,
10155922,62,2005-06-02,A...,0,,0,
10155922,63,2005-06-14,FWDX,0,,0,
10155922,64,2005-06-28,DOCK,0,,0,
10155922,65,2005-08-19,CTFR,0,,0,
10155922,66,2005-08-23,MCTFR,0,,0,
10155922,69,2006-02-22,W/AC,0,,0,
10155922,70,2006-02-23,MW/AC,0,,0,
10155922,81,2006-04-18,SA..,0,,0,
10155922,82,2006-04-20,FWDX,0,,0,
10155922,83,2006-05-11,SA..,0,,0,
10155922,85,2006-05-11,M844,0,,0,
10155922,88,2006-05-11,IDSC,0,,0,
10155922,84,2006-05-22,FWDX,0,,0,
10155922,86,2006-07-21,SA..,0,,0,
10155922,87,2006-07-26,FWDX,0,,0,
10155922,90,2006-10-16,EX.A,0,,0,
10155922,91,2006-10-18,MEX.A,0,,0,
10155922,93,2006-12-27,DOCK,0,,0,
10155922,94,2006-12-27,N/=.,0,,0,
10155922,95,2006-12-27,DVER,0,,0,
10155922,97,2006-12-29,MN/=.,0,,0,
10931631,1,2004-09-01,IEXX,0,,0,
10931631,11,2004-09-01,M844,0,,0,
10931631,12,2004-09-01,RCAP,0,,0,
10931631,22,2004-09-01,IDSC,0,,0,
10931631,2,2004-09-18,SCAN,0,,0,
10931631,4,2004-10-12,L198,0,,0,
10931631,5,2004-10-26,L128,0,,0,
10931631,7,2004-11-05,OIPE,0,,0,
10931631,8,2004-11-07,ROIPE,0,,0,
10931631,6,2004-11-08,COMP,0,,0,
10931631,9,2004-11-08,COMP,0,,0,
10931631,10,2004-11-08,WROIPE,0,,0,
10931631,13,2005-03-16,DOCK,0,,0,
10931631,14,2005-03-16,TSSCOMP,0,,0,
10931631,15,2005-11-14,CTNF,0,,0,
10931631,16,2005-11-28,MCTNF,27,PTO,-1,
10931631,17,2005-12-05,M844,0,,0,
10931631,18,2005-12-05,RCAP,0,,0,
10931631,21,2005-12-05,IDSC,0,,0,
10931631,19,2006-03-03,A...,3,APPL,16,
10931631,20,2006-03-13,FWDX,0,,0,
10108235,1,2002-03-26,IEXX,0,,0,
10108235,2,2002-04-10,SCAN,0,,0,
10108235,3,2002-04-11,SCAN,0,,0,
10108235,5,2002-04-16,INCD,0,,0,
10108235,6,2002-06-11,OATHDECL,0,,0,
10108235,7,2002-06-11,FLFEE,0,,0,
10108235,8,2002-07-09,COMP,0,,0,
10108235,9,2002-07-11,OIPE,0,,0,
10108235,10,2002-08-05,DOCK,0,,0,
10108235,11,2003-05-19,M844,0,,0,
10108235,12,2003-08-16,TSSCOMP,0,,0,
10108235,13,2003-12-22,CTRS,0,,0,
10108235,14,2003-12-24,MCTRS,212,PTO,-1,
10108235,15,2004-02-20,XT/G,0,,0,
10108235,16,2004-02-20,ELC.,0,,0,
10108235,17,2004-03-01,FWDX,0,,0,
10108235,18,2004-03-31,CTNF,0,,0,
10108235,19,2004-04-01,MCTNF,0,,0,
10108235,20,2004-10-04,WAMD,0,,0,
10108235,21,2004-10-04,XT/G,0,,0,
10108235,22,2004-10-04,A...,95,APPL,19,
10108235,23,2004-10-12,FWDX,0,,0,
10108235,24,2004-10-13,CTFR,0,,0,
10108235,25,2004-10-14,MCTFR,0,,0,
10108235,26,2005-03-14,BRCE,0,,0,
10108235,27,2005-03-14,XT/G,0,,0,
10108235,29,2005-03-14,RCEX,59,APPL,25,
10517553,1,2004-12-08,IEXX,0,,0,
10517553,4,2004-12-08,371COMP,0,,0,
10517553,6,2004-12-08,A.PE,0,,0,
10517553,7,2004-12-08,M844,0,,0,
10517553,8,2004-12-08,RCAP,0,,0,
