application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
10862516,20,2007-03-20,DVER,0,,0,
10862516,21,2007-03-20,N/=.,0,,0,
10862516,23,2007-03-22,MN/=.,594,PTO,-1,
10908713,10,2005-07-15,DOCK,0,,0,
10908713,11,2005-07-15,TSSCOMP,0,,0,
10908713,12,2005-08-29,M844,0,,0,
10908713,16,2005-08-29,IDSC,0,,0,
10908713,13,2005-12-05,M844,0,,0,
10908713,14,2005-12-05,RCAP,0,,0,
10908713,15,2005-12-05,IDSC,0,,0,
10908713,17,2006-12-06,CTNF,0,,0,
10908713,18,2006-12-07,MCTNF,136,PTO,-1,
10908713,19,2007-03-06,A...,0,,0,
10908713,20,2007-03-14,FWDX,0,,0,
10908713,22,2007-03-20,N/=.,0,,0,
10908713,24,2007-03-22,MN/=.,0,,0,
10435382,56,2007-02-13,A...,0,,0,
10435382,57,2007-03-07,FWDX,0,,0,
10435382,59,2007-03-13,N/=.,0,,0,
10435382,61,2007-03-22,MN/=.,0,,0,
08842680,1,1997-05-19,IEXX,0,PTO,0,Y
08842680,2,1997-06-13,SCAN,0,PTO,0,Y
08842680,4,1997-09-18,INCD,0,PTO,0,Y
08842680,8,1997-09-26,SMAL,0,PTO,0,Y
08842680,3,1997-10-15,G03C,0,PTO,0,Y
08842680,5,1997-10-18,COMP,0,PTO,0,Y
10533363,14,2007-03-19,DVER,0,,0,
10533363,15,2007-03-19,DOCK,0,,0,
10533363,16,2007-03-19,N/=.,0,,0,
10533363,18,2007-03-22,MEX.A,0,,0,
10533363,19,2007-03-22,MN/=.,266,PTO,-1,
10807132,1,2004-03-22,IEXX,0,,0,
10807132,10,2004-03-22,M844,0,,0,
10807132,11,2004-03-22,RQPR,0,,0,
10807132,20,2004-03-22,IDSC,0,,0,
10807132,2,2004-04-14,SCAN,0,,0,
10807132,4,2004-04-20,L198,0,,0,
10807132,5,2004-05-03,L128,0,,0,
10807132,7,2004-06-04,OIPE,0,,0,
10807132,8,2004-06-04,ROIPE,0,,0,
10807132,9,2004-06-04,WROIPE,0,,0,
10807132,6,2004-06-07,COMP,0,,0,
10807132,12,2005-05-03,DOCK,0,,0,
10807132,13,2005-05-03,TSSCOMP,0,,0,
10807132,14,2005-10-05,DOCK,0,,0,
10807132,15,2006-03-30,CTRS,0,,0,
10807132,16,2006-04-03,MCTRS,316,PTO,-1,
10807132,17,2006-04-19,ELC.,0,,0,
10807132,18,2006-04-19,FWDX,0,,0,
10807132,19,2006-04-27,DOCK,0,,0,
10807132,21,2006-06-15,CTNF,0,,0,
10807132,22,2006-06-19,MCTNF,0,,0,
10807132,23,2006-08-10,DOCK,0,,0,
10807132,24,2006-09-15,A...,0,,0,
10807132,25,2006-09-19,FWDX,0,,0,
10807132,26,2006-11-27,CTFR,0,,0,
10807132,27,2006-11-28,MCTFR,0,,0,
10807132,28,2007-02-03,BRCE,0,,0,
10807132,32,2007-02-03,RCEX,0,,0,
10807132,30,2007-02-16,FWDX,0,,0,
10807132,31,2007-02-16,ABN9,0,,0,
10807132,33,2007-02-16,FWDX,0,,0,
10807132,35,2007-02-20,EX.A,0,,0,
10807132,38,2007-02-21,DVER,0,,0,
10807132,36,2007-02-22,DOCK,0,,0,
10807132,37,2007-02-22,N/=.,0,,0,
10807132,40,2007-03-22,MEX.A,0,,0,
10941162,36,2006-04-14,FWDX,0,,0,
10941162,37,2006-04-28,CTFR,0,,0,
10941162,38,2006-05-01,MCTFR,0,,0,
10941162,39,2006-07-03,A.NE,0,,0,
10941162,40,2006-07-07,FWDX,0,,0,
10941162,41,2006-07-13,CTAV,0,,0,
10941162,42,2006-07-18,MCTAV,0,,0,
10941162,43,2006-08-04,BRCE,0,,0,
10941162,46,2006-08-04,RCEX,3,APPL,38,
10941162,44,2006-08-08,DOCK,0,,0,
10941162,45,2006-08-14,ABN9,0,,0,
10941162,47,2006-08-14,FWDX,0,,0,
10941162,49,2006-08-14,FWDX,0,,0,
10941162,50,2006-10-03,CTNF,0,,0,
10941162,51,2006-10-10,MCTNF,0,,0,
10941162,52,2006-12-21,A...,0,,0,
10941162,53,2007-01-11,FWDX,0,,0,
