application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
10289791,29,2007-05-31,DOCK,0,,0,
10289791,30,2007-06-18,SA..,54,APPL,27,
10289791,31,2007-06-20,FWDX,0,,0,
10289791,33,2007-07-18,N/=.,0,,0,
10289791,34,2007-07-18,DVER,0,,0,
10289791,36,2007-07-19,MN/=.,0,,0,
10879471,39,2007-06-27,FWDX,0,,0,
10879471,41,2007-07-17,EX.A,0,,0,
10879471,42,2007-07-17,N/=.,0,,0,
10879471,43,2007-07-17,DVER,0,,0,
10879471,45,2007-07-19,MEX.A,0,,0,
10879471,46,2007-07-19,MN/=.,0,,0,
11091935,30,2007-07-20,MN/=.,0,,0,
11071586,1,2005-03-04,IEXX,0,,0,
11071586,8,2005-03-04,WIDS,0,,0,
11071586,8.7,2005-03-04,M844,0,,0,
11071586,9,2005-03-04,RCAP,0,,0,
11071586,10,2005-03-04,RQPR,0,,0,
11071586,14,2005-03-04,IDSC,0,,0,
11071586,2,2005-03-16,SCAN,0,,0,
11071586,3,2005-03-19,L194,0,,0,
11071586,4,2005-03-28,INCD,0,,0,
11071586,5,2005-07-08,OATHDECL,10,APPL,4,
11071586,6,2005-07-20,COMP,0,,0,
11071586,7,2005-07-20,OIPE,0,,0,
11071586,11,2006-04-19,DOCK,0,,0,
11071586,12,2006-04-19,TSSCOMP,0,,0,
10757019,28,2006-04-22,FWDX,0,,0,
10757019,29,2006-04-26,EXIN,0,,0,
10757019,30,2006-06-26,CTFR,0,,0,
10757019,31,2006-07-05,MCTFR,0,,0,
10757019,32,2006-08-15,N/AP,0,,0,
10757019,33,2006-08-15,AP.C,0,,0,
10757019,34,2006-09-25,APCR,0,,0,
10757019,35,2006-09-29,MAPCR,0,,0,
10757019,36,2006-09-29,FWDX,0,,0,
10757019,37,2006-12-26,CTNF,0,,0,
10757019,38,2007-01-05,MCTNF,21,PTO,32,
10757019,39,2007-02-06,A...,0,,0,
10757019,40,2007-02-12,FWDX,0,,0,
10757019,41,2007-04-03,EXIN,0,,0,
10757019,42,2007-04-20,CTFR,0,,0,
10757019,43,2007-04-25,MCTFR,0,,0,
10757019,44,2007-04-25,MEXIN,0,,0,
10757019,45,2007-05-14,EXIN,0,,0,
10757019,46,2007-05-31,BRCE,0,,0,
10757019,48,2007-05-31,RCEX,0,,0,
10757019,47,2007-06-07,ABN9,0,,0,
10757019,49,2007-06-07,FWDX,0,,0,
10757019,51,2007-06-07,FWDX,0,,0,
10757019,53,2007-07-16,EX.A,0,,0,
10757019,54,2007-07-16,DOCK,0,,0,
10757019,55,2007-07-16,N/=.,0,,0,
10757019,57,2007-07-16,DVER,0,,0,
10757019,60,2007-07-20,MEX.A,0,,0,
10757019,61,2007-07-20,MN/=.,0,,0,
10776962,1,2004-02-10,IEXX,0,,0,
10776962,9,2004-02-10,WIDS,0,,0,
10776962,9.7,2004-02-10,M844,0,,0,
10776962,15,2004-02-10,IDSC,0,,0,
10776962,2,2004-03-06,SCAN,0,,0,
10776962,4,2004-03-18,L194,0,,0,
10776962,5,2004-05-11,COMP,0,,0,
10776962,6,2004-05-11,OIPE,0,,0,
10776962,7,2004-05-11,ROIPE,0,,0,
10776962,8,2004-05-11,WROIPE,0,,0,
10776962,10,2004-05-19,DOCK,0,,0,
10776962,11,2004-05-19,TSSCOMP,0,,0,
10776962,12,2006-01-17,DOCK,0,,0,
10776962,13,2006-07-31,DOCK,0,,0,
10776962,14,2006-07-31,DOCK,0,,0,
10776962,16,2006-09-01,CTNF,0,,0,
10776962,17,2006-09-07,MCTNF,515,PTO,-1,
10776962,18,2007-01-11,XT/G,0,,0,
10776962,19,2007-01-11,A...,35,APPL,17,
10776962,21,2007-01-11,RQPR,0,,0,
10776962,20,2007-01-27,FWDX,0,,0,
10776962,22,2007-03-27,CTFR,0,,0,
10776962,23,2007-03-28,MCTFR,0,,0,
10776962,25,2007-06-28,XT/G,0,,0,
