application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
11131670,6,2005-06-14,ROIPE,0,,0,
11131670,8,2005-06-14,WROIPE,0,,0,
11131670,7,2005-06-15,COMP,0,,0,
11131670,12,2005-10-20,TSSCOMP,0,,0,
11131670,13,2006-03-28,DOCK,0,,0,
11131670,14,2006-06-21,CTRS,0,,0,
11131670,15,2006-06-23,MCTRS,0,,0,
11131670,16,2006-07-21,ELC.,0,,0,
11131670,16.1,2006-07-21,A.I.,0,,0,
11131670,17,2006-07-24,FWDX,0,,0,
11131670,18,2006-08-03,NINA,0,,0,
11131670,19,2006-09-01,ELC.,42,APPL,16,
11131670,20,2006-09-06,FWDX,0,,0,
11131670,22,2006-09-18,CTNF,0,,0,
11131670,23,2006-09-21,MCTNF,0,,0,
11131670,24,2006-12-20,A...,0,,0,
11131670,25,2007-01-03,FWDX,0,,0,
11131670,26,2007-03-01,CTFR,0,,0,
10046031,1,2001-10-23,IEXX,0,,0,
10046031,2,2002-02-08,SCAN,0,,0,
10046031,3,2002-02-22,INCD,0,,0,
10046031,4,2002-04-15,OATHDECL,0,,0,
10046031,5,2002-04-15,ADDFLFEE,0,,0,
10046031,9,2002-04-15,C602,0,,0,
10046031,10,2002-04-15,C614,0,,0,
10046031,6,2002-05-07,COMP,0,,0,
10046031,7,2002-05-08,OIPE,0,,0,
10046031,8,2003-08-11,DOCK,0,,0,
10046031,11,2004-09-02,TSSCOMP,0,,0,
10046031,12,2005-07-26,DOCK,0,,0,
10046031,13,2005-09-06,CTNF,0,,0,
10046031,14,2005-09-08,MCTNF,990,PTO,-1,
10046031,15,2005-12-12,A...,4,APPL,14,
10046031,16,2005-12-31,FWDX,0,,0,
10046031,17,2006-01-04,DOCK,0,,0,
10046031,18,2006-01-26,PA..,0,,0,
10046031,19,2006-01-26,C.AD,0,,0,
10046031,20,2006-03-06,CTFR,0,,0,
10046031,21,2006-03-09,MCTFR,0,,0,
10046031,22,2006-03-21,DOCK,0,,0,
10046031,23,2006-05-11,A.NE,0,,0,
10046031,24,2006-05-17,FWDX,0,,0,
10046031,25,2006-05-30,CTAV,0,,0,
10046031,26,2006-06-01,MCTAV,0,,0,
10046031,27,2006-06-15,BRCE,0,,0,
