application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
10952564,23,2005-10-06,MCTNF,0,,0,
10952564,24,2005-12-28,A...,0,,0,
10952564,26,2005-12-28,C614,0,,0,
10952564,25,2006-02-24,FWDX,0,,0,
10952564,27,2006-05-01,CTNF,0,,0,
10952564,28,2006-05-05,MCTNF,7,PTO,24,
10952564,29,2006-06-07,WIDS,0,,0,
10952564,29.7,2006-06-07,M844,0,,0,
10952564,30,2006-06-07,RCAP,0,,0,
10952564,34,2006-06-07,IDSC,0,,0,
10952564,31,2006-07-24,DOCK,0,,0,
10952564,32,2006-08-02,A...,0,,0,
10952564,33,2006-08-05,FWDX,0,,0,
10952564,35,2006-10-16,CTNF,0,,0,
10952564,36,2006-10-18,MCTNF,0,,0,
10952564,37,2006-12-27,A...,0,,0,
10952564,38,2007-01-05,FWDX,0,,0,
10952564,39,2007-03-19,CTFR,0,,0,
11698327,17,2007-10-11,MN/=.,0,,0,
10637453,1,2003-08-08,IEXX,0,,0,
10637453,5,2003-08-08,NPRQ,0,,0,
10637453,2,2003-10-04,SCAN,0,,0,
10637453,3,2003-10-27,L194,0,,0,
10637453,7,2003-11-07,OIPE,0,,0,
10637453,6,2003-11-10,COMP,0,,0,
10637453,8,2003-11-10,ROIPE,0,,0,
10637453,9,2003-11-10,WROIPE,0,,0,
10637453,10,2004-05-18,DOCK,0,,0,
10637453,11,2004-05-20,TSSCOMP,0,,0,
10637453,12,2005-03-22,DOCK,0,,0,
10637453,13,2006-12-20,CTNF,0,,0,
10637453,14,2006-12-21,MCTNF,804,PTO,-1,
10637453,15,2007-03-16,A...,0,,0,
10637453,17,2007-03-16,C614,0,,0,
10637453,16,2007-03-21,FWDX,0,,0,
10637453,18,2007-05-28,CTFR,0,,0,
10637453,19,2007-05-31,MCTFR,0,,0,
10637453,20,2007-07-16,N/AP,0,,0,
10637453,21,2007-07-16,AP.B,0,,0,
10637453,22,2007-08-10,FWDX,0,,0,
11017666,1,2004-12-22,IEXX,0,,0,
09908285,37,2006-04-19,FWDX,0,,0,
09908285,38,2006-06-21,CTFR,0,,0,
09908285,39,2006-06-23,MCTFR,0,,0,
09908285,40,2006-08-23,A.NE,0,,0,
09908285,41,2006-08-25,FWDX,0,,0,
09908285,42,2006-08-31,CTNF,0,,0,
09908285,43,2006-09-01,MCTNF,0,,0,
09908285,44,2006-11-14,A...,0,,0,
09908285,45,2006-11-24,FWDX,0,,0,
09908285,46,2007-02-05,CTFR,0,,0,
09908285,47,2007-02-09,MCTFR,0,,0,
09908285,48,2007-02-13,EML_NTF,0,,0,
09908285,49,2007-02-14,ELC_RVW,0,,0,
09908285,50,2007-05-09,N/AP,0,,0,
