application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
11095823,16,2005-06-16,WROIPE,0,,0,
11095823,17,2005-06-16,ROIPE,0,,0,
11095823,18,2005-06-16,COMP,0,,0,
11095823,19,2005-06-16,WROIPE,0,,0,
11095823,20,2005-10-03,TI1050,0,,0,
11095823,21,2005-10-04,DOCK,0,,0,
11095823,24,2005-10-04,TSSCOMP,0,,0,
11095823,25,2005-10-31,CTNF,0,,0,
11095823,26,2005-11-03,MCTNF,0,,0,
11095823,27,2005-11-29,A...,0,,0,
11095823,28,2006-01-17,FWDX,0,,0,
11095823,30,2006-03-17,CTFR,0,,0,
11095823,31,2006-03-20,MCTFR,0,,0,
11095823,32,2006-05-02,A.NE,0,,0,
11095823,33,2006-05-09,FWDX,0,,0,
11095823,34,2006-05-30,CTNF,0,,0,
11095823,35,2006-06-01,MCTNF,0,,0,
11095823,37,2006-09-01,A...,0,,0,
11095823,36,2006-09-08,EXIN,0,,0,
11095823,38,2006-09-12,FWDX,0,,0,
11095823,39,2006-09-13,MEXIN,0,,0,
11095823,40,2006-09-29,SA..,28,APPL,37,
10503618,4,2004-11-10,371COMP,0,,0,
10503618,9,2004-11-10,A.PE,0,,0,
10503618,11,2004-11-10,RCAP,0,,0,
10503618,21,2004-12-16,WIDS,0,,0,
10503618,22,2004-12-16,IDSC,0,,0,
10857513,1,2004-05-28,IEXX,0,,0,
10857513,19,2004-05-28,A.PE,0,,0,
10857513,2,2004-06-17,SCAN,0,,0,
10857513,4,2004-07-05,L194,0,,0,
10857513,5,2004-07-26,INCD,0,,0,
10857513,6,2004-09-27,ADDFLFEE,0,,0,
10857513,7,2004-09-27,PET.,0,,0,
10857513,8,2006-09-12,MPTDI,0,,0,
10857513,10,2006-11-13,PET.,0,,0,
10857513,11,2006-12-29,MPTDI,0,,0,
10857513,12,2007-02-12,PET.,0,,0,
10857513,14,2007-02-12,PET.,0,,0,
10857513,13,2007-04-12,MPTGR,0,,0,
10857513,15,2007-04-12,MPTGR,0,,0,
10857513,16,2007-08-23,COMP,0,,0,
10857513,17,2007-08-23,PGPC,0,,0,
10857513,18,2007-09-06,OIPE,0,,0,
10857513,20,2007-09-20,TSSCOMP,0,,0,
10857513,21,2007-09-26,DOCK,0,,0,
10857513,22,2007-11-28,DOCK,0,,0,
10857513,23,2007-11-29,PG-ISSUE,0,,0,
10857513,27,2008-01-30,N/=.,0,,0,
10857513,28,2008-01-30,DVER,0,,0,
10857513,30,2008-01-30,MN/=.,916,PTO,-1,
09918723,2,2001-08-08,SCAN,0,,0,
09918723,3,2001-09-06,C.AD,0,,0,
09918723,4,2001-09-07,INCD,0,,0,
09918723,6,2001-11-19,COMP,0,,0,
09918723,7,2001-11-23,OIPE,0,,0,
09918723,8,2002-02-20,DOCK,0,,0,
09918723,9,2002-06-21,WIDS,0,,0,
09918723,9.7,2002-06-21,M844,0,,0,
09918723,10,2004-06-07,DOCK,0,,0,
09918723,11,2004-06-08,DOCK,0,,0,
09918723,12,2004-07-01,TSSCOMP,0,,0,
09918723,13,2004-11-23,CTNF,0,,0,
09918723,14,2004-11-24,MCTNF,785,PTO,-1,
09918723,15,2005-01-28,WAMD,0,,0,
09918723,16,2005-01-28,A...,0,,0,
09918723,17,2005-04-12,FWDX,0,,0,
09918723,18,2005-06-22,CTNF,0,,0,
09918723,19,2005-06-23,MCTNF,26,PTO,16,
09918723,20,2005-09-23,A...,0,,0,
09918723,21,2005-09-30,FWDX,0,,0,
09918723,22,2005-12-07,CTFR,0,,0,
09918723,23,2005-12-08,MCTFR,0,,0,
09918723,24,2006-02-08,A.NE,0,,0,
09918723,25,2006-02-13,FWDX,0,,0,
09918723,26,2006-03-02,CTAV,0,,0,
09918723,27,2006-03-06,MCTAV,0,,0,
09918723,29,2006-03-08,N/AP,0,,0,
09918723,30,2006-03-08,LET.,0,,0,
09918723,28,2006-03-21,DOCK,0,,0,
