application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
11322376,26,2008-02-06,DVER,0,,0,
11322376,28,2008-02-07,DOCK,0,,0,
11322376,29,2008-02-19,N/=.,0,,0,
11322376,30,2008-02-21,MN/=.,0,,0,
11050077,1,2005-02-03,IEXX,0,,0,
11050077,13,2005-02-03,WIDS,0,,0,
11050077,13.7,2005-02-03,M844,0,,0,
11050077,14,2005-02-03,RCAP,0,,0,
11050077,26,2005-02-03,IDSC,0,,0,
11050077,2,2005-02-16,SCAN,0,,0,
11050077,3,2005-02-25,L194,0,,0,
11050077,6,2005-03-14,INCD,0,,0,
11050077,7,2005-04-29,CORRDRW,0,,0,
11050077,8,2005-04-29,OATHDECL,0,,0,
11050077,9,2005-04-29,ADDFLFEE,0,,0,
11050077,15,2005-04-29,C614,0,,0,
11050077,10,2005-05-11,COMP,0,,0,
11050077,11,2005-05-11,OIPE,0,,0,
11050077,12,2005-10-19,DOCK,0,,0,
11050077,16,2005-10-19,TSSCOMP,0,,0,
11050077,17,2005-10-25,WIDS,0,,0,
11050077,17.7,2005-10-25,M844,0,,0,
11050077,18,2005-10-25,RCAP,0,,0,
11050077,25,2005-10-25,IDSC,0,,0,
11050077,19,2006-01-18,DOCK,0,,0,
11050077,20,2006-03-22,DOCK,0,,0,
11050077,21,2006-03-23,DOCK,0,,0,
11050077,22,2007-06-25,DOCK,0,,0,
11050077,23,2007-09-13,DOCK,0,,0,
11050077,24,2007-09-13,DOCK,0,,0,
11050077,29,2007-09-17,CTNF,0,,0,
11050077,30,2007-09-20,MCTNF,535,PTO,-1,
11407176,1,2006-04-19,IEXX,0,,0,
11407176,11,2006-04-19,WIDS,0,,0,
11407176,11.7,2006-04-19,M844,0,,0,
11407176,12,2006-04-19,RCAP,0,,0,
11407176,17,2006-04-19,IDSC,0,,0,
11407176,2,2006-04-27,SCAN,0,,0,
11407176,3,2006-05-02,L198,0,,0,
11407176,4,2006-05-15,L128,0,,0,
11407176,5,2006-05-17,COMP,0,,0,
11407176,6,2006-05-17,OIPE,0,,0,
11407176,7,2006-05-17,ROIPE,0,,0,
11407176,9,2006-05-17,WROIPE,0,,0,
11407176,8,2006-05-18,COMP,0,,0,
11407176,10,2006-05-23,TI1050,0,,0,
11407176,13,2006-08-04,TSSCOMP,0,,0,
11407176,14,2006-12-07,TI1050,0,,0,
11407176,15,2006-12-15,DOCK,0,,0,
11407176,16,2007-08-10,DOCK,0,,0,
11407176,22,2008-02-14,EX.A,0,,0,
11407176,23,2008-02-17,N/=.,0,,0,
11407176,24,2008-02-17,DVER,0,,0,
11407176,27,2008-02-21,MN/=.,247,PTO,-1,
11264446,16,2005-11-01,IDSC,0,,0,
11264446,2,2005-11-21,SCAN,0,,0,
11264446,3,2005-11-29,L194,0,,0,
11264446,4,2005-12-06,COMP,0,,0,
11264446,5,2005-12-06,OIPE,0,,0,
11264446,6,2005-12-06,ROIPE,0,,0,
11264446,7,2005-12-06,COMP,0,,0,
11264446,8,2005-12-06,WROIPE,0,,0,
11264446,12,2006-06-28,WIDS,0,,0,
11264446,12.7,2006-06-28,M844,0,,0,
11264446,17,2006-06-28,IDSC,0,,0,
11264446,13,2006-06-29,TSSCOMP,0,,0,
11264446,14,2006-11-14,DOCK,0,,0,
11264446,15,2007-08-31,DOCK,0,,0,
11264446,27,2008-02-17,DVER,0,,0,
11264446,29,2008-02-17,DOCK,0,,0,
11264446,30,2008-02-17,N/=.,0,,0,
11264446,31,2008-02-21,MN/=.,416,PTO,-1,
10557177,31,2007-10-27,PST_CRD,0,,0,
10557177,33,2008-01-11,IFEE,0,,0,
10557177,35,2008-01-11,N084,0,,0,
10557177,36,2008-02-01,PILS,0,,0,
10557177,37,2008-02-01,D1935,0,,0,
10557177,39,2008-03-11,PTAC,0,,0,
10873105,51,2008-01-14,IFEE,0,,0,
10873105,53,2008-01-14,N084,0,,0,
11132183,35,2008-01-15,N084,0,,0,
11132183,36,2008-02-06,PILS,0,,0,
11132183,37,2008-02-06,D1935,0,,0,
11132183,39,2008-03-11,PTAC,0,,0,
10765673,59,2008-01-16,IFEE,0,,0,
10765673,60,2008-01-16,N084,0,,0,
10765673,61,2008-02-06,PILS,0,,0,
10765673,62,2008-02-06,D1935,0,,0,
10765673,64,2008-03-11,PTAC,0,,0,
10765673,64.5,2008-02-20,PTA36M,0,PTO,0,
11442097,30,2007-11-29,PG-ISSUE,0,,0,
11442097,32,2008-01-11,IFEE,0,,0,
11442097,33,2008-01-11,N084,0,,0,
11442097,34,2008-02-01,PILS,0,,0,
11442097,35,2008-02-01,D1935,0,,0,
11442097,37,2008-03-11,PTAC,0,,0,
11196680,43,2007-09-24,PUBTC,0,,0,
11196680,44,2007-10-05,TCPB,0,,0,
11196680,46,2007-10-22,WIDS,0,,0,
11196680,52,2007-10-22,IDSC,0,,0,
11196680,47,2007-10-22,M844,38,APPL,54,
11196680,48,2007-10-22,RCAP,0,,0,
11196680,51,2007-10-30,PUBTC,0,,0,
11196680,49,2007-11-02,TCPB,0,,0,
