application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
11168531,24,2008-03-28,FWDX,0,,0,
11168531,30,2008-06-12,N/=.,0,,0,
11168531,31,2008-06-12,DVER,0,,0,
10275512,36,2006-09-26,XT/G,0,,0,
10275512,37,2006-09-26,A.NE,0,,0,
10275512,38,2006-09-28,FWDX,0,,0,
10275512,39,2006-10-05,CTAV,0,,0,
10275512,40,2006-10-10,MCTAV,0,,0,
10275512,41,2006-10-24,BRCE,0,,0,
10275512,42,2006-10-24,XT/G,0,,0,
10275512,46,2006-10-24,RCEX,67,APPL,35,
10275512,44,2006-10-31,FWDX,0,,0,
10275512,45,2006-10-31,ABN9,0,,0,
10275512,47,2006-10-31,FWDX,0,,0,
10275512,48,2007-01-04,CTNF,0,,0,
10275512,49,2007-01-08,MCTNF,0,,0,
10275512,50,2007-04-12,XT/G,0,,0,
10275512,51,2007-04-12,A...,4,APPL,49,
10275512,52,2007-04-13,FWDX,0,,0,
10275512,53,2007-06-18,CTFR,0,,0,
10275512,54,2007-06-19,MCTFR,0,,0,
10275512,55,2007-10-05,DOCK,0,,0,
10275512,56,2007-10-11,BRCE,0,,0,
10275512,57,2007-10-11,XT/G,0,,0,
10275512,59,2007-10-11,RCEX,22,APPL,54,
10275512,58,2007-10-17,ABN9,0,,0,
10275512,60,2007-10-17,FWDX,0,,0,
10275512,62,2007-10-17,FWDX,0,,0,
10275512,63,2007-11-02,CTNF,0,,0,
10275512,64,2007-11-05,MCTNF,0,,0,
10275512,65,2008-03-03,XT/G,0,,0,
10275512,66,2008-03-03,A...,27,APPL,64,
10275512,67,2008-03-30,FWDX,0,,0,
10275512,69,2008-06-09,DOCK,0,,0,
10275512,70,2008-06-09,N/=.,0,,0,
10275512,71,2008-06-09,DVER,0,,0,
10275512,73,2008-06-16,MN/=.,0,,0,
11837631,10,2007-10-12,WIDS,0,,0,
11837631,11,2007-10-12,EIDS.,0,,0,
11837631,13,2007-10-12,RCAP,0,,0,
11837631,17,2007-10-12,IDSC,0,,0,
11837631,12,2007-10-15,TSSCOMP,0,,0,
11837631,14,2007-10-20,TI1050,0,,0,
11837631,15,2007-10-30,DOCK,0,,0,
11837631,23,2007-11-16,EXIN,0,,0,
11837631,21,2007-11-21,EX.A,0,,0,
11837631,22,2007-11-21,DVER,0,,0,
11837631,25,2007-11-21,N/=.,0,,0,
11837631,26,2007-11-26,MEXIN,0,,0,
11837631,27,2007-11-26,MEX.A,0,,0,
11837631,28,2007-11-26,MN/=.,0,,0,
11837631,29,2007-11-26,EML_NTF,0,,0,
11837631,30,2007-11-26,EML_NTR,0,,0,
11837631,31,2007-11-27,ELC_RVW,0,,0,
11837631,32,2007-11-28,PG-ISSUE,0,,0,
11837631,34,2007-12-06,EML_NTR,0,,0,
11837631,35,2008-01-02,IFEE,0,,0,
11837631,39,2008-01-02,N084,0,,0,
11837631,37,2008-01-17,TCPB,0,,0,
11837631,40,2008-01-29,PILS,0,,0,
11837631,41,2008-02-11,BRCE,0,,0,
11837631,42,2008-02-11,PET.,0,,0,
11837631,43,2008-02-11,WIDS,0,,0,
11837631,47,2008-02-11,RCEX,0,,0,
11837631,49,2008-02-11,EIDS.,0,,0,
11837631,51,2008-02-11,IDSC,0,,0,
11837631,44,2008-02-13,P006,0,,0,
11837631,45,2008-02-13,MP006,0,,0,
11837631,46,2008-02-16,ABN9,0,,0,
11837631,48,2008-02-16,FWDX,0,,0,
11837631,53,2008-02-21,DVER,0,,0,
11837631,55,2008-02-21,DOCK,0,,0,
11837631,56,2008-02-21,N/=.,0,,0,
11837631,58,2008-02-28,MN/=.,0,,0,
11837631,59,2008-02-29,EML_NTF,0,,0,
11472345,16,2007-12-31,MCTNF,131,PTO,-1,
11472345,17,2008-03-25,A...,0,,0,
11472345,19,2008-03-25,DIST,0,APPL,17,
11472345,18,2008-04-07,FWDX,0,,0,
11472345,20,2008-04-08,P574,0,,0,
11472345,25,2008-06-12,N/=.,0,,0,
11472345,26,2008-06-12,DVER,0,,0,
11472345,28,2008-06-16,MN/=.,0,,0,
10518737,3,2005-07-30,OATHDECL,0,,0,
10518737,4,2005-07-30,PREAMND,0,,0,
10518737,5,2005-07-30,SUBSPEC,0,,0,
10518737,6,2005-07-30,TRNIA,0,,0,
10518737,8,2005-07-30,ADDFLFEE,0,,0,
10518737,11,2005-07-30,371COMP,0,,0,
10518737,18,2005-07-30,A.PE,0,,0,
10518737,9,2005-08-23,M903,0,,0,
10518737,10,2005-08-23,OIPE,0,,0,
10518737,13,2005-09-22,WIDS,0,,0,
10518737,13.7,2005-09-22,M844,0,,0,
10518737,14,2005-09-22,RCAP,0,,0,
10518737,24,2005-09-22,IDSC,0,,0,
10518737,12,2005-09-29,L194,0,,0,
10518737,15,2006-05-05,DOCK,0,,0,
10928060,15,2005-04-13,DOCK,0,,0,
10928060,16,2005-04-13,TSSCOMP,0,,0,
10928060,17,2006-10-12,DOCK,0,,0,
10928060,18,2007-03-29,DOCK,0,,0,
10928060,19,2007-06-25,CTNF,0,,0,
10928060,20,2007-07-02,MCTNF,613,PTO,-1,
10928060,21,2007-08-07,DOCK,0,,0,
10928060,22,2007-10-01,A...,0,,0,
10928060,23,2007-10-09,FWDX,0,,0,
10928060,24,2007-10-24,DOCK,0,,0,
10928060,28,2008-01-22,CTFR,0,,0,
10928060,29,2008-01-25,MCTFR,0,,0,
10928060,30,2008-03-25,A.NE,0,,0,
10928060,31,2008-04-10,FWDX,0,,0,
10928060,32,2008-04-14,CTAV,0,,0,
10928060,33,2008-04-16,MCTAV,0,,0,
10928060,34,2008-04-30,BRCE,0,,0,
10928060,36,2008-04-30,RCEX,5,APPL,29,
10928060,35,2008-05-05,ABN9,0,,0,
10928060,37,2008-05-05,FWDX,0,,0,
10928060,39,2008-05-05,FWDX,0,,0,
10928060,41,2008-06-12,N/=.,0,,0,
10928060,42,2008-06-12,DVER,0,,0,
10928060,44,2008-06-16,MN/=.,0,,0,
11022431,1,2004-12-22,IEXX,0,,0,
11022431,2,2005-01-18,SCAN,0,,0,
11022431,3,2005-01-24,L194,0,,0,
11022431,5,2005-02-05,OIPE,0,,0,
11022431,6,2005-02-05,ROIPE,0,,0,
11022431,7,2005-02-05,WROIPE,0,,0,
11022431,4,2005-02-07,COMP,0,,0,
11022431,8,2005-02-25,DOCK,0,,0,
11022431,9,2005-02-25,TSSCOMP,0,,0,
11022431,10,2007-10-07,DOCK,0,,0,
11022431,16,2008-06-09,EX.A,0,,0,
11022431,17,2008-06-09,DOCK,0,,0,
11022431,18,2008-06-09,N/=.,0,,0,
11022431,19,2008-06-09,DVER,0,,0,
11022431,21,2008-06-16,MN/=.,845,PTO,-1,
11007201,8,2005-07-19,OIPE,0,,0,
11007201,9,2005-09-19,TI1050,0,,0,
11007201,13,2006-08-15,DOCK,0,,0,
11007201,14,2006-08-15,TSSCOMP,0,,0,
11007201,15,2006-10-05,DOCK,0,,0,
11007201,16,2007-03-02,DOCK,0,,0,
11007201,17,2007-03-08,DOCK,0,,0,
11007201,19,2007-04-02,CTRS,0,,0,
11007201,20,2007-04-03,MCTRS,418,PTO,-1,
11007201,21,2007-05-01,ELC.,0,,0,
11007201,22,2007-05-18,FWDX,0,,0,
11007201,23,2007-06-25,CTNF,0,,0,
11007201,24,2007-06-27,MCTNF,0,,0,
11007201,25,2007-10-29,XT/G,0,,0,
11007201,26,2007-10-29,A...,32,APPL,24,
11007201,26.1,2007-10-29,A.I.,0,,0,
11007201,27,2007-11-07,FWDX,0,,0,
11007201,32,2008-01-22,NINA,0,,0,
11007201,33,2008-02-21,A...,115,APPL,26,
11007201,34,2008-04-04,FWDX,0,,0,
11007201,38,2008-06-12,EX.A,0,,0,
11007201,39,2008-06-12,N/=.,0,,0,
11007201,40,2008-06-12,DVER,0,,0,
11007201,42,2008-06-16,MN/=.,0,,0,
11472282,1,2006-06-22,IEXX,0,,0,
11472282,10,2006-06-22,A.PE,0,,0,
11472282,11,2006-06-22,WIDS,0,,0,
11472282,11.7,2006-06-22,M844,0,,0,
11472282,12,2006-06-22,RCAP,0,,0,
11472282,24,2006-06-22,IDSC,0,,0,
11472282,2,2006-07-07,SCAN,0,,0,
11472282,3,2006-07-10,L194,0,,0,
11472282,5,2006-11-29,CPAP,0,,0,
11472282,6,2006-12-07,CORRDRW,0,,0,
11472282,7,2006-12-07,ADDFLFEE,0,,0,
11472282,8,2006-12-14,COMP,0,,0,
11472282,9,2006-12-14,OIPE,0,,0,
11472282,13,2007-01-09,TSSCOMP,0,,0,
11472282,14,2007-02-16,DOCK,0,,0,
11472282,15,2007-02-23,DOCK,0,,0,
11472282,17,2007-03-09,WIDS,0,,0,
11472282,17.7,2007-03-09,M844,0,,0,
11472282,18,2007-03-09,RCAP,0,,0,
11472282,23,2007-03-09,IDSC,0,,0,
11472282,16,2007-03-22,PG-ISSUE,0,,0,
11472282,19,2007-11-15,DOCK,0,,0,
11472282,25,2008-01-17,CTNF,0,,0,
11472282,26,2008-01-18,MCTNF,149,PTO,-1,
11472282,27,2008-04-18,LET.,0,,0,
11472282,28,2008-04-18,C614,0,,0,
11472282,29,2008-04-18,DIST,0,,0,
11472282,30,2008-04-18,A...,0,,0,
11472282,31,2008-05-20,FWDX,0,,0,
11472282,33,2008-06-12,DVER,0,,0,
11472282,34,2008-06-12,N/=.,0,,0,
11472282,36,2008-06-16,MN/=.,0,,0,
11847176,1,2007-08-29,IEXX,0,,0,
11847176,2,2007-08-29,WIDS,0,,0,
11847176,5,2007-08-29,PDREQUST,0,,0,
11847176,11,2007-08-29,M844,0,,0,
11295527,1,2005-12-07,IEXX,0,,0,
11295527,9,2005-12-07,RQPR,0,,0,
11295527,2,2005-12-14,SCAN,0,,0,
11295527,3,2005-12-21,L194,0,,0,
11295527,5,2006-01-10,OIPE,0,,0,
11295527,4,2006-01-11,COMP,0,,0,
11295527,6,2006-01-12,ROIPE,0,,0,
11295527,8,2006-01-12,WROIPE,0,,0,
11295527,7,2006-01-13,COMP,0,,0,
11295527,10,2006-03-08,DOCK,0,,0,
11295527,11,2006-03-09,TSSCOMP,0,,0,
11295527,13,2007-01-04,EML_NTF,0,,0,
11295527,12,2007-01-05,PG-ISSUE,0,,0,
11295527,14,2007-01-12,PST_CRD,0,,0,
11295527,15,2008-02-19,CTRS,0,,0,
11283805,12,2007-09-17,CTNF,0,,0,
11283805,13,2007-09-21,MCTNF,242,PTO,-1,
11283805,14,2007-10-04,DOCK,0,,0,
11283805,15,2007-12-11,A...,0,,0,
11283805,16,2007-12-19,FWDX,0,,0,
11283805,17,2008-02-25,CTFR,0,,0,
11283805,18,2008-02-28,MCTFR,0,,0,
11283805,19,2008-05-22,BRCE,0,,0,
11283805,21,2008-05-22,RCEX,0,,0,
11283805,20,2008-06-05,ABN9,0,,0,
11283805,22,2008-06-05,FWDX,0,,0,
11283805,24,2008-06-05,FWDX,0,,0,
11283805,29,2008-06-12,DVER,0,,0,
11283805,31,2008-06-12,N/=.,0,,0,
11283805,32,2008-06-16,MN/=.,0,,0,
10359972,24,2007-06-14,ELC_RVW,0,,0,
10359972,25,2007-09-11,N/AP,0,,0,
10359972,26,2008-01-09,XT/G,0,,0,
10359972,27,2008-01-09,AP.B,0,,0,
10359972,27.1,2008-01-09,APBI,0,,0,
