application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
10958181,77,2008-08-01,N084,0,,0,
10958181,78,2008-08-04,PILS,0,,0,
10958181,79,2008-08-04,D1935,0,,0,
10958181,81,2008-09-02,PTAC,0,,0,
11329829,53,2008-07-21,N084,0,,0,
11329829,52,2008-07-21,IFEE,0,,0,
11329829,54,2008-07-25,PILS,0,,0,
11329829,55,2008-07-25,D1935,0,,0,
11329829,57,2008-09-02,PTAC,0,,0,
11519556,50,2008-04-29,ELC_RVW,0,,0,
10997032,45,2008-08-01,N084,0,,0,
10997032,44,2008-08-01,IFEE,0,,0,
10997032,47,2008-08-04,D1935,0,,0,
11520165,33,2008-07-28,IFEE,0,,0,
11520165,34,2008-07-28,N084,0,,0,
11520165,35,2008-07-31,PILS,0,,0,
11520165,36,2008-07-31,D1935,0,,0,
11520165,38,2008-09-02,PTAC,0,,0,
11112426,80,2008-07-21,TCPB,0,,0,
11112426,81,2008-07-25,IFEE,0,,0,
11112426,82,2008-07-25,N084,0,,0,
11112426,83,2008-07-28,PILS,0,,0,
11112426,84,2008-07-28,D1935,0,,0,
11112426,86,2008-09-02,PTAC,0,,0,
11898272,30,2008-07-30,N084,0,,0,
11898272,29,2008-07-30,IFEE,0,,0,
11898272,31,2008-08-04,PILS,0,,0,
11898272,32,2008-08-04,D1935,0,,0,
11898272,34,2008-09-02,PTAC,0,,0,
11651809,26,2008-07-31,IFEE,0,,0,
11651809,27,2008-07-31,N084,0,,0,
11651809,28,2008-08-01,PILS,0,,0,
11651809,29,2008-08-01,D1935,0,,0,
11729928,35,2008-07-14,IFEE,0,,0,
11729928,36,2008-07-14,N084,0,,0,
11729928,37,2008-07-14,A.NA,22,APPL,39,
11729928,40,2008-08-01,PILS,0,,0,
11729928,38,2008-08-01,N271,0,,0,
11729928,41,2008-08-04,D1935,0,,0,
11729928,39,2008-08-04,MN271,0,,0,
11729928,43,2008-09-02,PTAC,0,,0,
10545270,42,2008-06-19,N084,0,,0,
10545270,40,2008-06-19,IFEE,0,,0,
10545270,43,2008-07-22,PILS,0,,0,
11797542,27,2008-07-24,WIDS,0,,0,
11797542,23,2008-07-25,IFEE,0,,0,
11797542,24,2008-07-25,N084,0,,0,
11797542,25,2008-07-28,PILS,0,,0,
11797542,26,2008-07-28,D1935,0,,0,
11797542,29,2008-09-02,PTAC,0,,0,
11229214,34,2008-07-30,IFEE,0,,0,
11229214,35,2008-07-30,N084,0,,0,
11229214,36,2008-07-31,PILS,0,,0,
11229214,37,2008-07-31,D1935,0,,0,
11229214,39,2008-09-02,PTAC,0,,0,
11673120,37,2008-04-30,IDSC,0,,0,
11673120,29,2008-04-30,WIDS,0,,0,
11673120,30,2008-04-30,WIDS,0,,0,
11673120,39,2008-04-30,IDSC,0,,0,
11673120,32,2008-04-30,RCAP,0,,0,
11673120,31,2008-04-30,M844,91,APPL,38,
11673120,36,2008-07-07,N084,0,,0,
11673120,34,2008-07-07,M327,0,,0,
11673120,35,2008-07-07,IFEE,0,,0,
11673120,38,2008-07-29,MM327,0,,0,
11673120,40,2008-07-30,PILS,0,,0,
11650616,33,2008-06-16,IFEE,0,,0,
11650616,35,2008-06-16,N084,0,,0,
11650616,34,2008-07-10,PG-ISSUE,0,,0,
11650616,37,2008-07-14,PILS,0,,0,
11650616,38,2008-08-01,D1935,0,,0,
11650616,41,2008-09-02,PTAC,0,,0,
11255877,14,2005-10-24,RQPR,0,,0,
11255877,20,2005-10-24,IDSC,0,,0,
11255877,2,2005-11-08,SCAN,0,,0,
11255877,3,2005-11-10,L194,0,,0,
11255877,4,2005-11-15,COMP,0,,0,
11255877,5,2005-11-15,OIPE,0,,0,
11255877,6,2005-11-15,ROIPE,0,,0,
11255877,7,2005-11-15,COMP,0,,0,
11255877,8,2005-11-15,WROIPE,0,,0,
11255877,9,2005-11-15,ROIPE,0,,0,
11255877,11,2005-11-15,WROIPE,0,,0,
11255877,10,2005-11-16,COMP,0,,0,
11255877,15,2006-05-25,DOCK,0,,0,
11255877,16,2006-05-25,TSSCOMP,0,,0,
11255877,17,2007-10-04,DOCK,0,,0,
11255877,18,2008-04-23,DOCK,0,,0,
11255877,19,2008-04-23,DOCK,0,,0,
11255877,26,2008-07-24,EXIN,0,,0,
11255877,30,2008-07-24,EXIN,0,,0,
11255877,28,2008-08-04,EX.A,0,,0,
11255877,29,2008-08-11,N/=.,0,,0,
11255877,31,2008-08-11,DVER,0,,0,
11255877,33,2008-08-13,MN/=.,598,PTO,-1,
11900752,2,2007-09-13,WIDS,0,,0,
11900752,14,2007-09-13,M844,0,,0,
11900752,15,2007-09-13,RCAP,0,,0,
11900752,26,2007-09-13,IDSC,0,,0,
11900752,1,2007-09-14,IEXX,0,,0,
11900752,3,2007-09-23,SCAN,0,,0,
11900752,4,2007-09-24,L194,0,,0,
11900752,7,2007-10-05,INCD,0,,0,
11900752,8,2007-10-31,CORRDRW,0,,0,
11900752,9,2007-10-31,OATHDECL,0,,0,
11900752,10,2007-10-31,ADDFLFEE,0,,0,
11900752,16,2007-10-31,A.PE,0,,0,
11586506,1,2006-10-26,IEXX,0,,0,
11586506,7,2006-10-26,WIDS,0,,0,
11586506,7.7,2006-10-26,M844,0,,0,
11586506,8,2006-10-26,RCAP,0,,0,
10422685,19,2006-12-06,MCTNF,895,PTO,-1,
10422685,20,2007-03-06,A...,0,,0,
10422685,22,2007-03-06,C614,0,,0,
10422685,21,2007-03-07,FWDX,0,,0,
10422685,23,2007-05-02,CTNF,0,,0,
10422685,24,2007-05-04,MCTNF,0,,0,
10422685,25,2007-07-27,A...,0,,0,
10422685,26,2007-07-28,FWDX,0,,0,
10422685,27,2007-09-26,CTFR,0,,0,
10422685,28,2007-09-28,MCTFR,0,,0,
