application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
10831503,65,2008-08-14,PILS,0,,0,
10831503,66,2008-08-14,D1935,0,,0,
10831503,68,2008-09-23,PTAC,0,,0,
10831503,68.5,2008-09-03,PTA36M,0,PTO,0,
11014454,61,2008-05-29,REAS,0,,0,
11136267,41,2008-07-10,PUBTC,0,,0,
11136267,42,2008-08-01,TCPB,0,,0,
11380481,33,2008-07-08,N084,0,,0,
11380481,32,2008-07-08,IFEE,0,,0,
11380481,34,2008-07-09,PILS,0,,0,
11380481,35,2008-07-10,D1935,0,,0,
11380481,36,2008-08-25,D1935,0,,0,
11380481,37,2008-08-25,D1935,0,,0,
11380481,38,2008-09-23,PTAC,0,,0,
10504617,35,2008-08-15,PILS,0,,0,
10504617,36,2008-08-15,D1935,0,,0,
10504617,38,2008-09-23,PTAC,0,,0,
10504617,38.5,2008-09-03,PTA36M,0,PTO,0,
11198672,33,2008-05-20,ELC_RVW,0,,0,
11198672,36,2008-07-30,EXIN,0,,0,
11198672,37,2008-08-03,M327,0,,0,
11198672,38,2008-08-12,MM327,0,,0,
11198672,39,2008-08-12,EML_NTR,0,,0,
11198672,41,2008-08-13,N084,0,,0,
11198672,40,2008-08-13,IFEE,0,,0,
11198672,42,2008-08-14,PILS,0,,0,
11198672,43,2008-08-14,D1935,0,,0,
11198672,45,2008-09-23,PTAC,0,,0,
11198672,45.5,2008-09-03,PTA36M,0,PTO,0,
10931972,41,2008-08-14,IFEE,0,,0,
10931972,42,2008-08-14,N084,0,,0,
10931972,43,2008-08-20,PILS,0,,0,
10931972,44,2008-08-20,D1935,0,,0,
10931972,46,2008-09-23,PTAC,0,,0,
10931972,46.5,2008-09-03,PTA36M,0,PTO,0,
11747038,45,2008-08-15,IFEE,0,,0,
11747038,46,2008-08-15,N084,0,,0,
11747038,47,2008-08-18,PILS,0,,0,
11747038,48,2008-08-21,D1935,0,,0,
11747038,51,2008-09-23,PTAC,0,,0,
11751679,40,2008-08-14,IFEE,0,,0,
11090807,53,2008-06-27,N271,0,,0,
11090807,54,2008-06-30,MN271,0,,0,
11090807,55,2008-08-15,IFEE,0,,0,
