application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
11435922,15.7,2006-05-18,M844,0,,0,
11435922,16,2006-05-18,RCAP,0,,0,
11435922,21,2006-05-18,IDSC,0,,0,
11435922,2,2006-05-24,SCAN,0,,0,
11435922,3,2006-05-31,L194,0,,0,
11435922,4,2006-06-12,COMP,0,,0,
11435922,5,2006-06-12,OIPE,0,,0,
11435922,6,2006-06-12,ROIPE,0,,0,
11435922,7,2006-06-12,COMP,0,,0,
11435922,8,2006-06-12,WROIPE,0,,0,
11435922,9,2006-06-12,ROIPE,0,,0,
11435922,11,2006-06-12,WROIPE,0,,0,
11435922,10,2006-06-13,COMP,0,,0,
11435922,12,2006-09-26,WIDS,0,,0,
11435922,12.7,2006-09-26,M844,0,,0,
11435922,20,2006-09-26,IDSC,0,,0,
11435922,17,2006-10-31,DOCK,0,,0,
11225864,4,2005-09-30,INCD,0,,0,
11225864,5,2005-11-30,OATHDECL,0,,0,
11225864,6,2005-11-30,FLFEE,0,,0,
11225864,12,2005-12-05,RQPR,0,,0,
11225864,13,2005-12-05,WIDS,0,,0,
11225864,13.7,2005-12-05,M844,0,,0,
11225864,14,2005-12-05,RCAP,0,,0,
11225864,18,2005-12-05,IDSC,0,,0,
11225864,7,2005-12-08,COMP,0,,0,
11225864,8,2005-12-08,OIPE,0,,0,
11225864,9,2005-12-08,ROIPE,0,,0,
11225864,11,2005-12-08,WROIPE,0,,0,
11225864,10,2005-12-09,COMP,0,,0,
11225864,15,2006-03-03,DOCK,0,,0,
11225864,16,2006-03-03,TSSCOMP,0,,0,
11225864,17,2006-08-29,DOCK,0,,0,
11225864,19,2007-05-11,CTNF,0,,0,
11225864,20,2007-05-15,MCTNF,183,PTO,-1,
11225864,21,2007-08-15,A...,0,,0,
11225864,23,2007-08-15,C614,0,,0,
11225864,22,2007-08-17,FWDX,0,,0,
11225864,26,2007-10-26,CTNF,0,,0,
11225864,27,2007-10-29,MCTNF,0,,0,
11225864,28,2008-01-28,A...,0,,0,
11225864,29,2008-03-13,FWDX,0,,0,
11225864,32,2008-05-22,CTFR,0,,0,
11225864,33,2008-05-23,MCTFR,0,,0,
11225864,34,2008-08-11,A.NE,0,,0,
11225864,35,2008-09-03,FWDX,0,,0,
11225864,39,2008-09-18,DVER,0,,0,
11225864,41,2008-09-18,N/=.,0,,0,
11225864,42,2008-09-24,MN/=.,0,,0,
10656722,1,2003-09-05,IEXX,0,,0,
10656722,13,2003-09-05,C614,0,,0,
10656722,2,2003-10-13,SCAN,0,,0,
11014729,1,2004-12-20,IEXX,0,,0,
11014729,10,2004-12-20,WIDS,0,,0,
11014729,10.7,2004-12-20,M844,0,,0,
11014729,11,2004-12-20,RCAP,0,,0,
11014729,16,2004-12-20,IDSC,0,,0,
11014729,2,2005-01-10,SCAN,0,,0,
11014729,3,2005-01-13,L198,0,,0,
11014729,4,2005-01-28,L128,0,,0,
11014729,5,2005-02-11,COMP,0,,0,
11014729,6,2005-02-11,OIPE,0,,0,
11014729,7,2005-02-11,ROIPE,0,,0,
11014729,8,2005-02-11,WROIPE,0,,0,
11014729,9,2005-03-16,DOCK,0,,0,
11014729,12,2005-03-16,TSSCOMP,0,,0,
11014729,13,2005-04-15,WIDS,0,,0,
11014729,13.7,2005-04-15,M844,0,,0,
11014729,14,2005-04-15,RCAP,0,,0,
10493729,28,2007-01-10,ELC.,0,,0,
10493729,29,2007-02-05,FWDX,0,,0,
10493729,31,2007-02-27,CTNF,0,,0,
10493729,32,2007-03-02,MCTNF,0,,0,
10493729,35,2007-05-31,A...,0,,0,
10493729,35.1,2007-05-31,A.I.,0,,0,
10493729,36,2007-06-07,FWDX,0,,0,
10493729,37,2007-06-08,NINA,0,,0,
10493729,38,2007-07-02,A...,32,APPL,35,
10493729,39,2007-07-03,FWDX,0,,0,
10493729,40,2007-08-04,CTFR,0,,0,
10493729,41,2007-08-06,MCTFR,0,,0,
10493729,42,2007-10-09,A.NE,0,,0,
10493729,43,2007-10-17,FWDX,0,,0,
10493729,44,2007-11-28,CTAV,0,,0,
10493729,45,2007-11-29,MCTAV,0,,0,
10493729,46,2008-01-29,BRCE,0,,0,
10493729,48,2008-01-29,RCEX,84,APPL,41,
10493729,47,2008-02-11,ABN9,0,,0,
10493729,49,2008-02-11,FWDX,0,,0,
10493729,51,2008-02-11,FWDX,0,,0,
10493729,52,2008-02-14,CTNF,0,,0,
10493729,53,2008-02-15,MCTNF,0,,0,
10493729,54,2008-07-15,XT/G,0,,0,
10493729,55,2008-07-15,A...,61,APPL,53,
10493729,57,2008-07-15,DIST,0,,0,
10493729,58,2008-07-15,DIST,0,APPL,55,
10493729,56,2008-08-23,FWDX,0,,0,
10493729,59,2008-08-26,P574,0,,0,
10493729,61,2008-09-22,EX.A,0,,0,
10493729,62,2008-09-22,DVER,0,,0,
10493729,63,2008-09-22,DOCK,0,,0,
10493729,64,2008-09-22,N/=.,0,,0,
10493729,66,2008-09-25,MN/=.,0,,0,
11159623,1,2005-06-23,IEXX,0,,0,
11159623,2,2005-07-01,SCAN,0,,0,
11159623,3,2005-07-06,L194,0,,0,
11159623,5,2005-07-15,OIPE,0,,0,
11159623,4,2005-07-18,COMP,0,,0,
11159623,6,2006-05-02,TI1050,0,,0,
11159623,7,2006-05-31,TI1050,0,,0,
11159623,8,2006-12-05,TSSCOMP,0,,0,
11159623,9,2007-03-06,DOCK,0,,0,
11533323,1,2006-09-19,IEXX,0,,0,
11533323,2,2006-09-27,SCAN,0,,0,
11533323,3,2006-09-29,L194,0,,0,
11533323,5,2006-10-11,INCD,0,,0,
11533323,6,2006-12-18,OATHDECL,0,,0,
11533323,7,2006-12-18,ADDFLFEE,0,,0,
11533323,8,2006-12-29,COMP,0,,0,
11533323,9,2006-12-29,OIPE,0,,0,
11533323,10,2007-01-17,TSSCOMP,0,,0,
11533323,11,2007-02-08,WIDS,0,,0,
11533323,11.7,2007-02-08,M844,0,,0,
11533323,12,2007-02-08,RCAP,0,,0,
11533323,23,2007-02-08,IDSC,0,,0,
11533323,13,2007-04-12,PG-ISSUE,0,,0,
11533323,14,2007-06-27,DOCK,0,,0,
11533323,15,2007-09-19,DOCK,0,,0,
11533323,16,2008-04-28,CTRS,0,,0,
11533323,17,2008-05-01,MCTRS,164,PTO,-1,
11533323,18,2008-06-02,ELC.,0,,0,
11533323,19,2008-06-29,FWDX,0,,0,
11533323,25,2008-08-28,EX.A,0,,0,
11533323,26,2008-09-24,DVER,0,,0,
11533323,27,2008-09-24,N/=.,0,,0,
11533323,29,2008-09-25,MN/=.,0,,0,
10758759,1,2004-01-15,IEXX,0,,0,
10758759,5,2004-01-15,NPRQ,0,,0,
10758759,10,2004-01-15,A.PE,0,,0,
10758759,2,2004-01-29,SCAN,0,,0,
10758759,4,2004-03-04,L194,0,,0,
10758759,13,2004-04-05,WIDS,0,,0,
10758759,13.7,2004-04-05,M844,0,,0,
10758759,14,2004-04-05,RCAP,0,,0,
10758759,30,2004-04-05,IDSC,0,,0,
10758759,6,2004-04-20,COMP,0,,0,
10758759,7,2004-04-20,OIPE,0,,0,
10758759,8,2004-04-20,ROIPE,0,,0,
10758759,9,2004-04-20,WROIPE,0,,0,
10758759,11,2004-04-30,TSSCOMP,0,,0,
10758759,12,2004-04-30,DOCK,0,,0,
10758759,15,2005-04-04,DOCK,0,,0,
10758759,16,2005-06-03,RESC,0,,0,
10758759,17,2005-07-13,DOCK,0,,0,
10758759,18,2005-08-22,CTNF,0,,0,
10758759,19,2005-08-25,MCTNF,163,PTO,-1,
10758759,20,2005-11-25,WIDS,0,,0,
10758759,20.7,2005-11-25,M844,0,,0,
10758759,21,2005-11-25,RCAP,0,,0,
10758759,22,2005-11-25,A...,0,,0,
10758759,22.1,2005-11-25,A.I.,0,,0,
10758759,31,2005-11-25,IDSC,0,,0,
10758759,23,2005-12-01,FWDX,0,,0,
10758759,24,2005-12-02,NINA,0,,0,
10758759,25,2006-01-09,XT/G,0,,0,
10758759,26,2006-01-09,A...,45,APPL,22,
10758759,28,2006-01-11,WIDS,0,,0,
10758759,28.7,2006-01-11,M844,2,APPL,26,
10758759,29,2006-01-11,RCAP,0,,0,
10758759,32,2006-01-11,IDSC,0,,0,
10758759,27,2006-01-12,FWDX,0,,0,
11245518,1,2005-10-07,IEXX,0,,0,
11245518,4,2005-10-07,NPRQ,0,,0,
11245518,12,2005-10-07,WIDS,0,,0,
11245518,12.7,2005-10-07,M844,0,,0,
11245518,16,2005-10-07,IDSC,0,,0,
11245518,13,2005-10-11,RQPR,0,,0,
11245518,2,2005-10-20,SCAN,0,,0,
11245518,3,2005-10-24,L194,0,,0,
11245518,6,2005-10-25,OIPE,0,,0,
11245518,7,2005-10-25,ROIPE,0,,0,
11245518,9,2005-10-25,WROIPE,0,,0,
11245518,5,2005-10-26,COMP,0,,0,
11245518,8,2005-10-26,COMP,0,,0,
11245518,11,2006-01-20,DOCK,0,,0,
11245518,14,2006-03-18,TSSCOMP,0,,0,
11245518,15,2007-12-14,DOCK,0,,0,
11245518,21,2008-03-14,CTNF,0,,0,
11245518,22,2008-03-19,MCTNF,468,PTO,-1,
11245518,23,2008-06-19,A...,0,,0,
11245518,25,2008-06-19,C614,0,,0,
11245518,24,2008-08-11,FWDX,0,,0,
11245518,28,2008-09-15,EXIN,0,,0,
11245518,29,2008-09-19,EX.A,0,,0,
11245518,30,2008-09-19,N/=.,0,,0,
11245518,31,2008-09-23,DVER,0,,0,
11245518,33,2008-09-25,MN/=.,0,,0,
10557805,9,2007-03-19,CTNF,0,,0,
10557805,10,2007-03-23,MCTNF,59,PTO,-1,
10557805,11,2007-06-21,A...,0,,0,
10557805,12,2007-06-26,FWDX,0,,0,
10557805,13,2007-08-28,CTFR,0,,0,
10557805,14,2007-08-29,MCTFR,0,,0,
10557805,15,2007-12-31,BRCE,0,,0,
10557805,17,2007-12-31,RCEX,32,APPL,14,
10557805,16,2008-01-23,ABN9,0,,0,
10557805,18,2008-01-23,FWDX,0,,0,
10557805,20,2008-01-23,FWDX,0,,0,
