application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
10826016,5,2004-06-28,INCD,0,,0,
10826016,6,2004-08-25,OATHDECL,0,,0,
10826016,7,2004-08-25,ADDFLFEE,0,,0,
10826016,8,2004-09-17,COMP,0,,0,
10826016,9,2004-09-17,OIPE,0,,0,
10826016,10,2004-09-17,ROIPE,0,,0,
10803704,1,2004-03-18,IEXX,0,,0,
10803704,16,2004-03-18,RQPR,0,,0,
10803704,2,2004-03-25,SCAN,0,,0,
10803704,4,2004-04-15,L194,0,,0,
10803704,6,2004-06-03,INCD,0,,0,
10803704,7,2004-06-30,C.ADB,0,,0,
10803704,8,2004-07-30,CORRSPEC,0,,0,
10803704,9,2004-07-30,OATHDECL,0,,0,
10803704,10,2004-07-30,ADDFLFEE,0,,0,
10803704,11,2004-09-08,COMP,0,,0,
10803704,12,2004-09-08,OIPE,0,,0,
10803704,13,2004-09-08,ROIPE,0,,0,
10803704,14,2004-09-08,WROIPE,0,,0,
10803704,17,2005-09-01,WIDS,0,,0,
10803704,17.7,2005-09-01,M844,0,,0,
10803704,19,2005-09-01,RCAP,0,,0,
10803704,20,2005-09-01,A.PE,0,,0,
10803704,27,2005-09-01,IDSC,0,,0,
10803704,21,2005-09-12,NPRL,0,,0,
10803704,22,2005-09-15,MNPRL,0,,0,
10897262,47,2008-10-14,DVER,0,,0,
10897262,49,2008-10-14,DOCK,0,,0,
10897262,50,2008-10-14,N/=.,0,,0,
10897262,55,2008-10-20,MN/=.,0,,0,
11122268,29,2008-07-31,CTFR,0,,0,
11122268,30,2008-08-01,MCTFR,0,,0,
11122268,31,2008-09-26,XT/G,0,,0,
11122268,32,2008-09-26,A.NE,0,,0,
11122268,33,2008-09-29,FWDX,0,,0,
11122268,35,2008-10-06,EXIN,0,,0,
11122268,36,2008-10-14,EX.A,0,,0,
11122268,37,2008-10-15,DOCK,0,,0,
11122268,38,2008-10-15,N/=.,0,,0,
11122268,39,2008-10-15,DVER,0,,0,
11122268,41,2008-10-17,MN/=.,0,,0,
11247551,1,2005-10-11,IEXX,0,,0,
11247551,10,2005-10-11,WIDS,0,,0,
11247551,10.7,2005-10-11,M844,0,,0,
11247551,11,2005-10-11,RQPR,0,,0,
11247551,15,2005-10-11,IDSC,0,,0,
11247551,2,2005-10-23,SCAN,0,,0,
11247551,3,2005-10-28,L194,0,,0,
11247551,4,2005-11-02,COMP,0,,0,
11247551,5,2005-11-02,OIPE,0,,0,
11247551,6,2005-11-03,ROIPE,0,,0,
11247551,7,2005-11-03,COMP,0,,0,
11247551,8,2005-11-03,WROIPE,0,,0,
11247551,9,2006-02-02,DOCK,0,,0,
11247551,12,2006-02-07,TSSCOMP,0,,0,
11247551,13,2006-03-22,DOCK,0,,0,
11247551,14,2008-06-03,DOCK,0,,0,
11247551,21,2008-10-13,DVER,0,,0,
11247551,20,2008-10-14,N/=.,0,,0,
11247551,23,2008-10-17,MN/=.,676,PTO,-1,
11674290,1,2007-02-13,IEXX,0,,0,
11674290,2,2007-02-13,SCAN,0,,0,
11674290,3,2007-02-16,L194,0,,0,
11674290,5,2007-03-02,INCD,0,,0,
11674290,6,2007-03-09,EML_NTF,0,,0,
11674290,7,2007-03-10,ELC_RVW,0,,0,
11674290,8,2007-04-02,CORRDRW,0,,0,
11674290,9,2007-04-02,OATHDECL,0,,0,
11674290,10,2007-04-02,ADDFLFEE,0,,0,
11674290,14,2007-04-12,PGPC,0,,0,
11674290,13,2007-04-13,COMP,0,,0,
11674290,15,2007-04-17,OIPE,0,,0,
11674290,16,2007-05-02,TSSCOMP,0,,0,
11674290,17,2007-08-16,PG-ISSUE,0,,0,
11674290,18,2007-09-12,DOCK,0,,0,
11674290,19,2008-02-26,WIDS,0,,0,
11674290,20,2008-02-26,M844,0,,0,
11674290,23,2008-02-26,IDSC,0,,0,
11282093,1,2005-11-17,IEXX,0,,0,
11282093,12,2005-11-17,WIDS,0,,0,
11282093,12.7,2005-11-17,M844,0,,0,
11282093,13,2005-11-17,RCAP,0,,0,
11282093,18,2005-11-17,IDSC,0,,0,
11282093,2,2005-11-26,SCAN,0,,0,
11282093,3,2005-12-12,L198,0,,0,
11282093,4,2005-12-21,L128,0,,0,
11282093,5,2006-01-03,COMP,0,,0,
11282093,6,2006-01-03,OIPE,0,,0,
11282093,7,2006-01-04,ROIPE,0,,0,
11282093,9,2006-01-09,COMP,0,,0,
11282093,10,2006-01-09,WROIPE,0,,0,
11282093,11,2006-02-23,DOCK,0,,0,
11282093,14,2006-02-23,TSSCOMP,0,,0,
11282093,15,2006-04-13,DOCK,0,,0,
11282093,16,2007-05-17,PG-ISSUE,0,,0,
11282093,17,2007-08-29,DOCK,0,,0,
11282093,19,2007-09-17,CTNF,0,,0,
11282093,20,2007-09-24,MCTNF,250,PTO,-1,
11282093,21,2007-09-24,EML_NTF,0,,0,
11282093,22,2007-09-26,ELC_RVW,0,,0,
11282093,23,2007-12-14,A...,0,,0,
11282093,25,2007-12-14,C614,0,,0,
11282093,24,2008-01-04,FWDX,0,,0,
11282093,26,2008-02-24,DOCK,0,,0,
11282093,27,2008-03-20,DOCK,0,,0,
11282093,28,2008-03-27,DOCK,0,,0,
11282093,29,2008-04-04,DOCK,0,,0,
11282093,30,2008-04-28,CTNF,0,,0,
11282093,31,2008-05-05,MCTNF,21,PTO,23,
11282093,32,2008-05-05,EML_NTF,0,,0,
11282093,33,2008-05-06,ELC_RVW,0,,0,
11282093,34,2008-06-16,A...,0,,0,
11282093,35,2008-07-22,FWDX,0,,0,
11282093,40,2008-10-06,DVER,0,,0,
11282093,41,2008-10-16,N/=.,0,,0,
11282093,43,2008-10-21,MN/=.,5,PTO,34,
10954935,72,2008-10-14,EX.A,0,,0,
10954935,73,2008-10-15,N/=.,0,,0,
10954935,74,2008-10-15,DVER,0,,0,
10954935,76,2008-10-17,MN/=.,0,,0,
11078604,22,2006-03-20,IDSC,0,,0,
11078604,11,2006-11-28,TSSCOMP,0,,0,
11078604,12,2007-02-16,TI1050,0,,0,
11078604,13,2007-03-14,DOCK,0,,0,
11078604,18,2007-09-04,CTRS,0,,0,
11078604,19,2007-09-10,MCTRS,486,PTO,-1,
11078604,20,2007-10-11,ELC.,0,,0,
11078604,21,2007-10-22,FWDX,0,,0,
11078604,23,2007-12-20,CTNF,0,,0,
11078604,24,2007-12-21,MCTNF,0,,0,
11078604,25,2008-01-16,A...,0,,0,
11078604,27,2008-02-25,C602,0,,0,
11078604,28,2008-02-25,SA..,40,APPL,25,
11078604,26,2008-03-06,FWDX,0,,0,
11078604,29,2008-03-26,FWDX,0,,0,
11078604,31,2008-05-29,CTFR,0,,0,
11078604,32,2008-06-02,MCTFR,17,PTO,25,
11078604,35,2008-06-24,A.NE,0,,0,
11078604,33,2008-07-14,A.NE,0,,0,
11078604,34,2008-07-20,FWDX,0,,0,
11078604,36,2008-08-04,CTAV,0,,0,
11078604,37,2008-08-07,MCTAV,0,,0,
11078604,38,2008-09-05,BRCE,0,,0,
11078604,40,2008-09-05,RCEX,3,APPL,32,
11078604,44,2008-09-08,C614,0,,0,
11078604,45,2008-09-08,SA..,0,,0,
11078604,39,2008-09-17,ABN9,0,,0,
11078604,41,2008-09-17,FWDX,0,,0,
11078604,43,2008-09-17,FWDX,0,,0,
11078604,46,2008-09-17,FWDX,0,,0,
11078604,48,2008-10-15,N/=.,0,,0,
11078604,49,2008-10-15,DVER,0,,0,
11078604,51,2008-10-17,MN/=.,0,,0,
11595634,19,2007-08-23,PG-ISSUE,0,,0,
11595634,21,2007-09-06,CTRS,0,,0,
11595634,22,2007-09-11,MCTRS,0,,0,
11595634,23,2007-10-09,ELC.,0,,0,
11595634,24,2007-10-14,FWDX,0,,0,
11595634,30,2007-11-29,WIDS,0,,0,
11595634,31,2007-11-29,IDSC,0,,0,
11595634,36,2007-11-29,M844,51,APPL,23,
11595634,37,2007-11-29,RCAP,0,,0,
11595634,32,2007-12-10,CTNF,0,,0,
11595634,33,2007-12-13,MCTNF,0,,0,
11595634,34,2008-01-30,A...,0,,0,
11595634,35,2008-02-23,FWDX,0,,0,
11595634,38,2008-04-26,CTNF,0,,0,
11595634,39,2008-04-30,MCTNF,0,,0,
11595634,40,2008-05-15,EXIN,0,,0,
11595634,41,2008-05-19,MEXIN,0,,0,
11595634,42,2008-07-01,WIDS,0,,0,
11595634,43,2008-07-01,M844,0,,0,
11595634,44,2008-07-01,A...,0,,0,
11595634,47,2008-07-01,IDSC,0,,0,
11595634,45,2008-08-07,FWDX,0,,0,
11595634,46,2008-08-08,DOCK,0,,0,
11595634,52,2008-10-14,EX.A,0,,0,
11595634,53,2008-10-15,DOCK,0,,0,
11595634,54,2008-10-15,N/=.,0,,0,
11595634,55,2008-10-15,DVER,0,,0,
11595634,57,2008-10-17,MN/=.,0,,0,
10305690,67,2008-01-31,EIDS.,52,APPL,64,
10305690,69,2008-01-31,IDSC,0,,0,
10305690,72,2008-03-06,N/=.,0,,0,
10305690,73,2008-03-06,DVER,0,,0,
10305690,75,2008-03-11,MN/=.,0,,0,
10305690,79,2008-03-19,CRFT,0,,0,
10305690,77,2008-03-20,IFEE,0,,0,
10305690,80,2008-03-20,N084,0,,0,
10305690,78,2008-03-24,R1021,0,,0,
10305690,81,2008-03-28,PILS,0,,0,
10305690,82,2008-04-24,BRCE,0,,0,
10305690,83,2008-04-24,PET.,0,,0,
10305690,84,2008-04-24,WIDS,0,,0,
10305690,87,2008-04-24,M844,0,,0,
10305690,89,2008-04-24,RCEX,0,,0,
10305690,91,2008-04-24,M844,0,,0,
10305690,98,2008-04-24,IDSC,0,,0,
10305690,85,2008-04-25,P006,0,,0,
10305690,86,2008-04-25,MP006,0,,0,
10305690,88,2008-04-30,ABN9,0,,0,
10305690,90,2008-04-30,FWDX,0,,0,
10305690,92,2008-04-30,AISP,0,,0,
10305690,93,2008-05-01,MAISP,0,,0,
10305690,94,2008-05-08,CRFT,0,,0,
10305690,96,2008-08-08,EOSP,0,,0,
10305690,97,2008-08-08,FWDX,0,,0,
10305690,100,2008-10-15,N/=.,0,,0,
10305690,101,2008-10-15,DVER,0,,0,
10305690,103,2008-10-17,MN/=.,54,PTO,89,
11876164,1,2007-10-22,IEXX,0,,0,
11876164,2,2007-10-22,WIDS,0,,0,
11876164,6,2007-10-22,NPRQ,0,,0,
11876164,10,2007-10-22,A.PE,0,,0,
11876164,11,2007-10-22,M844,0,,0,
11876164,15,2007-10-22,IDSC,0,,0,
11876164,3,2007-10-26,SCAN,0,,0,
11876164,5,2007-11-05,L194,0,,0,
11876164,7,2007-11-20,FLRCPT.O,0,,0,
11876164,8,2007-11-20,PGPC,0,,0,
11175690,31,2006-10-24,FWDX,0,,0,
11175690,34,2006-10-25,P574,0,,0,
11175690,35,2006-10-25,P574,0,,0,
11175690,36,2006-11-13,CTAV,0,,0,
11175690,37,2006-11-20,MCTAV,0,,0,
11175690,38,2007-01-16,BRCE,0,,0,
11175690,39,2007-01-16,XT/G,0,,0,
11175690,41,2007-01-16,RCEX,0,,0,
11175690,40,2007-01-23,ABN9,0,,0,
11175690,42,2007-01-23,FWDX,0,,0,
11175690,44,2007-01-23,FWDX,0,,0,
11175690,46,2007-02-16,CTFR,0,,0,
11175690,47,2007-02-22,MCTFR,0,,0,
11175690,48,2007-04-27,BRCE,0,,0,
11175690,49,2007-04-27,WIDS,0,,0,
11175690,49.7,2007-04-27,M844,0,,0,
11175690,51,2007-04-27,RCEX,0,,0,
11175690,55,2007-04-27,IDSC,0,,0,
11175690,50,2007-05-04,ABN9,0,,0,
11175690,52,2007-05-04,FWDX,0,,0,
11175690,54,2007-05-04,FWDX,0,,0,
11175690,56,2007-07-09,CTNF,0,,0,
11175690,57,2007-07-11,MCTNF,0,,0,
11175690,58,2007-10-10,A...,0,,0,
11175690,59,2007-10-22,FWDX,0,,0,
11175690,60,2007-12-26,CTNF,0,,0,
11175690,61,2007-12-31,MCTNF,0,,0,
11175690,63,2008-03-28,A...,0,,0,
11175690,64,2008-05-19,FWDX,0,,0,
11175690,67,2008-07-24,CTFR,0,,0,
11175690,68,2008-07-28,MCTFR,0,,0,
11175690,69,2008-09-24,A.NE,0,,0,
11175690,70,2008-09-30,FWDX,0,,0,
11175690,72,2008-10-10,EX.A,0,,0,
11175690,73,2008-10-10,DOCK,0,,0,
11175690,74,2008-10-10,N/=.,0,,0,
11175690,75,2008-10-10,DVER,0,,0,
11175690,81,2008-10-17,MN/=.,0,,0,
10645326,19,2004-03-12,WROIPE,0,,0,
10645326,20,2004-03-12,ROIPE,0,,0,
10645326,21,2004-03-12,WROIPE,0,,0,
10645326,22,2004-05-10,DOCK,0,,0,
10645326,24,2004-05-10,RCAP,0,,0,
10645326,25,2004-05-10,TSSCOMP,0,,0,
10645326,26,2005-10-21,DOCK,0,,0,
10645326,28,2006-03-04,CTNF,0,,0,
10645326,29,2006-03-07,MCTNF,502,PTO,-1,
10645326,30,2006-05-09,DOCK,0,,0,
10645326,32,2006-09-07,DIST,0,,0,
10645326,33,2006-09-07,XT/G,0,,0,
10645326,34,2006-09-07,A...,92,APPL,29,
10645326,31,2006-09-30,P574,0,,0,
10645326,35,2007-04-02,FWDX,0,,0,
10645326,36,2007-04-02,CTFR,0,,0,
10645326,37,2007-04-09,MCTFR,92,PTO,34,
10645326,38,2007-08-09,BRCE,0,,0,
10645326,41,2007-08-09,XT/G,0,,0,
10645326,43,2007-08-09,RCEX,31,APPL,37,
10645326,40,2007-08-14,DOCK,0,,0,
10645326,42,2007-08-15,ABN9,0,,0,
10645326,44,2007-08-15,FWDX,0,,0,
10645326,46,2007-08-15,FWDX,0,,0,
10645326,47,2007-08-20,CTNF,0,,0,
10645326,48,2007-08-23,MCTNF,0,,0,
10645326,50,2008-01-23,XT/G,0,,0,
10645326,51,2008-01-23,A...,61,APPL,48,
10645326,53,2008-01-23,AF/D,0,,0,
10645326,52,2008-03-12,FWDX,0,,0,
10645326,54,2008-03-12,CTFR,0,,0,
10645326,55,2008-03-18,MCTFR,0,,0,
10645326,56,2008-06-16,EXIN,0,,0,
10645326,57,2008-06-18,MEXIN,0,,0,
10645326,59,2008-09-12,XT/G,0,,0,
10645326,76,2008-09-12,A.NE,0,,0,
10645326,78,2008-09-12,AF/D,0,,0,
10645326,58,2008-09-17,BRCE,0,,0,
10645326,80,2008-09-17,RCEX,91,APPL,55,
10645326,77,2008-09-22,FWDX,0,,0,
10645326,79,2008-09-22,ABN9,0,,0,
10645326,81,2008-09-22,FWDX,0,,0,
10645326,83,2008-09-22,FWDX,0,,0,
11739730,10,2007-09-20,OIPE,0,,0,
11739730,13,2007-10-20,TSSCOMP,0,,0,
11739730,14,2007-12-13,PG-ISSUE,0,,0,
11739730,16,2008-04-16,TI1050,0,,0,
11739730,17,2008-06-04,DOCK,0,,0,
11739730,18,2008-06-07,DOCK,0,,0,
11739730,19,2008-06-24,WIDS,0,,0,
11739730,20,2008-06-24,IDSC,0,,0,
11739730,24,2008-06-24,PET.,0,,0,
11739730,27,2008-06-24,A.PE,0,,0,
11739730,28,2008-06-24,EIDS.,0,,0,
11739730,22,2008-07-17,CTEQ,0,,0,
11739730,23,2008-07-18,MCTEQ,23,PTO,-1,
11739730,25,2008-07-25,PTDE,0,,0,
11739730,26,2008-07-25,MPTDE,0,,0,
11739730,30,2008-07-31,A.QU,0,,0,
11739730,31,2008-09-24,FWDX,0,,0,
11739730,36,2008-10-11,DVER,0,,0,
11739730,38,2008-10-11,N/=.,0,,0,
11739730,39,2008-10-15,MN/=.,0,,0,
11272737,8.7,2006-10-06,M844,0,,0,
11272737,23,2006-10-06,IDSC,0,,0,
11272737,9,2006-12-13,TSSCOMP,0,,0,
11272737,10,2007-02-06,TI1050,0,,0,
11272737,11,2007-02-09,TI1050,0,,0,
11272737,12,2007-04-12,TI1050,0,,0,
11272737,14,2007-04-23,WIDS,0,,0,
11272737,14.7,2007-04-23,M844,0,,0,
11272737,15,2007-04-23,RCAP,0,,0,
11272737,22,2007-04-23,IDSC,0,,0,
11272737,13,2007-04-29,DOCK,0,,0,
11272737,16,2007-05-17,PG-ISSUE,0,,0,
11272737,17,2007-12-11,WIDS,0,,0,
11272737,18,2007-12-11,M844,0,,0,
11272737,19,2007-12-11,RCAP,0,,0,
11272737,21,2007-12-11,IDSC,0,,0,
11272737,20,2008-02-05,DOCK,0,,0,
11272737,28,2008-03-28,CTNF,0,,0,
11272737,29,2008-03-31,MCTNF,441,PTO,-1,
11272737,30,2008-05-27,DOCK,0,,0,
11272737,32,2008-07-31,XT/G,0,,0,
11272737,33,2008-07-31,A...,31,APPL,29,
11272737,37,2008-08-02,EXIN,0,,0,
11272737,34,2008-08-25,FWDX,0,,0,
11272737,35,2008-09-12,DOCK,0,,0,
11272737,38,2008-10-07,EX.A,0,,0,
11272737,39,2008-10-07,N/=.,0,,0,
11272737,40,2008-10-08,DVER,0,,0,
11272737,42,2008-10-15,MN/=.,0,,0,
10144176,1,2002-05-13,IEXX,0,,0,
10144176,9,2002-05-13,RQPR,0,,0,
10144176,2,2002-05-22,SCAN,0,,0,
10144176,3,2002-06-17,INCD,0,,0,
10144176,4,2002-07-24,OATHDECL,0,,0,
10144176,5,2002-07-24,ADDFLFEE,0,,0,
10144176,6,2002-08-16,COMP,0,,0,
10144176,7,2002-08-19,OIPE,0,,0,
10144176,8,2002-09-11,DOCK,0,,0,
10144176,10,2004-08-16,C.ADB,0,,0,
10144176,11,2004-09-22,DOCK,0,,0,
10144176,12,2004-10-06,TSSCOMP,0,,0,
10144176,13,2005-01-26,DOCK,0,,0,
10144176,14,2006-01-19,DOCK,0,,0,
10144176,15,2006-03-21,DOCK,0,,0,
10144176,16,2006-03-23,DOCK,0,,0,
10144176,17,2006-05-09,CTRS,0,,0,
10144176,18,2006-05-10,MCTRS,1032,PTO,-1,
10144176,19,2006-06-15,ELC.,0,,0,
10144176,20,2006-06-21,FWDX,0,,0,
10144176,21,2006-07-24,CTNF,0,,0,
10144176,22,2006-07-25,MCTNF,0,,0,
