application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
11609660,23,2008-11-21,A...,0,,0,
11609660,24,2008-12-29,FWDX,0,,0,
11609660,26,2009-03-08,DVER,0,,0,
11609660,27,2009-03-08,N/=.,0,,0,
11609660,29,2009-03-10,MN/=.,0,,0,
11866838,1,2007-10-03,IEXX,0,,0,
11866838,2,2007-10-03,SCAN,0,,0,
11866838,3,2007-10-10,L194,0,,0,
11866838,6,2007-10-19,WIDS,0,,0,
11866838,13,2007-10-19,W/OA,0,,0,
11866838,26,2007-10-19,EIDS.,0,,0,
11866838,36,2007-10-19,IDSC,0,,0,
11866838,4,2007-10-22,INCD,0,,0,
11866838,5,2007-10-22,FLRCPT.O,0,,0,
11866838,7,2007-10-22,EML_NTF,0,,0,
11866838,8,2007-10-22,EML_NTR,0,,0,
11866838,10,2007-10-23,CORRSPEC,0,,0,
11582953,6,2006-11-06,OIPE,0,,0,
11582953,10,2006-12-22,TSSCOMP,0,,0,
11582953,11,2007-02-15,PG-ISSUE,0,,0,
11582953,12,2007-09-27,DOCK,0,,0,
11582953,14,2007-10-01,CTNF,0,,0,
11582953,15,2007-10-05,MCTNF,0,,0,
11582953,16,2008-01-07,A...,2,APPL,15,
11582953,17,2008-02-01,FWDX,0,,0,
11582953,18,2008-04-14,CTNF,0,,0,
11582953,19,2008-04-17,MCTNF,0,,0,
11582953,21,2008-07-17,WIDS,0,,0,
11582953,22,2008-07-17,A...,0,,0,
11582953,24,2008-07-17,M844,0,APPL,22,
11582953,25,2008-07-17,IDSC,0,,0,
11582953,23,2008-07-31,FWDX,0,,0,
11582953,30,2008-10-14,CTFR,0,,0,
11582953,31,2008-10-23,MCTFR,0,,0,
11582953,32,2009-01-15,EXIN,0,,0,
11582953,33,2009-01-21,MEXIN,0,,0,
11582953,34,2009-01-23,A.NE,0,,0,
11582953,35,2009-02-09,FWDX,0,,0,
11582953,36,2009-02-20,CTAV,0,,0,
11582953,39,2009-02-25,MCTAV,0,,0,
11582953,41,2009-03-06,EX.A,0,,0,
11582953,42,2009-03-06,N/=.,0,,0,
11582953,43,2009-03-06,DVER,0,,0,
11582953,45,2009-03-10,MN/=.,0,,0,
11540908,1,2006-09-29,IEXX,0,,0,
11540908,6,2006-09-29,WIDS,0,,0,
11540908,6.7,2006-09-29,M844,0,,0,
11540908,7,2006-09-29,RCAP,0,,0,
11540908,18,2006-09-29,IDSC,0,,0,
11540908,2,2006-10-07,SCAN,0,,0,
11540908,3,2006-10-13,L194,0,,0,
11540908,4,2006-10-24,COMP,0,,0,
11540908,5,2006-10-24,OIPE,0,,0,
11540908,8,2006-10-31,TSSCOMP,0,,0,
11540908,9,2007-02-01,PG-ISSUE,0,,0,
11540908,10,2007-08-06,WIDS,0,,0,
11147703,8,2005-07-01,COMP,0,,0,
11147703,10,2005-07-01,ROIPE,0,,0,
11147703,12,2005-07-01,WROIPE,0,,0,
11147703,11,2005-07-05,COMP,0,,0,
11147703,14,2006-12-07,TSSCOMP,0,,0,
11147703,15,2007-08-27,TI1050,0,,0,
11147703,16,2007-12-20,DOCK,0,,0,
11147703,17,2008-01-08,DOCK,0,,0,
11147703,20,2008-02-15,CTNF,0,,0,
11147703,21,2008-02-20,MCTNF,561,PTO,-1,
11147703,22,2008-05-15,A...,0,,0,
11147703,23,2008-05-21,FWDX,0,,0,
11147703,27,2008-08-12,DOCK,0,,0,
11147703,32,2008-09-19,CTNF,0,,0,
11147703,33,2008-09-22,MCTNF,7,PTO,22,
11147703,34,2008-10-06,DOCK,0,,0,
11147703,35,2008-12-22,A...,0,,0,
11147703,36,2009-01-14,FWDX,0,,0,
11147703,40,2009-03-09,EX.A,0,,0,
11147703,41,2009-03-09,N/=.,0,,0,
11147703,42,2009-03-09,DVER,0,,0,
11147703,44,2009-03-10,MN/=.,0,,0,
11489595,1,2006-07-20,IEXX,0,,0,
11489595,9,2006-07-20,WIDS,0,,0,
11489595,9.7,2006-07-20,M844,0,,0,
11489595,10,2006-07-20,RQPR,0,,0,
11489595,28,2006-07-20,IDSC,0,,0,
11489595,2,2006-07-25,SCAN,0,,0,
11489595,3,2006-07-29,L194,0,,0,
11489595,4,2006-08-08,COMP,0,,0,
11489595,5,2006-08-08,OIPE,0,,0,
11489595,6,2006-08-08,ROIPE,0,,0,
11489595,7,2006-08-08,COMP,0,,0,
11489595,8,2006-08-08,WROIPE,0,,0,
11489595,11,2006-11-01,WIDS,0,,0,
11489595,11.7,2006-11-01,M844,0,,0,
11489595,27,2006-11-01,IDSC,0,,0,
11489595,12,2006-11-06,TSSCOMP,0,,0,
11489595,13,2007-01-12,WIDS,0,,0,
11489595,13.7,2007-01-12,M844,0,,0,
11489595,26,2007-01-12,IDSC,0,,0,
11489595,15,2007-01-25,EML_NTF,0,,0,
11489595,14,2007-01-26,PG-ISSUE,0,,0,
11489595,16,2007-01-27,ELC_RVW,0,,0,
11615934,32,2008-09-11,EXIN,0,,0,
11615934,37,2008-09-15,C614,0,,0,
11615934,38,2008-09-15,A...,0,,0,
11615934,40,2008-09-15,DIST,0,,0,
11615934,33,2008-09-17,MEXIN,0,,0,
11615934,34,2008-09-17,EML_NTR,0,,0,
11615934,35,2008-09-19,PA..,0,,0,
11615934,36,2008-09-19,EML_NTR,0,,0,
11615934,39,2008-10-07,FWDX,0,,0,
11615934,41,2008-10-15,P574,0,,0,
11615934,42,2008-11-17,WIDS,0,,0,
11615934,44,2008-11-17,M844,63,APPL,38,
11615934,46,2008-11-17,IDSC,0,,0,
11615934,43,2008-12-08,C.AD,0,,0,
11615934,45,2008-12-16,PA..,0,,0,
11615934,47,2009-01-05,CTFR,0,,0,
11615934,48,2009-01-08,MCTFR,0,,0,
11615934,53,2009-02-13,A.NE,0,,0,
11615934,54,2009-02-19,FWDX,0,,0,
11615934,56,2009-03-02,EX.A,0,,0,
11615934,57,2009-03-02,N/=.,0,,0,
11615934,58,2009-03-02,DVER,0,,0,
11615934,60,2009-03-10,MN/=.,0,,0,
11279095,1,2006-04-07,IEXX,0,,0,
11279095,10,2006-04-07,WIDS,0,,0,
11279095,10.7,2006-04-07,M844,0,,0,
11279095,20,2006-04-07,IDSC,0,,0,
11279095,2,2006-04-10,SCAN,0,,0,
11279095,3,2006-04-13,L198,0,,0,
11279095,4,2006-04-16,L128,0,,0,
11279095,6,2006-04-18,OIPE,0,,0,
11279095,7,2006-04-18,ROIPE,0,,0,
11279095,9,2006-04-18,WROIPE,0,,0,
11279095,5,2006-04-19,COMP,0,,0,
11279095,8,2006-04-19,COMP,0,,0,
11279095,11,2006-06-05,DOCK,0,,0,
11279095,12,2006-06-05,TSSCOMP,0,,0,
11279095,13,2006-10-12,DOCK,0,,0,
11279095,14,2007-09-05,DOCK,0,,0,
11279095,15,2007-10-05,DOCK,0,,0,
11279095,16,2007-10-11,PG-ISSUE,0,,0,
11279095,21,2008-05-27,CTNF,0,,0,
11279095,22,2008-05-29,MCTNF,357,PTO,-1,
11279095,23,2008-08-27,WIDS,0,,0,
11279095,24,2008-08-27,A...,0,,0,
11279095,26,2008-08-27,AF/D,0,,0,
11279095,27,2008-08-27,EIDS.,0,APPL,24,
11279095,30,2008-08-27,IDSC,0,,0,
11279095,25,2008-09-25,FWDX,0,,0,
