application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
12154097,13,2008-11-10,FLRCPT.C,0,,0,
12154097,14,2008-12-04,PG-ISSUE,0,,0,
12154097,16,2008-12-08,CTNF,0,,0,
12154097,17,2008-12-11,MCTNF,0,,0,
12154097,18,2009-03-11,A...,0,,0,
12154097,19,2009-04-20,FWDX,0,,0,
12154097,24,2009-05-16,N/=.,0,,0,
12154097,25,2009-05-16,DVER,0,,0,
12154097,27,2009-05-18,MN/=.,0,,0,
11712080,37,2009-02-25,A...,0,,0,
11712080,38,2009-03-10,FWDX,0,,0,
11712080,40,2009-05-09,DVER,0,,0,
11712080,42,2009-05-16,N/=.,0,,0,
11712080,43,2009-05-18,MN/=.,0,,0,
11870025,1,2007-10-10,IEXX,0,,0,
12193951,6,2008-09-11,FLRCPT.O,0,,0,
12193951,7,2008-09-11,CPAP,0,,0,
12193951,8,2008-09-29,CORRDRW,0,,0,
12193951,9,2008-09-29,ADDFLFEE,0,,0,
12193951,10,2008-10-20,FLRCPT.U,0,,0,
12193951,11,2008-10-20,PGPC,0,,0,
12193951,12,2008-11-06,OIPE,0,,0,
12193951,13,2009-01-29,PG-ISSUE,0,,0,
12193951,14,2009-03-06,TSSCOMP,0,,0,
12193951,15,2009-03-28,DOCK,0,,0,
12193951,21,2009-05-15,EX.A,0,,0,
12193951,22,2009-05-15,N/=.,0,,0,
12193951,23,2009-05-15,DVER,0,,0,
12193951,25,2009-05-18,MN/=.,0,,0,
11434111,1,2006-05-16,IEXX,0,,0,
11434111,9,2006-05-16,WIDS,0,,0,
11434111,9.7,2006-05-16,M844,0,,0,
11434111,10,2006-05-16,RQPR,0,,0,
11434111,18,2006-05-16,IDSC,0,,0,
11434111,2,2006-05-21,SCAN,0,,0,
11434111,3,2006-05-30,L194,0,,0,
11434111,5,2006-06-06,OIPE,0,,0,
11434111,6,2006-06-06,ROIPE,0,,0,
11434111,8,2006-06-06,WROIPE,0,,0,
11434111,4,2006-06-07,COMP,0,,0,
11434111,7,2006-06-07,COMP,0,,0,
11434111,11,2007-01-05,TSSCOMP,0,,0,
11434111,12,2007-02-22,TI1050,0,,0,
11434111,13,2007-03-29,TI1050,0,,0,
11434111,14,2007-05-17,TI1050,0,,0,
11434111,15,2007-07-16,TI1054,0,,0,
11434111,16,2007-08-05,DOCK,0,,0,
11434111,17,2007-10-12,DOCK,0,,0,
11434111,19,2008-01-07,CTNF,0,,0,
11434111,20,2008-01-10,MCTNF,178,PTO,-1,
11434111,21,2008-06-09,XT/G,0,,0,
11434111,22,2008-06-09,A...,60,APPL,20,
11434111,23,2008-07-16,FWDX,0,,0,
11434111,24,2008-09-15,CTFR,0,,0,
11434111,25,2008-09-17,MCTFR,0,,0,
11434111,26,2008-12-17,WIDS,0,,0,
11434111,27,2008-12-17,A.NE,0,,0,
11434111,29,2008-12-17,IDSC,0,,0,
11434111,30,2008-12-17,M844,0,,0,
11434111,28,2009-01-10,FWDX,0,,0,
11434111,31,2009-01-21,CTAV,0,,0,
11434111,32,2009-01-26,MCTAV,0,,0,
11434111,33,2009-03-06,BRCE,0,,0,
11434111,34,2009-03-06,XT/G,0,,0,
11434111,36,2009-03-06,RCEX,79,APPL,25,
11434111,35,2009-03-16,ABN9,0,,0,
11434111,37,2009-03-16,FWDX,0,,0,
11434111,39,2009-03-16,FWDX,0,,0,
11148838,1,2005-06-09,IEXX,0,,0,
11148838,2,2005-06-17,SCAN,0,,0,
10922635,1,2004-08-20,IEXX,0,,0,
10922635,2,2004-09-10,SCAN,0,,0,
10922635,4,2004-09-27,L198,0,,0,
10922635,5,2004-09-27,L128,0,,0,
10922635,7,2004-10-15,OIPE,0,,0,
10922635,8,2004-10-15,ROIPE,0,,0,
