application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
11349747,23,2008-08-18,CTFR,0,,0,
11349747,24,2008-08-21,MCTFR,12,PTO,21,
11349747,25,2008-11-21,BRCE,0,,0,
11349747,27,2008-11-21,RCEX,0,,0,
11349747,31,2008-11-21,LET.,0,,0,
11349747,26,2008-12-01,ABN9,0,,0,
11349747,28,2008-12-01,FWDX,0,,0,
11349747,30,2008-12-01,FWDX,0,,0,
11349747,32,2008-12-22,CTNF,0,,0,
11349747,33,2008-12-24,MCTNF,0,,0,
11349747,34,2009-01-30,WIDS,0,,0,
11349747,35,2009-01-30,M844,0,,0,
10941208,21.7,2006-06-21,EIDS.,0,,0,
10941208,22,2006-06-21,WIDS,0,,0,
10941208,22.7,2006-06-21,EIDS.,0,,0,
10941208,23,2006-06-21,A...,96,APPL,17,
10941208,26,2006-06-21,IDSC,0,,0,
10941208,27,2006-06-21,IDSC,0,,0,
10941208,28,2006-06-21,IDSC,0,,0,
10941208,24,2006-06-22,FWDX,0,,0,
10941208,25,2006-11-01,DOCK,0,,0,
10941208,29,2006-11-27,CTFR,0,,0,
10941208,30,2006-11-30,MCTFR,40,PTO,23,
10941208,31,2007-01-19,EXIN,0,,0,
10941208,33,2007-01-24,A.NE,0,,0,
10941208,32,2007-01-30,MEXIN,0,,0,
10941208,34,2007-01-31,FWDX,0,,0,
10941208,35,2007-01-31,C.AD,0,,0,
10941208,36,2007-02-05,CTAV,0,,0,
10941208,37,2007-02-07,MCTAV,0,,0,
10941208,38,2007-02-26,BRCE,0,,0,
10941208,40,2007-02-26,RCEX,0,,0,
10941208,39,2007-03-09,ABN9,0,,0,
10941208,41,2007-03-09,FWDX,0,,0,
10941208,43,2007-03-09,FWDX,0,,0,
10941208,44,2007-04-27,CTNF,0,,0,
10941208,45,2007-05-01,MCTNF,0,,0,
10941208,48,2007-07-31,EXIN,0,,0,
10941208,49,2007-08-01,A...,0,,0,
10941208,50,2007-08-05,FWDX,0,,0,
10941208,51,2007-10-15,CTFR,0,,0,
10941208,52,2007-10-18,MCTFR,0,,0,
10941208,53,2008-01-16,BRCE,0,,0,
10941208,55,2008-01-16,RCEX,0,,0,
10941208,54,2008-01-19,ABN9,0,,0,
10941208,56,2008-01-19,FWDX,0,,0,
10941208,58,2008-01-19,FWDX,0,,0,
10941208,59,2008-02-27,CTNF,0,,0,
10941208,60,2008-03-06,MCTNF,0,,0,
10941208,61,2008-06-24,XT/G,0,,0,
10941208,62,2008-06-24,A...,18,APPL,60,
10941208,63,2008-07-14,FWDX,0,,0,
10941208,64,2008-09-18,CTFR,0,,0,
10941208,65,2008-09-22,MCTFR,0,,0,
10941208,66,2008-11-13,BRCE,0,,0,
10941208,68,2008-11-13,RCEX,0,,0,
11639383,1,2006-12-14,IEXX,0,,0,
11639383,2,2006-12-21,SCAN,0,,0,
11639383,4,2006-12-28,L198,0,,0,
11639383,5,2006-12-29,L128,0,,0,
11639383,7,2007-01-22,INCD,0,,0,
11639383,8,2007-03-22,OATHDECL,0,,0,
11639383,9,2007-03-22,FLFEE,0,,0,
11639383,10,2007-03-29,COMP,0,,0,
11639383,11,2007-03-29,PGPC,0,,0,
11639383,12,2007-04-17,OIPE,0,,0,
11639383,13,2007-04-19,TSSCOMP,0,,0,
11639383,14,2007-06-14,DOCK,0,,0,
11639383,15,2007-07-05,PG-ISSUE,0,,0,
11639383,16,2008-03-12,DOCK,0,,0,
11639383,17,2008-12-10,DOCK,0,,0,
11639383,20,2008-12-22,CTNF,0,,0,
11639383,21,2008-12-23,MCTNF,313,PTO,-1,
11639383,22,2009-03-23,A...,0,,0,
11639383,23,2009-05-08,FWDX,0,,0,
11639383,25,2009-06-18,EX.A,0,,0,
11639383,26,2009-06-18,DOCK,0,,0,
11639383,27,2009-06-18,N/=.,0,,0,
11639383,28,2009-06-18,DVER,0,,0,
11639383,30,2009-06-19,MN/=.,0,,0,
11689224,1,2007-03-21,IEXX,0,,0,
11689224,2,2007-04-08,SCAN,0,,0,
11689224,3,2007-04-13,L194,0,,0,
11689224,4,2007-04-18,INCD,0,,0,
11689224,5,2007-06-18,WIDS,0,,0,
11689224,6,2007-06-18,WIDS,0,,0,
11689224,7,2007-06-18,OATHDECL,0,,0,
11689224,11,2007-06-18,PDREQUST,0,,0,
11689224,12,2007-06-18,FLFEE,0,,0,
11689224,16,2007-06-18,M844,0,,0,
11689224,17,2007-06-18,RCAP,0,,0,
11689224,32,2007-06-18,IDSC,0,,0,
11689224,33,2007-06-18,IDSC,0,,0,
11689224,13,2007-08-10,COMP,0,,0,
12244560,23,2008-10-02,IDSC,0,,0,
12244560,3,2008-10-15,SCAN,0,,0,
12244560,4,2008-10-17,L194,0,,0,
12244560,7,2008-10-31,INCD,0,,0,
12244560,8,2008-10-31,FLRCPT.O,0,,0,
12244560,9,2008-12-31,TRNSPEC,0,,0,
12244560,10,2008-12-31,TRNCLAIM,0,,0,
12244560,11,2008-12-31,OATHDECL,0,,0,
12244560,12,2008-12-31,ADDFLFEE,0,,0,
12244560,13,2009-01-08,FLRCPT.U,0,,0,
12244560,14,2009-01-08,PGPC,0,,0,
12244560,15,2009-01-28,OIPE,0,,0,
12244560,16,2009-02-05,FLRCPT.C,0,,0,
12244560,19,2009-03-23,TSSCOMP,0,,0,
12244560,20,2009-04-16,PG-ISSUE,0,,0,
12244560,21,2009-04-20,DOCK,0,,0,
12244560,22,2009-06-04,DOCK,0,,0,
12244560,28,2009-06-18,DVER,0,,0,
12244560,30,2009-06-18,N/=.,0,,0,
12244560,31,2009-06-19,MN/=.,0,,0,
11889223,1,2007-08-09,IEXX,0,,0,
11889223,2,2007-08-09,WIDS,0,,0,
11889223,16,2007-08-09,A.PE,0,,0,
11889223,17,2007-08-09,M844,0,,0,
11889223,24,2007-08-09,IDSC,0,,0,
11889223,3,2007-08-19,SCAN,0,,0,
11889223,4,2007-08-21,L194,0,,0,
11889223,6,2007-08-28,INCD,0,,0,
11889223,7,2007-11-28,CORRDRW,0,,0,
11889223,8,2007-11-28,OATHDECL,0,,0,
11889223,9,2007-11-28,FLFEE,0,,0,
11889223,19,2007-11-28,RQPR,0,,0,
11889223,21,2007-11-28,C602,0,,0,
11889223,22,2007-11-28,C614,0,,0,
11889223,11,2007-12-13,PGPC,0,,0,
11889223,10,2007-12-14,FLRCPT.U,0,,0,
11889223,12,2007-12-14,EML_NTR,0,,0,
11889223,13,2008-01-07,OIPE,0,,0,
11889223,14,2008-03-20,PG-ISSUE,0,,0,
11889223,15,2008-03-22,EML_NTR,0,,0,
11889223,20,2008-03-22,TSSCOMP,0,,0,
11889223,23,2008-04-09,DOCK,0,,0,
11889223,25,2008-06-05,CTNF,0,,0,
11889223,26,2008-06-09,MCTNF,0,,0,
11889223,27,2008-06-09,EML_NTF,0,,0,
11889223,28,2008-06-10,ELC_RVW,0,,0,
11889223,29,2008-08-15,A...,0,,0,
11889223,30,2008-09-30,FWDX,0,,0,
11889223,31,2008-11-20,CTFR,0,,0,
11889223,32,2008-11-26,MCTFR,0,,0,
11889223,33,2008-11-26,EML_NTF,0,,0,
11889223,34,2008-11-26,ELC_RVW,0,,0,
11889223,35,2009-03-26,XT/G,0,,0,
11889223,36,2009-03-26,A.NE,0,,0,
11889223,37,2009-04-01,FWDX,0,,0,
11889223,38,2009-04-07,CTAV,0,,0,
11385970,18,2007-05-07,DOCK,0,,0,
11385970,19,2007-05-09,DOCK,0,,0,
11385970,20,2007-05-23,WIDS,0,,0,
11385970,21,2007-05-23,M844,0,,0,
11385970,22,2007-05-23,RCAP,0,,0,
11385970,32,2007-05-23,IDSC,0,,0,
11385970,23,2007-10-09,DOCK,0,,0,
11385970,24,2008-06-19,CTRS,0,,0,
11385970,25,2008-06-23,MCTRS,399,PTO,-1,
11385970,26,2008-06-30,ELC.,0,,0,
11385970,27,2008-08-06,FWDX,0,,0,
11385970,33,2008-08-23,CTNF,0,,0,
11385970,34,2008-08-25,MCTNF,0,,0,
11385970,35,2009-02-20,XT/G,0,,0,
11385970,36,2009-02-20,A...,87,APPL,34,
11385970,37,2009-04-04,FWDX,0,,0,
11385970,39,2009-06-16,DVER,0,,0,
11385970,41,2009-06-18,L130,0,,0,
11385970,42,2009-06-18,N/=.,0,,0,
11385970,43,2009-06-19,MN/=.,0,,0,
10930413,1,2004-08-31,IEXX,0,,0,
10930413,14,2004-08-31,RQPR,0,,0,
10930413,15,2004-08-31,WIDS,0,,0,
10930413,15.7,2004-08-31,M844,0,,0,
10930413,16,2004-08-31,RCAP,0,,0,
10930413,26,2004-08-31,IDSC,0,,0,
10930413,2,2004-09-30,SCAN,0,,0,
10930413,4,2004-10-18,L198,0,,0,
10930413,5,2004-10-23,L128,0,,0,
10930413,7,2004-11-03,OIPE,0,,0,
10930413,6,2004-11-04,COMP,0,,0,
10930413,8,2004-11-04,ROIPE,0,,0,
10930413,9,2004-11-04,W/OA,0,,0,
10930413,10,2004-11-04,COMP,0,,0,
10930413,11,2004-11-04,WROIPE,0,,0,
10930413,12,2004-11-04,ROIPE,0,,0,
10930413,13,2004-11-04,WROIPE,0,,0,
10930413,17,2005-04-06,DOCK,0,,0,
10930413,18,2005-04-06,TSSCOMP,0,,0,
10930413,19,2005-05-05,DOCK,0,,0,
10397679,1,2003-03-25,IEXX,0,,0,
10397679,2,2003-04-11,SCAN,0,,0,
10397679,3,2003-05-19,INCD,0,,0,
10397679,4,2003-07-03,OATHDECL,0,,0,
10397679,5,2003-07-03,ADDFLFEE,0,,0,
10397679,7,2003-10-09,OIPE,0,,0,
10397679,6,2003-10-10,COMP,0,,0,
10397679,9,2003-10-20,RCAP,0,,0,
10397679,12,2003-10-20,WIDS,0,,0,
10397679,12.7,2003-10-20,M844,0,,0,
10397679,19,2003-10-20,IDSC,0,,0,
10397679,10,2004-06-23,TI1050,0,,0,
10397679,11,2004-12-08,DOCK,0,,0,
10397679,13,2004-12-08,TSSCOMP,0,,0,
10397679,15,2005-02-14,LET.,0,,0,
10397679,14,2005-03-21,C.AD,0,,0,
10397679,16,2005-11-01,DOCK,0,,0,
12131408,8,2008-09-03,TSSCOMP,0,,0,
12131408,9,2008-09-10,DOCK,0,,0,
12131408,13,2009-06-18,EX.A,0,,0,
12131408,14,2009-06-18,N/=.,0,,0,
12131408,15,2009-06-18,DVER,0,,0,
12131408,17,2009-06-19,MN/=.,0,,0,
11095318,42,2009-06-19,MN/=.,0,,0,
11660350,24,2007-11-29,PG-ISSUE,0,,0,
11660350,25,2008-02-26,DOCK,0,,0,
11660350,26,2009-01-27,DOCK,0,,0,
11660350,32,2009-06-18,DVER,0,,0,
11660350,33,2009-06-18,N/=.,0,,0,
11660350,35,2009-06-19,MN/=.,302,PTO,15,
11625015,1,2007-01-19,IEXX,0,,0,
11625015,2,2007-01-19,SCAN,0,,0,
11625015,6,2007-01-19,WIDS,0,,0,
11625015,6.7,2007-01-19,EIDS.,0,,0,
11625015,16,2007-01-19,IDSC,0,,0,
11625015,3,2007-01-31,L194,0,,0,
11625015,4,2007-02-09,COMP,0,,0,
11625015,5,2007-02-09,OIPE,0,,0,
11625015,7,2007-02-13,TSSCOMP,0,,0,
11625015,8,2007-03-14,TI1050,0,,0,
11625015,9,2007-05-22,TI1050,0,,0,
11625015,10,2007-05-31,PG-ISSUE,0,,0,
11625015,11,2007-08-03,TI1050,0,,0,
11625015,12,2007-09-19,TI1050,0,,0,
11625015,13,2007-10-30,DOCK,0,,0,
11625015,14,2007-10-30,DOCK,0,,0,
11625015,19,2008-01-04,N/=.,0,,0,
11625015,20,2008-01-04,DVER,0,,0,
11625015,22,2008-01-07,MN/=.,0,,0,
11625015,26,2008-01-25,W/N=,0,,0,
11625015,27,2008-01-25,FWDX,0,,0,
11625015,28,2008-01-25,M327,0,,0,
11625015,34,2008-02-14,CTNF,0,,0,
11625015,33,2008-02-15,MM327,0,,0,
11625015,35,2008-02-15,MCTNF,0,,0,
11625015,37,2008-06-12,XT/G,0,,0,
11625015,38,2008-06-12,A...,28,APPL,35,
11625015,39,2008-07-02,FWDX,0,,0,
11625015,40,2008-09-15,CTFR,0,,0,
11625015,41,2008-09-17,MCTFR,0,,0,
11625015,42,2009-01-13,XT/G,0,,0,
11625015,43,2009-01-13,A.NE,27,APPL,41,
11625015,44,2009-02-04,FWDX,0,,0,
11625015,45,2009-02-17,CTFR,0,,0,
11499324,1,2006-08-04,IEXX,0,,0,
11499324,2,2006-08-14,INCD,0,,0,
11499324,5,2007-01-12,TRNSPEC,0,,0,
11499324,6,2007-01-12,TRNCLAIM,0,,0,
11499324,7,2007-01-12,OATHDECL,0,,0,
11499324,8,2007-01-12,ADDFLFEE,59,APPL,2,
11499324,19,2007-01-12,RQPR,0,,0,
11499324,20,2007-01-12,WIDS,0,,0,
11499324,20.7,2007-01-12,M844,0,,0,
11499324,21,2007-01-12,A.PE,0,,0,
11499324,28,2007-01-12,IDSC,0,,0,
11499324,3,2007-01-28,SCAN,0,,0,
11499324,4,2007-01-29,L194,0,,0,
11499324,9,2007-02-02,COMP,0,,0,
11499324,10,2007-02-02,OIPE,0,,0,
11499324,11,2007-02-02,ROIPE,0,,0,
11605961,62,2009-06-18,MN/=.,0,,0,
12164803,8,2008-09-23,OATHDECL,0,,0,
12164803,9,2008-09-23,ADDFLFEE,0,,0,
12164803,15,2008-09-23,C614,0,,0,
12164803,10,2008-10-01,FLRCPT.U,0,,0,
12164803,11,2008-10-01,PGPC,0,,0,
12164803,12,2008-10-31,OIPE,0,,0,
12164803,16,2008-11-20,RQPR,0,,0,
12164803,17,2008-12-07,TSSCOMP,0,,0,
12164803,18,2009-01-08,PG-ISSUE,0,,0,
12164803,19,2009-03-19,DOCK,0,,0,
12164803,20,2009-05-14,DOCK,0,,0,
12164803,32,2009-06-17,DVER,0,,0,
12164803,33,2009-06-17,N/=.,0,,0,
12164803,35,2009-06-18,MN/=.,0,,0,
11023915,1,2004-12-28,IEXX,0,,0,
11023915,10,2004-12-28,A.PE,0,,0,
11023915,2,2005-01-21,SCAN,0,,0,
11023915,3,2005-01-27,L198,0,,0,
11023915,4,2005-04-07,INCD,0,,0,
11023915,5,2005-04-10,L128,0,,0,
11023915,6,2005-04-29,OATHDECL,0,,0,
11023915,7,2005-04-29,ADDFLFEE,0,,0,
