application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
11016871,23,2006-05-17,A...,0,,0,
11016871,24,2006-05-24,FWDX,0,,0,
11016871,25,2006-08-07,CTFR,0,,0,
11016871,26,2006-08-10,MCTFR,0,,0,
11016871,27,2006-10-12,DOCK,0,,0,
11016871,28,2006-11-13,A.NE,0,,0,
11016871,29,2006-12-05,FWDX,0,,0,
11016871,30,2006-12-13,CTAV,0,,0,
11016871,31,2007-01-08,MCTAV,0,,0,
11016871,32,2007-01-19,XT/G,0,,0,
11016871,34,2007-01-26,N/AP,77,APPL,26,
11016871,33,2007-01-30,APCD,0,,0,
11016871,35,2007-02-22,APCD,0,,0,
11016871,36,2007-02-26,MAPCD,0,,0,
11016871,37,2007-02-26,MAPCD,0,,0,
11016871,38,2007-06-04,BRCE,0,,0,
11016871,39,2007-06-04,XT/G,0,,0,
11016871,41,2007-06-04,RCEX,0,,0,
11016871,40,2007-06-13,ABN9,0,,0,
11016871,42,2007-06-13,FWDX,0,,0,
11016871,44,2007-06-13,FWDX,0,,0,
11016871,47,2007-09-04,CTNF,0,,0,
11016871,48,2007-09-11,MCTNF,0,,0,
11016871,49,2008-02-27,XT/G,0,,0,
11016871,50,2008-02-27,A...,78,APPL,48,
11016871,51,2008-03-19,FWDX,0,,0,
11016871,52,2008-05-27,CTFR,0,,0,
11016871,53,2008-05-28,MCTFR,0,,0,
11016871,54,2008-09-22,XT/G,0,,0,
11016871,55,2008-09-22,A.NE,0,,0,
11016871,56,2008-09-27,FWDX,0,,0,
11016871,57,2008-10-14,CTAV,0,,0,
11016871,58,2008-10-20,MCTAV,0,,0,
11016871,59,2008-10-27,BRCE,0,,0,
11975018,19,2009-01-15,IDSC,0,,0,
11975018,27,2009-01-15,M844,0,,0,
11975018,28,2009-01-15,RCAP,0,,0,
11975018,25,2009-01-29,CTNF,0,,0,
11975018,26,2009-01-30,MCTNF,44,PTO,-1,
11975018,29,2009-04-28,A...,0,,0,
11975018,31,2009-04-28,RQPR,0,,0,
11975018,30,2009-05-29,FWDX,0,,0,
11975018,36,2009-07-23,N/=.,0,,0,
11975018,37,2009-07-23,DVER,0,,0,
11975018,39,2009-07-24,MN/=.,0,,0,
11976542,1,2007-10-25,IEXX,0,,0,
11976542,2,2007-10-25,WIDS,0,,0,
11976542,5,2007-10-25,PDREQUST,0,,0,
11976542,15,2007-10-25,M844,0,,0,
11976542,23,2007-10-25,IDSC,0,,0,
11976542,3,2007-11-04,SCAN,0,,0,
11976542,4,2007-11-13,L194,0,,0,
11976542,6,2007-12-07,FLRCPT.O,0,,0,
11976542,7,2007-12-07,INCD,0,,0,
11976542,29,2007-12-13,CFRPT,0,,0,
11644309,1,2006-12-21,IEXX,0,,0,
11644309,6,2006-12-21,WIDS,0,,0,
11644309,6.7,2006-12-21,M844,0,,0,
11644309,7,2006-12-21,RCAP,0,,0,
11644309,10,2006-12-21,IDSC,0,,0,
11644309,2,2007-01-05,SCAN,0,,0,
11569272,10,2006-11-17,RCAP,0,,0,
11569272,11,2006-11-17,RQPR,0,,0,
11569272,12,2006-11-17,A.PE,0,,0,
11569272,23,2006-11-17,IDSC,0,,0,
11569272,2,2007-01-05,SCAN,0,,0,
11569272,3,2007-01-05,L194,0,,0,
11569272,5,2007-06-04,M903,0,,0,
11569272,6,2007-06-04,PGPC,0,,0,
11569272,8,2007-07-03,OIPE,0,,0,
11569272,13,2007-07-12,TSSCOMP,0,,0,
11569272,14,2007-08-27,DOCK,0,,0,
11569272,15,2007-09-13,PG-ISSUE,0,,0,
11569272,16,2007-10-04,DOCK,0,,0,
11569272,17,2008-07-02,DOCK,0,,0,
11569272,18,2008-07-09,WIDS,0,,0,
11569272,20,2008-07-09,M844,0,,0,
11569272,21,2008-07-09,RCAP,0,,0,
11569272,22,2008-07-09,IDSC,0,,0,
11569272,19,2008-09-15,DOCK,0,,0,
11569272,24,2009-02-02,CTNF,0,,0,
11569272,25,2009-02-04,MCTNF,384,PTO,7,
11569272,26,2009-05-04,C614,0,,0,
11569272,27,2009-05-04,A...,0,,0,
11569272,28,2009-05-06,FWDX,0,,0,
11569272,33,2009-07-23,N/=.,0,,0,
11569272,34,2009-07-23,DVER,0,,0,
11569272,36,2009-07-24,MN/=.,0,,0,
11617706,8,2007-02-20,COMP,0,,0,
11617706,10,2007-04-16,TSSCOMP,0,,0,
11617706,11,2007-05-02,DOCK,0,,0,
11617706,12,2007-05-31,PG-ISSUE,0,,0,
11617706,13,2007-10-16,F525,0,,0,
11617706,14,2007-10-17,W525,0,,0,
11617706,15,2008-10-06,DOCK,0,,0,
11617706,16,2009-03-23,DOCK,0,,0,
11617706,24,2009-04-24,CTNF,0,,0,
11617706,25,2009-04-24,MCTNF,421,PTO,-1,
11617706,26,2009-05-31,A...,0,,0,
11617706,28,2009-05-31,DIST,0,APPL,26,
11617706,27,2009-06-15,FWDX,0,,0,
11617706,29,2009-06-24,P574,0,,0,
11617706,31,2009-07-21,DVER,0,,0,
11617706,32,2009-07-21,N/=.,0,,0,
11617706,35,2009-07-24,MN/=.,0,,0,
12104921,32,2009-07-24,MN/=.,0,,0,
11428309,1,2006-06-30,IEXX,0,,0,
11428309,2,2006-07-01,SCAN,0,,0,
11428309,3,2006-07-07,L194,0,,0,
11428309,4,2006-07-18,COMP,0,,0,
11428309,5,2006-07-18,OIPE,0,,0,
11428309,6,2006-07-20,TSSCOMP,0,,0,
11428309,7,2006-10-30,RQPR,0,,0,
11428309,8,2007-04-12,PG-ISSUE,0,,0,
11428309,9,2007-06-15,DOCK,0,,0,
11584453,20,2009-03-02,TI1052,0,,0,
11584453,21,2009-03-02,DOCK,0,,0,
11584453,26,2009-03-30,CTNF,0,,0,
11584453,27,2009-04-02,MCTNF,469,PTO,-1,
11584453,28,2009-04-22,A...,0,,0,
11584453,29,2009-05-05,FWDX,0,,0,
11584453,31,2009-07-23,DVER,0,,0,
11584453,32,2009-07-23,N/=.,0,,0,
11584453,34,2009-07-24,MN/=.,0,,0,
11861087,16,2008-04-04,DOCK,0,,0,
11861087,17,2008-09-16,DOCK,0,,0,
11861087,23,2009-02-17,CTNF,0,,0,
11861087,24,2009-02-19,MCTNF,86,PTO,-1,
11861087,25,2009-04-14,DOCK,0,,0,
11861087,26,2009-05-19,A...,0,,0,
11861087,27,2009-06-18,FWDX,0,,0,
11861087,29,2009-07-23,N/=.,0,,0,
11861087,30,2009-07-23,DVER,0,,0,
11861087,32,2009-07-24,MN/=.,0,,0,
11520667,4,2006-10-03,COMP,0,,0,
11520667,5,2006-10-03,OIPE,0,,0,
11520667,8,2006-10-27,TSSCOMP,0,,0,
11520667,9,2007-05-03,PG-ISSUE,0,,0,
11520667,10,2007-10-30,DOCK,0,,0,
11520667,11,2008-11-17,CTRS,0,,0,
11520667,12,2008-11-19,MCTRS,371,PTO,-1,
11520667,13,2008-11-19,EML_NTF,0,,0,
11520667,14,2008-11-19,ELC_RVW,0,,0,
11520667,15,2008-12-18,ELC.,0,,0,
11520667,16,2009-01-05,FWDX,0,,0,
11520667,21,2009-02-02,CTNF,0,,0,
11520667,22,2009-02-05,MCTNF,0,,0,
11520667,23,2009-02-05,EML_NTF,0,,0,
11520667,24,2009-02-05,ELC_RVW,0,,0,
11520667,25,2009-04-30,A...,0,,0,
11520667,26,2009-06-02,FWDX,0,,0,
11520667,32,2009-07-10,EXIN,0,,0,
11520667,34,2009-07-20,EX.A,0,,0,
11520667,35,2009-07-22,N/=.,0,,0,
11520667,36,2009-07-22,DVER,0,,0,
11520667,38,2009-07-28,MN/=.,0,,0,
11056117,1,2005-02-14,IEXX,0,,0,
11056117,2,2005-02-25,SCAN,0,,0,
11056117,3,2005-03-04,L194,0,,0,
11056117,5,2005-03-18,OIPE,0,,0,
11056117,6,2005-03-18,ROIPE,0,,0,
11056117,7,2005-03-18,WROIPE,0,,0,
11056117,4,2005-03-21,COMP,0,,0,
11056117,12,2005-03-29,WIDS,0,,0,
11056117,9,2005-07-19,DOCK,0,,0,
11056117,10,2005-07-19,TSSCOMP,0,,0,
11056117,11,2007-06-27,DOCK,0,,0,
11056117,14,2007-08-15,CTRS,0,,0,
11056117,15,2007-08-20,MCTRS,493,PTO,-1,
11056117,16,2007-09-11,ELC.,0,,0,
11056117,17,2007-09-25,FWDX,0,,0,
11056117,18,2007-10-12,CTNF,0,,0,
11056117,19,2007-10-18,MCTNF,0,,0,
11056117,20,2008-02-19,XT/G,0,,0,
11056117,21,2008-02-19,A...,32,APPL,19,
11056117,22,2008-03-27,FWDX,0,,0,
11056117,23,2008-06-09,CTNF,0,,0,
11056117,24,2008-06-25,MCTNF,6,PTO,21,
11165858,1,2005-06-24,IEXX,0,,0,
11165858,5,2005-06-24,NPRQ,0,,0,
11165858,2,2005-07-03,SCAN,0,,0,
11165858,4,2005-07-07,L198,0,,0,
11165858,7,2005-08-04,OIPE,0,,0,
11165858,6,2005-08-05,COMP,0,,0,
11165858,8,2005-08-24,L128,0,,0,
11165858,9,2006-05-15,TI1050,0,,0,
11165858,10,2006-06-06,DOCK,0,,0,
11165858,11,2006-06-07,TSSCOMP,0,,0,
11165858,12,2006-06-13,RESC,0,,0,
11165858,13,2006-10-05,DOCK,0,,0,
11165858,16,2007-08-20,CTNF,0,,0,
11165858,17,2007-08-21,MCTNF,362,PTO,-1,
11165858,19,2007-11-21,A...,0,,0,
11165858,21,2007-11-21,C614,0,,0,
11165858,22,2007-11-21,C602,0,,0,
11165858,18,2007-12-03,WIDS,0,,0,
11165858,23,2007-12-03,M844,0,,0,
11165858,24,2007-12-03,RCAP,0,,0,
11165858,25,2007-12-03,IDSC,0,,0,
11165858,20,2007-12-14,FWDX,0,,0,
11165858,26,2008-02-15,CTFR,0,,0,
11165858,27,2008-02-20,MCTFR,0,,0,
11165858,28,2008-05-16,BRCE,0,,0,
11165858,30,2008-05-16,RCEX,0,,0,
11165858,29,2008-05-30,ABN9,0,,0,
11697624,1,2007-04-06,IEXX,0,,0,
11697624,9,2007-04-06,A.PE,0,,0,
11697624,2,2007-04-08,SCAN,0,,0,
11697624,3,2007-06-19,L194,0,,0,
11697624,7,2007-06-27,PGPC,0,,0,
11697624,6,2007-06-28,COMP,0,,0,
11697624,8,2007-07-05,OIPE,0,,0,
11697624,10,2007-07-11,TSSCOMP,0,,0,
11697624,11,2007-08-02,DOCK,0,,0,
11697624,12,2007-08-20,CTNF,0,,0,
11697624,13,2007-08-22,MCTNF,0,,0,
11697624,14,2007-10-04,PG-ISSUE,0,,0,
11697624,17,2008-01-22,XT/G,0,,0,
11697624,18,2008-01-22,A...,61,APPL,13,
11697624,15,2008-01-30,C.AD,0,,0,
11697624,16,2008-01-31,PA..,0,,0,
11697624,19,2008-02-14,FWDX,0,,0,
11697624,20,2008-04-28,CTFR,0,,0,
11697624,21,2008-04-29,MCTFR,0,,0,
11697624,22,2008-07-23,BRCE,0,,0,
11697624,24,2008-07-23,RCEX,0,,0,
11697624,23,2008-08-12,ABN9,0,,0,
11697624,25,2008-08-12,FWDX,0,,0,
11697624,27,2008-08-12,FWDX,0,,0,
11697624,28,2008-09-02,CTNF,0,,0,
11697624,29,2008-09-04,MCTNF,0,,0,
11697624,30,2008-10-10,A...,0,,0,
11697624,36,2008-10-10,TDP,0,,0,
11697624,31,2008-10-23,FWDX,0,,0,
11697624,32,2008-12-30,P574,0,,0,
11697624,34,2009-01-06,N/=.,0,,0,
11697624,35,2009-01-06,EX.A,0,,0,
11697624,37,2009-01-06,DVER,0,,0,
11697624,39,2009-01-09,MN/=.,0,,0,
11697624,40,2009-01-09,MEX.A,0,,0,
11697624,41,2009-01-21,C.AD,0,,0,
11697624,43,2009-01-26,PA..,0,,0,
11697624,44,2009-01-26,EML_NTR,0,,0,
11697624,46,2009-04-08,BRCE,0,,0,
11697624,47,2009-04-08,WIDS,0,,0,
11860105,49,2009-02-26,EML_NTF,0,,0,
11860105,50,2009-02-26,EML_NTR,0,,0,
11860105,51,2009-02-26,ELC_RVW,0,,0,
11860105,52,2009-03-26,PG-ISSUE,0,,0,
11860105,53,2009-03-27,EML_NTR,0,,0,
11860105,54,2009-05-15,A...,0,,0,
11860105,55,2009-06-03,FWDX,0,,0,
11860105,59,2009-07-24,N/=.,0,,0,
11860105,60,2009-07-24,DVER,0,,0,
11860105,62,2009-07-28,MN/=.,0,,0,
11327894,30,2008-12-22,FWDX,0,,0,
11327894,32,2008-12-23,P574,0,,0,
11327894,33,2009-01-22,C.ADB,0,,0,
11327894,34,2009-02-06,CTNF,0,,0,
11327894,35,2009-02-10,MCTNF,0,,0,
11327894,36,2009-05-14,WIDS,0,,0,
11327894,37,2009-05-14,WIDS,0,,0,
11327894,38,2009-05-14,WIDS,0,,0,
11327894,39,2009-05-14,M844,0,,0,
11327894,40,2009-05-14,A...,4,APPL,35,
11327894,42,2009-05-14,IDSC,0,,0,
11327894,43,2009-05-14,IDSC,0,,0,
11327894,44,2009-05-14,IDSC,0,,0,
11327894,41,2009-07-13,FWDX,0,,0,
11327894,48,2009-07-23,N/=.,0,,0,
11327894,49,2009-07-23,DVER,0,,0,
11327894,51,2009-07-24,MN/=.,0,,0,
11942997,1,2007-11-20,IEXX,0,,0,
11942997,2,2007-11-20,WIDS,0,,0,
11942997,17,2007-11-20,A.PE,0,,0,
11942997,18,2007-11-20,EIDS.,0,,0,
11942997,20,2007-11-20,IDSC,0,,0,
11942997,3,2007-11-22,SCAN,0,,0,
11529642,1,2006-09-29,IEXX,0,,0,
11529642,15,2006-09-29,WIDS,0,,0,
11529642,16,2006-09-29,A.PE,0,,0,
11529642,18,2006-09-29,M844,0,,0,
11529642,19,2006-09-29,RCAP,0,,0,
11529642,30,2006-09-29,IDSC,0,,0,
11529642,2,2006-10-05,SCAN,0,,0,
11529642,3,2006-10-11,L194,0,,0,
11529642,5,2006-10-20,CPAP,0,,0,
11529642,6,2006-12-19,CORRSPEC,0,,0,
11529642,7,2006-12-19,ADDFLFEE,0,,0,
11529642,8,2006-12-28,COMP,0,,0,
11529642,9,2006-12-28,OIPE,0,,0,
11529642,10,2006-12-28,ROIPE,0,,0,
11529642,11,2006-12-28,WROIPE,0,,0,
11529642,12,2007-04-30,TI1050,0,,0,
11529642,13,2007-05-03,PG-ISSUE,0,,0,
11529642,14,2007-05-07,TI1050,0,,0,
11529642,17,2007-09-24,TSSCOMP,0,,0,
11529642,20,2007-10-11,TI1050,0,,0,
11529642,21,2007-10-15,F525,0,,0,
11529642,22,2007-10-15,F525,0,,0,
11529642,23,2007-10-17,W525,0,,0,
11529642,24,2007-10-17,W525,0,,0,
11529642,25,2008-02-29,DOCK,0,,0,
11529642,26,2008-04-14,DOCK,0,,0,
11529642,31,2008-04-25,CTNF,0,,0,
11529642,32,2008-04-25,MCTNF,148,PTO,-1,
11529642,33,2008-07-28,A...,3,APPL,32,
11529642,33.1,2008-07-28,A.I.,0,,0,
11529642,35,2008-07-28,DIST,0,,0,
11529642,36,2008-07-28,TDP,0,,0,
11529642,34,2008-09-19,FWDX,0,,0,
11529642,37,2008-10-28,P575,0,,0,
11529642,38,2008-11-10,C.AD,0,,0,
11016871,61,2008-10-27,XT/G,0,,0,
11016871,71,2008-10-27,RCEX,60,APPL,53,
11016871,60,2008-11-14,DOCK,0,,0,
11016871,67,2008-11-24,DOCK,0,,0,
