application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
11492972,28,2009-04-27,IDSC,0,,0,
11492972,26,2009-05-08,A...,0,,0,
11492972,27,2009-06-11,FWDX,0,,0,
11492972,30,2009-08-26,DVER,0,,0,
11492972,31,2009-08-28,DOCK,0,,0,
11492972,32,2009-08-28,N/=.,0,,0,
11492972,34,2009-09-02,MN/=.,0,,0,
12031070,1,2008-02-14,IEXX,0,,0,
12031070,2,2008-02-14,SCAN,0,,0,
12031070,3,2008-02-19,L194,0,,0,
12031070,4,2008-03-10,COMP,0,,0,
12031070,5,2008-03-10,FLRCPT.O,0,,0,
12031070,6,2008-03-10,PGPC,0,,0,
12031070,7,2008-04-21,OIPE,0,,0,
10742887,49,2008-11-24,CTNF,0,,0,
10742887,50,2008-11-26,MCTNF,0,,0,
10742887,51,2009-05-20,XT/G,0,,0,
10742887,52,2009-05-20,A...,83,APPL,50,
10742887,53,2009-07-15,FWDX,0,,0,
10742887,60,2009-08-30,N/=.,0,,0,
10742887,61,2009-08-30,DVER,0,,0,
10742887,63,2009-09-01,MN/=.,0,,0,
12109103,1,2008-04-24,IEXX,0,,0,
12109103,3,2008-04-24,WIDS,0,,0,
12109103,4,2008-04-24,APPERMS,0,,0,
12109103,13,2008-04-24,A.PE,0,,0,
12109103,14,2008-04-24,EIDS.,0,,0,
12109103,22,2008-04-24,IDSC,0,,0,
12109103,2,2008-04-25,SCAN,0,,0,
12109103,7,2008-05-01,PGPW,0,,0,
12109103,5,2008-05-02,COMP,0,,0,
12109103,6,2008-05-02,FLRCPT.O,0,,0,
12109103,8,2008-05-02,EML_NTR,0,,0,
12109103,9,2008-05-03,L198,0,,0,
12109103,10,2008-06-05,L128,0,,0,
12109103,11,2008-06-12,PGPC,0,,0,
12109103,12,2008-06-20,OIPE,0,,0,
12109103,15,2008-08-06,TSSCOMP,0,,0,
12109103,16,2008-09-18,PG-ISSUE,0,,0,
12109103,17,2008-09-19,EML_NTR,0,,0,
10415329,1,2003-04-29,IEXX,0,,0,
10415329,8,2003-04-29,CPTO,0,,0,
