application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
10913867,15,2004-10-01,WROIPE,0,,0,
10913867,14,2004-10-04,COMP,0,,0,
10913867,18,2004-10-20,RCAP,0,,0,
10913867,16,2004-10-26,DOCK,0,,0,
10913867,17,2004-10-26,TSSCOMP,0,,0,
10913867,19,2005-10-31,CTRS,0,,0,
10913867,20,2005-11-03,MCTRS,28,PTO,-1,
10913867,21,2005-12-08,ELC.,0,,0,
10913867,22,2005-12-16,FWDX,0,,0,
10913867,23,2006-02-02,CTNF,0,,0,
10913867,24,2006-02-09,MCTNF,0,,0,
10913867,25,2006-07-13,XT/G,0,,0,
10913867,26,2006-07-13,A...,65,APPL,24,
10913867,27,2006-07-19,FWDX,0,,0,
10913867,28,2006-09-01,C.ADB,0,,0,
10913867,29,2006-09-18,CTFR,0,,0,
10913867,30,2006-09-25,MCTFR,0,,0,
10913867,31,2007-01-25,XT/G,0,,0,
10913867,32,2007-01-25,N/AP,31,APPL,30,
10913867,33,2007-01-25,AP.C,0,,0,
10913867,34,2007-02-20,APCP,0,,0,
10913867,35,2007-02-23,MAPCP,0,,0,
10913867,36,2007-05-29,XT/G,0,,0,
10913867,37,2007-05-29,AP.B,0,,0,
12156266,4,2008-05-31,NPRQ,0,,0,
12156266,1,2008-06-02,IEXX,0,,0,
12156266,2,2008-06-06,SCAN,0,,0,
12156266,3,2008-06-11,L194,0,,0,
12156266,5,2008-06-18,COMP,0,,0,
12156266,6,2008-06-18,FLRCPT.O,0,,0,
12156266,7,2008-06-18,PGPC,0,,0,
12156266,8,2008-07-01,OIPE,0,,0,
12156266,9,2008-11-10,WIDS,0,,0,
12156266,10,2008-11-10,M844,0,,0,
12156266,13,2008-11-10,IDSC,0,,0,
12156266,11,2008-12-19,TSSCOMP,0,,0,
12156266,12,2009-01-29,DOCK,0,,0,
12051365,1,2008-03-19,IEXX,0,,0,
12051365,2,2008-03-19,WIDS,0,,0,
12051365,5,2008-03-19,PDREQUST,0,,0,
12051365,19,2008-03-19,M844,0,,0,
12051365,33,2008-03-19,IDSC,0,,0,
12051365,3,2008-03-21,SCAN,0,,0,
12051365,4,2008-03-25,L194,0,,0,
12051365,6,2008-04-10,INCD,0,,0,
12051365,7,2008-04-10,FLRCPT.O,0,,0,
12051365,8,2008-04-10,EML_NTF,0,,0,
12051365,9,2008-04-10,EML_NTR,0,,0,
12051365,10,2008-04-11,ELC_RVW,0,,0,
12051365,11,2008-05-22,OATHDECL,0,,0,
12051365,12,2008-05-22,ADDFLFEE,0,,0,
12051365,15,2008-05-30,PGPC,0,,0,
12051365,13,2008-06-02,COMP,0,,0,
12051365,14,2008-06-02,FLRCPT.U,0,,0,
12051365,16,2008-06-02,EML_NTR,0,,0,
12051365,17,2008-06-05,OIPE,0,,0,
12051365,18,2008-08-13,TSSCOMP,0,,0,
12051365,20,2008-08-22,RQPR,0,,0,
12051365,21,2008-09-16,DOCK,0,,0,
12051365,22,2008-09-25,PG-ISSUE,0,,0,
12051365,23,2008-09-26,EML_NTR,0,,0,
12051365,34,2009-05-21,CTNF,0,,0,
12051365,35,2009-05-26,MCTNF,7,PTO,-1,
12051365,36,2009-05-26,EML_NTF,0,,0,
12051365,37,2009-05-26,ELC_RVW,0,,0,
12051365,38,2009-08-26,A...,0,,0,
12051365,39,2009-10-10,FWDX,0,,0,
12051365,41,2009-10-15,DOCK,0,,0,
12051365,42,2009-10-15,N/=.,0,,0,
10558033,3,2006-10-18,OATHDECL,0,,0,
10558033,5,2006-10-18,ADDFLFEE,0,,0,
10558033,7,2006-10-18,371COMP,0,,0,
10558033,4,2006-10-20,INFODSCL,0,,0,
10558033,10,2006-10-20,WIDS,0,,0,
10558033,10.7,2006-10-20,M844,0,,0,
10558033,11,2006-10-20,RCAP,0,,0,
10558033,18,2006-10-20,IDSC,0,,0,
10558033,6,2007-01-23,OIPE,0,,0,
10558033,12,2007-01-31,TSSCOMP,0,,0,
10558033,13,2007-03-20,DOCK,0,,0,
10558033,14,2007-05-03,PG-ISSUE,0,,0,
10558033,15,2007-06-22,DOCK,0,,0,
10558033,16,2007-10-05,DOCK,0,,0,
10558033,19,2008-04-10,CTNF,0,,0,
10558033,20,2008-04-11,MCTNF,115,PTO,7,
10558033,21,2008-06-26,C.AD,0,,0,
10558033,22,2008-06-30,PA..,0,,0,
10558033,23,2008-06-30,EML_NTR,0,,0,
10558033,24,2008-07-11,A...,0,,0,
10558033,25,2008-08-22,FWDX,0,,0,
10558033,26,2008-10-21,CTFR,0,,0,
10558033,27,2008-10-27,MCTFR,0,,0,
10558033,28,2008-10-27,EML_NTF,0,,0,
10558033,29,2008-10-27,ELC_RVW,0,,0,
10558033,30,2009-01-27,N/AP,0,,0,
10558033,31,2009-01-27,AP.C,0,,0,
10558033,32,2009-02-24,APCP,0,,0,
10558033,33,2009-02-25,MAPCP,0,,0,
10558033,34,2009-03-27,BRCE,0,,0,
10558033,36,2009-03-27,RCEX,0,,0,
10743113,18,2005-05-31,XT/G,0,,0,
10743113,19,2005-05-31,A...,6,APPL,17,
10743113,20,2005-06-06,FWDX,0,,0,
10743113,21,2005-08-03,CTFR,0,,0,
10743113,22,2005-08-05,MCTFR,0,,0,
10743113,23,2005-12-05,DOCK,0,,0,
10743113,24,2006-02-07,BRCE,0,,0,
10743113,28,2006-02-07,XT/G,0,,0,
10743113,30,2006-02-07,RCEX,94,APPL,22,
10743113,34,2006-02-07,C614,0,,0,
10743113,29,2006-02-16,ABN9,0,,0,
10743113,31,2006-02-16,FWDX,0,,0,
10743113,33,2006-02-16,FWDX,0,,0,
10743113,35,2006-02-21,CTNF,0,,0,
10743113,36,2006-03-01,MCTNF,0,,0,
10743113,37,2006-05-26,PA..,0,,0,
10743113,38,2006-05-26,C.AD,0,,0,
10743113,39,2006-05-31,A...,0,,0,
10743113,40,2006-06-02,FWDX,0,,0,
