application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
11484697,61,2010-01-15,D1935,0,,0,
11484697,63,2010-02-16,PTAC,0,,0,
11466342,37,2009-12-29,IFEE,0,,0,
11466342,38,2009-12-29,N084,0,,0,
11466342,39,2010-01-06,PILS,0,,0,
11466342,40,2010-01-07,D1935,0,,0,
11466342,42,2010-02-16,PTAC,0,,0,
11466342,42.5,2010-01-27,PTA36M,0,PTO,0,
12017812,70,2010-01-06,EML_NTR,0,,0,
12017812,74,2010-01-13,D1935,0,,0,
12017812,76,2010-02-16,PTAC,0,,0,
11505137,62,2009-12-02,IFEE,0,,0,
11505137,65,2009-12-02,A.NA,30,APPL,67,
11505137,63,2009-12-02,N084,0,,0,
11505137,64,2009-12-10,PILS,0,,0,
11505137,66,2009-12-30,N271,0,,0,
11505137,67,2009-12-31,MN271,0,,0,
11505137,68,2010-01-06,D1935,0,,0,
11505137,70,2010-02-16,PTAC,0,,0,
11393971,21,2009-12-31,MPEN,0,,0,
11393971,24,2010-01-05,C.AD,0,,0,
11393971,25,2010-01-05,PA..,0,,0,
11393971,26,2010-01-05,PILS,0,,0,
11393971,27,2010-01-05,D1935,0,,0,
11393971,29,2010-02-16,PTAC,0,,0,
11393971,29.5,2010-01-27,PTA36M,0,PTO,0,
11546376,30,2009-12-31,IFEE,0,,0,
11546376,31,2009-12-31,N084,0,,0,
11546376,32,2010-01-07,PILS,0,,0,
11546376,33,2010-01-08,D1935,0,,0,
11546376,35,2010-02-16,PTAC,0,,0,
11546376,35.5,2010-01-27,PTA36M,0,PTO,0,
12081780,43,2009-10-08,WIDS,0,,0,
12081780,45,2009-10-08,M844,0,APPL,53,
12081780,46,2009-10-08,RCAP,0,,0,
12081780,44,2009-10-08,PUBTC,0,,0,
12081780,51,2009-10-08,IDSC,0,,0,
12081780,48,2009-10-08,M844,15,APPL,53,
12081780,49,2009-10-14,WIDS,0,,0,
12081780,50,2009-10-14,IDSC,0,,0,
12081780,47,2009-10-14,RCAP,0,,0,
12081780,52,2009-10-21,M327,0,,0,
11377812,51,2010-01-11,D1935,0,,0,
11377812,53,2010-02-16,PTAC,0,,0,
