application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
11672065,9,2007-02-27,WROIPE,0,,0,
11672065,10,2007-03-26,TSSCOMP,0,,0,
11672065,11,2007-03-28,TI1050,0,,0,
11672065,12,2007-06-26,DOCK,0,,0,
11672065,13,2008-08-07,PG-ISSUE,0,,0,
11672065,14,2009-04-14,DOCK,0,,0,
11672065,15,2009-04-14,WIDS,0,,0,
11672065,16,2009-04-14,EIDS.,0,,0,
11672065,20,2009-04-14,IDSC,0,,0,
11672065,17,2009-07-07,WIDS,0,,0,
11672065,21,2009-07-07,IDSC,0,,0,
11672065,22,2009-09-17,CTNF,0,,0,
11672065,23,2009-09-18,MCTNF,529,PTO,-1,
11672065,24,2009-11-20,C.ADB,0,,0,
11672065,25,2009-12-11,A...,0,,0,
11672065,27,2009-12-11,DIST,0,APPL,25,
11672065,26,2009-12-20,FWDX,0,,0,
11672065,28,2010-01-13,P575,0,,0,
11672065,29,2010-01-28,PA..,0,,0,
11672065,30,2010-01-28,EML_NTR,0,,0,
11672065,43,2010-01-28,EXIN,0,,0,
11672065,31,2010-01-29,P574,0,,0,
11672065,41,2010-02-08,N/=.,0,,0,
11672065,42,2010-02-08,EX.A,0,,0,
11672065,44,2010-02-08,DVER,0,,0,
11672065,46,2010-02-17,MN/=.,0,,0,
11672065,53,2010-02-19,IFEE,0,,0,
11672065,55,2010-02-19,N084,0,,0,
11898937,1,2007-09-18,IEXX,0,,0,
10949331,33,2007-03-09,MCTNF,467,PTO,-1,
10949331,34,2007-06-07,A...,0,,0,
10949331,35,2007-06-12,FWDX,0,,0,
10949331,36,2007-08-20,DOCK,0,,0,
10949331,37,2007-08-20,CTFR,0,,0,
10949331,38,2007-09-11,MCTFR,0,,0,
10949331,39,2007-11-09,A.NE,0,,0,
10949331,40,2007-11-19,FWDX,0,,0,
10949331,41,2007-11-26,CTAV,0,,0,
10949331,42,2007-11-28,MCTAV,0,,0,
10949331,43,2007-12-18,BRCE,0,,0,
10949331,45,2007-12-18,RCEX,7,APPL,38,
10949331,44,2008-01-10,ABN9,0,,0,
10949331,46,2008-01-10,FWDX,0,,0,
10949331,48,2008-01-10,FWDX,0,,0,
10949331,49,2008-01-19,CTNF,0,,0,
10949331,50,2008-01-24,MCTNF,0,,0,
10949331,51,2008-03-25,A...,0,,0,
10949331,52,2008-05-13,FWDX,0,,0,
10949331,53,2008-08-04,CTFR,0,,0,
10949331,54,2008-08-05,MCTFR,11,PTO,51,
10949331,56,2008-10-16,N/AP,0,,0,
10949331,57,2008-10-16,AP.C,0,,0,
10949331,58,2008-11-05,APCP,0,,0,
10949331,59,2008-11-06,MAPCP,0,,0,
10949331,60,2008-12-16,BRCE,0,,0,
10949331,62,2008-12-16,RCEX,61,,56,
10949331,61,2008-12-17,ABN9,0,,0,
10949331,63,2008-12-17,FWDX,0,,0,
10949331,65,2008-12-17,FWDX,0,,0,
10949331,66,2009-02-17,CTNF,0,,0,
10949331,67,2009-02-19,MCTNF,0,,0,
10949331,68,2009-05-19,EXIN,0,,0,
10949331,70,2009-05-19,A...,0,,0,
10949331,69,2009-05-26,MEXIN,0,,0,
10949331,71,2009-06-08,FWDX,0,,0,
10949331,73,2009-08-26,CTFR,0,,0,
10949331,74,2009-08-27,MCTFR,0,,0,
10949331,75,2009-11-02,BRCE,0,,0,
10949331,77,2009-11-02,RCEX,0,,0,
10949331,76,2009-11-03,ABN9,0,,0,
10949331,78,2009-11-03,FWDX,0,,0,
11960803,1,2007-12-20,IEXX,0,,0,
11960803,4,2007-12-20,PDREQUST,0,,0,
11960803,2,2007-12-27,SCAN,0,,0,
11960803,3,2008-01-08,L194,0,,0,
11960803,5,2008-01-23,WIDS,0,,0,
11960803,10,2008-01-23,EIDS.,0,,0,
11960803,17,2008-01-23,IDSC,0,,0,
10527632,26,2008-05-21,MCTNF,467,PTO,7,
10527632,27,2008-08-25,SRNF,0,,0,
10527632,28,2008-08-26,MSRNF,0,,0,
10527632,30,2008-11-24,WIDS,0,,0,
10527632,31,2008-11-24,A...,0,,0,
10527632,33,2008-11-24,M844,0,APPL,31,
10527632,34,2008-11-24,RCAP,0,,0,
10527632,35,2008-11-24,IDSC,0,,0,
10527632,32,2009-01-06,FWDX,0,,0,
10527632,36,2009-03-16,CTFR,0,,0,
10527632,37,2009-03-17,MCTFR,0,,0,
10527632,38,2009-05-06,EXIN,0,,0,
10527632,39,2009-05-07,MEXIN,0,,0,
10527632,40,2009-05-21,A.NE,0,,0,
10527632,41,2009-05-29,FWDX,0,,0,
10527632,42,2009-06-08,CTFR,0,,0,
10527632,43,2009-06-09,MCTFR,0,,0,
10527632,44,2009-07-30,EXIN,0,,0,
10527632,45,2009-07-31,MEXIN,0,,0,
10527632,46,2009-08-07,A.NE,0,,0,
10527632,47,2009-08-11,FWDX,0,,0,
10527632,48,2009-08-30,CTAV,0,,0,
10527632,49,2009-08-31,MCTAV,0,,0,
10527632,50,2009-10-08,BRCE,0,,0,
10527632,51,2009-10-08,XT/G,0,,0,
10527632,53,2009-10-08,RCEX,29,APPL,43,
10527632,52,2009-10-19,ABN9,0,,0,
10527632,54,2009-10-19,FWDX,0,,0,
10527632,56,2009-10-19,FWDX,0,,0,
10527632,60,2010-01-28,DOCK,0,,0,
10527632,61,2010-01-28,N/=.,0,,0,
10527632,62,2010-01-28,DVER,0,,0,
10527632,65,2010-02-04,MN/=.,0,,0,
10527632,67,2010-02-18,IFEE,0,,0,
10527632,68,2010-02-18,N084,0,,0,
10527632,69,2010-02-26,PILS,0,,0,
10527632,70,2010-02-27,D1935,0,,0,
10527632,73,2010-04-06,PTAC,0,,0,
10527632,73.5,2009-10-07,PTA36M,569,PTO,0,
11580468,1,2006-10-13,IEXX,0,,0,
11580468,5,2006-10-13,WIDS,0,,0,
11580468,16,2006-10-13,M844,0,,0,
11580468,17,2006-10-13,RCAP,0,,0,
