application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
11699333,32,2009-08-12,A...,0,,0,
11699333,33,2009-10-03,FWDX,0,,0,
11699333,34,2009-10-20,C.ADB,0,,0,
11699333,35,2009-10-20,C.ADB,0,,0,
11699333,39,2009-12-03,DVER,0,,0,
11699333,40,2009-12-03,DOCK,0,,0,
11699333,41,2009-12-03,N/=.,0,,0,
11699333,43,2009-12-07,MN/=.,0,,0,
11699333,48,2010-03-04,IFEE,0,,0,
11699333,49,2010-03-04,N084,0,,0,
11699333,50,2010-03-12,PILS,0,,0,
11699333,51,2010-03-12,D1935,0,,0,
11699333,53,2010-04-20,PTAC,0,,0,
11569019,4,2008-07-15,M903,0,,0,
11569019,5,2008-07-15,FLRCPT.O,0,,0,
11569019,6,2008-07-15,PGPC,0,,0,
11569019,8,2008-08-04,OIPE,0,,0,
11569019,9,2008-10-23,PG-ISSUE,0,,0,
11569019,26,2008-12-16,TSSCOMP,0,,0,
11569019,17,2009-01-09,DOCK,0,,0,
11569019,28,2009-03-19,CTNF,0,,0,
11569019,29,2009-03-24,MCTNF,432,PTO,7,
11569019,31,2009-06-24,WIDS,0,,0,
11569019,32,2009-06-24,A...,0,,0,
11569019,34,2009-06-24,C602,0,,0,
11569019,35,2009-06-24,M844,0,APPL,32,
11569019,37,2009-06-24,IDSC,0,,0,
11569019,33,2009-07-23,FWDX,0,,0,
11569019,41,2009-08-20,CTNF,0,,0,
11569019,42,2009-08-21,MCTNF,0,,0,
11569019,43,2009-11-23,A...,2,APPL,42,
11569019,45,2009-11-23,C614,0,,0,
11569019,46,2009-11-23,DIST,0,,0,
11569019,44,2009-12-01,FWDX,0,,0,
11569019,48,2009-12-16,P574,0,,0,
11569019,50,2009-12-23,N/=.,0,,0,
11569019,51,2009-12-23,DVER,0,,0,
11569019,53,2009-12-29,MN/=.,0,,0,
11569019,55,2010-01-20,LET.,91,APPL,0,
11569019,57,2010-02-04,PUBTC,0,,0,
11569019,59,2010-02-21,TCPB,0,,0,
11569019,58,2010-02-21,TCPB,0,,0,
11569019,61,2010-03-02,IFEE,0,,0,
11569019,63,2010-03-02,N084,0,,0,
11569019,65,2010-03-11,D1935,0,,0,
11569019,64,2010-03-11,PILS,0,,0,
11569019,67,2010-04-20,PTAC,0,,0,
11569019,67.5,2010-04-20,PTA36M,154,PTO,0,
12315217,6,2008-12-01,NPRQ,0,,0,
12315217,15,2008-12-01,RCAP,0,,0,
12315217,16,2008-12-01,M844,0,,0,
12315217,19,2008-12-01,IDSC,0,,0,
12315217,1,2008-12-02,IEXX,0,,0,
12315217,3,2008-12-08,SCAN,0,,0,
12315217,4,2008-12-08,L198,0,,0,
12315217,5,2008-12-19,L196,0,,0,
12315217,7,2009-01-07,FLRCPT.O,0,,0,
12315217,8,2009-01-07,CPAP,0,,0,
12315217,9,2009-01-07,PA..,0,,0,
12315217,10,2009-01-22,CORRDRW,0,,0,
12315217,11,2009-01-22,ADDFLFEE,0,,0,
12315217,12,2009-02-10,FLRCPT.U,0,,0,
12315217,13,2009-02-10,OIPE,0,,0,
12315217,14,2009-02-11,ML196,0,,0,
12315217,17,2009-08-31,TSSCOMP,0,,0,
12315217,18,2009-09-04,DOCK,0,,0,
12315217,24,2009-09-30,EXIN,0,,0,
12315217,23,2009-10-01,EX.A,0,,0,
12315217,25,2009-12-10,L130,0,,0,
12315217,27,2009-12-10,DVER,0,,0,
12315217,29,2009-12-10,N/=.,0,,0,
12315217,30,2009-12-14,MN/=.,0,,0,
12315217,35,2010-03-04,N084,0,,0,
12315217,34,2010-03-04,IFEE,0,,0,
12315217,36,2010-03-18,PILS,0,,0,
12315217,37,2010-03-18,D1935,0,,0,
12315217,39,2010-04-20,PTAC,0,,0,
12315217,39.5,2010-04-20,PTA36M,0,PTO,0,
11592856,1,2006-11-03,IEXX,0,,0,
11592856,14,2006-11-03,WIDS,0,,0,
11592856,14.7,2006-11-03,M844,0,,0,
11592856,15,2006-11-03,RCAP,0,,0,
11592856,29,2006-11-03,IDSC,0,,0,
11592856,2,2006-11-16,SCAN,0,,0,
