application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
11203676,49,2010-02-19,PET.,0,,0,
11203676,50,2010-04-17,P034,0,,0,
11203676,45.5,2009-11-17,PTA36M,462,PTO,0,
11203676,24,2009-01-15,MCTNF,156,,-1,
11552884,44,2009-10-28,WPIR,0,,0,
11552884,45,2009-10-29,EML_NTR,0,,0,
11552884,43,2009-11-17,PTAC,0,,0,
11552884,46,2009-11-17,PGM/,0,,0,
11552884,47,2010-03-29,PET.,0,,0,
11552884,48,2010-04-17,P034,0,,0,
11552884,43.5,2009-11-17,PTA36M,23,PTO,0,
11097695,1,2005-04-01,IEXX,0,,0,
11097695,9,2005-04-01,A.PE,0,,0,
11097695,10,2005-04-01,WIDS,0,,0,
11097695,10.7,2005-04-01,M844,0,,0,
11097695,11,2005-04-01,RCAP,0,,0,
11097695,26,2005-04-01,IDSC,0,,0,
11097695,2,2005-04-17,SCAN,0,,0,
11097695,3,2005-04-21,L194,0,,0,
11097695,4,2005-05-05,COMP,0,,0,
11097695,5,2005-05-05,OIPE,0,,0,
11097695,6,2005-05-05,ROIPE,0,,0,
11097695,8,2005-05-05,WROIPE,0,,0,
11097695,7,2005-05-06,COMP,0,,0,
11097695,12,2005-06-03,DOCK,0,,0,
11097695,13,2005-06-03,TSSCOMP,0,,0,
11097695,14,2005-08-24,IRFND,0,,0,
11097695,15,2006-02-28,DOCK,0,,0,
11097695,16,2006-11-13,WIDS,0,,0,
11097695,16.7,2006-11-13,M844,0,,0,
11097695,17,2006-11-13,RCAP,0,,0,
11097695,25,2006-11-13,IDSC,0,,0,
11097695,18,2006-12-26,WIDS,0,,0,
11097695,18.7,2006-12-26,M844,0,,0,
11097695,19,2006-12-26,RCAP,0,,0,
11097695,24,2006-12-26,IDSC,0,,0,
11097695,20,2007-05-29,CTRS,0,,0,
11097695,21,2007-05-31,MCTRS,364,PTO,-1,
11097695,22,2007-06-29,ELC.,0,,0,
11097695,23,2007-07-17,FWDX,0,,0,
11097695,27,2007-10-01,CTNF,0,,0,
11097695,28,2007-10-09,MCTNF,0,,0,
11097695,29,2007-12-26,A...,0,,0,
11097695,30,2008-01-29,FWDX,0,,0,
11097695,31,2008-03-31,CTFR,0,,0,
11097695,32,2008-04-08,MCTFR,0,,0,
11097695,33,2008-06-05,A.NE,0,,0,
11097695,34,2008-06-13,FWDX,0,,0,
11097695,35,2008-06-24,CTAV,0,,0,
10871074,60,2009-06-26,MN/=.,0,,0,
10871074,63,2009-09-25,IFEE,0,,0,
10871074,65,2009-09-25,REAS,0,,0,
10871074,64,2009-09-25,N084,0,,0,
10871074,66,2009-10-05,PILS,0,,0,
10871074,67,2009-10-05,D1935,0,,0,
10871074,70,2009-10-21,WPIR,0,,0,
10871074,69,2009-11-10,PTAC,0,,0,
10871074,71,2009-11-10,PGM/,0,,0,
10871074,72,2010-02-09,PET.,0,,0,
10871074,73,2010-04-17,P034,0,,0,
