application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
11580645,7,2006-11-01,W/OA,0,,0,
11580645,8,2006-11-01,COMP,0,,0,
11580645,9,2006-11-01,WROIPE,0,,0,
11580645,10,2006-12-18,TSSCOMP,0,,0,
11580645,11,2007-03-19,PG-ISSUE,0,,0,
11580645,12,2007-03-19,EML_NTF,0,,0,
11580645,13,2007-03-27,PST_CRD,0,,0,
11580645,14,2007-07-02,BIG.,0,,0,
11580645,15,2007-10-13,DOCK,0,,0,
11580645,16,2008-01-31,CTNF,0,,0,
11580645,17,2008-02-06,MCTNF,55,PTO,-1,
11580645,18,2008-02-06,EML_NTF,0,,0,
11580645,19,2008-02-07,ELC_RVW,0,,0,
11580645,20,2008-05-06,WIDS,0,,0,
11580645,21,2008-05-06,A...,0,,0,
11580645,23,2008-05-06,C614,0,,0,
11580645,24,2008-05-06,DIST,0,,0,
11580645,25,2008-05-06,M844,0,,0,
11580645,27,2008-05-06,IDSC,0,,0,
11580645,22,2008-06-17,FWDX,0,,0,
11580645,26,2008-06-19,P575,0,,0,
11580645,28,2008-08-21,CTFR,0,,0,
11580645,32,2008-08-21,WIDS,0,,0,
11580645,45,2008-08-21,IDSC,0,,0,
11580645,29,2008-08-26,MCTFR,0,,0,
11888575,11,2007-08-01,RQPR,0,,0,
11888575,16,2007-08-01,IDSC,0,,0,
11888575,1,2007-08-02,IEXX,0,,0,
11888575,3,2007-08-10,SCAN,0,,0,
11888575,4,2007-08-13,L194,0,,0,
11888575,8,2007-09-06,PGPC,0,,0,
11888575,7,2007-09-07,COMP,0,,0,
11888575,9,2007-11-13,OIPE,0,,0,
11888575,12,2008-01-16,TSSCOMP,0,,0,
11888575,13,2008-02-14,PG-ISSUE,0,,0,
11888575,14,2008-03-12,TI1050,0,,0,
11888575,15,2008-04-04,DOCK,0,,0,
11888575,24,2009-08-10,CTNF,0,,0,
11888575,25,2009-08-10,MCTNF,313,PTO,-1,
11888575,26,2009-11-09,A...,0,,0,
11888575,27,2009-11-20,FWDX,0,,0,
11888575,32,2010-01-07,N/=.,0,,0,
11888575,33,2010-01-07,DVER,0,,0,
11888575,35,2010-01-11,MN/=.,0,,0,
11888575,39,2010-04-12,N084,1,APPL,35,
11888575,38,2010-04-12,IFEE,0,,0,
11888575,40,2010-04-22,PILS,0,,0,
11888575,41,2010-04-22,D1935,0,,0,
11888575,43,2010-05-25,PTAC,0,,0,
11888575,43.5,2010-05-25,PTA36M,0,PTO,0,
11923304,4,2007-11-05,L194,0,,0,
11923304,6,2007-12-05,FLRCPT.O,0,,0,
11923304,7,2007-12-05,CPAP,0,,0,
11923304,8,2007-12-17,CORRDRW,0,,0,
11923304,9,2007-12-17,ADDFLFEE,0,,0,
11923304,18,2007-12-17,C614,0,,0,
11923304,10,2007-12-28,FLRCPT.U,0,,0,
11923304,11,2007-12-28,PGPC,0,,0,
11923304,12,2008-01-16,OIPE,0,,0,
11923304,13,2008-02-08,WIDS,0,,0,
11923304,19,2008-02-08,EIDS.,0,,0,
11923304,32,2008-02-08,IDSC,0,,0,
11923304,14,2008-03-01,TSSCOMP,0,,0,
11923304,24,2008-05-15,PG-ISSUE,0,,0,
11923304,26,2009-06-11,DOCK,0,,0,
11923304,27,2009-09-28,CTRS,0,,0,
11923304,28,2009-09-30,MCTRS,280,PTO,-1,
11923304,29,2009-10-23,ELC.,0,,0,
11923304,30,2009-10-23,FWDX,0,,0,
11923304,36,2009-12-14,EXIN,0,,0,
11923304,38,2009-12-15,EX.A,0,,0,
11923304,39,2009-12-23,DOCK,0,,0,
11923304,40,2009-12-23,N/=.,0,,0,
11923304,41,2009-12-23,DVER,0,,0,
11923304,44,2010-01-13,MN/=.,0,,0,
11923304,49,2010-04-13,N084,0,,0,
11923304,48,2010-04-13,IFEE,0,,0,
11923304,50,2010-04-16,PILS,0,,0,
11923304,51,2010-04-21,D1935,0,,0,
11923304,53,2010-05-25,PTAC,0,,0,
11923304,53.5,2010-05-25,PTA36M,0,PTO,0,
11567586,2,2006-12-22,SCAN,0,,0,
11567586,3,2007-01-04,L194,0,,0,
11567586,5,2007-01-18,INCD,0,,0,
11567586,6,2007-01-18,EML_NTF,0,,0,
11567586,7,2007-01-20,ELC_RVW,0,,0,
11567586,8,2007-03-07,OATHDECL,0,,0,
11567586,9,2007-03-07,ADDFLFEE,0,,0,
11567586,10,2007-03-15,COMP,0,,0,
11567586,11,2007-03-15,PGPC,0,,0,
11567586,12,2007-04-17,OIPE,0,,0,
11567586,13,2007-04-25,TSSCOMP,0,,0,
11567586,14,2007-05-15,WIDS,0,,0,
11567586,15,2007-05-15,M844,0,,0,
