application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
12190887,6,2008-08-29,FLRCPT.O,0,,0,
12190887,7,2008-08-29,PGPC,0,,0,
12190887,8,2008-09-10,OIPE,0,,0,
12190887,11,2009-03-12,TSSCOMP,0,,0,
12190887,12,2009-04-07,DOCK,0,,0,
12190887,13,2009-06-18,DOCK,0,,0,
12190887,14,2009-10-15,PG-ISSUE,0,,0,
12190887,15,2010-03-10,CTRS,0,,0,
12190887,16,2010-03-10,MCTRS,148,PTO,-1,
12190887,17,2010-03-23,ELC.,0,,0,
12190887,18,2010-04-09,FWDX,0,,0,
12190887,25,2010-06-07,DVER,0,,0,
12339814,23,2008-12-19,RCAP,0,,0,
12339814,31,2008-12-19,IDSC,0,,0,
12339814,3,2008-12-22,SCAN,0,,0,
12339814,4,2008-12-29,L198,0,,0,
12339814,5,2009-01-30,L128,0,,0,
12339814,7,2009-02-17,INCD,0,,0,
12339814,8,2009-02-17,FLRCPT.O,0,,0,
12339814,9,2009-02-17,EML_NTF,0,,0,
12339814,10,2009-02-17,EML_NTR,0,,0,
12339814,11,2009-02-17,ELC_RVW,0,,0,
12339814,12,2009-03-19,WIDS,0,,0,
12339814,24,2009-03-19,M844,0,,0,
12339814,30,2009-03-19,IDSC,0,,0,
12339814,13,2009-03-26,CORRDRW,0,,0,
12339814,14,2009-03-26,OATHDECL,0,,0,
12339814,15,2009-03-26,ADDFLFEE,0,,0,
12339814,17,2009-04-02,PGPC,0,,0,
12339814,16,2009-04-03,FLRCPT.U,0,,0,
12339814,18,2009-04-03,EML_NTR,0,,0,
12339814,19,2009-04-24,OIPE,0,,0,
12339814,25,2009-04-29,RQPR,0,,0,
12339814,20,2009-07-09,PG-ISSUE,0,,0,
12339814,21,2009-07-10,EML_NTR,0,,0,
12339814,26,2010-01-04,DOCK,0,,0,
12339814,27,2010-01-05,DOCK,0,,0,
12339814,33,2010-04-21,DVER,0,,0,
12339814,35,2010-04-21,DOCK,0,,0,
12339814,36,2010-04-21,N/=.,0,,0,
12339814,37,2010-04-23,MN/=.,63,PTO,-1,
12339814,43,2010-07-20,N084,0,,0,
12339814,42,2010-07-20,IFEE,0,,0,
12339814,44,2010-07-20,REAS,0,,0,
12339814,45,2010-07-28,PILS,0,,0,
12339814,46,2010-07-29,D1935,0,,0,
12339814,48,2010-08-24,PTAC,0,,0,
12339814,48.5,2010-08-24,PTA36M,0,PTO,0,
11773364,1,2007-07-03,IEXX,0,,0,
11773364,2,2007-07-04,SCAN,0,,0,
11773364,3,2007-07-12,L194,0,,0,
11773364,4,2007-07-23,CPAP,0,,0,
11773364,5,2007-09-17,CORRDRW,0,,0,
11773364,6,2007-09-17,ADDFLFEE,0,,0,
11773364,10,2007-09-17,C614,0,,0,
11773364,8,2007-09-25,PGPC,0,,0,
11773364,7,2007-09-26,COMP,0,,0,
11773364,9,2007-10-25,OIPE,0,,0,
11773364,11,2007-11-17,TSSCOMP,0,,0,
11773364,12,2007-12-06,DOCK,0,,0,
11773364,13,2008-09-08,DOCK,0,,0,
11773364,14,2008-09-22,CTRS,0,,0,
11773364,15,2008-09-23,MCTRS,20,PTO,-1,
11773364,16,2008-10-23,ELC.,0,,0,
11773364,17,2008-10-25,FWDX,0,,0,
11773364,18,2009-01-05,CTNF,0,,0,
11773364,19,2009-01-05,MCTNF,0,,0,
11773364,20,2009-01-08,PG-ISSUE,0,,0,
11773364,21,2009-03-26,A...,0,,0,
11773364,23,2009-03-26,AF/D,0,,0,
11773364,22,2009-04-23,FWDX,0,,0,
11773364,24,2009-06-25,CTFR,0,,0,
11773364,25,2009-06-26,MCTFR,0,,0,
11773364,26,2009-09-02,WIDS,0,,0,
11773364,38,2009-09-02,IDSC,0,,0,
11773364,41,2009-09-02,M844,0,,0,
