application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
12176722,24,2008-11-21,EML_NTR,0,,0,
12176722,26,2009-06-19,WIDS,0,,0,
12176722,30,2009-06-19,IDSC,0,,0,
12176722,27,2009-12-21,DOCK,0,,0,
12176722,32,2010-04-12,CTNF,0,,0,
12176722,33,2010-04-16,MCTNF,207,PTO,-1,
12176722,34,2010-04-16,EML_NTF,0,,0,
12176722,35,2010-04-16,ELC_RVW,0,,0,
12176722,36,2010-04-21,WIDS,0,,0,
12176722,37,2010-04-21,EIDS.,0,,0,
12176722,40,2010-04-21,IDSC,0,,0,
12176722,38,2010-07-14,A...,0,,0,
12176722,39,2010-07-17,FWDX,0,,0,
12176722,44,2010-07-23,DVER,0,,0,
12176722,45,2010-07-23,N/=.,0,,0,
12176722,47,2010-07-27,MN/=.,0,,0,
12176722,52,2010-08-04,N084,0,,0,
12176722,51,2010-08-04,IFEE,0,,0,
12176722,53,2010-08-10,PILS,0,,0,
12176722,54,2010-08-11,D1935,0,,0,
12176722,57,2010-09-07,PTAC,0,,0,
12176722,57.5,2010-09-07,PTA36M,0,PTO,0,
11990783,40,2010-07-30,IFEE,0,,0,
11990783,41,2010-07-30,N084,0,,0,
11990783,42,2010-08-09,PILS,0,,0,
11990783,43,2010-08-09,D1935,0,,0,
11990783,45,2010-09-07,PTAC,0,,0,
11990783,45.5,2010-09-07,PTA36M,0,PTO,0,
11776256,1,2007-07-11,IEXX,0,,0,
11776256,2,2007-07-11,SCAN,0,,0,
11776256,3,2007-07-11,WIDS,0,,0,
11776256,8,2007-07-11,M844,0,,0,
11776256,9,2007-07-11,RCAP,0,,0,
11776256,16,2007-07-11,IDSC,0,,0,
11776256,10,2007-07-12,RQPR,0,,0,
11776256,4,2007-07-14,L194,0,,0,
11776256,6,2007-07-26,PGPC,0,,0,
11776256,5,2007-07-27,COMP,0,,0,
11776256,7,2007-10-25,OIPE,0,,0,
11776256,11,2007-11-15,TSSCOMP,0,,0,
11776256,12,2008-01-24,PG-ISSUE,0,,0,
11776256,13,2008-01-26,EML_NTR,0,,0,
11776256,14,2008-10-10,DOCK,0,,0,
11776256,15,2009-10-29,DOCK,0,,0,
11776256,19,2009-12-07,CTNF,0,,0,
11776256,20,2009-12-11,MCTNF,456,PTO,-1,
11776256,21,2009-12-11,EML_NTF,0,,0,
11776256,22,2009-12-11,ELC_RVW,0,,0,
11776256,23,2010-02-05,DOCK,0,,0,
11776256,24,2010-02-26,A...,0,,0,
11776256,25,2010-03-24,FWDX,0,,0,
11776256,28,2010-04-20,EXIN,0,,0,
11776256,27,2010-04-26,EX.A,0,,0,
11776256,29,2010-05-12,N/=.,0,,0,
11776256,30,2010-05-12,DVER,0,,0,
11776256,33,2010-05-17,MN/=.,0,,0,
11776256,41,2010-08-05,N084,0,,0,
11776256,40,2010-08-05,IFEE,0,,0,
11776256,43,2010-08-10,D1935,0,,0,
11776256,42,2010-08-10,PILS,0,,0,
11866177,47,2010-07-22,MM327-D,0,,0,
11866177,51,2010-08-02,A.NA,4,APPL,53,
11866177,50,2010-08-03,PILS,0,,0,
11866177,52,2010-08-04,N271,0,,0,
11866177,53,2010-08-05,MN271,0,,0,
11866177,54,2010-08-05,D1935,0,,0,
11866177,56,2010-09-07,PTAC,0,,0,
11866177,56.5,2010-09-07,PTA36M,0,PTO,0,
11813673,37,2010-04-12,N/=.,0,,0,
11813673,38,2010-04-12,DVER,0,,0,
11813673,42,2010-04-26,MN/=.,0,,0,
11813673,44,2010-05-17,FLRCPT.C,0,,0,
11813673,46,2010-05-25,FLRCPT.C,0,,0,
11813673,48,2010-07-21,FLRCPT.C,0,,0,
11813673,49,2010-07-23,IFEE,0,,0,
11813673,52,2010-07-23,N084,0,,0,
11813673,51,2010-07-30,LET.,40,APPL,0,
11813673,50,2010-08-02,FLRCPT.C,0,,0,
11813673,53,2010-08-09,PILS,0,,0,
11813673,54,2010-08-10,D1935,0,,0,
11813673,56,2010-09-07,PTAC,0,,0,
11813673,56.5,2010-09-07,PTA36M,57,PTO,0,
12264929,39,2010-06-18,DVER,0,,0,
12264929,41,2010-06-23,MN/=.,0,,0,
12264929,47,2010-07-27,IFEE,0,,0,
12264929,48,2010-07-27,N084,0,,0,
12264929,49,2010-07-30,PILS,0,,0,
12264929,50,2010-08-05,D1935,0,,0,
12264929,53,2010-09-07,PTAC,0,,0,
12264929,53.5,2010-09-07,PTA36M,0,PTO,0,
10336112,2,2003-01-10,SCAN,0,,0,
10336112,3,2003-01-22,SCAN,0,,0,
10336112,4,2003-02-11,L196,0,,0,
10336112,5,2003-02-11,L196,0,,0,
10336112,6,2003-02-11,L196,0,,0,
10336112,7,2003-02-14,COMP,0,,0,
10336112,8,2003-02-20,OIPE,0,,0,
10336112,9,2003-03-13,TI1050,0,,0,
10336112,10,2003-03-27,DOCK,0,,0,
10336112,11,2003-04-07,L197,0,,0,
10336112,12,2003-06-12,L186,0,,0,
10336112,13,2003-09-29,L197,0,,0,
10336112,14,2003-09-29,L130,0,,0,
10336112,15,2003-10-17,LET.,0,,0,
10336112,16,2003-11-25,CTNF,0,,0,
10336112,17,2003-12-01,MCTNF,0,,0,
10336112,18,2004-01-03,EXIN,0,,0,
10336112,19,2004-03-02,MEXIN,0,,0,
10336112,20,2004-03-03,A...,2,APPL,17,
10336112,22,2004-03-03,C614,0,,0,
10336112,21,2004-03-30,FWDX,0,,0,
10336112,23,2004-05-12,CTFR,0,,0,
10336112,24,2004-05-12,MCTFR,0,,0,
10336112,26,2004-07-30,LET.,0,,0,
10336112,25,2004-08-11,N/AP,0,,0,
10336112,29,2004-10-14,AP.B,0,,0,
10336112,29.1,2004-10-14,APBI,0,,0,
10336112,30,2004-10-23,FWDX,0,,0,
10336112,31,2004-10-23,TSSCOMP,0,,0,
10336112,32,2004-11-29,APEA,0,,0,
10336112,33,2004-12-03,MAPEA,114,,25,
10336112,34,2005-02-07,APOH,0,,0,
10336112,35,2005-02-07,APRB,0,,0,
10336112,36,2005-03-15,FWDX,0,,0,
10336112,41,2005-04-28,RBNE,0,,0,
10336112,42,2005-05-09,W/AC,0,,0,
10336112,43,2005-05-09,MW/AC,0,,0,
10336112,44,2005-05-09,MRBNE,0,,0,
10336112,45,2005-05-09,APBD,0,,0,
10336112,46,2005-06-08,AP.B,0,,0,
10336112,47,2005-08-17,FWDX,0,,0,
10336112,48,2005-08-18,APEA,0,,0,
10336112,49,2005-08-22,MAPEA,0,,0,
10336112,50,2005-09-08,APRB,0,,0,
10336112,52,2005-09-08,LET.,0,,0,
10336112,53,2005-09-08,APOH,0,,0,
11906178,24,2009-09-30,MCTNF,307,PTO,-1,
11906178,25,2010-02-01,XT/G,0,,0,
11906178,26,2010-02-01,A...,33,APPL,24,
11906178,27,2010-03-05,FWDX,0,,0,
11906178,29,2010-06-03,N/=.,0,,0,
11906178,30,2010-06-03,DVER,0,,0,
11906178,32,2010-06-04,MN/=.,3,PTO,26,
11906178,35,2010-08-03,IFEE,0,,0,
11906178,36,2010-08-03,N084,0,,0,
11906178,37,2010-08-04,PILS,0,,0,
11906178,38,2010-08-05,D1935,0,,0,
11906178,40,2010-09-07,PTAC,0,,0,
11906178,40.5,2010-09-07,PTA36M,0,PTO,0,
11277794,1,2006-03-29,IEXX,0,,0,
11277794,2,2006-03-30,SCAN,0,,0,
11277794,3,2006-04-06,L198,0,,0,
11277794,4,2006-04-20,L128,0,,0,
11277794,5,2006-04-24,COMP,0,,0,
11277794,6,2006-04-24,OIPE,0,,0,
11277794,7,2006-04-24,ROIPE,0,,0,
11277794,9,2006-04-24,WROIPE,0,,0,
11277794,8,2006-04-25,COMP,0,,0,
11277794,10,2007-01-08,TSSCOMP,0,,0,
11277794,11,2007-03-05,DOCK,0,,0,
11277794,12,2007-10-04,PG-ISSUE,0,,0,
11277794,13,2008-10-06,DOCK,0,,0,
11277794,14,2009-04-17,CTRS,0,,0,
11277794,15,2009-04-17,MCTRS,670,PTO,-1,
11277794,16,2009-05-14,ELC.,0,,0,
11277794,17,2009-05-21,FWDX,0,,0,
11277794,18,2009-06-01,CTNF,0,,0,
11277794,19,2009-06-02,MCTNF,0,,0,
11277794,20,2009-08-27,WIDS,0,,0,
11277794,21,2009-08-27,M844,0,,0,
11277794,22,2009-08-27,RCAP,0,,0,
11277794,23,2009-08-27,A...,0,,0,
11277794,25,2009-08-27,C614,0,,0,
11277794,26,2009-08-27,IDSC,0,,0,
11277794,24,2009-10-17,FWDX,0,,0,
11277794,27,2009-10-20,CTFR,0,,0,
11277794,28,2009-10-21,MCTFR,0,,0,
12200665,1,2008-08-28,IEXX,0,,0,
12200665,2,2008-08-28,SCAN,0,,0,
12200665,3,2008-08-29,L194,0,,0,
12200665,4,2008-09-12,FLRCPT.O,0,,0,
12200665,5,2008-09-12,PGPC,0,,0,
12200665,6,2008-09-22,OIPE,0,,0,
12200665,7,2008-11-17,TSSCOMP,0,,0,
12200665,8,2009-01-09,DOCK,0,,0,
12200665,9,2009-04-27,CTNF,0,,0,
12200665,10,2009-04-29,MCTNF,0,,0,
12200665,11,2009-08-11,XT/G,0,,0,
12200665,12,2009-08-11,A...,13,APPL,10,
12200665,13,2009-09-21,FWDX,0,,0,
12200665,14,2009-11-23,CTNF,0,,0,
11374373,49,2010-05-13,MN/=.,27,,31,
10366075,104,2010-08-16,P026,0,,0,
12184043,31,2009-09-21,ABN9,0,,0,
12184043,33,2009-09-21,FWDX,0,,0,
12184043,39,2009-09-24,DVER,0,,0,
12184043,40,2009-09-24,DOCK,0,,0,
12184043,41,2009-09-24,N/=.,0,,0,
12184043,44,2009-10-09,MN/=.,0,,0,
12184043,48,2009-12-30,IFEE,0,,0,
12184043,49,2009-12-30,N084,0,,0,
12184043,51,2010-01-08,D1935,0,,0,
12184043,50,2010-01-08,PILS,0,,0,
12184043,54,2010-01-27,WPIR,0,,0,
12184043,55,2010-01-28,EML_NTR,0,,0,
12184043,56,2010-02-04,PG-ISSUE,0,,0,
12184043,57,2010-02-05,EML_NTR,0,,0,
12184043,58,2010-02-16,PGM/,0,,0,
12184043,53,2010-02-16,PTAC,0,,0,
12184043,59,2010-08-13,PET1,0,,0,
12184043,60,2010-08-16,P034,0,,0,
12184043,53.5,2009-09-13,PTA36M,0,PTO,0,
11419831,60,2010-01-07,N084,0,,0,
11419831,62,2010-01-13,PILS,0,,0,
11419831,63,2010-01-15,D1935,0,,0,
11419831,66,2010-02-03,WPIR,0,,0,
11419831,67,2010-02-04,EML_NTR,0,,0,
11419831,68,2010-02-23,PGM/,0,,0,
11419831,65,2010-02-23,PTAC,0,,0,
11419831,69,2010-08-13,PET1,0,,0,
11419831,70,2010-08-17,P034,0,,0,
11419831,65.5,2010-02-23,PTA36M,276,PTO,0,
11776256,45,2010-09-07,PTAC,0,,0,
11776256,45.5,2010-09-07,PTA36M,58,PTO,0,
11601378,1,2006-11-17,IEXX,0,,0,
11601378,2,2006-11-22,SCAN,0,,0,
11601378,3,2006-11-30,L194,0,,0,
11601378,4,2006-12-07,INCD,0,,0,
11601378,5,2007-01-05,OATHDECL,0,,0,
11601378,6,2007-01-05,FLFEE,0,,0,
11601378,7,2007-01-19,COMP,0,,0,
11601378,8,2007-01-19,OIPE,0,,0,
11601378,9,2007-02-01,TSSCOMP,0,,0,
11601378,10,2007-02-06,DOCK,0,,0,
11601378,11,2007-10-05,DOCK,0,,0,
11601378,12,2008-05-22,PG-ISSUE,0,,0,
11601378,14,2009-02-02,CTRS,0,,0,
