application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
11008713,14,2007-01-08,DOCK,0,,0,
11008713,15,2007-07-26,DOCK,0,,0,
11008713,16,2007-08-10,CTRS,0,,0,
11008713,17,2007-08-15,MCTRS,552,PTO,-1,
11008713,18,2007-08-15,EML_NTF,0,,0,
11008713,19,2007-08-16,ELC_RVW,0,,0,
11008713,20,2008-01-24,XT/G,0,,0,
11008713,21,2008-01-24,ELC.,70,APPL,17,
11008713,22,2009-04-01,FWDX,0,,0,
11008713,31,2009-06-05,CTNF,0,,0,
11008713,32,2009-06-10,MCTNF,0,PTO,21,
11008713,33,2009-06-10,EML_NTF,0,,0,
12281062,31,2010-06-23,DOCK,0,,0,
12281062,32,2010-06-23,N/=.,0,,0,
12281062,33,2010-06-23,DVER,0,,0,
12281062,36,2010-07-13,MN/=.,0,,0,
12281062,40,2010-08-26,A.NA,13,APPL,42,
12281062,41,2010-08-31,N271,0,,0,
12281062,42,2010-09-07,MN271,0,,0,
12281062,44,2010-09-09,EML_NTR,0,,0,
12281062,45,2010-10-12,IFEE,0,,0,
12281062,46,2010-10-12,N084,0,,0,
12281062,47,2010-10-14,PILS,0,,0,
12281062,48,2010-10-14,D1935,0,,0,
12281062,50,2010-11-16,PTAC,0,,0,
12281062,50.5,2010-11-16,PTA36M,0,PTO,0,
12191236,1,2008-08-13,IEXX,0,,0,
12191236,2,2008-08-13,SCAN,0,,0,
12191236,4,2008-08-13,APPERMS,0,,0,
12191236,3,2008-08-14,L194,0,,0,
12191236,7,2008-09-02,PGPC,0,,0,
12191236,5,2008-09-03,COMP,0,,0,
12191236,6,2008-09-03,FLRCPT.O,0,,0,
12191236,8,2008-09-03,EML_NTR,0,,0,
12191236,9,2008-09-19,OIPE,0,,0,
12191236,10,2008-09-30,DOCK,0,,0,
12191236,11,2008-10-28,TSSCOMP,0,,0,
12191236,14,2009-02-13,WIDS,0,,0,
12191236,15,2009-02-13,M844,0,,0,
12191236,16,2009-02-13,IDSC,0,,0,
12191236,21,2009-07-31,CTNF,0,,0,
12191236,26,2009-07-31,WIDS,0,,0,
12191236,27,2009-07-31,M844,0,,0,
12191236,28,2009-07-31,RCAP,0,,0,
12191236,34,2009-07-31,IDSC,0,,0,
12191236,22,2009-08-04,MCTNF,0,,0,
12191236,24,2009-08-04,EML_NTF,0,,0,
12191236,25,2009-08-04,ELC_RVW,0,,0,
12191236,29,2010-01-04,XT/G,0,,0,
12191236,30,2010-01-04,A...,61,APPL,22,
12191236,31,2010-01-16,FWDX,0,,0,
12191236,32,2010-02-18,PG-ISSUE,0,,0,
12191236,33,2010-02-19,EML_NTR,0,,0,
12191236,35,2010-03-17,CTFR,0,,0,
12191236,36,2010-03-23,MCTFR,0,,0,
12191236,37,2010-03-23,EML_NTF,0,,0,
12191236,38,2010-03-23,ELC_RVW,0,,0,
12191236,39,2010-06-21,A.NE,0,,0,
12191236,40,2010-06-23,FWDX,0,,0,
12191236,42,2010-07-12,DOCK,0,,0,
12191236,43,2010-07-12,N/=.,0,,0,
12191236,44,2010-07-12,DVER,0,,0,
12191236,47,2010-07-21,MN/=.,0,,0,
12191236,49,2010-07-22,ELC_RVW,0,,0,
10593514,18,2007-06-12,OIPE,0,,0,
10593514,19,2007-08-30,PG-ISSUE,0,,0,
10593514,20,2007-10-15,F525,0,,0,
10593514,21,2007-10-17,W525,0,,0,
