application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
11878048,23,2009-09-21,C.ADB,0,,0,
11878048,24,2009-10-06,DOCK,0,,0,
11878048,25,2009-12-22,XT/G,0,,0,
11878048,26,2009-12-22,A...,61,APPL,22,
11878048,28,2009-12-22,DIST,0,APPL,26,
11878048,27,2010-01-12,FWDX,0,,0,
11878048,29,2010-02-12,P574,0,,0,
11878048,34,2010-03-12,CTFR,0,,0,
11878048,35,2010-03-17,MCTFR,0,,0,
11878048,36,2010-03-17,EML_NTF,0,,0,
11878048,37,2010-03-17,ELC_RVW,0,,0,
11878048,38,2010-07-16,XT/G,0,,0,
11878048,39,2010-07-16,A.NE,29,APPL,35,
11878048,40,2010-07-20,FWDX,0,,0,
11878048,42,2010-07-29,N/=.,0,,0,
11878048,43,2010-07-29,DVER,0,,0,
11878048,45,2010-08-03,MN/=.,0,,0,
12107016,34,2010-07-21,MN/=.,0,,0,
12107016,40,2010-08-11,M327,0,,0,
12107016,41,2010-08-11,EX.A,0,,0,
12107016,42,2010-08-13,MM327,0,,0,
12107016,43,2010-08-13,MEX.A,0,,0,
12107016,44,2010-08-13,EML_NTR,0,,0,
12107016,45,2010-08-13,EML_NTR,0,,0,
12107016,47,2010-10-21,IFEE,0,,0,
12107016,48,2010-10-21,N084,0,,0,
12107016,49,2010-10-22,PILS,0,,0,
12107016,50,2010-10-22,D1935,0,,0,
12107016,52,2010-11-30,PTAC,0,,0,
12107016,52.5,2010-11-30,PTA36M,0,PTO,0,
12110962,1,2008-04-28,IEXX,0,,0,
12110962,2,2008-04-28,WIDS,0,,0,
12110962,9,2008-04-28,M844,0,,0,
12110962,10,2008-04-28,RCAP,0,,0,
12110962,17,2008-04-28,IDSC,0,,0,
12110962,3,2008-04-30,SCAN,0,,0,
12110962,4,2008-05-07,L194,0,,0,
12110962,5,2008-05-14,COMP,0,,0,
12110962,6,2008-05-14,FLRCPT.O,0,,0,
12110962,7,2008-05-14,PGPC,0,,0,
12110962,8,2008-05-20,OIPE,0,,0,
12110962,11,2008-07-03,TSSCOMP,0,,0,
12110962,12,2008-08-21,PG-ISSUE,0,,0,
12110962,13,2009-03-24,A.PE,0,,0,
12110962,14,2009-06-27,DOCK,0,,0,
12110962,15,2009-10-06,DOCK,0,,0,
12110962,16,2009-10-21,DOCK,0,,0,
12110962,21,2009-12-06,CTNF,0,,0,
12110962,22,2009-12-09,MCTNF,164,PTO,-1,
12110962,23,2009-12-09,EML_NTF,0,,0,
12110962,24,2009-12-09,ELC_RVW,0,,0,
12110962,25,2010-03-09,A...,0,,0,
12110962,26,2010-04-01,FWDX,0,,0,
12110962,28,2010-04-29,CTFR,0,,0,
12110962,29,2010-05-04,MCTFR,0,,0,
12110962,30,2010-05-04,EML_NTF,0,,0,
12110962,31,2010-05-04,ELC_RVW,0,,0,
12110962,32,2010-07-06,A.NE,0,,0,
12110962,33,2010-07-17,FWDX,0,,0,
12002712,51,2010-11-30,PTAC,0,,0,
12002712,51.5,2010-11-30,PTA36M,0,PTO,0,
11428780,14,2008-12-09,DOCK,0,,0,
11428780,16,2008-12-24,DOCK,0,,0,
11428780,17,2009-01-06,DOCK,0,,0,
11428780,22,2009-02-02,CTNF,0,,0,
11428780,23,2009-02-05,MCTNF,519,PTO,-1,
11428780,24,2009-03-31,DOCK,0,,0,
11428780,25,2009-05-05,A...,0,,0,
11428780,26,2009-05-30,FWDX,0,,0,
11428780,27,2009-08-10,CTFR,0,,0,
11428780,28,2009-08-11,MCTFR,0,,0,
11428780,29,2009-10-07,DOCK,0,,0,
11428780,30,2009-11-09,EXIN,0,,0,
11428780,32,2009-11-11,A.NE,0,,0,
11428780,31,2009-11-13,MEXIN,0,,0,
11428780,33,2009-11-13,FWDX,0,,0,
11428780,34,2009-12-07,CTAV,0,,0,
11428780,35,2009-12-08,MCTAV,0,,0,
11428780,36,2010-01-14,BRCE,0,,0,
11428780,38,2010-01-14,RCEX,64,APPL,28,
11428780,37,2010-01-24,ABN9,0,,0,
11428780,40,2010-01-24,FWDX,0,,0,
11428780,41,2010-03-01,CTNF,0,,0,
11428780,42,2010-03-05,MCTNF,0,,0,
11428780,43,2010-05-26,EXIN,0,,0,
11428780,44,2010-06-07,MEXIN,0,,0,
11428780,45,2010-06-22,XT/G,0,,0,
11428780,46,2010-06-22,A...,17,APPL,42,
11428780,47,2010-06-29,FWDX,0,,0,
11428780,50,2010-09-03,N/=.,0,,0,
11428780,51,2010-09-03,DVER,0,,0,
11428780,53,2010-09-08,MN/=.,0,,0,
11428780,56,2010-10-26,IFEE,0,,0,
11428780,57,2010-10-26,N084,0,,0,
11428780,58,2010-10-27,PILS,0,,0,
11428780,59,2010-10-27,D1935,0,,0,
11428780,61,2010-11-30,PTAC,0,,0,
11428780,61.5,2010-01-13,PTA36M,192,PTO,0,
12764071,1,2010-04-20,IEXX,0,,0,
12764071,2,2010-04-20,SCAN,0,,0,
12764071,3,2010-04-20,WIDS,0,,0,
12764071,4,2010-04-20,WIDS,0,,0,
12764071,12,2010-04-20,PET.,0,,0,
12764071,26,2010-04-20,M844,0,,0,
12764071,27,2010-04-20,RCAP,0,,0,
12764071,34,2010-04-20,IDSC,0,,0,
12764071,36,2010-04-20,IDSC,0,,0,
12764071,5,2010-04-21,L194,0,,0,
12764071,6,2010-04-21,AERQ,0,,0,
12764071,8,2010-04-21,OIPE,0,,0,
12764071,7,2010-04-22,FLRCPT.O,0,,0,
11484008,55,2010-07-20,N/=.,0,,0,
11484008,59,2010-07-22,MN/=.,0,,0,
11484008,63,2010-10-21,IFEE,0,,0,
11484008,64,2010-10-21,N084,0,,0,
11484008,65,2010-10-25,PILS,0,,0,
11484008,67,2010-10-25,D1935,0,,0,
11484008,66,2010-10-25,D1935,0,,0,
11484008,69,2010-11-30,PTAC,0,,0,
11484008,69.5,2010-11-30,PTA36M,511,PTO,0,
11484008,29,2009-11-05,MCTRS,121,,-1,
11499824,1,2006-08-04,IEXX,0,,0,
11499824,12,2006-08-04,WIDS,0,,0,
11499824,12.7,2006-08-04,M844,0,,0,
11499824,14,2006-08-04,A.PE,0,,0,
11499824,15,2006-08-04,RCAP,0,,0,
11499824,26,2006-08-04,IDSC,0,,0,
11499824,2,2006-08-11,SCAN,0,,0,
11499824,3,2006-08-14,INCD,0,,0,
11499824,4,2006-08-14,L194,0,,0,
11499824,5,2006-09-15,OATHDECL,0,,0,
11499824,6,2006-09-15,ADDFLFEE,0,,0,
11499824,13,2006-09-15,RQPR,0,,0,
11499824,7,2006-09-29,COMP,0,,0,
11499824,8,2006-09-29,OIPE,0,,0,
11499824,9,2006-09-29,ROIPE,0,,0,
11499824,10,2006-09-29,WROIPE,0,,0,
11499824,11,2006-10-02,TSSCOMP,0,,0,
11499824,16,2007-02-08,PG-ISSUE,0,,0,
11499824,17,2007-02-12,DOCK,0,,0,
11499824,18,2008-06-10,DOCK,0,,0,
11499824,19,2010-03-12,DOCK,0,,0,
11499824,22,2010-03-22,CTRS,0,,0,
11499824,23,2010-03-24,MCTRS,670,PTO,-1,
11499824,24,2010-04-08,ELC.,0,,0,
11499824,25,2010-04-10,FWDX,0,,0,
11499824,27,2010-05-10,CTNF,0,,0,
11499824,28,2010-05-13,MCTNF,0,,0,
11499824,29,2010-07-14,WIDS,0,,0,
11499824,30,2010-07-14,M844,0,,0,
11499824,33,2010-07-14,IDSC,0,,0,
11499824,31,2010-07-28,A...,0,,0,
11499824,32,2010-08-01,FWDX,0,,0,
11499824,37,2010-08-02,DOCK,0,,0,
11499824,38,2010-08-02,N/=.,0,,0,
11499824,39,2010-08-03,DVER,0,,0,
11499824,41,2010-08-05,MN/=.,0,,0,
11499824,44,2010-10-22,IFEE,0,,0,
11499824,45,2010-10-22,N084,0,,0,
12238618,1,2008-09-26,IEXX,0,,0,
12238618,2,2008-09-26,SCAN,0,,0,
12238618,3,2008-09-27,L194,0,,0,
12238618,4,2008-10-08,FLRCPT.O,0,,0,
12151051,1,2008-05-05,IEXX,0,,0,
12151051,2,2008-05-07,SCAN,0,,0,
11906952,4,2007-10-03,NPRQ,0,,0,
11906952,1,2007-10-05,IEXX,0,,0,
11906952,2,2007-10-15,SCAN,0,,0,
11906952,3,2007-10-21,L194,0,,0,
10691571,97,2010-08-04,MN/=.,0,,0,
10691571,103,2010-10-26,N084,0,,0,
10691571,102,2010-10-26,IFEE,0,,0,
10691571,104,2010-10-28,PILS,0,,0,
10691571,105,2010-10-28,D1935,0,,0,
10691571,106,2010-10-28,D1935,0,,0,
10691571,108,2010-11-30,PTAC,0,,0,
10691571,108.5,2009-07-22,PTA36M,1002,PTO,0,
10691571,25,2008-06-02,MCTRS,587,,-1,
10995856,74,2010-05-28,MN/=.,0,,0,
10995856,82,2010-07-07,N084,0,,0,
10995856,81,2010-07-07,IFEE,0,,0,
10995856,83,2010-07-13,PILS,0,,0,
10995856,86,2010-07-13,D1935,0,,0,
10995856,84,2010-07-13,D1935,0,,0,
10995856,85,2010-07-13,D1935,0,,0,
10995856,87,2010-10-29,D1935,0,,0,
10995856,89,2010-11-30,PTAC,23,PTO,82,
10995856,89.5,2008-03-05,PTA36M,103,PTO,0,
10995856,30,2007-12-12,MCTFR,19,,27,
11801240,1,2007-05-10,IEXX,0,,0,
11801240,2,2007-05-21,SCAN,0,,0,
11801240,3,2007-05-25,L194,0,,0,
11801240,8,2007-06-05,COMP,0,,0,
11801240,9,2007-06-05,PGPC,0,,0,
11801240,13,2007-06-11,A.PE,0,,0,
11801240,10,2007-07-18,OIPE,0,,0,
11801240,11,2007-09-27,TSSCOMP,0,,0,
11801240,12,2007-09-27,PG-ISSUE,0,,0,
11801240,14,2007-10-15,F525,0,,0,
11801240,15,2007-10-17,W525,0,,0,
11801240,16,2007-12-06,DOCK,0,,0,
11801240,17,2008-02-01,WIDS,0,,0,
11801240,18,2008-02-01,M844,0,,0,
11801240,19,2008-02-01,RCAP,0,,0,
11801240,34,2008-02-01,IDSC,0,,0,
11801240,20,2008-07-09,C.AD,0,,0,
11801240,21,2009-01-16,PA..,0,,0,
11801240,22,2009-02-27,WIDS,0,,0,
11801240,23,2009-02-27,EIDS.,0,,0,
11801240,24,2009-02-27,RCAP,0,,0,
11801240,35,2009-02-27,IDSC,0,,0,
11801240,25,2009-07-07,DOCK,0,,0,
11801240,26,2009-09-08,DOCK,0,,0,
11801240,42,2009-09-23,CTNF,0,,0,
