application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
12576854,36.5,2010-12-21,PTA36M,0,PTO,.5,
12254198,4,2008-10-22,L194,0,,0,
12254198,7,2008-11-10,FLRCPT.O,0,,0,
12254198,8,2008-11-10,PGPC,0,,0,
12254198,11,2008-11-11,A.PE,0,,0,
12254198,9,2008-11-27,OIPE,0,,0,
12254198,12,2008-12-03,RQPR,0,,0,
12254198,13,2009-03-12,TSSCOMP,0,,0,
12254198,14,2009-04-23,PG-ISSUE,0,,0,
12254198,15,2009-05-15,DOCK,0,,0,
12254198,21,2010-06-21,CTNF,0,,0,
12254198,22,2010-06-25,MCTNF,187,PTO,.5,
12254198,23,2010-06-25,EML_NTF,0,,0,
12254198,24,2010-06-25,ELC_RVW,0,,0,
12254198,25,2010-07-17,C614,0,,0,
12254198,26,2010-07-17,A...,0,,0,
12254198,27,2010-07-21,FWDX,0,,0,
12254198,29,2010-09-21,N/=.,0,,0,
12254198,30,2010-09-21,EX.A,0,,0,
12254198,31,2010-09-21,DVER,0,,0,
12254198,33,2010-09-27,MN/=.,0,,0,
12254198,.5,2008-10-20,EFILE,0,,0,
12254198,39,2010-11-15,IFEE,0,,0,
12254198,41,2010-11-15,N084,0,,0,
12254198,42,2010-11-16,PILS,0,,0,
12254198,43,2010-11-17,D1935,0,,0,
12254198,45,2010-12-21,PTAC,0,,0,
12254198,45.5,2010-12-21,PTA36M,0,PTO,.5,
11861268,15,2008-04-11,TI1050,0,,0,
11861268,16,2008-07-01,WIDS,0,,0,
11861268,17,2008-07-01,EIDS.,0,,0,
11861268,21,2008-07-01,IDSC,0,,0,
11861268,18,2009-06-09,A.PE,0,,0,
11861268,19,2009-06-09,C614,0,,0,
11861268,20,2009-08-18,DOCK,0,,0,
11861268,22,2009-09-23,CTNF,0,,0,
11861268,23,2009-09-24,MCTNF,303,PTO,.5,
11861268,24,2010-03-22,XT/G,0,,0,
11861268,25,2010-03-22,A...,88,APPL,23,
11861268,27,2010-03-22,C602,0,,0,
11861268,26,2010-04-20,FWDX,0,,0,
11861268,28,2010-05-27,CTFR,0,,0,
11861268,29,2010-05-28,MCTFR,0,,0,
11861268,30,2010-07-28,A.NE,0,,0,
11861268,31,2010-07-29,FWDX,0,,0,
11861268,36,2010-08-10,DVER,0,,0,
11861268,38,2010-08-11,N/=.,0,,0,
11861268,39,2010-08-11,MN/=.,0,,0,
11861268,.5,2007-09-25,EFILE,0,,0,
11861268,41,2010-09-28,PUBTC,0,,0,
11861268,45,2010-10-12,TCPB,0,,0,
11861268,47,2010-11-11,IFEE,0,,0,
11861268,48,2010-11-11,N084,0,,0,
11861268,49,2010-11-12,PILS,0,,0,
11861268,50,2010-11-12,D1935,0,,0,
11861268,52,2010-12-21,PTAC,0,,0,
11861268,52.5,2010-12-21,PTA36M,87,PTO,.5,
11962304,15,2008-06-02,RCAP,0,,0,
11962304,29,2008-06-02,IDSC,0,,0,
11962304,16,2009-04-07,WIDS,0,,0,
11962304,17,2009-04-07,M844,0,,0,
11962304,18,2009-04-07,RCAP,0,,0,
11962304,30,2009-04-07,IDSC,0,,0,
11962304,19,2009-06-25,PG-ISSUE,0,,0,
11962304,20,2010-01-09,DOCK,0,,0,
11962304,24,2010-05-06,CTRS,0,,0,
11962304,25,2010-05-07,MCTRS,440,PTO,.5,
11962304,26,2010-05-17,ELC.,0,,0,
11962304,27,2010-05-19,FWDX,0,,0,
11962304,28,2010-06-29,DOCK,0,,0,
