application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
11305097,35,2009-06-01,RCAP,0,,0,
11305097,38,2009-06-01,IDSC,0,,0,
11305097,31,2009-06-22,WIDS,0,,0,
11305097,32,2009-06-22,M844,0,,0,
11305097,33,2009-06-22,RCAP,0,,0,
11032134,23,2007-10-30,IDSC,0,,0,
11032134,18,2008-05-29,DOCK,0,,0,
11032134,28,2008-09-02,CTNF,0,,0,
11032134,29,2008-09-02,MCTNF,671,PTO,.5,
11032134,30,2008-10-06,DOCK,0,,0,
11032134,31,2008-12-02,A...,0,,0,
11032134,32,2009-01-08,FWDX,0,,0,
11032134,34,2009-03-15,CTFR,0,,0,
11032134,35,2009-03-16,MCTFR,0,,0,
11032134,36,2009-05-26,A.NE,0,,0,
11032134,40,2009-05-26,DIST,0,,0,
11032134,67,2009-05-26,DIST,0,,0,
11032134,37,2009-05-29,FWDX,0,,0,
11032134,38,2009-06-11,CTAV,0,,0,
11032134,39,2009-06-12,MCTAV,0,,0,
11032134,41,2009-06-15,P574,0,,0,
11032134,42,2009-06-16,BRCE,0,,0,
11032134,44,2009-06-16,RCEX,0,,0,
11032134,43,2009-06-30,ABN9,0,,0,
11032134,45,2009-06-30,FWDX,0,,0,
11032134,47,2009-06-30,FWDX,0,,0,
11032134,53,2009-07-27,CTNF,0,,0,
11032134,54,2009-07-27,MCTNF,0,,0,
11032134,55,2009-08-11,EXIN,0,,0,
11032134,56,2009-08-12,MEXIN,0,,0,
11032134,57,2009-10-20,C.ADB,0,,0,
11032134,58,2009-10-20,C.ADB,0,,0,
11032134,59,2009-10-23,A...,0,,0,
11032134,60,2009-12-09,FWDX,0,,0,
11032134,63,2010-02-27,CTFR,0,,0,
11032134,64,2010-03-03,MCTFR,8,PTO,59,
11032134,65,2010-03-03,EML_NTF,0,,0,
11032134,66,2010-03-03,ELC_RVW,0,,0,
11032134,68,2010-04-19,P574,0,,0,
11032134,73,2010-04-27,EXIN,0,,0,
11032134,74,2010-05-05,MEXIN,0,,0,
11032134,76,2010-05-05,EML_NTR,0,,0,
