application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
11575945,45,2009-06-08,CTFR,0,,0,
11575945,46,2009-06-10,MCTFR,52,PTO,43,
11575945,47,2009-12-10,BRCE,0,,0,
11575945,48,2009-12-10,WIDS,0,,0,
12869263,1,2010-08-26,IEXX,0,,0,
12869263,2,2010-08-26,SCAN,0,,0,
12869263,7,2010-08-26,A.PE,0,,0,
12869263,3,2010-08-31,L194,0,,0,
12869263,4,2010-09-14,FLRCPT.O,0,,0,
12869263,5,2010-09-14,OIPE,0,,0,
12869263,6,2010-09-14,COMP,0,,0,
12869263,8,2010-10-18,DOCK,0,,0,
12869263,9,2010-11-10,WIDS,0,,0,
12869263,10,2010-11-10,EIDS.,0,,0,
12869263,11,2010-11-10,RCAP,0,,0,
12869263,16,2010-11-10,IDSC,0,,0,
12869263,19,2010-11-10,EXIN,0,,0,
12869263,21,2010-12-07,EX.A,0,,0,
12869263,22,2010-12-07,DVER,0,,0,
12869263,24,2010-12-07,DOCK,0,,0,
12869263,25,2010-12-07,N/=.,0,,0,
12869263,26,2010-12-09,MN/=.,0,,0,
12869263,.5,2010-08-26,EFILE,0,,0,
12869263,29,2010-12-23,PG-ISSUE,0,,0,
12869263,30,2011-01-04,IFEE,0,,0,
12869263,31,2011-01-04,N084,0,,0,
12869263,32,2011-01-07,PILS,0,,0,
12281156,7,2008-10-22,PGPC,0,,0,
12281156,9,2008-11-10,OIPE,0,,0,
12281156,10,2008-11-16,TSSCOMP,0,,0,
12281156,15,2008-11-26,DOCK,0,,0,
12281156,16,2008-12-17,CTRS,0,,0,
12281156,17,2008-12-18,MCTRS,0,,0,
12281156,18,2009-01-13,ELC.,0,,0,
12281156,19,2009-01-14,FWDX,0,,0,
12281156,24,2009-01-31,CTNF,0,,0,
12281156,25,2009-02-02,MCTNF,0,,0,
12281156,26,2009-02-05,PG-ISSUE,0,,0,
12281156,42,2009-02-23,M844,0,,0,
12281156,43,2009-02-23,RCAP,0,,0,
12281156,27,2009-04-28,DOCK,0,,0,
12281156,29,2009-05-01,A...,0,,0,
12281156,30,2009-06-16,FWDX,0,,0,
12281156,31,2009-06-16,C.AD,0,,0,
12281156,32,2009-07-02,PA..,0,,0,
12281156,33,2009-07-06,CTFR,0,,0,
12281156,34,2009-07-08,MCTFR,0,,0,
12281156,44,2010-01-07,M844,0,,0,
12281156,45,2010-01-07,RCAP,0,,0,
12281156,35,2010-01-08,BRCE,0,,0,
12281156,36,2010-01-08,XT/G,0,,0,
12281156,38,2010-01-08,RCEX,92,APPL,34,
12281156,41,2010-01-08,C614,0,,0,
12281156,37,2010-01-11,ABN9,0,,0,
12281156,40,2010-01-11,FWDX,0,,0,
12281156,47,2010-02-23,EXIN,0,,0,
12281156,46,2010-02-26,CTNF,0,,0,
12281156,48,2010-03-01,MCTNF,0,,0,
12281156,49,2010-03-01,MEXIN,0,,0,
12281156,50,2010-03-26,LET.,0,,0,
12281156,51,2010-09-01,AF/D,0,,0,
12281156,52,2010-09-01,XT/G,0,,0,
12281156,53,2010-09-01,A...,92,APPL,48,
12281156,54,2010-09-03,FWDX,0,,0,
12281156,55,2010-11-02,EXIN,0,,0,
12281156,57,2010-11-08,EX.A,0,,0,
12281156,59,2010-11-16,DVER,0,,0,
12281156,58,2010-11-17,N/=.,0,,0,
12281156,61,2010-11-18,MN/=.,0,,0,
12281156,.5,2007-03-02,NEFILE,0,,0,
11918654,13,2009-03-24,WIDS,0,,0,
11918654,21,2009-03-24,M844,0,,0,
11918654,22,2009-03-24,RCAP,0,,0,
11918654,28,2009-03-24,IDSC,0,,0,
11918654,23,2009-04-07,TSSCOMP,0,,0,
11918654,24,2009-05-25,DOCK,0,,0,
11918654,31,2009-06-22,CTNF,0,,0,
11918654,32,2009-07-13,MCTNF,144,PTO,10,
11918654,33,2009-10-06,DOCK,0,,0,
11918654,34,2009-12-14,XT/G,0,,0,
11918654,35,2009-12-14,A...,62,APPL,32,
11918654,35.1,2009-12-14,A.I.,0,,0,
11918654,37,2009-12-14,C614,0,,0,
11918654,41,2009-12-14,A...,0,,0,
11918654,36,2010-01-21,FWDX,0,,0,
11918654,38,2010-01-21,NINA,0,,0,
11918654,39,2010-01-25,A.IX,0,,0,
11918654,42,2010-01-25,FWDX,0,,0,
11918654,40,2010-01-26,MA.IX,0,,0,
11918654,43,2010-03-29,CTFR,0,,0,
11918654,44,2010-04-02,MCTFR,0,,0,
11918654,45,2010-04-02,EML_NTF,0,,0,
11918654,46,2010-04-02,ELC_RVW,0,,0,
11918654,47,2010-07-02,AF/D,0,,0,
11918654,48,2010-07-02,A.NE,0,,0,
11918654,49,2010-07-09,FWDX,0,,0,
11918654,50,2010-08-11,WIDS,0,,0,
11918654,51,2010-08-11,M844,40,APPL,48,
11918654,52,2010-08-11,WIDS,0,,0,
11918654,54,2010-08-11,IDSC,0,,0,
11918654,55,2010-08-11,IDSC,0,,0,
11918654,56,2010-09-23,EXIN,0,,0,
11918654,58,2010-10-01,EX.A,0,,0,
11918654,59,2010-10-01,N/=.,0,,0,
11918654,60,2010-10-01,DVER,0,,0,
