application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
12396704,17,2009-12-07,DOCK,0,,0,
12396704,26,2011-01-10,N/=.,0,,0,
12396704,27,2011-01-10,DVER,0,,0,
12396704,29,2011-01-11,MN/=.,253,PTO,.5,
12396704,.5,2009-03-03,EFILE,0,,0,
12396704,31,2011-02-09,IFEE,0,,0,
12396704,32,2011-02-09,N084,0,,0,
12396704,33,2011-02-14,PILS,0,,0,
12396704,34,2011-02-16,D1935,0,,0,
12396704,37,2011-03-15,PTAC,0,,0,
12396704,37.5,2011-03-15,PTA36M,0,PTO,.5,
11740427,1,2007-04-26,IEXX,0,,0,
11740427,2,2007-05-01,SCAN,0,,0,
11740427,3,2007-05-02,L194,0,,0,
10142192,35,2007-10-03,PACC,0,,0,
10142192,36,2007-10-04,DOCK,0,,0,
10142192,37,2007-11-06,APRB,0,,0,
10142192,38,2007-11-15,FWDX,0,,0,
10142192,39,2007-11-26,RBNE,0,,0,
10142192,40,2007-11-28,MRBNE,0,,0,
10142192,41,2007-11-29,EML_NTR,0,,0,
10142192,42,2008-03-29,APWD,0,,0,
10142192,43,2008-04-29,APAS,0,,0,
10142192,44,2008-05-02,AP_DK_M,0,,0,
10142192,45,2008-05-02,EML_NTR,0,,0,
10142192,48,2009-08-17,APDR,0,,0,
10142192,47,2009-08-19,MAPDN,0,,0,
10142192,49,2009-08-19,MAPDR,908,PTO,26,
10142192,50,2009-08-19,EML_NTF,0,,0,
10142192,51,2009-08-19,ELC_RVW,0,,0,
10142192,52,2009-10-07,DOCK,0,,0,
10142192,57,2009-10-12,A.NQ,0,,0,
10142192,53,2009-12-03,CTNF,0,,0,
10142192,54,2009-12-07,MCTNF,0,,0,
10142192,55,2009-12-07,EML_NTF,0,,0,
10142192,56,2009-12-07,ELC_RVW,0,,0,
10142192,58,2010-02-24,A...,0,,0,
10142192,59,2010-03-23,FWDX,0,,0,
10142192,60,2010-06-02,CTFR,0,,0,
10142192,61,2010-06-04,MCTFR,0,,0,
10142192,62,2010-06-04,EML_NTF,0,,0,
10142192,63,2010-06-07,ELC_RVW,0,,0,
10142192,64,2010-11-04,BRCE,0,,0,
10142192,66,2010-11-04,RCEX,61,APPL,61,
10142192,65,2010-11-07,ABN9,0,,0,
10142192,68,2010-11-07,FWDX,0,,0,
10142192,74,2010-11-08,N/=.,0,,0,
10142192,77,2010-11-08,DVER,0,,0,
10142192,78,2010-11-12,MN/=.,0,,0,
10142192,.5,2002-05-09,EFILE,0,,0,
10142192,49,2009-08-19,MAPDR,908,,26,
10142192,81,2010-11-15,ELC_RVW,0,,0,
10142192,83,2011-02-03,IFEE,0,,0,
10142192,84,2011-02-03,N084,0,,0,
11526012,55,2011-02-09,IFEE,0,,0,
11526012,56,2011-02-09,N084,0,,0,
11526012,57,2011-02-10,PILS,0,,0,
11526012,58,2011-02-11,D1935,0,,0,
11526012,60,2011-03-15,PTAC,0,,0,
11526012,60.5,2011-03-15,PTA36M,536,PTO,.5,
11526012,28,2010-02-17,MCTNF,31,,25,
12030370,26,2010-12-28,DVER,0,,0,
12030370,28,2010-12-28,MN/=.,0,,0,
12030370,.5,2008-02-13,EFILE,0,,0,
12030370,30,2011-02-09,IFEE,0,,0,
12030370,31,2011-02-09,N084,0,,0,
12030370,32,2011-02-10,PILS,0,,0,
12030370,33,2011-02-11,D1935,0,,0,
12030370,36,2011-03-15,PTAC,0,,0,
12030370,36.5,2011-03-15,PTA36M,30,PTO,.5,
12014034,36,2010-07-23,FWDX,0,,0,
12014034,38,2010-07-30,P575,0,,0,
12014034,39,2010-08-20,DIST,0,,0,
12014034,40,2010-08-20,DIST,0,,0,
12014034,41,2010-08-20,P574,0,,0,
12014034,42,2010-08-20,P575,0,,0,
12014034,50,2010-08-20,EXIN,0,,0,
12014034,55,2010-08-20,EXIN,0,,0,
12014034,43,2010-08-21,DIST,33,APPL,35,
12014034,45,2010-08-21,P574,0,,0,
12014034,51,2010-08-24,EX.A,0,,0,
12014034,52,2010-08-24,DVER,0,,0,
12014034,56,2010-08-30,EX.A,0,,0,
12014034,57,2010-08-30,N/=.,0,,0,
12014034,54,2010-08-31,PA..,0,,0,
12014034,58,2010-08-31,EML_NTR,0,,0,
12014034,59,2010-09-02,MN/=.,0,,0,
12014034,.5,2008-01-14,EFILE,0,,0,
12014034,65,2010-09-03,ELC_RVW,0,,0,
12014034,68,2010-09-09,N084,0,,0,
12014034,67,2010-09-09,IFEE,0,,0,
12014034,69,2010-09-13,PILS,0,,0,
12014034,70,2010-09-17,D1935,0,,0,
12014034,73,2011-02-18,R1021,0,,0,
12014034,74,2011-03-15,PTAC,5,PTO,68,
12014034,74.5,2011-03-15,PTA36M,60,PTO,.5,
12014034,74,2011-03-15,PTAC,60,,68,
11197590,83,2011-01-25,MM327,0,,0,
11197590,85,2011-01-25,EML_NTR,0,,0,
11197590,86,2011-02-08,LET.,36,APPL,0,
11197590,87,2011-02-09,IFEE,0,,0,
11197590,88,2011-02-09,N084,0,,0,
11197590,89,2011-02-10,PILS,0,,0,
11197590,90,2011-02-10,D1935,0,,0,
11197590,92,2011-03-15,PTAC,0,,0,
11197590,92.5,2009-03-01,PTA36M,208,PTO,.5,
12566926,29,2011-02-10,IFEE,0,,0,
12566926,30,2011-02-10,N084,0,,0,
12566926,31,2011-02-14,PILS,0,,0,
12566926,32,2011-02-14,D1935,0,,0,
12566926,34,2011-03-15,PTAC,0,,0,
12566926,34.5,2011-03-15,PTA36M,0,PTO,.5,
12161137,15,2009-03-19,DOCK,0,,0,
12161137,16,2009-10-30,DOCK,0,,0,
12161137,21,2010-03-29,CTNF,0,,0,
12161137,22,2010-04-01,MCTNF,197,PTO,8,
12161137,23,2010-07-01,A...,0,,0,
12161137,24,2010-07-10,FWDX,0,,0,
12161137,25,2010-09-13,CTFR,0,,0,
12161137,26,2010-09-15,MCTFR,0,,0,
12161137,27,2010-11-15,A.NE,0,,0,
12161137,28,2010-11-16,FWDX,0,,0,
12161137,30,2010-12-01,N/=.,0,,0,
12161137,31,2010-12-01,DVER,0,,0,
12161137,33,2010-12-02,MN/=.,0,,0,
12161137,.5,2006-12-20,NEFILE,0,,0,
12161137,36,2011-02-07,IFEE,0,,0,
12161137,37,2011-02-07,N084,0,,0,
12161137,38,2011-02-08,PILS,0,,0,
12161137,39,2011-02-09,D1935,0,,0,
12161137,41,2011-03-15,PTAC,0,,0,
12161137,41.5,2011-03-15,PTA36M,0,PTO,41.4,
12161137,41.4,2008-07-16,COMMN,0,,0,
11682394,1,2007-03-06,IEXX,0,,0,
11682394,2,2007-03-06,SCAN,0,,0,
11682394,3,2007-03-10,L194,0,,0,
11682394,7,2007-03-12,RQPR,0,,0,
11682394,5,2007-03-20,PGPC,0,,0,
11682394,4,2007-03-21,COMP,0,,0,
11682394,6,2007-04-17,OIPE,0,,0,
11682394,8,2007-05-08,TSSCOMP,0,,0,
11682394,9,2007-07-20,DOCK,0,,0,
11682394,10,2007-08-15,DOCK,0,,0,
11682394,11,2008-02-22,C.AD,0,,0,
11682394,12,2008-02-28,PG-ISSUE,0,,0,
11682394,13,2009-05-22,DOCK,0,,0,
11391941,72,2011-03-15,PTAC,0,,0,
11391941,72.5,2011-03-15,PTA36M,716,PTO,.5,
11391941,38,2009-10-08,MCTNF,193,,.5,
11648305,1,2006-12-29,IEXX,0,,0,
11648305,2,2007-01-07,SCAN,0,,0,
11648305,3,2007-01-17,L194,0,,0,
11648305,4,2007-02-05,INCD,0,,0,
11648305,5,2007-04-23,CORRDRW,0,,0,
11648305,6,2007-04-23,OATHDECL,0,,0,
11648305,7,2007-04-23,ADDFLFEE,0,,0,
11648305,8,2007-05-11,COMP,0,,0,
11648305,9,2007-05-11,PGPC,0,,0,
11648305,10,2007-05-15,OIPE,0,,0,
11648305,11,2007-06-05,TSSCOMP,0,,0,
11648305,12,2008-01-23,DOCK,0,,0,
11648305,13,2008-07-03,PG-ISSUE,0,,0,
11648305,14,2009-04-30,DOCK,0,,0,
11648305,15,2009-07-30,C.AD,0,,0,
11648305,16,2009-08-03,PA..,0,,0,
11648305,17,2009-08-13,DOCK,0,,0,
11648305,18,2009-11-09,CTNF,0,,0,
11648305,19,2009-11-12,MCTNF,622,PTO,.5,
11648305,20,2010-02-02,A...,0,,0,
11648305,21,2010-03-03,FWDX,0,,0,
11648305,22,2010-04-02,CTFR,0,,0,
11648305,23,2010-04-05,MCTFR,0,,0,
11648305,24,2010-05-18,A.NE,0,,0,
11648305,25,2010-05-22,FWDX,0,,0,
11648305,26,2010-05-28,CTAV,0,,0,
11648305,27,2010-06-01,MCTAV,0,,0,
11648305,28,2010-07-06,BRCE,0,,0,
11648305,30,2010-07-06,RCEX,1,APPL,23,
11648305,29,2010-07-07,ABN9,0,,0,
11648305,32,2010-07-07,FWDX,0,,0,
11648305,33,2010-08-12,CTNF,0,,0,
11648305,34,2010-08-13,MCTNF,0,,0,
11648305,35,2010-10-26,A...,0,,0,
11648305,36,2010-11-02,FWDX,0,,0,
