application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
12406429,50,2011-04-20,PILS,0,,0,
12406429,51,2011-04-28,D1935,0,,0,
12406429,54,2011-05-31,PTAC,0,,0,
12406429,54.5,2011-05-31,PTA36M,0,PTO,.5,
12533527,1,2009-07-31,IEXX,0,,0,
12533527,2,2009-07-31,SCAN,0,,0,
12533527,14,2009-07-31,A.PE,0,,0,
12533527,3,2009-08-04,L194,0,,0,
12533527,4,2009-08-19,INCD,0,,0,
12533527,5,2009-08-19,FLRCPT.O,0,,0,
12533527,6,2009-08-27,FLFEE,0,,0,
12533527,7,2009-09-08,FLRCPT.U,0,,0,
12533527,8,2009-09-08,OIPE,0,,0,
12533527,9,2009-12-17,PG-ISSUE,0,,0,
12533527,10,2010-01-06,WIDS,0,,0,
12533527,11,2010-01-06,EIDS.,0,,0,
12533527,13,2010-01-06,EIDS.,0,,0,
12533527,15,2010-01-06,IDSC,0,,0,
12533527,12,2010-03-31,DOCK,0,,0,
12533527,18,2010-07-20,CTNF,0,,0,
12533527,19,2010-07-22,MCTNF,0,,0,
12533527,20,2010-10-01,A...,0,,0,
12533527,21,2010-10-10,FWDX,0,,0,
12533527,22,2010-10-16,DOCK,0,,0,
12533527,23,2010-12-18,CTFR,0,,0,
12533527,24,2010-12-21,MCTFR,0,,0,
12533527,25,2011-01-21,EXIN,0,,0,
12533527,26,2011-01-24,MEXIN,0,,0,
12533527,27,2011-01-28,BRCE,0,,0,
12533527,29,2011-01-28,RCEX,0,,0,
12394915,1,2009-02-27,IEXX,0,,0,
12394915,2,2009-02-27,WIDS,0,,0,
12394915,4,2009-02-27,PDREQUST,0,,0,
12394915,9,2009-02-27,EIDS.,0,,0,
12394915,10,2009-02-27,RCAP,0,,0,
12394915,15,2009-02-27,IDSC,0,,0,
12394915,3,2009-03-02,SCAN,0,,0,
12273938,26,2010-12-08,MCTNF,0,,0,
12273938,27,2010-12-30,A...,0,,0,
12273938,28,2011-01-06,FWDX,0,,0,
12273938,32,2011-01-21,EX.A,0,,0,
12273938,33,2011-01-21,N/=.,0,,0,
12273938,34,2011-01-21,DVER,0,,0,
12273938,36,2011-01-24,MN/=.,0,,0,
12273938,.5,2008-11-19,EFILE,0,,0,
12273938,40,2011-04-21,IFEE,0,,0,
12273938,41,2011-04-21,N084,0,,0,
