application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
12355224,19,2010-07-22,PG-ISSUE,0,,0,
12355224,20,2010-09-28,C.AD,0,,0,
12355224,21,2010-10-01,PA..,0,,0,
12355224,22,2010-10-20,DOCK,0,,0,
12355224,27,2010-11-03,CTNF,0,,0,
12355224,28,2010-11-04,MCTNF,233,PTO,.5,
12355224,29,2011-02-03,A...,0,,0,
12355224,30,2011-02-07,FWDX,0,,0,
12355224,31,2011-02-07,WIDS,0,,0,
12355224,32,2011-02-07,EIDS.,4,APPL,29,
12355224,33,2011-02-07,IDSC,0,,0,
12355224,35,2011-02-14,N/=.,0,,0,
12355224,36,2011-02-14,DVER,0,,0,
12355224,38,2011-02-17,MN/=.,0,,0,
12355224,.5,2009-01-16,EFILE,0,,0,
12355224,43,2011-05-17,IFEE,0,,0,
12355224,44,2011-05-17,N084,0,,0,
12355224,45,2011-05-18,PILS,0,,0,
12355224,46,2011-05-18,D1935,0,,0,
12355224,47,2011-05-18,D1935,0,,0,
12355224,49,2011-06-28,PTAC,0,,0,
12355224,49.5,2011-06-28,PTA36M,0,PTO,.5,
11356328,52,2010-01-14,PG-ISSUE,0,,0,
11356328,53,2010-06-24,BRCE,0,,0,
11356328,54,2010-06-24,XT/G,0,,0,
11356328,56,2010-06-24,RCEX,92,APPL,51,
11356328,55,2010-06-26,ABN9,0,,0,
11356328,58,2010-06-26,FWDX,0,,0,
11356328,59,2010-09-08,WIDS,0,,0,
11356328,60,2010-09-08,EIDS.,0,,0,
11356328,61,2010-09-08,IDSC,0,,0,
11356328,62,2010-10-08,CTNF,0,,0,
11356328,63,2010-10-12,MCTNF,0,,0,
11356328,65,2010-10-25,WIDS,0,,0,
11356328,70,2010-10-25,IDSC,0,,0,
11356328,66,2010-11-10,WIDS,0,,0,
11356328,67,2010-11-10,EIDS.,0,,0,
11356328,71,2010-11-10,IDSC,0,,0,
11356328,68,2011-01-12,A...,0,,0,
11356328,69,2011-01-15,FWDX,0,,0,
11356328,73,2011-02-16,DVER,0,,0,
11356328,75,2011-02-16,N/=.,0,,0,
11356328,76,2011-02-17,MN/=.,0,,0,
11356328,.5,2006-02-16,EFILE,0,,0,
11356328,78,2011-03-30,WIDS,0,,0,
11356328,79,2011-03-30,M844,10,APPL,83,
11356328,81,2011-03-30,IDSC,0,,0,
11356328,82,2011-04-07,M327,0,,0,
11356328,83,2011-04-08,MM327,0,,0,
11356328,84,2011-04-18,WIDS,0,,0,
11356328,85,2011-04-18,M844,22,APPL,88,
11356328,86,2011-04-18,IDSC,0,,0,
11356328,87,2011-05-09,M327,0,,0,
11356328,88,2011-05-09,MM327,0,,0,
11356328,89,2011-05-17,IFEE,0,,0,
11356328,90,2011-05-17,N084,0,,0,
11356328,91,2011-05-18,PILS,0,,0,
11356328,92,2011-05-20,D1935,0,,0,
11356328,94,2011-06-28,PTAC,0,,0,
11356328,94.5,2009-02-25,PTA36M,9,PTO,.5,
12190784,1,2008-08-13,IEXX,0,,0,
12190784,2,2008-08-13,SCAN,0,,0,
12190784,4,2008-08-13,NPRQ,0,,0,
12190784,3,2008-08-14,L194,0,,0,
12190784,5,2008-08-26,COMP,0,,0,
12190784,6,2008-08-26,FLRCPT.O,0,,0,
12190784,7,2008-08-26,PGPC,0,,0,
12190784,8,2008-09-01,OIPE,0,,0,
12190784,9,2008-10-24,TSSCOMP,0,,0,
12190784,10,2008-12-19,DOCK,0,,0,
12190784,11,2010-04-15,DOCK,0,,0,
12190784,15,2010-10-07,C.AD,0,,0,
12190784,16,2010-10-07,C.AD,0,,0,
12190784,17,2010-10-21,C.AD,0,,0,
12190784,18,2010-10-25,PA..,0,,0,
12190784,19,2010-10-25,EML_NTR,0,,0,
12190784,20,2010-10-27,CTNF,0,,0,
12190784,21,2010-11-01,MCTNF,384,PTO,.5,
12190784,22,2010-11-01,EML_NTF,0,,0,
12320114,1,2009-01-16,IEXX,0,,0,
12320114,10,2009-01-16,CLAIM,0,,0,
12320114,11,2009-01-16,TRNCLAIM,0,,0,
12320114,2,2009-01-27,SCAN,0,,0,
12320114,3,2009-01-29,L194,0,,0,
12320114,4,2009-02-12,FLRCPT.O,0,,0,
12320114,5,2009-02-12,INCD,0,,0,
12320114,6,2009-08-12,APPERMS,0,,0,
12320114,7,2009-08-12,TRNSPEC,0,,0,
12320114,8,2009-08-12,CORRDRW,0,,0,
12320114,9,2009-08-12,OATHDECL,0,,0,
12320114,12,2009-08-12,FLFEE,0,,0,
12320114,18,2009-08-12,A.PE,0,,0,
12320114,13,2009-08-21,FLRCPT.U,0,,0,
12320114,14,2009-08-21,PGPC,0,,0,
12320114,15,2009-08-21,PA..,0,,0,
12320114,16,2009-09-03,OIPE,0,,0,
12320114,17,2009-12-03,PG-ISSUE,0,,0,
12320114,19,2010-06-10,DOCK,0,,0,
12320114,20,2010-09-17,DOCK,0,,0,
12320114,29,2011-02-08,EXIN,0,,0,
12320114,26,2011-02-10,A.PE,0,,0,
12320114,28,2011-02-18,DVER,0,,0,
12320114,30,2011-02-18,DOCK,0,,0,
12065636,36,2011-01-07,CTFR,0,,0,
12065636,37,2011-01-12,MCTFR,0,,0,
12065636,38,2011-01-12,EML_NTF,0,,0,
