application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
11853632,16,2009-07-09,MM327,0,,0,
11853632,17,2009-11-10,DOCK,0,,0,
11853632,27,2010-08-30,CTNF,0,,0,
11853632,28,2010-09-01,MCTNF,659,PTO,.5,
11853632,29,2010-12-01,WIDS,0,,0,
11853632,30,2010-12-01,EIDS.,0,,0,
11853632,31,2010-12-01,A...,0,,0,
11853632,33,2010-12-01,IDSC,0,,0,
11853632,32,2010-12-13,FWDX,0,,0,
11853632,35,2011-03-10,DOCK,0,,0,
11853632,36,2011-03-10,N/=.,0,,0,
11853632,38,2011-03-11,DVER,0,,0,
11853632,40,2011-03-14,MN/=.,0,,0,
11853632,.5,2007-09-11,EFILE,0,,0,
11748458,50,2009-01-13,IDSC,0,,0,
11748458,56,2009-01-13,RCAP,0,,0,
11748458,41,2009-03-27,WIDS,0,,0,
11748458,42,2009-03-27,EIDS.,0,,0,
11748458,49,2009-03-27,IDSC,0,,0,
11748458,43,2009-04-19,BRCE,0,,0,
11748458,44,2009-04-19,XT/G,0,,0,
11748458,46,2009-04-19,RCEX,32,APPL,38,
11748458,45,2009-05-04,ABN9,0,,0,
11748458,47,2009-05-04,FWDX,0,,0,
11748458,48,2009-06-01,DOCK,0,,0,
11748458,51,2009-06-08,CTNF,0,,0,
11748458,52,2009-06-10,MCTNF,0,,0,
11748458,53,2009-06-11,WIDS,0,,0,
11748458,57,2009-06-11,EIDS.,0,,0,
11748458,58,2009-06-11,RCAP,0,,0,
11748458,64,2009-06-11,IDSC,0,,0,
11748458,54,2009-06-18,WIDS,0,,0,
11748458,55,2009-06-18,EIDS.,0,,0,
11748458,59,2009-06-18,RCAP,0,,0,
11748458,63,2009-06-18,IDSC,0,,0,
11748458,60,2009-12-10,XT/G,0,,0,
11748458,61,2009-12-10,A...,91,APPL,52,
11748458,62,2009-12-22,FWDX,0,,0,
11748458,65,2010-02-26,CTFR,0,,0,
11748458,66,2010-03-03,MCTFR,0,,0,
11748458,67,2010-03-03,EML_NTF,0,,0,
11748458,68,2010-03-03,ELC_RVW,0,,0,
11748458,69,2010-09-03,BRCE,0,,0,
11748458,70,2010-09-03,XT/G,0,,0,
11748458,72,2010-09-03,RCEX,92,APPL,66,
11748458,71,2010-09-08,ABN9,0,,0,
11748458,74,2010-09-08,FWDX,0,,0,
11748458,76,2011-02-15,DVER,0,,0,
11748458,79,2011-02-28,N/=.,0,,0,
11748458,81,2011-03-04,MN/=.,60,PTO,72,
11748458,.5,2007-05-14,EFILE,0,,0,
11748458,86,2011-06-03,IFEE,0,,0,
11748458,87,2011-06-03,N084,0,,0,
12190678,42,2010-07-28,MCTNF,288,PTO,.5,
12190678,43,2010-07-28,EML_NTF,0,,0,
12190678,44,2010-07-28,ELC_RVW,0,,0,
12190678,45,2010-12-23,XT/G,0,,0,
12190678,46,2010-12-23,A...,56,APPL,42,
12190678,47,2011-01-11,FWDX,0,,0,
12190678,49,2011-03-10,DVER,0,,0,
12190678,50,2011-03-10,N/=.,0,,0,
12190678,52,2011-03-14,MN/=.,0,,0,
12190678,.5,2008-08-13,EFILE,0,,0,
12190678,57,2011-06-14,IFEE,0,,0,
12190678,58,2011-06-14,N084,0,,0,
12190678,60,2011-06-15,D1935,0,,0,
12190678,59,2011-06-15,PILS,0,,0,
12190678,62,2011-07-19,PTAC,0,,0,
12190678,62.5,2011-07-19,PTA36M,0,PTO,.5,
11676906,1,2007-02-20,IEXX,0,,0,
11676906,7,2007-02-20,WIDS,0,,0,
11676906,7.7,2007-02-20,M844,0,,0,
11676906,8,2007-02-20,RCAP,0,,0,
11676906,31,2007-02-20,IDSC,0,,0,
11676906,10,2007-02-21,RQPR,0,,0,
11676906,2,2007-02-28,SCAN,0,,0,
11676906,3,2007-03-02,L194,0,,0,
11676906,5,2007-03-09,PGPC,0,,0,
11676906,4,2007-03-12,COMP,0,,0,
11676906,6,2007-04-17,OIPE,0,,0,
11676906,11,2007-04-23,TSSCOMP,0,,0,
11676906,12,2007-07-03,DOCK,0,,0,
11676906,13,2007-08-23,PG-ISSUE,0,,0,
11676906,14,2008-06-11,WIDS,0,,0,
11676906,15,2008-06-11,M844,0,,0,
11676906,30,2008-06-11,IDSC,0,,0,
11676906,16,2009-05-22,DOCK,0,,0,
11676906,17,2009-10-07,DOCK,0,,0,
11676906,18,2009-11-12,DOCK,0,,0,
11676906,19,2010-01-26,DOCK,0,,0,
11676906,20,2010-02-02,DOCK,0,,0,
11676906,32,2010-03-15,CTNF,0,,0,
11676906,33,2010-03-19,MCTNF,671,PTO,.5,
11676906,34,2010-03-19,EML_NTF,0,,0,
11676906,35,2010-03-19,ELC_RVW,0,,0,
11953522,19,2009-01-27,WIDS,0,,0,
11953522,23,2009-01-27,EIDS.,0,,0,
