application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
10935169,41,2009-01-21,A.NE,0,,0,
10935169,42,2009-01-24,FWDX,0,,0,
10935169,43,2009-02-02,CTAV,0,,0,
10935169,44,2009-02-03,MCTAV,0,,0,
10935169,45,2009-02-20,BRCE,0,,0,
10935169,46,2009-02-20,XT/G,0,,0,
10935169,48,2009-02-20,RCEX,22,APPL,34,
10935169,47,2009-03-06,ABN9,0,,0,
10935169,49,2009-03-06,FWDX,0,,0,
10935169,51,2009-03-06,FWDX,0,,0,
10935169,58,2009-04-23,CTNF,0,,0,
10935169,59,2009-04-24,MCTNF,0,,0,
10935169,62,2009-07-23,A...,0,,0,
10935169,60,2009-08-06,EXIN,0,,0,
10935169,61,2009-08-13,MEXIN,0,,0,
10935169,64,2009-09-11,LET.,0,,0,
10935169,63,2009-09-27,FWDX,0,,0,
10935169,68,2009-12-01,CTFR,0,,0,
10935169,69,2009-12-02,MCTFR,9,PTO,62,
10935169,70,2010-01-22,A.NE,0,,0,
10935169,71,2010-01-26,FWDX,0,,0,
10935169,72,2010-01-28,CTAV,0,,0,
10935169,73,2010-01-29,MCTAV,0,,0,
10935169,74,2010-02-18,BRCE,0,,0,
10935169,76,2010-02-18,RCEX,0,,0,
12446993,1,2009-04-24,IEXX,0,,0,
12446993,7,2009-04-24,371COMP,0,,0,
12446993,13,2009-04-24,RQPR,0,,0,
12446993,2,2009-04-25,SCAN,0,,0,
12446993,3,2009-04-25,L194,0,,0,
12446993,6,2010-01-04,PGPC,0,,0,
12446993,4,2010-01-05,M903,0,,0,
12446993,5,2010-01-05,FLRCPT.O,0,,0,
12446993,8,2010-01-05,EML_NTR,0,,0,
12446993,9,2010-01-05,EML_NTR,0,,0,
12446993,10,2010-01-12,OIPE,0,,0,
12446993,11,2010-04-15,PG-ISSUE,0,,0,
12446993,12,2010-04-16,EML_NTR,0,,0,
12446993,14,2010-11-10,WIDS,0,,0,
12446993,15,2010-11-10,EIDS.,0,,0,
12446993,16,2010-11-10,RCAP,0,,0,
12446993,22,2010-11-10,IDSC,0,,0,
12446993,17,2011-03-11,DOCK,0,,0,
12446993,18,2011-04-04,DOCK,0,,0,
12446993,24,2011-04-25,EX.A,0,,0,
12446993,25,2011-04-26,N/=.,0,,0,
12446993,26,2011-04-26,DVER,0,,0,
12446993,28,2011-05-05,MN/=.,315,PTO,7,
12446993,.5,2007-11-19,NEFILE,0,,0,
12446993,34,2011-06-14,IFEE,0,,0,
12446993,35,2011-06-14,N084,0,,0,
12446993,36,2011-06-16,PILS,0,,0,
11167870,1,2005-06-27,IEXX,0,,0,
11167870,2,2005-07-08,SCAN,0,,0,
11785902,25,2007-04-20,IDSC,0,,0,
11785902,2,2007-05-05,SCAN,0,,0,
11785902,3,2007-05-07,L194,0,,0,
11785902,6,2007-05-15,COMP,0,,0,
11785902,7,2007-05-15,PGPC,0,,0,
11785902,8,2007-06-20,OIPE,0,,0,
11785902,10,2007-08-23,PG-ISSUE,0,,0,
11785902,13,2007-10-05,TSSCOMP,0,,0,
11785902,14,2007-10-16,F525,0,,0,
11785902,15,2007-10-17,W525,0,,0,
11785902,16,2008-02-25,DOCK,0,,0,
11785902,17,2009-08-06,A.PE,0,,0,
11785902,18,2009-10-27,WIDS,0,,0,
11785902,19,2009-10-27,M844,0,,0,
11785902,26,2009-10-27,IDSC,0,,0,
11785902,20,2010-03-27,DOCK,0,,0,
11785902,27,2010-09-10,CTRS,0,,0,
11785902,28,2010-09-10,MCTRS,669,PTO,.5,
11785902,29,2010-10-12,ELC.,0,,0,
11785902,30,2010-10-14,FWDX,0,,0,
11785902,31,2010-10-19,CTNF,0,,0,
11785902,32,2010-10-20,MCTNF,0,,0,
11785902,33,2011-03-21,XT/G,0,,0,
11785902,34,2011-03-21,A...,60,APPL,32,
11785902,35,2011-03-23,FWDX,0,,0,
11785902,40,2011-04-04,N/=.,0,,0,
11785902,41,2011-04-04,DVER,0,,0,
11785902,43,2011-04-05,MN/=.,0,,0,
11785902,.5,2007-04-20,EFILE,0,,0,
11785902,46,2011-06-27,IFEE,0,,0,
11785902,47,2011-06-27,N084,0,,0,
11785902,48,2011-06-29,PILS,0,,0,
11785902,49,2011-06-29,D1935,0,,0,
11785902,51,2011-08-02,PTAC,0,,0,
11785902,51.5,2011-08-02,PTA36M,469,PTO,.5,
11785902,28,2010-09-10,MCTRS,143,,.5,
10311465,1,2002-12-16,IEXX,0,,0,
10311465,5,2002-12-16,WIDS,0,,0,
10311465,5.7,2002-12-16,M844,0,,0,
10311465,28,2002-12-16,IDSC,0,,0,
10311465,3,2003-06-26,OIPE,0,,0,
10311465,2,2003-06-27,M903,0,,0,
10311465,48,2003-08-27,CFRPT,0,,0,
10311465,4,2003-10-29,L194,0,,0,
10311465,6,2004-03-04,RCAP,0,,0,
10311465,7,2004-03-04,TSSCOMP,0,,0,
10311465,8,2004-03-10,DOCK,0,,0,
10311465,9,2005-01-13,DOCK,0,,0,
10311465,10,2005-04-20,DOCK,0,,0,
10311465,11,2005-05-12,DOCK,0,,0,
10311465,12,2006-06-30,DOCK,0,,0,
10311465,13,2007-08-22,DOCK,0,,0,
10311465,14,2007-10-15,F525,0,,0,
10311465,15,2007-10-15,F525,0,,0,
10311465,16,2007-10-17,W525,0,,0,
10311465,17,2007-10-17,W525,0,,0,
10311465,18,2008-01-28,DOCK,0,,0,
10311465,29,2008-04-12,CTNF,0,,0,
10311465,30,2008-04-21,MCTNF,957,PTO,-1,
10311465,31,2008-08-19,DOCK,0,,0,
10311465,32,2008-10-20,XT/G,0,,0,
10311465,33,2008-10-20,A...,91,APPL,30,
10311465,33.1,2008-10-20,A.I.,0,,0,
10311465,34,2008-11-03,FWDX,0,,0,
10311465,35,2008-12-15,NINA,0,,0,
10311465,36,2009-01-15,XT/G,0,,0,
09993992,1,2001-11-14,IEXX,0,,0,
09993992,2,2001-12-03,SCAN,0,,0,
09993992,3,2001-12-10,C.AD,0,,0,
09993992,5,2001-12-10,INCD,0,,0,
09993992,6,2002-02-11,OATHDECL,0,,0,
09993992,7,2002-02-11,ADDFLFEE,0,,0,
09993992,8,2002-03-04,COMP,0,,0,
09993992,9,2002-03-07,OIPE,0,,0,
09993992,10,2002-03-29,DOCK,0,,0,
09993992,13,2002-04-01,RCAP,0,,0,
09993992,18,2002-04-01,WIDS,0,,0,
09993992,18.7,2002-04-01,M844,0,,0,
09993992,12,2002-04-23,DOCK,0,,0,
09993992,14,2004-04-15,TSSCOMP,0,,0,
09993992,15,2004-08-30,LET.,0,,0,
09993992,17,2005-03-07,LET.,0,,0,
09993992,16,2005-04-05,DOCK,0,,0,
09993992,19,2005-09-22,DOCK,0,,0,
09993992,20,2005-09-26,LET.,0,,0,
09993992,21,2006-06-30,DOCK,0,,0,
09993992,22,2006-09-11,DOCK,0,,0,
09993992,23,2006-11-06,DOCK,0,,0,
09993992,24,2007-01-08,CTNF,0,,0,
09993992,25,2007-02-08,MCTNF,823,PTO,.5,
09993992,26,2007-06-08,XT/G,0,,0,
09993992,27,2007-06-08,A...,31,APPL,25,
09993992,27.1,2007-06-08,A.I.,0,,0,
12216906,1,2008-07-11,IEXX,0,,0,
12216906,2,2008-07-11,WIDS,0,,0,
12216906,5,2008-07-11,PDREQUST,0,,0,
12216906,10,2008-07-11,M844,0,,0,
12216906,16,2008-07-11,IDSC,0,,0,
12216906,3,2008-07-18,SCAN,0,,0,
12216906,4,2008-07-21,L194,0,,0,
12216906,6,2008-08-06,COMP,0,,0,
12216906,7,2008-08-06,FLRCPT.O,0,,0,
12216906,8,2008-08-06,PGPC,0,,0,
12216906,9,2008-09-01,OIPE,0,,0,
12216906,11,2008-10-31,RQPR,0,,0,
12216906,12,2008-11-12,TSSCOMP,0,,0,
12216906,13,2009-01-29,PG-ISSUE,0,,0,
12216906,14,2009-05-13,DOCK,0,,0,
12216906,15,2010-10-26,DOCK,0,,0,
12216906,19,2010-11-08,CTNF,0,,0,
12216906,20,2010-12-07,MCTNF,452,PTO,.5,
12262694,1,2008-10-31,IEXX,0,,0,
12262694,2,2008-10-31,SCAN,0,,0,
11358428,57,2010-07-22,RCEX,0,,0,
11358428,56,2010-07-23,ABN9,0,,0,
11358428,59,2010-07-23,FWDX,0,,0,
11358428,60,2010-07-29,CTNF,0,,0,
11358428,61,2010-07-30,MCTNF,0,,0,
11358428,62,2010-08-18,WIDS,0,,0,
11358428,63,2010-08-18,M844,0,,0,
11358428,66,2010-08-18,IDSC,0,,0,
11358428,64,2010-10-29,A...,0,,0,
11358428,65,2010-10-30,FWDX,0,,0,
11358428,68,2010-11-14,EXIN,0,,0,
11358428,69,2010-11-15,EX.A,0,,0,
11358428,70,2010-11-21,N/=.,0,,0,
11358428,71,2010-11-21,DVER,0,,0,
11358428,73,2010-11-22,MN/=.,0,,0,
11358428,74,2010-11-22,MEX.A,0,,0,
11358428,77,2011-02-22,BRCE,0,,0,
11358428,78,2011-02-22,WIDS,0,,0,
11358428,80,2011-02-22,RCEX,0,,0,
11358428,81,2011-02-22,M844,0,,0,
11358428,82,2011-02-22,RCAP,0,,0,
11358428,83,2011-02-22,IDSC,0,,0,
11358428,79,2011-02-23,ABN9,0,,0,
11358428,88,2011-03-03,N/=.,0,,0,
11358428,89,2011-03-03,DVER,0,,0,
11358428,91,2011-03-11,MN/=.,0,,0,
11358428,.5,2006-02-22,EFILE,0,,0,
11358428,93,2011-06-13,IFEE,0,,0,
11358428,94,2011-06-13,N084,2,APPL,91,
11358428,95,2011-06-14,PILS,0,,0,
11358428,96,2011-06-14,D1935,0,,0,
11358428,97,2011-06-14,D1935,0,,0,
11358428,99,2011-08-02,PTAC,0,,0,
11358428,99.5,2010-07-21,PTA36M,514,PTO,.5,
11591606,1,2006-11-02,IEXX,0,,0,
11591606,2,2006-11-07,SCAN,0,,0,
11591606,3,2006-11-08,L194,0,,0,
11591606,5,2006-11-16,OIPE,0,,0,
11591606,4,2006-11-17,COMP,0,,0,
11591606,6,2006-11-17,ROIPE,0,,0,
11591606,7,2006-11-17,WROIPE,0,,0,
11591606,8,2006-12-01,WIDS,0,,0,
11591606,8.7,2006-12-01,M844,0,,0,
11591606,9,2006-12-01,RQPR,0,,0,
11591606,19,2006-12-01,IDSC,0,,0,
11591606,10,2006-12-18,TSSCOMP,0,,0,
11591606,12,2007-10-15,F525,0,,0,
11591606,13,2007-10-17,W525,0,,0,
11591606,14,2007-12-06,PG-ISSUE,0,,0,
11591606,15,2007-12-09,DOCK,0,,0,
11591606,16,2008-10-07,DOCK,0,,0,
11591606,17,2008-10-07,DOCK,0,,0,
11591606,18,2009-02-26,DOCK,0,,0,
11591606,20,2009-03-30,CTNF,0,,0,
11591606,21,2009-04-07,MCTNF,461,PTO,.5,
11591606,22,2009-06-24,EXIN,0,,0,
11591606,24,2009-07-07,C614,0,,0,
11591606,25,2009-07-07,A...,0,,0,
11591606,23,2009-07-08,MEXIN,0,,0,
11591606,26,2009-08-13,FWDX,0,,0,
11801745,67,2010-12-21,EIDS.,12,APPL,64,
11801745,68,2010-12-21,IDSC,0,,0,
11801745,70,2011-02-28,EX.A,0,,0,
11801745,71,2011-03-01,N/=.,0,,0,
11801745,72,2011-03-01,DVER,0,,0,
11801745,74,2011-03-02,MN/=.,0,,0,
11801745,.5,2007-05-09,EFILE,0,,0,
11801745,77,2011-03-29,WIDS,0,,0,
11801745,78,2011-03-29,IDSC,0,,0,
11801745,81,2011-03-29,M844,23,APPL,84,
11801745,82,2011-04-07,RCAP,0,,0,
11801745,83,2011-04-19,M327,0,,0,
11801745,84,2011-04-20,MM327,0,,0,
11801745,87,2011-05-05,M844,15,APPL,91,
11801745,89,2011-05-05,IDSC,0,,0,
11801745,86,2011-05-05,WIDS,0,,0,
11801745,88,2011-05-06,RCAP,0,,0,
11801745,90,2011-05-19,M327,0,,0,
11801745,91,2011-05-19,MM327,0,,0,
11801745,92,2011-06-02,IFEE,0,,0,
11801745,95,2011-06-02,A.NA,22,APPL,98,
11801745,93,2011-06-02,N084,0,,0,
11801745,94,2011-06-03,PILS,0,,0,
11801745,96,2011-06-17,N271,0,,0,
11801745,98,2011-06-23,MN271,0,,0,
11801745,99,2011-06-29,D1935,0,,0,
11801745,101,2011-08-02,PTAC,0,,0,
11801745,101.5,2010-02-28,PTA36M,0,PTO,.5,
12885534,1,2010-09-19,IEXX,0,,0,
12885534,3,2010-09-19,SCAN,0,,0,
12885534,5,2010-09-19,NPRQ,0,,0,
12885534,4,2010-09-24,L194,0,,0,
12885534,7,2010-10-04,OIPE,0,,0,
12885534,6,2010-10-05,FLRCPT.O,0,,0,
12885534,8,2010-10-05,EML_NTR,0,,0,
12885534,9,2010-10-05,COMP,0,,0,
12885534,10,2010-10-20,WIDS,0,,0,
12885534,11,2010-10-20,M844,0,,0,
