application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
12640743,24,2009-12-17,M844,0,,0,
12640743,25,2009-12-17,RCAP,0,,0,
12640743,26,2009-12-17,A.PE,0,,0,
12640743,4,2009-12-25,L194,0,,0,
12640743,6,2010-01-07,CRFE,0,,0,
12640743,8,2010-01-08,OIPE,0,,0,
12640743,7,2010-01-11,FLRCPT.O,0,,0,
12640743,9,2010-01-11,PA..,0,,0,
12640743,10,2010-01-11,EML_NTR,0,,0,
12640743,11,2010-01-11,EML_NTR,0,,0,
12640743,12,2010-01-21,C.AD,0,,0,
12640743,13,2010-01-21,PA..,0,,0,
12640743,14,2010-02-02,DOCK,0,,0,
12640743,18,2010-02-19,CTNF,0,,0,
12640743,19,2010-02-23,MCTNF,0,,0,
12640743,20,2010-04-22,PG-ISSUE,0,,0,
12640743,21,2010-06-16,XT/G,0,,0,
12640743,22,2010-06-16,A...,24,APPL,19,
12640743,23,2010-06-22,FWDX,0,,0,
12640743,27,2010-08-24,CTFR,0,,0,
12640743,28,2010-08-25,MCTFR,0,,0,
12640743,29,2010-11-19,BRCE,0,,0,
12640743,31,2010-11-19,RCEX,0,,0,
12640743,30,2010-11-23,ABN9,0,,0,
12640743,33,2010-11-23,FWDX,0,,0,
12640743,34,2011-01-05,CTNF,0,,0,
12640743,35,2011-01-06,MCTNF,0,,0,
12640743,36,2011-04-04,A...,0,,0,
12239079,5,2008-10-17,FLRCPT.O,0,,0,
12239079,6,2008-10-17,PGPC,0,,0,
12239079,7,2008-10-23,OIPE,0,,0,
12239079,10,2009-01-09,TSSCOMP,0,,0,
12239079,11,2009-01-13,DOCK,0,,0,
12239079,12,2009-04-09,PG-ISSUE,0,,0,
12239079,13,2009-04-17,WIDS,0,,0,
12239079,14,2009-04-17,EIDS.,0,,0,
12239079,24,2009-04-17,IDSC,0,,0,
12239079,19,2010-09-22,CTRS,0,,0,
12239079,20,2010-09-23,MCTRS,301,PTO,.5,
12239079,21,2010-10-05,ELC.,0,,0,
12239079,22,2010-10-06,FWDX,0,,0,
12239079,25,2010-11-04,CTNF,0,,0,
12239079,26,2010-11-05,MCTNF,0,,0,
12239079,27,2011-02-25,WIDS,0,,0,
12239079,28,2011-02-25,WIDS,0,,0,
12239079,29,2011-02-25,EIDS.,0,,0,
12239079,30,2011-02-25,EIDS.,0,,0,
12239079,31,2011-02-25,XT/G,0,,0,
12239079,32,2011-02-25,A...,20,APPL,26,
12239079,34,2011-02-25,IDSC,0,,0,
12239079,35,2011-02-25,IDSC,0,,0,
12239079,33,2011-03-04,FWDX,0,,0,
12239079,37,2011-04-22,EX.A,0,,0,
12239079,38,2011-04-25,DOCK,0,,0,
12239079,39,2011-04-25,N/=.,0,,0,
12239079,40,2011-04-26,EX.A,0,,0,
12239079,44,2011-04-26,DVER,0,,0,
12239079,48,2011-04-29,MN/=.,0,,0,
12239079,.5,2008-09-26,EFILE,0,,0,
12239079,55,2011-07-21,IFEE,0,,0,
12239079,56,2011-07-21,N084,0,,0,
12239079,58,2011-07-27,D1935,0,,0,
12239079,57,2011-07-27,PILS,0,,0,
12239079,60,2011-09-06,PTAC,0,,0,
11816022,14,2008-04-13,371COMP,0,,0,
11816022,11,2008-08-14,FLRCPT.O,0,,0,
11816022,12,2008-08-14,M903,0,,0,
11816022,13,2008-08-14,PGPC,0,,0,
11816022,15,2008-08-28,OIPE,0,,0,
11816022,21,2008-11-05,TSSCOMP,0,,0,
11816022,22,2008-12-08,DOCK,0,,0,
11816022,23,2008-12-11,PG-ISSUE,0,,0,
11816022,26,2010-09-07,CTRS,0,,0,
11816022,27,2010-09-07,MCTRS,451,PTO,14,
11816022,28,2010-12-02,XT/G,0,,0,
11816022,29,2010-12-02,ELC.,0,,0,
11816022,30,2010-12-06,FWDX,0,,0,
11816022,35,2010-12-20,CTNF,0,,0,
11816022,36,2010-12-27,MCTNF,0,,0,
11816022,37,2011-03-23,WIDS,0,,0,
11816022,38,2011-03-23,A...,0,,0,
11816022,40,2011-03-23,M844,0,APPL,38,
11816022,41,2011-03-23,IDSC,0,,0,
11816022,39,2011-03-27,FWDX,0,,0,
11816022,42,2011-04-29,EXIN,0,,0,
11816022,44,2011-05-04,MEXIN,0,,0,
11816022,46,2011-05-04,EX.A,0,,0,
11816022,47,2011-05-05,DOCK,0,,0,
11816022,48,2011-05-05,N/=.,0,,0,
11816022,49,2011-05-05,DVER,0,,0,
11816022,53,2011-05-06,MN/=.,0,,0,
11816022,.5,2006-05-11,NEFILE,0,,0,
11816022,55,2011-05-25,CRFT,0,,0,
11816022,56,2011-06-24,PUBTC,0,,0,
11816022,58,2011-06-27,TCPB,0,,0,
11816022,60,2011-07-28,C.AD,0,,0,
11816022,61,2011-07-29,PA..,0,,0,
11816022,62,2011-07-29,IFEE,0,,0,
11816022,63,2011-07-29,N084,0,,0,
11816022,65,2011-08-01,D1935,0,,0,
11816022,64,2011-08-01,PILS,0,,0,
11816022,67,2011-09-06,PTAC,0,,0,
11994949,33,2011-05-02,N/=.,0,,0,
11994949,34,2011-05-02,DVER,0,,0,
11994949,39,2011-05-04,MN/=.,0,,0,
11994949,.5,2006-07-05,NEFILE,0,,0,
11994949,43,2011-07-25,N084,0,,0,
11994949,42,2011-07-25,IFEE,0,,0,
11994949,44,2011-07-25,BIG.,0,,0,
11994949,45,2011-07-26,PILS,0,,0,
11994949,46,2011-07-26,D1935,0,,0,
11994949,48,2011-09-06,PTAC,0,,0,
11994949,48.5,2011-09-06,PTA36M,242,PTO,48.4,
11994949,48.4,2008-01-07,COMMN,0,,0,
11770171,11,2007-09-28,COMP,0,,0,
11770171,13,2007-10-31,OIPE,0,,0,
11770171,16,2007-11-08,TSSCOMP,0,,0,
11770171,17,2008-01-02,DOCK,0,,0,
11770171,18,2008-05-13,DOCK,0,,0,
11770171,19,2008-10-09,PG-ISSUE,0,,0,
11770171,20,2008-10-10,EML_NTR,0,,0,
11770171,21,2009-08-17,CTRS,0,,0,
11770171,22,2009-08-24,MCTRS,361,PTO,.5,
11770171,23,2009-08-24,EML_NTF,0,,0,
11770171,24,2009-08-26,ELC_RVW,0,,0,
11770171,25,2009-09-24,ELC.,0,,0,
11770171,26,2009-10-28,FWDX,0,,0,
11770171,27,2010-01-05,DOCK,0,,0,
11770171,28,2010-01-11,DOCK,0,,0,
11770171,32,2010-01-19,CTNF,0,,0,
11770171,33,2010-01-26,MCTNF,2,PTO,25,
11770171,34,2010-01-26,EML_NTF,0,,0,
11770171,35,2010-01-27,ELC_RVW,0,,0,
11770171,36,2010-04-23,A...,0,,0,
11770171,37,2010-05-01,FWDX,0,,0,
11770171,39,2010-06-21,CTFR,0,,0,
11770171,40,2010-06-25,MCTFR,0,,0,
11770171,41,2010-06-25,EML_NTF,0,,0,
11770171,42,2010-06-25,ELC_RVW,0,,0,
11770171,43,2010-08-25,A.NE,0,,0,
11770171,44,2010-08-25,FWDX,0,,0,
11770171,45,2010-08-30,CTAV,0,,0,
11770171,46,2010-09-07,MCTAV,0,,0,
11770171,47,2010-09-07,EML_NTR,0,,0,
11770171,48,2010-09-23,BRCE,0,,0,
11770171,50,2010-09-23,RCEX,0,,0,
11770171,49,2010-09-26,ABN9,0,,0,
11770171,52,2010-09-26,FWDX,0,,0,
11770171,53,2010-11-08,CTNF,0,,0,
11770171,54,2010-11-12,MCTNF,0,,0,
11770171,55,2010-11-12,EML_NTF,0,,0,
11770171,56,2010-11-12,ELC_RVW,0,,0,
11770171,57,2011-02-14,A...,2,APPL,54,
11770171,58,2011-02-15,FWDX,0,,0,
11770171,61,2011-04-26,DVER,0,,0,
11770171,63,2011-04-26,N/=.,0,,0,
11770171,64,2011-05-05,MN/=.,0,,0,
11760876,41,2009-01-09,WIDS,0,,0,
11760876,42,2009-01-09,IDSC,0,,0,
11760876,45,2009-01-09,M844,32,APPL,39,
11760876,43,2009-01-26,CTFR,0,,0,
11760876,44,2009-01-28,MCTFR,0,,0,
11760876,46,2009-04-01,EXIN,0,,0,
11760876,47,2009-04-03,MEXIN,0,,0,
11760876,48,2009-04-28,A.NE,0,,0,
11760876,49,2009-05-01,FWDX,0,,0,
11760876,50,2009-05-04,CTAV,0,,0,
11760876,51,2009-05-05,MCTAV,0,,0,
11760876,52,2009-05-28,BRCE,0,,0,
11760876,53,2009-05-28,XT/G,0,,0,
11760876,55,2009-05-28,RCEX,30,APPL,44,
11760876,54,2009-06-03,ABN9,0,,0,
11760876,56,2009-06-03,FWDX,0,,0,
11760876,58,2009-06-03,FWDX,0,,0,
11760876,63,2009-07-16,M844,49,APPL,55,
11760876,64,2009-07-16,RCAP,0,,0,
11760876,67,2009-07-16,WIDS,0,,0,
11760876,68,2009-07-16,IDSC,0,,0,
11760876,59,2009-08-17,CTNF,0,,0,
11760876,60,2009-08-20,MCTNF,0,,0,
