application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
11020629,59,2009-08-06,APBR,0,,0,
11020629,64,2009-09-28,CTNF,0,,0,
11020629,65,2009-09-29,MCTNF,252,,52,
11020629,66,2009-10-07,DOCK,0,,0,
11020629,67,2010-02-04,XT/G,0,,0,
11020629,68,2010-02-04,A...,37,APPL,65,
11020629,69,2010-03-10,FWDX,0,,0,
11020629,70,2010-03-15,CTNF,0,,0,
11020629,71,2010-03-17,MCTNF,0,,0,
11020629,73,2010-06-03,WIDS,0,,0,
11020629,74,2010-06-03,M844,0,,0,
11020629,78,2010-06-03,IDSC,0,,0,
11020629,75,2010-08-17,XT/G,0,,0,
11020629,76,2010-08-17,A...,61,APPL,71,
11020629,77,2010-08-20,FWDX,0,,0,
11724816,48,2011-03-31,MN/=.,0,,0,
11724816,50,2011-05-19,BRCE,0,,0,
11724816,51,2011-05-19,WIDS,0,,0,
11724816,56,2011-05-19,RCEX,0,,0,
11724816,57,2011-05-19,M844,0,,0,
11724816,58,2011-05-19,RCAP,0,,0,
11724816,59,2011-05-19,LET.,0,,0,
11724816,61,2011-05-19,IDSC,0,,0,
11724816,55,2011-05-24,ABN9,0,,0,
11724816,63,2011-06-29,N/=.,0,,0,
11724816,64,2011-06-29,DVER,0,,0,
11724816,67,2011-06-30,MN/=.,0,,0,
11724816,.5,2007-03-15,EFILE,0,,0,
11724816,71,2011-09-27,N084,0,,0,
11724816,70,2011-09-27,BIG.,0,,0,
11724816,69,2011-09-27,IFEE,0,,0,
11724816,73,2011-10-06,D1935,0,,0,
11724816,72,2011-10-06,PILS,0,,0,
11724816,75,2011-11-08,PTAC,0,,0,
11724816,75.5,2011-05-18,PTA36M,429,PTO,.5,
11987703,37,2011-04-14,N/=.,0,,0,
11987703,38,2011-04-19,MN/=.,0,,0,
11987703,39,2011-04-19,MEX.A,0,,0,
11987703,40,2011-04-19,EML_NTF,0,,0,
11987703,41,2011-04-19,EML_NTR,0,,0,
11987703,42,2011-04-19,ELC_RVW,0,,0,
11987703,44,2011-05-31,PUBTC,0,,0,
11987703,46,2011-06-14,IFEE,0,,0,
11987703,47,2011-06-14,N084,0,,0,
11987703,48,2011-06-17,TCPB,0,,0,
11987703,49,2011-06-17,PILS,0,,0,
11987703,50,2011-06-17,D1935,0,,0,
11987703,53,2011-07-06,WPIR,0,,0,
11987703,54,2011-07-11,BRCE,0,,0,
11987703,55,2011-07-11,PET.,0,,0,
11987703,56,2011-07-11,WFIS,0,,0,
11987703,57,2011-07-11,P015,0,,0,
11987703,58,2011-07-11,MP015,0,,0,
11987703,59,2011-07-11,WIDS,0,,0,
11987703,61,2011-07-11,M844,0,,0,
11987703,63,2011-07-11,RCEX,0,,0,
11987703,64,2011-07-11,RCAP,0,,0,
11987703,65,2011-07-11,IDSC,0,,0,
11987703,60,2011-07-14,EML_NTR,0,,0,
11987703,62,2011-07-14,ABN9,0,,0,
11987703,67,2011-07-18,N/=.,0,,0,
11987703,68,2011-07-18,DVER,0,,0,
11987703,73,2011-08-09,MN/=.,0,,0,
11987703,.5,2007-12-04,EFILE,0,,0,
11987703,78,2011-09-06,IFEE,0,,0,
11987703,79,2011-09-06,N084,0,,0,
11987703,80,2011-10-06,D1935,0,,0,
11987703,81,2011-10-06,D1935,0,,0,
11987703,82,2011-10-06,D1935,0,,0,
11987703,84,2011-11-08,PTAC,0,,0,
11987703,84.5,2011-07-10,PTA36M,218,PTO,.5,
11620054,43,2011-08-12,EXIN,0,,0,
11620054,44,2011-08-12,EX.A,0,,0,
11620054,45,2011-08-12,EX.R,0,,0,
11620054,46,2011-08-26,N/=.,0,,0,
11620054,51,2011-08-31,MN/=.,0,,0,
11620054,.5,2007-01-05,EFILE,0,,0,
11620054,55,2011-09-22,IFEE,0,,0,
11620054,57,2011-09-22,N084,0,,0,
11620054,58,2011-10-11,PILS,0,,0,
11620054,59,2011-10-12,D1935,0,,0,
11620054,61,2011-11-08,PTAC,0,,0,
11620054,61.5,2011-11-08,PTA36M,672,PTO,.5,
11620054,27,2010-10-07,MCTNF,275,,.5,
11900927,42,2011-09-23,IFEE,0,,0,
11900927,45,2011-09-23,A.NA,14,APPL,47,
11900927,44,2011-09-23,REAS,0,,0,
11900927,43,2011-09-23,N084,0,,0,
11900927,48,2011-10-04,PILS,0,,0,
11900927,46,2011-10-04,N271,0,,0,
11900927,49,2011-10-05,D1935,0,,0,
11900927,47,2011-10-06,MN271,0,,0,
11900927,50,2011-10-06,EML_NTR,0,,0,
11900927,52,2011-11-08,PTAC,0,,0,
11900927,52.5,2011-11-08,PTA36M,421,PTO,.5,
11900927,34,2011-06-29,MN/=.,289,,.5,
11907127,1,2007-10-09,IEXX,0,,0,
11907127,2,2007-10-09,WIDS,0,,0,
11907127,14,2007-10-09,RQPR,0,,0,
11907127,15,2007-10-09,M844,0,,0,
11907127,16,2007-10-09,RCAP,0,,0,
11907127,27,2007-10-09,IDSC,0,,0,
11907127,3,2007-10-19,SCAN,0,,0,
11907127,5,2007-10-22,L198,0,,0,
11907127,6,2007-10-28,L128,0,,0,
11907127,7,2007-11-07,FLRCPT.O,0,,0,
11907127,8,2007-11-07,CPAP,0,,0,
11907127,9,2007-11-13,CORRDRW,0,,0,
11907127,10,2007-11-13,ADDFLFEE,0,,0,
11907127,11,2007-11-20,FLRCPT.U,0,,0,
11907127,12,2007-11-20,PGPC,0,,0,
11907127,13,2008-01-16,OIPE,0,,0,
11907127,17,2008-03-03,TSSCOMP,0,,0,
11907127,18,2008-05-10,TI1050,0,,0,
11907127,19,2008-05-23,TI1050,0,,0,
11907127,20,2008-07-23,DOCK,0,,0,
11907127,21,2008-07-31,PG-ISSUE,0,,0,
11907127,22,2010-11-18,DOCK,0,,0,
11907127,28,2011-01-14,CTNF,0,,0,
11907127,29,2011-01-20,MCTNF,669,PTO,.5,
11907127,30,2011-04-19,A...,0,,0,
11907127,31,2011-04-28,FWDX,0,,0,
11907127,34,2011-06-20,EX.R,0,,0,
11907127,37,2011-06-20,N/=.,0,,0,
11907127,38,2011-06-20,DVER,0,,0,
11907127,42,2011-06-22,MN/=.,0,,0,
