application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
11582693,78.5,2010-08-15,PTA36M,300,PTO,.5,
12284806,2,2008-09-24,WIDS,0,,0,
12284806,15,2008-09-24,M844,0,,0,
12284806,16,2008-09-24,RCAP,0,,0,
12284806,24,2008-09-24,IDSC,0,,0,
12284806,1,2008-09-26,IEXX,0,,0,
12284806,3,2008-10-13,SCAN,0,,0,
12284806,4,2008-10-16,L194,0,,0,
12284806,5,2008-10-24,FLRCPT.O,0,,0,
12284806,6,2008-10-24,INCD,0,,0,
12284806,7,2008-10-31,OATHDECL,0,,0,
12284806,8,2008-10-31,ADDFLFEE,0,,0,
12284806,9,2008-11-18,INCR,0,,0,
12284806,10,2008-12-18,CORRDRW,0,,0,
12284806,11,2008-12-18,ADDFLFEE,0,,0,
12284806,12,2009-01-06,FLRCPT.U,0,,0,
12284806,13,2009-01-06,PGPC,0,,0,
12284806,14,2009-01-19,OIPE,0,,0,
12284806,17,2009-03-19,TSSCOMP,0,,0,
12284806,18,2009-04-07,DOCK,0,,0,
12284806,19,2009-10-02,DOCK,0,,0,
12284806,21,2009-11-09,WIDS,0,,0,
12284806,22,2009-11-09,M844,0,,0,
12284806,23,2009-11-09,RCAP,0,,0,
12284806,25,2009-11-09,IDSC,0,,0,
12284806,26,2009-11-09,IDSC,0,,0,
12284806,30,2010-02-19,CTNF,0,,0,
12284806,31,2010-02-22,MCTNF,90,PTO,.5,
12284806,32,2010-03-25,PG-ISSUE,0,,0,
12284806,33,2010-07-22,XT/G,0,,0,
12284806,34,2010-09-02,PET.,0,,0,
12284806,41,2010-09-02,A...,103,APPL,31,
12284806,35,2010-10-21,DOCK,0,,0,
12284806,36,2010-11-30,PTDI,0,,0,
12284806,37,2010-11-30,MPTDI,0,,0,
12284806,38,2010-12-10,PET.,0,,0,
12284806,39,2011-02-24,PREV,0,,0,
12284806,40,2011-02-24,MPREV,0,,0,
12284806,42,2011-03-08,FWDX,0,,0,
12284806,43,2011-03-14,CTFR,0,,0,
12284806,44,2011-03-18,MCTFR,75,PTO,41,
12284806,45,2011-07-14,BRCE,0,,0,
12284806,47,2011-07-14,RCEX,26,APPL,44,
12284806,46,2011-07-15,ABN9,0,,0,
12284806,49,2011-07-15,FWDX,0,,0,
12284806,53,2011-08-09,EXIN,0,,0,
12284806,54,2011-08-09,EX.A,0,,0,
12284806,55,2011-08-09,EX.R,0,,0,
12284806,56,2011-08-15,DOCK,0,,0,
12284806,57,2011-08-15,N/=.,0,,0,
12284806,58,2011-08-15,DVER,0,,0,
12284806,64,2011-08-22,MN/=.,0,,0,
12284806,.5,2008-09-24,EFILE,0,,0,
12284806,67,2011-10-21,IFEE,0,,0,
12284806,68,2011-10-21,N084,0,,0,
12284806,70,2011-11-01,D1935,0,,0,
12284806,69,2011-11-01,PILS,0,,0,
12867559,46,2011-09-30,N271,0,,0,
12867559,49,2011-10-03,D1935,0,,0,
12867559,47,2011-10-04,MN271,0,,0,
12867559,50,2011-10-04,EML_NTR,0,,0,
12867559,52,2011-11-29,PTAC,0,,0,
12867559,52.5,2011-11-29,PTA36M,0,PTO,52.4,
12867559,52.4,2010-08-16,COMMN,0,,0,
12116568,1,2008-05-07,IEXX,0,,0,
12116568,2,2008-05-07,SCAN,0,,0,
12116568,3,2008-05-10,L194,0,,0,
12116568,4,2008-05-27,INCD,0,,0,
12116568,5,2008-05-27,FLRCPT.O,0,,0,
12116568,6,2008-06-19,WIDS,0,,0,
12116568,17,2008-06-19,EIDS.,0,,0,
12116568,35,2008-06-19,IDSC,0,,0,
12116568,7,2008-06-25,APPERMS,0,,0,
12116568,8,2008-06-25,OATHDECL,0,,0,
12116568,9,2008-06-25,ADDFLFEE,0,,0,
12116568,18,2008-06-25,RQPR,0,,0,
12116568,10,2008-06-30,COMP,0,,0,
12116568,11,2008-06-30,FLRCPT.U,0,,0,
12116568,12,2008-06-30,PGPC,0,,0,
12116568,13,2008-07-01,WIDS,0,,0,
12116568,19,2008-07-01,M844,0,,0,
12116568,34,2008-07-01,IDSC,0,,0,
12116568,14,2008-07-23,OIPE,0,,0,
12116568,15,2008-10-09,PG-ISSUE,0,,0,
12116568,16,2008-10-10,EML_NTR,0,,0,
12116568,20,2008-10-28,TSSCOMP,0,,0,
12116568,21,2008-11-12,DOCK,0,,0,
12116568,22,2008-11-14,DOCK,0,,0,
12116568,23,2009-04-02,DOCK,0,,0,
12116568,24,2009-04-28,DOCK,0,,0,
12116568,25,2009-07-16,DOCK,0,,0,
12116568,26,2009-11-13,WIDS,0,,0,
12116568,27,2009-11-13,EIDS.,0,,0,
12116568,33,2009-11-13,IDSC,0,,0,
12116568,28,2010-05-24,WIDS,0,,0,
12116568,29,2010-05-24,EIDS.,0,,0,
12116568,32,2010-05-24,IDSC,0,,0,
12116568,36,2010-09-27,CTNF,0,,0,
12116568,37,2010-10-01,MCTNF,451,PTO,.5,
12116568,38,2010-10-01,EML_NTF,0,,0,
12116568,39,2010-10-01,ELC_RVW,0,,0,
12116568,41,2010-10-05,WIDS,0,,0,
11783891,1,2007-04-12,IEXX,0,,0,
11783891,2,2007-04-24,INCD,0,,0,
11783891,3,2007-10-24,WIDS,0,,0,
11783891,4,2007-10-24,TRNSPEC,0,,0,
11783891,5,2007-10-24,CORRDRW,0,,0,
11783891,6,2007-10-24,TRNCLAIM,0,,0,
11783891,7,2007-10-24,OATHDECL,0,,0,
11783891,8,2007-10-24,FLFEE,0,,0,
11783891,16,2007-10-24,A.PE,0,,0,
11783891,17,2007-10-24,RQPR,0,,0,
11783891,18,2007-10-24,M844,0,,0,
11783891,29,2007-10-24,IDSC,0,,0,
11783891,9,2007-11-02,SCAN,0,,0,
11783891,10,2007-11-06,FLRCPT.U,0,,0,
12935415,46,2011-10-27,D1935,0,,0,
12935415,45,2011-10-27,PILS,0,,0,
12935415,48,2011-11-29,PTAC,0,,0,
12935415,48.5,2011-11-29,PTA36M,0,PTO,48.4,
12935415,48.4,2010-10-22,COMMN,0,,0,
12390897,1,2009-02-23,IEXX,0,,0,
12390897,2,2009-02-23,SCAN,0,,0,
12390897,7,2009-02-23,CLAIM,0,,0,
12390897,3,2009-02-24,L194,0,,0,
12390897,4,2009-03-11,FLRCPT.O,0,,0,
12390897,5,2009-03-11,INCD,0,,0,
12390897,6,2009-04-30,OATHDECL,0,,0,
12390897,8,2009-04-30,FLFEE,0,,0,
12390897,19,2009-04-30,A.PE,0,,0,
12390897,9,2009-05-14,FLRCPT.U,0,,0,
12390897,10,2009-05-14,PGPC,0,,0,
12390897,11,2009-06-01,OIPE,0,,0,
12390897,12,2009-06-17,WIDS,0,,0,
12390897,15,2009-06-17,EIDS.,0,,0,
12390897,20,2009-06-17,EIDS.,0,,0,
12390897,34,2009-06-17,IDSC,0,,0,
12390897,13,2009-07-10,WIDS,0,,0,
12390897,16,2009-07-10,EIDS.,0,,0,
12390897,21,2009-07-10,M844,0,,0,
12390897,36,2009-07-10,IDSC,0,,0,
12390897,14,2009-07-22,DOCK,0,,0,
12390897,17,2009-08-20,PG-ISSUE,0,,0,
12390897,18,2009-08-21,EML_NTR,0,,0,
12390897,22,2009-12-02,DOCK,0,,0,
12390897,23,2009-12-18,WIDS,0,,0,
12390897,28,2009-12-18,EIDS.,0,,0,
12390897,37,2009-12-18,IDSC,0,,0,
12390897,24,2010-01-19,WIDS,0,,0,
12390897,25,2010-01-19,WIDS,0,,0,
12390897,26,2010-01-19,EIDS.,0,,0,
12390897,27,2010-01-19,EIDS.,0,,0,
12390897,29,2010-01-19,EIDS.,0,,0,
12390897,38,2010-01-19,IDSC,0,,0,
12390897,39,2010-01-19,IDSC,0,,0,
12390897,30,2010-04-01,WIDS,0,,0,
12390897,31,2010-04-01,EIDS.,0,,0,
12390897,40,2010-04-01,IDSC,0,,0,
12390897,32,2010-10-06,DOCK,0,,0,
12390897,41,2011-04-14,CTNF,0,,0,
12956601,1,2010-11-30,IEXX,0,,0,
12956601,2,2010-11-30,SCAN,0,,0,
12956601,3,2010-11-30,WIDS,0,,0,
12956601,8,2010-11-30,M844,0,,0,
12956601,9,2010-11-30,RCAP,0,,0,
12956601,14,2010-11-30,IDSC,0,,0,
12956601,4,2010-12-05,L194,0,,0,
12956601,5,2010-12-13,FLRCPT.O,0,,0,
12956601,6,2010-12-13,OIPE,0,,0,
12956601,7,2010-12-13,COMP,0,,0,
12956601,10,2011-01-04,DOCK,0,,0,
12956601,15,2011-01-04,CTNF,0,,0,
12956601,16,2011-01-06,MCTNF,0,,0,
12956601,17,2011-02-17,PA..,0,,0,
12956601,18,2011-03-24,PG-ISSUE,0,,0,
12956601,19,2011-04-06,A...,0,,0,
12688960,1,2010-01-18,IEXX,0,,0,
12688960,2,2010-01-18,SCAN,0,,0,
12688960,4,2010-01-18,WIDS,0,,0,
12688960,6,2010-01-18,CRFL,0,,0,
12688960,11,2010-01-18,EIDS.,0,,0,
12688960,24,2010-01-18,IDSC,0,,0,
12688960,3,2010-01-19,L194,0,,0,
12688960,5,2010-02-01,CRFE,0,,0,
12688960,8,2010-02-03,OIPE,0,,0,
12688960,7,2010-02-04,FLRCPT.O,0,,0,
12688960,9,2010-02-04,EML_NTR,0,,0,
12688960,10,2010-02-17,DOCK,0,,0,
12688960,13,2010-04-16,CTRS,0,,0,
12688960,14,2010-04-20,MCTRS,0,,0,
12688960,15,2010-04-20,EML_NTF,0,,0,
