application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
11850102,35,2010-09-15,SA..,58,APPL,33,
11850102,36,2010-09-17,FWDX,0,,0,
11850102,38,2010-11-22,CTFR,0,,0,
11850102,39,2010-11-24,MCTFR,0,PTO,33,
11850102,40,2010-11-24,EML_NTF,0,,0,
11850102,41,2010-11-24,ELC_RVW,0,,0,
11850102,42,2011-03-24,XT/G,0,,0,
11850102,43,2011-03-24,A.NE,28,APPL,39,
11850102,44,2011-03-25,FWDX,0,,0,
11850102,49,2011-05-22,CTAV,0,,0,
11850102,53,2011-05-25,EX.A,0,,0,
11850102,54,2011-05-25,EX.R,0,,0,
11850102,51,2011-05-26,MCTAV,0,,0,
11850102,55,2011-05-26,EML_NTR,0,,0,
11850102,56,2011-05-26,N/=.,0,,0,
11850102,57,2011-05-26,DVER,0,,0,
11850102,62,2011-06-01,MN/=.,0,,0,
11850102,.5,2007-09-05,EFILE,0,,0,
11850102,66,2011-06-23,P327,0,,0,
11850102,68,2011-06-23,PUBTC,0,,0,
11850102,67,2011-06-27,MP327,0,,0,
11850102,69,2011-06-29,EML_NTR,0,,0,
11850102,70,2011-07-13,M327,0,,0,
11850102,71,2011-07-13,EXIN,0,,0,
11850102,75,2011-07-21,N084,0,,0,
11850102,74,2011-07-21,IFEE,0,,0,
11850102,76,2011-07-25,PILS,0,,0,
11850102,79,2011-08-09,MM327,0,,0,
11850102,80,2011-08-09,EML_NTR,0,,0,
11850102,84,2011-11-05,EX.A,0,,0,
11850102,83,2011-11-05,CNOA,0,,0,
11850102,85,2011-11-05,EX.R,0,,0,
12217122,88,2011-10-06,EX.R,0,,0,
12217122,89,2011-10-11,MN/=.,0,,0,
12217122,.5,2008-06-30,EFILE,0,,0,
12217122,92,2011-10-12,IFEE,0,,0,
12217122,95,2011-10-12,N084,0,,0,
12217122,94,2011-10-18,PUBTC,0,,0,
12217122,96,2011-10-24,C.AD,0,,0,
12217122,98,2011-10-25,PILS,0,,0,
12217122,97,2011-10-25,M327,0,,0,
12217122,100,2011-10-31,MM327,0,,0,
12217122,101,2011-10-31,TCPB,0,,0,
12217122,102,2011-11-14,D1935,0,,0,
12217122,103,2011-11-14,D1935,0,,0,
12217122,106,2011-12-13,PTAC,0,,0,
12217122,106.5,2010-09-28,PTA36M,0,PTO,.5,
11640503,141,2011-04-26,RCAP,0,,0,
11640503,146,2011-04-26,IDSC,0,,0,
11640503,142,2011-05-03,A...,0,,0,
11640503,143,2011-05-14,FWDX,0,,0,
11640503,144,2011-06-27,WIDS,0,,0,
11640503,145,2011-06-27,IDSC,0,,0,
11640503,148,2011-06-27,M844,55,APPL,142,
11640503,149,2011-06-27,RCAP,0,,0,
11640503,151,2011-07-29,EX.A,0,,0,
11640503,152,2011-07-29,EX.R,0,,0,
11640503,153,2011-07-29,EXIN,0,,0,
11640503,154,2011-08-01,N/=.,0,,0,
11640503,155,2011-08-01,DVER,0,,0,
11640503,162,2011-08-08,MN/=.,0,,0,
11640503,.5,2006-12-15,EFILE,0,,0,
11640503,133,2011-02-03,MCTNF,156,,116,
11640503,169,2011-11-08,BIG.,0,,0,
11640503,168,2011-11-08,N084,0,,0,
11640503,170,2011-11-08,REAS,0,,0,
11640503,167,2011-11-08,IFEE,0,,0,
11640503,171,2011-11-10,PILS,0,,0,
11640503,172,2011-11-10,D1935,0,,0,
11640503,173,2011-12-13,PTAC,0,,0,
11640503,173.5,2010-04-29,PTA36M,135,PTO,.5,
11640503,73,2009-12-30,MCTFR,15,,54,
11878827,1,2007-07-27,IEXX,0,,0,
11878827,4,2007-07-27,WIDS,0,,0,
11878827,9,2007-07-27,M844,0,,0,
11878827,10,2007-07-27,RCAP,0,,0,
11772786,59,2011-11-07,D1935,0,,0,
11772786,61,2011-12-13,PTAC,0,,0,
11772786,61.5,2011-12-13,PTA36M,529,PTO,.5,
11972919,1,2008-01-11,IEXX,0,,0,
11972919,2,2008-01-14,SCAN,0,,0,
11972919,3,2008-01-23,L194,0,,0,
11972919,6,2008-02-02,PGPC,0,,0,
11972919,4,2008-02-04,COMP,0,,0,
11972919,5,2008-02-04,FLRCPT.O,0,,0,
11972919,7,2008-04-01,OIPE,0,,0,
11972919,8,2008-05-05,WIDS,0,,0,
11972919,9,2008-05-05,M844,0,,0,
11972919,10,2008-05-05,RCAP,0,,0,
11972919,15,2008-05-05,IDSC,0,,0,
11972919,11,2008-06-09,TSSCOMP,0,,0,
11972919,12,2008-06-30,DOCK,0,,0,
11972919,13,2009-03-05,PG-ISSUE,0,,0,
11972919,14,2010-09-11,DOCK,0,,0,
11972919,16,2011-01-06,CTNF,0,,0,
11972919,17,2011-01-07,MCTNF,667,PTO,.5,
11972919,18,2011-04-07,A...,0,,0,
11972919,19,2011-04-15,FWDX,0,,0,
11972919,20,2011-04-20,CTFR,0,,0,
11972919,21,2011-04-21,MCTFR,0,,0,
11972919,22,2011-07-11,BRCE,0,,0,
11972919,24,2011-07-11,RCEX,0,,0,
11972919,27,2011-07-11,AF/D,0,,0,
11972919,23,2011-07-14,ABN9,0,,0,
11972919,26,2011-07-14,FWDX,0,,0,
11972919,31,2011-08-03,N/=.,0,,0,
11972919,32,2011-08-10,DVER,0,,0,
11972919,35,2011-08-12,MN/=.,0,,0,
11972919,.5,2008-01-11,EFILE,0,,0,
11972919,39,2011-11-10,N084,0,,0,
11972919,38,2011-11-10,IFEE,0,,0,
11972919,41,2011-11-11,D1935,0,,0,
11972919,40,2011-11-11,PILS,0,,0,
11972919,43,2011-12-13,PTAC,0,,0,
