application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
12777448,16,2010-08-05,EIDS.,0,,0,
12777448,20,2010-08-05,IDSC,0,,0,
11763953,10,2008-11-20,M844,0,,0,
11763953,11,2008-11-20,RCAP,0,,0,
11763953,16,2008-11-20,IDSC,0,,0,
11763953,9,2008-12-18,PG-ISSUE,0,,0,
11763953,12,2009-07-13,DOCK,0,,0,
11763953,18,2011-01-05,DOCK,0,,0,
11763953,26,2011-01-18,CTNF,0,,0,
11763953,27,2011-02-10,MCTNF,669,PTO,.5,
11763953,28,2011-02-10,EML_NTF,0,,0,
11763953,29,2011-02-10,ELC_RVW,0,,0,
11763953,30,2011-04-29,WIDS,0,,0,
11763953,31,2011-04-29,A...,0,,0,
11763953,33,2011-04-29,M844,0,APPL,31,
11763953,34,2011-04-29,RCAP,0,,0,
11763953,35,2011-04-29,IDSC,0,,0,
11763953,32,2011-05-03,FWDX,0,,0,
11763953,37,2011-05-17,DVER,0,,0,
11763953,38,2011-05-17,N/=.,0,,0,
11763953,40,2011-05-19,MN/=.,0,,0,
11763953,.5,2007-06-15,EFILE,0,,0,
11763953,44,2011-07-07,PUBTC,0,,0,
11763953,46,2011-08-09,N084,0,,0,
11763953,45,2011-08-09,IFEE,0,,0,
11763953,47,2011-10-03,CNOA,0,,0,
11763953,48,2011-10-03,EX.A,0,,0,
11763953,51,2011-10-03,PILS,0,,0,
11763953,52,2011-10-11,MCNOA,0,,0,
11763953,53,2011-10-11,TCPB,0,,0,
11763953,54,2011-10-11,EML_NTR,0,,0,
11763953,55,2011-10-18,D1935,0,,0,
11763953,58,2011-12-27,PTAC,0,PTO,46,
11763953,58.5,2011-12-27,PTA36M,560,PTO,.5,
11763953,27,2011-02-10,MCTNF,240,,.5,
11763953,58,2011-12-27,PTAC,18,,46,
12313089,6,2008-12-10,OIPE,0,,0,
12313089,10,2009-02-24,TSSCOMP,0,,0,
12313089,11,2009-03-19,PG-ISSUE,0,,0,
12313089,12,2009-04-10,DOCK,0,,0,
12313089,15,2009-07-15,CTNF,0,,0,
12313089,16,2009-07-15,MCTNF,0,,0,
12313089,19,2009-08-28,A...,0,,0,
12313089,17,2009-09-09,C.AD,0,,0,
12313089,18,2009-09-14,PA..,0,,0,
12313089,20,2009-10-14,FWDX,0,,0,
12313089,21,2009-12-07,CTFR,0,,0,
12313089,22,2009-12-09,MCTFR,0,,0,
12313089,23,2010-02-15,C.ADB,0,,0,
12313089,24,2010-02-15,C.ADB,0,,0,
12313089,25,2010-03-01,BRCE,0,,0,
12313089,27,2010-03-01,RCEX,0,,0,
12313089,26,2010-03-04,ABN9,0,,0,
12313089,29,2010-03-04,FWDX,0,,0,
12313089,30,2010-03-11,CTNF,0,,0,
12313089,31,2010-03-12,MCTNF,0,,0,
12313089,32,2010-06-14,A...,2,APPL,31,
12313089,33,2010-06-20,FWDX,0,,0,
12313089,34,2010-07-19,CTFR,0,,0,
12313089,35,2010-07-20,MCTFR,0,,0,
12313089,36,2010-09-14,BRCE,0,,0,
12313089,38,2010-09-14,RCEX,0,,0,
12313089,37,2010-09-17,ABN9,0,,0,
12313089,40,2010-09-17,FWDX,0,,0,
12313089,41,2010-10-25,CTNF,0,,0,
12313089,42,2010-10-26,MCTNF,0,,0,
12313089,43,2011-01-26,A...,0,,0,
12313089,44,2011-01-28,FWDX,0,,0,
12313089,45,2011-02-07,CTFR,0,,0,
12313089,46,2011-02-08,MCTFR,0,,0,
12313089,47,2011-05-09,BRCE,0,,0,
12313089,49,2011-05-09,RCEX,1,APPL,46,
12313089,48,2011-05-11,ABN9,0,,0,
12313089,51,2011-05-11,FWDX,0,,0,
12313089,52,2011-05-17,CTNF,0,,0,
12313089,54,2011-05-17,MCTNF,0,,0,
12313089,55,2011-05-24,WIDS,0,,0,
12313089,56,2011-05-24,EIDS.,0,,0,
12415616,134,2011-11-02,PILS,0,,0,
12415616,136,2011-11-18,D1935,0,,0,
12415616,139,2011-12-27,PTAC,0,,0,
12415616,139.5,2011-10-04,PTA36M,0,PTO,.5,
12548233,46,2011-08-30,MN/=.,0,,0,
12548233,.5,2009-08-26,EFILE,0,,0,
12548233,51,2011-11-21,IFEE,0,,0,
12548233,52,2011-11-21,N084,0,,0,
12548233,53,2011-11-22,PILS,0,,0,
12548233,54,2011-11-22,D1935,0,,0,
12548233,56,2011-12-27,PTAC,0,,0,
12548233,56.5,2011-12-27,PTA36M,0,PTO,.5,
12454650,8,2009-05-20,RQPR,0,,0,
12454650,1,2009-05-22,IEXX,0,,0,
12454650,2,2009-05-29,SCAN,0,,0,
12454650,3,2009-05-29,L194,0,,0,
12454650,4,2009-06-22,FLRCPT.O,0,,0,
12454650,5,2009-06-22,PGPC,0,,0,
12454650,6,2009-06-22,PA..,0,,0,
12454650,7,2009-06-26,OIPE,0,,0,
12454650,9,2009-08-12,TSSCOMP,0,,0,
12454650,10,2009-10-16,DOCK,0,,0,
12454650,11,2010-03-04,PG-ISSUE,0,,0,
12454650,12,2010-07-06,DOCK,0,,0,
12454650,13,2011-03-10,DOCK,0,,0,
12454650,17,2011-03-14,CTNF,0,,0,
12454650,18,2011-03-22,MCTNF,245,PTO,.5,
12454650,19,2011-03-22,EML_NTF,0,,0,
12454650,20,2011-03-22,ELC_RVW,0,,0,
12454650,21,2011-07-15,XT/G,0,,0,
12454650,22,2011-07-15,A...,23,APPL,18,
12454650,23,2011-07-26,FWDX,0,,0,
12454650,25,2011-08-29,EX.R,0,,0,
12454650,26,2011-09-01,N/=.,0,,0,
12454650,27,2011-09-01,DVER,0,,0,
12455558,2,2009-06-08,SCAN,0,,0,
12455558,3,2009-06-08,L194,0,,0,
12455558,5,2009-06-23,INCD,0,,0,
12455558,6,2009-06-23,FLRCPT.O,0,,0,
12455558,7,2009-07-07,PDREQUST,0,,0,
12455558,8,2009-07-07,OATHDECL,0,,0,
12455558,9,2009-07-07,ADDFLFEE,0,,0,
12455558,10,2009-07-16,FLRCPT.U,0,,0,
12455558,11,2009-07-16,PGPC,0,,0,
12455558,12,2009-07-27,OIPE,0,,0,
12455558,15,2009-07-30,RQPR,0,,0,
12455558,13,2009-12-10,PG-ISSUE,0,,0,
12455558,16,2010-04-29,DOCK,0,,0,
12455558,31,2011-08-17,EX.A,0,,0,
12455558,32,2011-08-17,EX.R,0,,0,
12455558,33,2011-08-18,DOCK,0,,0,
12455558,34,2011-08-18,N/=.,0,,0,
12455558,35,2011-08-18,DVER,0,,0,
12455558,40,2011-08-22,MN/=.,384,PTO,.5,
12455558,.5,2009-06-03,EFILE,0,,0,
12455558,43,2011-11-23,IFEE,0,,0,
12455558,44,2011-11-23,N084,1,APPL,40,
12455558,46,2011-11-30,D1935,0,,0,
12455558,45,2011-11-30,PILS,0,,0,
12455558,48,2011-12-27,PTAC,0,,0,
12455558,48.5,2011-12-27,PTA36M,0,PTO,.5,
11892747,52,2010-05-25,MCTAV,0,,0,
11892747,53,2010-06-07,XT/G,0,,0,
11892747,54,2010-06-07,N/AP,0,,0,
11892747,56,2010-06-07,AP.C,0,,0,
11892747,57,2010-08-16,APCR,0,,0,
11892747,58,2010-08-18,MAPCR,0,,0,
11892747,59,2010-08-18,FWDX,0,,0,
11892747,62,2010-10-25,CTNF,0,,0,
11892747,63,2010-10-27,MCTNF,81,PTO,48,
11892747,64,2010-12-01,WIDS,0,,0,
11892747,65,2010-12-01,M844,0,,0,
11892747,66,2010-12-01,RCAP,0,,0,
11892747,70,2010-12-01,IDSC,0,,0,
11892747,67,2011-01-27,A...,0,,0,
11892747,68,2011-02-02,FWDX,0,,0,
11892747,75,2011-04-11,CTFR,0,,0,
11892747,76,2011-04-13,MCTFR,0,,0,
11892747,78,2011-07-13,A.NE,0,,0,
11892747,79,2011-07-20,FWDX,0,,0,
11892747,80,2011-07-20,CTAV,0,,0,
11892747,83,2011-07-25,MCTAV,0,,0,
11892747,84,2011-08-12,XT/G,0,,0,
11892747,85,2011-08-12,A.NE,30,APPL,76,
11892747,86,2011-08-27,FWDX,0,,0,
11892747,91,2011-08-29,EX.R,0,,0,
11892747,92,2011-08-29,N/=.,0,,0,
11892747,93,2011-08-29,DVER,0,,0,
11892747,97,2011-09-01,MN/=.,0,,0,
11892747,.5,2007-08-27,EFILE,0,,0,
11892747,63,2010-10-27,MCTNF,143,,54,
