application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
12394471,30,2011-09-23,A.QU,0,,0,
12394471,31,2011-09-28,FWDX,0,,0,
12394471,35,2011-11-30,DVER,0,,0,
12394471,36,2011-11-30,DOCK,0,,0,
12394471,37,2011-11-30,N/=.,0,,0,
12394471,40,2011-12-05,MN/=.,0,,0,
12394471,.5,2009-02-27,EFILE,0,,0,
12394471,45,2011-12-19,N084,0,,0,
12394471,44,2011-12-19,IFEE,0,,0,
12394471,46,2011-12-20,PILS,0,,0,
12394471,47,2011-12-28,D1935,0,,0,
12394471,50,2012-01-31,PTAC,0,,0,
12394471,50.5,2012-01-31,PTA36M,0,PTO,.5,
12096938,1,2008-06-11,IEXX,0,,0,
12096938,2,2008-06-11,WIDS,0,,0,
12096938,8,2008-06-11,371COMP,0,,0,
12096938,12,2008-06-11,EIDS.,0,,0,
12096938,13,2008-06-11,A.PE,0,,0,
12096938,14,2008-06-11,RQPR,0,,0,
12096938,15,2008-06-11,C604,0,,0,
12096938,24,2008-06-11,IDSC,0,,0,
12096938,3,2008-06-15,SCAN,0,,0,
12096938,4,2008-06-15,L194,0,,0,
12096938,5,2008-08-12,M903,0,,0,
12096938,6,2008-08-12,FLRCPT.O,0,,0,
12096938,7,2008-08-12,PGPC,0,,0,
12096938,9,2008-08-25,OIPE,0,,0,
12096938,10,2008-11-20,PG-ISSUE,0,,0,
12096938,11,2009-01-07,TSSCOMP,0,,0,
12096938,16,2009-04-14,WIDS,0,,0,
12096938,17,2009-04-14,EIDS.,0,,0,
12096938,23,2009-04-14,IDSC,0,,0,
12096938,18,2011-02-10,TI1050,0,,0,
12096938,19,2011-02-22,DOCK,0,,0,
12096938,25,2011-05-27,CTNF,0,,0,
12096938,27,2011-05-31,MCTNF,658,PTO,8,
12096938,28,2011-08-30,A...,0,,0,
12460001,49,2012-01-31,PTAC,0,,0,
12460001,49.5,2012-01-31,PTA36M,0,PTO,.5,
13025493,41,2012-01-31,PTAC,0,,0,
13025493,41.5,2012-01-31,PTA36M,0,PTO,.5,
12460685,4,2009-07-23,NPRQ,0,,0,
12460685,1,2009-07-24,IEXX,0,,0,
12460685,2,2009-07-28,SCAN,0,,0,
12460685,3,2009-07-29,L194,0,,0,
12460685,5,2009-08-12,CPAP,0,,0,
12460685,6,2009-08-12,FLRCPT.O,0,,0,
12460685,7,2009-10-14,CORRDRW,0,,0,
12460685,8,2009-10-14,ADDFLFEE,0,,0,
12460685,12,2009-10-14,C614,0,,0,
12460685,9,2009-10-26,FLRCPT.U,0,,0,
12460685,10,2009-10-26,PGPC,0,,0,
12460685,11,2009-10-30,OIPE,0,,0,
12460685,13,2010-02-18,DOCK,0,,0,
12460685,14,2011-02-08,DOCK,0,,0,
12460685,15,2011-02-09,DOCK,0,,0,
12460685,21,2011-05-09,CTNF,0,,0,
12460685,22,2011-05-11,MCTNF,230,PTO,.5,
12460685,23,2011-05-24,DOCK,0,,0,
12460685,24,2011-08-16,A...,5,APPL,22,
12460685,26,2011-08-16,C614,0,,0,
12460685,25,2011-08-27,FWDX,0,,0,
12460685,31,2011-09-14,EX.A,0,,0,
12460685,32,2011-09-14,EX.R,0,,0,
12460685,33,2011-09-16,N/=.,0,,0,
12460685,34,2011-09-16,DVER,0,,0,
12460685,39,2011-09-20,MN/=.,0,,0,
12460685,.5,2009-07-23,EFILE,0,,0,
12460685,42,2011-12-23,IFEE,0,,0,
12460685,43,2011-12-23,N084,3,APPL,39,
12460685,44,2012-01-03,PILS,0,,0,
12460685,45,2012-01-03,D1935,0,,0,
12460685,47,2012-01-31,PTAC,0,,0,
12460685,47.5,2012-01-31,PTA36M,0,PTO,.5,
12380528,51,2011-12-28,N084,0,,0,
12380528,52,2012-01-03,PILS,0,,0,
12380528,53,2012-01-04,D1935,0,,0,
12380528,55,2012-01-31,PTAC,0,,0,
12380528,55.5,2012-01-31,PTA36M,0,PTO,.5,
12122901,1,2008-05-19,IEXX,0,,0,
12122901,2,2008-05-19,SCAN,0,,0,
12122901,3,2008-05-20,L194,0,,0,
12122901,4,2008-05-29,COMP,0,,0,
12122901,5,2008-05-29,FLRCPT.O,0,,0,
