application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
11803680,10,2007-07-19,PGPC,0,,0,
11803680,9,2007-07-20,COMP,0,,0,
11803680,11,2007-09-25,OIPE,0,,0,
11803680,12,2007-09-29,TSSCOMP,0,,0,
11803680,13,2007-10-16,DOCK,0,,0,
11803680,14,2008-11-20,PG-ISSUE,0,,0,
11803680,15,2010-02-26,C.ADB,0,,0,
11803680,17,2011-02-11,CTNF,0,,0,
11803680,18,2011-02-16,MCTNF,669,PTO,.5,
11803680,19,2011-02-16,EML_NTF,0,,0,
11803680,20,2011-02-16,ELC_RVW,0,,0,
11803680,21,2011-04-12,EXIN,0,,0,
11803680,23,2011-04-14,A...,0,,0,
11803680,24,2011-04-19,FWDX,0,,0,
11803680,22,2011-04-20,MEXIN,0,,0,
11803680,25,2011-04-20,EML_NTR,0,,0,
11803680,26,2011-07-01,CTNF,0,,0,
11803680,28,2011-07-07,MCTNF,0,,0,
11803680,29,2011-07-07,EML_NTF,0,,0,
11803680,30,2011-07-07,ELC_RVW,0,,0,
11803680,31,2011-08-29,A...,0,,0,
11803680,32,2011-09-06,FWDX,0,,0,
11835300,8,2007-08-28,INCD,0,,0,
11835300,9,2007-09-11,ML196,0,,0,
11835300,10,2007-09-11,ML196,0,,0,
11835300,11,2007-09-11,ML196,0,,0,
11835300,12,2008-02-19,OATHDECL,0,,0,
11835300,14,2008-02-19,FLFEE,83,APPL,8,
11835300,15,2008-03-06,COMP,0,,0,
11835300,16,2008-03-06,FLRCPT.U,0,,0,
11835300,17,2008-03-06,PGPW,0,,0,
11835300,18,2008-03-10,L197,0,,0,
11835300,19,2008-03-10,L197,0,,0,
11835300,20,2008-03-10,L197,0,,0,
11835300,21,2008-03-10,L130,0,,0,
11835300,22,2008-03-13,PGPC,0,,0,
11835300,23,2008-03-14,WIDS,0,,0,
11835300,25,2008-03-14,M844,0,,0,
11835300,31,2008-03-14,IDSC,0,,0,
11835300,24,2008-03-19,OIPE,0,,0,
11835300,26,2008-05-15,TSSCOMP,0,,0,
11835300,27,2008-06-19,PG-ISSUE,0,,0,
11835300,28,2008-12-17,DOCK,0,,0,
11835300,32,2010-05-20,CTRS,0,,0,
11835300,33,2010-05-21,MCTRS,591,PTO,.5,
11835300,34,2010-06-18,ELC.,0,,0,
11835300,35,2010-06-24,FWDX,0,,0,
11835300,36,2010-06-29,C.AD,0,,0,
11835300,37,2010-06-30,PA..,0,,0,
11835300,38,2010-08-25,CTNF,0,,0,
11835300,39,2010-08-27,MCTNF,0,,0,
11835300,40,2010-09-21,C.ADB,0,,0,
11835300,41,2010-11-24,DIST,0,,0,
11835300,43,2010-11-24,A...,0,,0,
11835300,45,2010-11-24,PET.,0,,0,
11835300,42,2010-12-29,P574,0,,0,
11835300,44,2011-02-27,FWDX,0,,0,
11835300,46,2011-03-25,PTGR,0,,0,
11835300,47,2011-03-25,MPTGR,0,,0,
11835300,48,2011-05-09,CTNF,0,,0,
11835300,49,2011-05-10,MCTNF,0,PTO,43,
11835300,50,2011-08-10,A...,0,,0,
11835300,51,2011-08-16,FWDX,0,,0,
11835300,55,2011-10-07,EX.A,0,,0,
11835300,56,2011-10-07,EX.R,0,,0,
11835300,57,2011-10-12,N/=.,0,,0,
11835300,58,2011-10-12,DVER,0,,0,
12092952,7,2008-09-11,OATHDECL,0,,0,
12092952,8,2008-09-11,CRFL,0,,0,
12092952,9,2008-09-11,ADDFLFEE,0,,0,
12092952,13,2008-09-11,371COMP,0,,0,
12092952,19,2008-09-11,A.PE,0,,0,
12092952,20,2008-09-11,C614,0,,0,
12092952,6,2008-10-20,CRFE,0,,0,
11636634,9.7,2006-12-11,M844,0,,0,
11636634,10,2006-12-11,RCAP,0,,0,
11636634,19,2006-12-11,IDSC,0,,0,
11636634,2,2006-12-15,SCAN,0,,0,
11636634,3,2006-12-20,L194,0,,0,
11636634,4,2007-01-05,COMP,0,,0,
11636634,5,2007-01-05,OIPE,0,,0,
11636634,6,2007-01-05,ROIPE,0,,0,
11636634,7,2007-01-05,WROIPE,0,,0,
11636634,11,2007-01-24,TSSCOMP,0,,0,
11636634,12,2007-07-05,PG-ISSUE,0,,0,
11636634,13,2007-10-15,F525,0,,0,
11636634,14,2007-10-17,W525,0,,0,
11636634,15,2007-11-01,DOCK,0,,0,
11636634,16,2009-09-10,DOCK,0,,0,
11636634,20,2010-01-19,CTNF,0,,0,
11636634,21,2010-01-25,MCTNF,669,PTO,.5,
11636634,22,2010-01-25,EML_NTF,0,,0,
11636634,23,2010-01-25,ELC_RVW,0,,0,
11636634,24,2010-04-26,A...,1,APPL,21,
11636634,25,2010-05-03,FWDX,0,,0,
11636634,26,2010-05-11,WIDS,0,,0,
11636634,27,2010-05-11,M844,15,APPL,24,
11636634,28,2010-05-11,RCAP,0,,0,
11636634,29,2010-05-11,IDSC,0,,0,
11636634,30,2010-06-14,CTFR,0,,0,
11636634,31,2010-06-16,MCTFR,0,,0,
11636634,32,2010-06-16,EML_NTF,0,,0,
11636634,33,2010-06-16,ELC_RVW,0,,0,
11636634,34,2010-08-16,A.NE,0,,0,
11636634,35,2010-08-17,FWDX,0,,0,
11636634,36,2010-08-23,CTAV,0,,0,
11636634,37,2010-08-25,MCTAV,0,,0,
11636634,38,2010-08-25,EML_NTR,0,,0,
11636634,39,2010-09-16,BRCE,0,,0,
11636634,41,2010-09-16,RCEX,0,,0,
11636634,40,2010-09-17,ABN9,0,,0,
11636634,43,2010-09-17,FWDX,0,,0,
11636634,44,2011-01-28,CTNF,0,,0,
11636634,45,2011-02-02,MCTNF,17,PTO,41,
11636634,46,2011-02-02,EML_NTF,0,,0,
11636634,47,2011-02-02,ELC_RVW,0,,0,
11636634,48,2011-04-19,DOCK,0,,0,
10614856,1,2003-07-09,IEXX,0,,0,
10614856,2,2003-09-03,SCAN,0,,0,
10614856,3,2003-09-25,L194,0,,0,
10614856,6,2003-10-06,OIPE,0,,0,
10614856,5,2003-10-07,COMP,0,,0,
10614856,7,2003-10-07,ROIPE,0,,0,
10614856,8,2003-10-07,WROIPE,0,,0,
10614856,9,2003-10-07,ROIPE,0,,0,
10614856,10,2003-10-07,W/OA,0,,0,
10614856,12,2003-10-07,WROIPE,0,,0,
10614856,11,2003-10-08,COMP,0,,0,
10614856,13,2004-05-11,TI1050,0,,0,
10614856,14,2004-05-21,DOCK,0,,0,
10614856,15,2004-05-21,TSSCOMP,0,,0,
10614856,16,2004-10-07,C.ADB,0,,0,
10614856,17,2007-01-20,DOCK,0,,0,
10614856,18,2007-08-16,DOCK,0,,0,
10614856,19,2007-10-09,DOCK,0,,0,
10614856,20,2007-10-15,F525,0,,0,
10614856,21,2007-10-17,W525,0,,0,
10614856,22,2007-11-14,DOCK,0,,0,
10614856,23,2007-12-03,CTRS,0,,0,
10614856,24,2007-12-06,MCTRS,1183,PTO,.5,
10614856,25,2007-12-06,EML_NTF,0,,0,
10614856,26,2007-12-07,ELC_RVW,0,,0,
10614856,27,2008-01-07,ELC.,0,,0,
10614856,28,2008-02-08,FWDX,0,,0,
10614856,31,2008-02-19,CTNF,0,,0,
10614856,32,2008-02-26,MCTNF,0,,0,
10401845,68,2011-04-14,AF/D,0,,0,
10401845,70,2011-04-14,XT/G,0,,0,
10401845,71,2011-04-14,A...,64,APPL,67,
10401845,72,2011-04-20,FWDX,0,,0,
10401845,84,2011-09-16,AF/D,0,,0,
10401845,88,2011-09-16,PET.,0,,0,
10401845,86,2011-09-26,EX.A,0,,0,
10401845,87,2011-09-26,EX.R,0,,0,
10401845,89,2011-09-27,PTGR,0,,0,
10401845,90,2011-09-27,MPTGR,0,,0,
10401845,94,2011-09-29,N/=.,0,,0,
10401845,95,2011-09-29,DVER,0,,0,
10401845,100,2011-09-30,MN/=.,47,PTO,71,
10401845,.5,2003-03-28,EFILE,0,,0,
10401845,104,2012-01-03,N084,4,APPL,100,
10401845,103,2012-01-03,IFEE,0,,0,
10401845,107,2012-01-09,D1935,0,,0,
10401845,105,2012-01-09,PILS,0,,0,
10401845,106,2012-01-09,D1935,0,,0,
10401845,109,2012-02-14,PTAC,0,,0,
10401845,109.5,2009-02-22,PTA36M,1062,PTO,.5,
10401845,29,2007-11-09,MCTNF,591,,.5,
11621546,104,2011-03-27,DVER,0,,0,
11621546,106,2011-03-29,MN/=.,66,PTO,93,
11621546,108,2011-06-29,BRCE,0,,0,
11621546,109,2011-06-29,WIDS,0,,0,
11621546,111,2011-06-29,RCEX,0,,0,
11621546,112,2011-06-29,M844,0,,0,
11621546,113,2011-06-29,RCAP,0,,0,
11621546,114,2011-06-29,IDSC,0,,0,
11621546,110,2011-07-07,ABN9,0,,0,
11621546,116,2011-09-30,EX.R,0,,0,
11621546,117,2011-10-03,DVER,0,,0,
11621546,118,2011-10-03,N/=.,0,,0,
11621546,122,2011-10-07,MN/=.,0,,0,
11621546,.5,2007-01-09,EFILE,0,,0,
11621546,127,2011-10-11,M327,0,,0,
11621546,129,2011-10-14,PUBTC,0,,0,
11621546,130,2011-10-19,MM327,0,,0,
11621546,132,2011-10-19,EML_NTR,0,,0,
11621546,133,2012-01-09,IFEE,0,,0,
11621546,135,2012-01-09,REAS,0,,0,
11621546,134,2012-01-09,N084,2,APPL,122,
11621546,137,2012-01-10,D1935,0,,0,
11621546,136,2012-01-10,PILS,0,,0,
11621546,139,2012-02-14,PTAC,0,,0,
11621546,139.5,2009-11-04,PTA36M,0,PTO,.5,
12113172,41,2008-09-12,IDSC,0,,0,
12113172,11,2008-09-22,FLRCPT.U,0,,0,
12113172,12,2008-09-22,PGPC,0,,0,
12113172,13,2008-09-22,PA..,0,,0,
12113172,14,2008-09-29,OIPE,0,,0,
12113172,17,2008-10-10,TSSCOMP,0,,0,
12113172,18,2008-12-24,WIDS,0,,0,
12113172,22,2008-12-24,M844,0,,0,
12113172,23,2008-12-24,RCAP,0,,0,
12113172,26,2008-12-24,M844,0,,0,
12113172,42,2008-12-24,IDSC,0,,0,
12113172,21,2009-01-26,WIDS,0,,0,
12113172,24,2009-01-26,M844,0,,0,
12113172,25,2009-01-26,RCAP,0,,0,
12113172,27,2009-01-26,M844,0,,0,
12113172,39,2009-01-26,IDSC,0,,0,
12113172,28,2009-04-21,DOCK,0,,0,
12113172,29,2009-04-23,WIDS,0,,0,
12113172,30,2009-04-23,M844,0,,0,
12113172,31,2009-04-23,RCAP,0,,0,
12113172,38,2009-04-23,IDSC,0,,0,
12113172,32,2009-10-15,DOCK,0,,0,
12113172,33,2010-07-20,DOCK,0,,0,
12113172,43,2010-08-13,CTNF,0,,0,
12113172,44,2010-08-18,MCTNF,414,PTO,.5,
12113172,45,2010-08-18,EML_NTF,0,,0,
12113172,46,2010-08-18,ELC_RVW,0,,0,
12113172,47,2010-11-08,EXIN,0,,0,
12113172,49,2010-11-15,A...,0,,0,
12113172,50,2010-11-23,FWDX,0,,0,
12113172,48,2010-11-24,MEXIN,0,,0,
12113172,51,2010-11-24,EML_NTR,0,,0,
12113172,52,2011-01-12,CTFR,0,,0,
12113172,53,2011-01-18,MCTFR,0,,0,
12113172,54,2011-01-18,EML_NTF,0,,0,
12113172,55,2011-01-18,ELC_RVW,0,,0,
12113172,56,2011-04-11,EXIN,0,,0,
12113172,58,2011-04-18,BRCE,0,,0,
12113172,61,2011-04-18,RCEX,0,,0,
12113172,57,2011-04-19,MEXIN,0,,0,
12113172,59,2011-04-19,EML_NTR,0,,0,
12113172,60,2011-04-20,ABN9,0,,0,
12113172,63,2011-04-20,FWDX,0,,0,
12113172,64,2011-05-19,CTNF,0,,0,
10750703,143.5,2007-10-30,PTA36M,301,PTO,.5,
13043365,1,2011-03-08,IEXX,0,,0,
13043365,3,2011-03-08,WIDS,0,,0,
13043365,11,2011-03-08,EIDS.,0,,0,
13043365,15,2011-03-08,IDSC,0,,0,
13043365,2,2011-03-09,SCAN,0,,0,
13043365,4,2011-03-10,L194,0,,0,
13043365,6,2011-03-23,PGPC,0,,0,
13043365,5,2011-03-24,FLRCPT.O,0,,0,
13043365,7,2011-03-24,EML_NTR,0,,0,
13043365,8,2011-03-24,COMP,0,,0,
