application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
12820476,9,2010-07-27,M844,0,,0,
12390213,1,2009-02-20,IEXX,0,,0,
12390213,2,2009-02-20,WIDS,0,,0,
12390213,4,2009-02-20,PDREQUST,0,,0,
12390213,6,2009-02-20,WIDS,0,,0,
12390213,11,2009-02-20,M844,0,,0,
12390213,26,2009-02-20,IDSC,0,,0,
12390213,27,2009-02-20,IDSC,0,,0,
12390213,3,2009-02-23,SCAN,0,,0,
12390213,5,2009-02-25,L194,0,,0,
12390213,7,2009-03-06,FLRCPT.O,0,,0,
12390213,8,2009-03-06,PGPC,0,,0,
12390213,9,2009-04-01,OIPE,0,,0,
12390213,13,2009-04-02,RQPR,0,,0,
12390213,10,2009-08-20,PG-ISSUE,0,,0,
12390213,12,2009-08-28,TSSCOMP,0,,0,
12390213,14,2010-02-22,DOCK,0,,0,
12390213,15,2010-08-06,DOCK,0,,0,
12390213,16,2011-06-15,CTRS,0,,0,
12390213,18,2011-06-23,MCTRS,429,PTO,.5,
11907656,1,2007-10-16,IEXX,0,,0,
11907656,14,2007-10-16,C614,0,,0,
11907656,16,2007-10-16,C614,0,,0,
11907656,2,2007-10-23,SCAN,0,,0,
11907656,3,2007-10-31,L194,0,,0,
12278853,9,2008-12-03,371COMP,0,,0,
12278853,15,2008-12-03,A.PE,0,,0,
12278853,13,2009-07-01,A.PE,0,,0,
12278853,8,2010-03-22,PGPC,0,,0,
12278853,6,2010-03-23,M903,0,,0,
12278853,7,2010-03-23,FLRCPT.O,0,,0,
12278853,10,2010-03-23,EML_NTR,0,,0,
12278853,11,2010-03-23,EML_NTR,0,,0,
12278853,12,2010-03-24,OIPE,0,,0,
12582159,21,2011-03-22,A.PE,0,,0,
12582159,22,2011-03-22,A.PE,0,,0,
12582159,24,2011-08-04,P003,0,,0,
12582159,25,2011-08-04,MP003,0,,0,
12582159,26,2011-08-04,DOCK,0,,0,
12582159,27,2011-08-17,DOCK,0,,0,
12582159,32,2011-08-28,CTNF,0,,0,
12582159,34,2011-08-30,MCTNF,253,PTO,.5,
12582159,35,2011-11-30,A...,0,,0,
12582159,36,2011-12-12,FWDX,0,,0,
12582159,40,2011-12-19,EXIE,0,,0,
12582159,38,2012-01-03,EX.A,0,,0,
12582159,39,2012-01-03,EX.R,0,,0,
12582159,41,2012-01-04,N/=.,0,,0,
12582159,42,2012-01-04,DVER,0,,0,
12582159,48,2012-01-05,MN/=.,0,,0,
12582159,.5,2009-10-20,EFILE,0,,0,
12582159,51,2012-01-26,N084,0,,0,
12582159,50,2012-01-26,IFEE,0,,0,
12582159,52,2012-01-27,PILS,0,,0,
12582159,53,2012-02-06,D1935,0,,0,
12582159,56,2012-03-06,PTAC,0,,0,
12582159,56.5,2012-03-06,PTA36M,0,PTO,.5,
12497112,57,2012-01-30,PILS,0,,0,
12497112,58,2012-01-30,D1935,0,,0,
12497112,60,2012-03-06,PTAC,0,,0,
12497112,60.5,2012-03-06,PTA36M,0,PTO,.5,
11761050,50,2010-01-15,EXIN,0,,0,
11761050,51,2010-01-28,MEXIN,0,,0,
11761050,52,2010-01-28,EML_NTR,0,,0,
11761050,53,2010-01-31,CTFR,0,,0,
11761050,54,2010-02-03,MCTFR,0,,0,
11761050,55,2010-02-03,EML_NTF,0,,0,
11761050,56,2010-02-04,ELC_RVW,0,,0,
11761050,57,2010-02-26,A.NE,0,,0,
11761050,58,2010-02-28,FWDX,0,,0,
11761050,59,2010-05-24,DOCK,0,,0,
11761050,61,2010-05-25,DOCK,0,,0,
11761050,63,2010-06-07,CTAV,0,,0,
11761050,64,2010-06-15,MCTAV,0,,0,
11761050,65,2010-06-15,EML_NTR,0,,0,
11761050,66,2010-06-28,C.AD,0,,0,
11761050,67,2010-06-29,PA..,0,,0,
11761050,69,2010-07-15,BRCE,0,,0,
11761050,70,2010-07-15,XT/G,0,,0,
11761050,72,2010-07-15,RCEX,73,APPL,54,
11761050,71,2010-07-17,ABN9,0,,0,
11761050,74,2010-07-17,FWDX,0,,0,
11761050,76,2011-07-05,N/=.,0,,0,
11761050,78,2011-07-06,MN/=.,233,PTO,72,
11761050,79,2011-07-08,DVER,0,,0,
11761050,83,2011-09-30,BRCE,0,,0,
11761050,84,2011-09-30,WIDS,0,,0,
11761050,85,2011-09-30,WIDS,0,,0,
11761050,87,2011-09-30,RCEX,0,,0,
11761050,90,2011-09-30,M844,0,,0,
11761050,91,2011-09-30,RCAP,0,,0,
11761050,92,2011-09-30,IDSC,0,,0,
11761050,93,2011-09-30,IDSC,0,,0,
11761050,86,2011-10-10,ABN9,0,,0,
11761050,89,2011-10-10,FWDX,0,,0,
11761050,95,2011-10-17,DVER,0,,0,
12528083,8,2009-11-25,371COMP,0,,0,
12528083,13,2009-12-21,A.PE,0,,0,
12528083,5,2010-01-12,M903,0,,0,
12528083,6,2010-01-12,FLRCPT.O,0,,0,
12528083,7,2010-01-12,PGPC,0,,0,
12528083,9,2010-01-21,OIPE,0,,0,
12528083,14,2010-04-22,PG-ISSUE,0,,0,
12528083,15,2010-07-21,DOCK,0,,0,
12528083,16,2011-04-04,DOCK,0,,0,
12528083,17,2011-05-24,DOCK,0,,0,
12528083,22,2011-06-15,CTNF,0,,0,
12528083,24,2011-06-17,MCTNF,143,PTO,8,
12528083,25,2011-09-19,A...,2,APPL,24,
12528083,26,2011-09-21,FWDX,0,,0,
12528083,30,2011-12-22,EXIE,0,,0,
12528083,28,2011-12-28,EX.A,0,,0,
12528083,29,2011-12-28,EX.R,0,,0,
12528083,31,2011-12-28,N/=.,0,,0,
12528083,33,2011-12-28,DVER,0,,0,
12528083,38,2011-12-30,MN/=.,0,,0,
12528083,.5,2008-02-26,NEFILE,0,,0,
12528083,40,2012-01-27,IFEE,0,,0,
12528083,42,2012-01-27,REAS,0,,0,
