application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
12368277,45,2012-02-13,IFEE,0,,0,
12368277,47,2012-02-15,PILS,0,,0,
12368277,49,2012-02-16,D1935,0,,0,
12368277,48,2012-02-16,D1935,0,,0,
12368277,51,2012-03-20,PTAC,0,,0,
12368277,51.5,2012-03-20,PTA36M,0,PTO,.5,
12261297,1,2008-10-30,IEXX,0,,0,
12261297,2,2008-10-30,SCAN,0,,0,
12261297,3,2008-11-03,L198,0,,0,
12261297,4,2008-11-04,L128,0,,0,
12261297,6,2008-11-20,PGPC,0,,0,
12261297,5,2008-11-21,FLRCPT.O,0,,0,
12261297,7,2008-11-21,EML_NTR,0,,0,
12261297,8,2008-12-04,OIPE,0,,0,
11649342,1,2007-01-03,IEXX,0,,0,
11649342,4,2007-01-03,NPRQ,0,,0,
11649342,2,2007-01-12,SCAN,0,,0,
11649342,3,2007-01-29,L194,0,,0,
11649342,5,2007-02-07,INCD,0,,0,
11649342,6,2007-03-21,OATHDECL,0,,0,
12367771,1,2009-02-09,IEXX,0,,0,
12367771,2,2009-02-09,SCAN,0,,0,
12367771,3,2009-02-10,L194,0,,0,
12367771,4,2009-02-25,CPAP,0,,0,
12367771,5,2009-02-25,FLRCPT.O,0,,0,
12367771,6,2009-04-09,CORRDRW,0,,0,
12367771,7,2009-04-09,ADDFLFEE,0,,0,
12367771,9,2009-04-15,PGPC,0,,0,
12367771,8,2009-04-16,FLRCPT.U,0,,0,
12367771,10,2009-05-05,OIPE,0,,0,
12367771,12,2010-08-09,TI1050,0,,0,
12367771,13,2010-08-12,PG-ISSUE,0,,0,
12367771,14,2010-08-13,DOCK,0,,0,
12367771,15,2010-09-15,DOCK,0,,0,
12367771,20,2011-02-14,CTNF,0,,0,
12367771,21,2011-02-16,MCTNF,313,PTO,.5,
12367771,22,2011-05-16,AF/D,0,,0,
12367771,23,2011-05-16,A...,0,,0,
12367771,24,2011-05-18,FWDX,0,,0,
11051331,1,2005-02-07,IEXX,0,,0,
11051331,16,2005-02-07,RQPR,0,,0,
11051331,2,2005-02-17,SCAN,0,,0,
11051331,3,2005-02-27,L194,0,,0,
11051331,5,2005-03-10,OIPE,0,,0,
11051331,6,2005-03-10,ROIPE,0,,0,
11051331,8,2005-03-10,WROIPE,0,,0,
11051331,9,2005-03-10,ROIPE,0,,0,
11051331,11,2005-03-10,WROIPE,0,,0,
11051331,4,2005-03-11,COMP,0,,0,
11051331,7,2005-03-11,COMP,0,,0,
11051331,10,2005-03-11,COMP,0,,0,
11051331,12,2005-03-11,ROIPE,0,,0,
11051331,14,2005-03-11,WROIPE,0,,0,
12253380,5,2008-11-03,FLRCPT.O,0,,0,
12253380,7,2008-11-03,EML_NTR,0,,0,
12253380,8,2008-11-12,OIPE,0,,0,
12253380,9,2008-12-22,DOCK,0,,0,
12253380,12,2008-12-22,TSSCOMP,0,,0,
12253380,13,2010-03-16,DOCK,0,,0,
12253380,14,2010-04-22,PG-ISSUE,0,,0,
12253380,15,2010-04-23,EML_NTR,0,,0,
12253380,16,2010-06-07,EIDS.,0,,0,
12253380,26,2010-06-07,WIDS,0,,0,
12253380,27,2010-06-07,IDSC,0,,0,
12253380,17,2010-07-06,DOCK,0,,0,
12253380,18,2011-02-25,DOCK,0,,0,
12253380,19,2011-03-01,DOCK,0,,0,
12253380,20,2011-03-04,DOCK,0,,0,
12253380,21,2011-06-09,DOCK,0,,0,
12253380,29,2011-06-16,CTNF,0,,0,
12253380,31,2011-06-28,MCTNF,558,PTO,.5,
12253380,32,2011-06-28,EML_NTF,0,,0,
12253380,33,2011-06-28,ELC_RVW,0,,0,
12253380,34,2011-09-30,XT/G,0,,0,
12253380,35,2011-09-30,A...,2,APPL,31,
12253380,36,2011-10-05,FWDX,0,,0,
12253380,38,2011-11-21,DVER,0,,0,
12253380,39,2011-11-22,N/=.,0,,0,
12253380,42,2011-11-28,MN/=.,0,,0,
12253380,.5,2008-10-17,EFILE,0,,0,
12253380,47,2012-02-10,IFEE,0,,0,
12253380,48,2012-02-10,N084,0,,0,
12253380,50,2012-02-13,D1935,0,,0,
12253380,49,2012-02-13,PILS,0,,0,
12253380,52,2012-03-20,PTAC,0,,0,
12253380,52.5,2012-03-20,PTA36M,155,PTO,.5,
12079782,1,2008-03-31,IEXX,0,,0,
12079782,2,2008-04-03,SCAN,0,,0,
12079782,3,2008-04-15,L194,0,,0,
12079782,4,2008-04-24,INCD,0,,0,
12079782,5,2008-04-24,FLRCPT.O,0,,0,
12079782,6,2008-04-24,EML_NTF,0,,0,
12079782,7,2008-04-24,EML_NTR,0,,0,
12079782,8,2008-04-25,ELC_RVW,0,,0,
12079782,9,2008-08-22,WIDS,0,,0,
12079782,10,2008-08-22,OATHDECL,0,,0,
12079782,11,2008-08-22,ADDFLFEE,0,,0,
12079782,16,2008-08-22,EIDS.,0,,0,
12079782,26,2008-08-22,IDSC,0,,0,
12079782,13,2009-01-02,PGPC,0,,0,
12079782,12,2009-01-05,FLRCPT.U,0,,0,
12079782,14,2009-01-05,EML_NTR,0,,0,
12079782,15,2009-01-16,OIPE,0,,0,
12079782,17,2009-03-10,TSSCOMP,0,,0,
12079782,18,2009-03-19,DOCK,0,,0,
12079782,19,2009-04-16,PG-ISSUE,0,,0,
12079782,20,2009-04-17,EML_NTR,0,,0,
12079782,21,2010-11-10,DOCK,0,,0,
12079782,27,2011-02-14,CTNF,0,,0,
12079782,28,2011-02-17,MCTNF,630,PTO,.5,
12079782,29,2011-02-17,EML_NTF,0,,0,
12459120,76,2012-01-03,MN271,0,,0,
12459120,74,2012-01-03,MM327-D,0,,0,
12459120,82,2012-01-12,A.NA,0,APPL,84,
12459120,80,2012-01-12,DRWF,23,APPL,91,
12459120,81,2012-01-24,PUBTC,0,,0,
12459120,86,2012-01-26,EXIE,0,,0,
12459120,83,2012-01-26,N271,0,,0,
12459120,88,2012-01-26,TCPB,0,,0,
12459120,84,2012-01-26,MN271,0,,0,
12459120,85,2012-01-26,EX.A,0,,0,
12459120,87,2012-01-26,TCPB,0,,0,
12459120,91,2012-02-03,MEX.A,0,,0,
12459120,92,2012-02-03,TCPB,0,,0,
12459120,94,2012-02-21,D1935,0,,0,
12459120,96,2012-03-20,PTAC,0,,0,
12459120,96.5,2012-03-20,PTA36M,0,PTO,.5,
12932076,2,2011-02-16,CRFL,0,,0,
12932076,1,2011-02-18,IEXX,0,,0,
12932076,3,2011-02-24,SCAN,0,,0,
12932076,4,2011-02-28,L198,0,,0,
12932076,5,2011-03-09,L128,0,,0,
12932076,6,2011-03-11,CRFE,0,,0,
12932076,7,2011-03-31,FLRCPT.O,0,,0,
