application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
11408151,67,2010-11-08,CTNF,0,,0,
11408151,68,2010-11-10,MCTNF,0,,0,
11408151,69,2010-11-10,EML_NTF,0,,0,
11408151,70,2010-11-10,ELC_RVW,0,,0,
11408151,71,2011-05-10,XT/G,0,,0,
12566794,1,2009-09-25,IEXX,0,,0,
12566794,11,2009-09-25,M844,0,,0,
12566794,12,2009-09-25,RCAP,0,,0,
12566794,17,2009-09-25,WIDS,0,,0,
12566794,18,2009-09-25,IDSC,0,,0,
12566794,2,2009-09-26,SCAN,0,,0,
12566794,3,2009-09-30,L194,0,,0,
12566794,4,2009-10-14,FLRCPT.O,0,,0,
12566794,5,2009-10-14,INCD,0,,0,
12566794,6,2009-10-27,OATHDECL,0,,0,
12566794,7,2009-10-27,ADDFLFEE,0,,0,
12566794,8,2009-11-04,FLRCPT.U,0,,0,
12566794,9,2009-11-04,PGPC,0,,0,
12566794,10,2009-11-18,OIPE,0,,0,
12566794,13,2009-11-23,RQPR,0,,0,
12566794,14,2010-03-25,PG-ISSUE,0,,0,
12566794,15,2010-03-26,DOCK,0,,0,
12566794,16,2010-09-08,DOCK,0,,0,
12566794,19,2011-02-08,CTNF,0,,0,
12240162,1,2008-09-29,IEXX,0,,0,
12240162,2,2008-09-29,SCAN,0,,0,
12240162,3,2008-09-30,L194,0,,0,
12240162,4,2008-10-17,FLRCPT.O,0,,0,
12240162,5,2008-10-17,PGPC,0,,0,
12240162,6,2008-11-12,OIPE,0,,0,
12240162,7,2009-04-08,TSSCOMP,0,,0,
12240162,8,2009-04-15,WIDS,0,,0,
12240162,15,2009-04-15,M844,0,,0,
12240162,16,2009-04-15,RCAP,0,,0,
12240162,23,2009-04-15,IDSC,0,,0,
12240162,9,2009-07-28,TI1050,0,,0,
12240162,10,2009-07-31,TI1050,0,,0,
12240162,11,2009-08-04,TI1050,0,,0,
12240162,12,2009-10-01,TI1050,0,,0,
12240162,13,2009-10-06,TI1050,0,,0,
12240162,14,2009-10-19,TI1050,0,,0,
12240162,17,2009-11-21,TI1050,0,,0,
12240162,18,2010-03-31,TI1050,0,,0,
12240162,19,2010-04-01,PG-ISSUE,0,,0,
12240162,20,2010-04-02,EML_NTR,0,,0,
12240162,22,2010-06-11,DOCK,0,,0,
12240162,26,2010-08-30,CTNF,0,,0,
12240162,27,2010-09-03,MCTNF,278,PTO,.5,
12240162,28,2010-09-03,EML_NTF,0,,0,
12240162,29,2010-09-03,ELC_RVW,0,,0,
12240162,30,2010-12-03,A...,0,,0,
12240162,31,2010-12-29,FWDX,0,,0,
12240162,32,2011-03-10,CTFR,0,,0,
12240162,33,2011-03-14,MCTFR,0,,0,
12240162,34,2011-03-14,EML_NTF,0,,0,
12240162,35,2011-03-14,ELC_RVW,0,,0,
12240162,36,2011-06-14,N/AP,0,,0,
12240162,38,2011-08-15,AP.B,0,,0,
12240162,37,2011-08-30,APBR,0,,0,
12240162,39,2011-09-13,FWDX,0,,0,
12240162,41,2011-12-01,EX.R,0,,0,
12240162,43,2011-12-02,N/=.,0,,0,
12240162,44,2011-12-02,DVER,0,,0,
12240162,48,2011-12-07,MN/=.,177,,36,
12240162,.5,2008-09-29,EFILE,0,,0,
12240162,54,2012-02-28,N084,0,,0,
12240162,53,2012-02-28,IFEE,0,,0,
12240162,57,2012-03-02,D1935,0,,0,
12240162,55,2012-03-02,PILS,0,,0,
12240162,56,2012-03-02,D1935,0,,0,
12240162,59,2012-04-03,PTAC,0,,0,
12240162,59.5,2012-04-03,PTA36M,10,PTO,.5,
12250297,18,2009-01-22,WIDS,0,,0,
12250297,19,2009-01-22,WIDS,0,,0,
12250297,20,2009-01-22,WIDS,0,,0,
12250297,21,2009-01-22,WIDS,0,,0,
12250297,22,2009-01-22,WIDS,0,,0,
12250297,23,2009-01-22,WIDS,0,,0,
12250297,24,2009-01-22,WIDS,0,,0,
12250297,25,2009-01-22,WIDS,0,,0,
12250297,26,2009-01-22,WIDS,0,,0,
12250297,27,2009-01-22,WIDS,0,,0,
12250297,28,2009-01-22,WIDS,0,,0,
12250297,29,2009-01-22,WIDS,0,,0,
12250297,30,2009-01-22,WIDS,0,,0,
12250297,31,2009-01-22,WIDS,0,,0,
12250297,40,2009-01-22,EIDS.,0,,0,
12250297,41,2009-01-22,EIDS.,0,,0,
12250297,42,2009-01-22,EIDS.,0,,0,
12250297,43,2009-01-22,RCAP,0,,0,
12250297,44,2009-01-22,EIDS.,0,,0,
12250297,45,2009-01-22,RCAP,0,,0,
12250297,46,2009-01-22,EIDS.,0,,0,
12250297,47,2009-01-22,EIDS.,0,,0,
12250297,48,2009-01-22,RCAP,0,,0,
12250297,49,2009-01-22,EIDS.,0,,0,
12250297,50,2009-01-22,RCAP,0,,0,
12250297,51,2009-01-22,EIDS.,0,,0,
12250297,52,2009-01-22,RCAP,0,,0,
12250297,53,2009-01-22,EIDS.,0,,0,
12250297,54,2009-01-22,RCAP,0,,0,
12250297,55,2009-01-22,EIDS.,0,,0,
12250297,56,2009-01-22,RCAP,0,,0,
12250297,57,2009-01-22,EIDS.,0,,0,
12250297,58,2009-01-22,RCAP,0,,0,
