application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
12831811,53,2011-09-19,XT/G,0,,0,
12831811,55,2011-09-19,RCEX,33,APPL,44,
12831811,58,2011-09-19,EIDS.,0,,0,
12831811,59,2011-09-19,IDSC,0,,0,
12831811,54,2011-09-20,ABN9,0,,0,
12831811,57,2011-09-20,FWDX,0,,0,
12831811,60,2011-09-20,CTNF,0,,0,
12831811,62,2011-09-27,MCTNF,0,,0,
12831811,63,2011-09-27,EML_NTF,0,,0,
12831811,64,2011-09-27,ELC_RVW,0,,0,
12831811,65,2011-10-18,PA..,0,,0,
12831811,66,2011-10-18,EML_NTR,0,,0,
12831811,67,2011-12-12,A...,0,,0,
12831811,68,2011-12-14,FWDX,0,,0,
12831811,70,2011-12-19,N/=.,0,,0,
12831811,71,2011-12-19,DVER,0,,0,
12831811,74,2011-12-22,MN/=.,0,,0,
12831811,.5,2010-07-07,EFILE,0,,0,
12831811,79,2012-03-09,IFEE,0,,0,
12831811,80,2012-03-09,N084,0,,0,
12831811,82,2012-03-13,D1935,0,,0,
12831811,81,2012-03-13,PILS,0,,0,
12831811,84,2012-04-17,PTAC,0,,0,
12831811,84.5,2011-09-18,PTA36M,0,PTO,.5,
12493406,50,2012-03-09,PILS,0,,0,
12493406,51,2012-03-21,D1935,0,,0,
12493406,54,2012-04-17,PTAC,0,,0,
12493406,54.5,2012-04-17,PTA36M,0,PTO,.5,
12658116,1,2010-02-03,IEXX,0,,0,
12658116,2,2010-02-12,L198,0,,0,
12658116,3,2010-02-25,L128,0,,0,
12658116,4,2010-03-09,FLRCPT.O,0,,0,
12658116,5,2010-03-09,INCD,0,,0,
12658116,7,2010-04-30,OATHDECL,0,,0,
12658116,8,2010-04-30,FLFEE,0,,0,
12658116,6,2010-05-14,C.AD,0,,0,
12658116,9,2010-05-17,FLRCPT.U,0,,0,
12658116,10,2010-05-17,OIPE,0,,0,
12658116,11,2010-05-17,COMP,0,,0,
12658116,12,2010-08-26,PG-ISSUE,0,,0,
12658116,13,2010-09-21,DOCK,0,,0,
12658116,14,2011-02-25,CTNF,0,,0,
12658116,15,2011-02-28,MCTNF,0,,0,
12658116,16,2011-07-28,XT/G,0,,0,
12658116,17,2011-07-28,A...,61,APPL,15,
12658116,17.1,2011-07-28,A.I.,0,,0,
12658116,18,2011-08-03,FWDX,0,,0,
12658116,20,2011-10-12,NINA,0,,0,
12658116,21,2011-11-01,A...,96,APPL,17,
12658116,21.1,2011-11-01,A.I.,0,,0,
12658116,22,2011-11-03,FWDX,0,,0,
12658116,24,2011-12-06,NINA,0,,0,
12658116,25,2012-01-25,XT/G,0,,0,
12658116,26,2012-01-25,A...,85,APPL,21,
12658116,27,2012-01-26,FWDX,0,,0,
12658116,31,2012-01-31,DOCK,0,,0,
12658116,32,2012-01-31,N/=.,0,,0,
12658116,33,2012-01-31,DVER,0,,0,
12658116,36,2012-02-01,MN/=.,0,,0,
12658116,.5,2010-02-01,EFILE,0,,0,
12658116,39,2012-03-15,IFEE,0,,0,
12053550,1,2008-03-21,IEXX,0,,0,
12053550,2,2008-03-22,SCAN,0,,0,
12053550,3,2008-03-27,L194,0,,0,
12053550,4,2008-04-03,INCD,0,,0,
12053550,5,2008-04-03,FLRCPT.O,0,,0,
12053550,6,2008-06-03,OATHDECL,0,,0,
12053550,7,2008-06-03,ADDFLFEE,0,,0,
12053550,8,2008-06-10,COMP,0,,0,
12053550,9,2008-06-10,FLRCPT.U,0,,0,
12053550,10,2008-06-10,PGPC,0,,0,
12053550,11,2008-06-16,OIPE,0,,0,
12053550,12,2008-07-12,TSSCOMP,0,,0,
12053550,13,2008-09-25,PG-ISSUE,0,,0,
12053550,14,2008-11-04,WIDS,0,,0,
12053550,15,2008-11-04,EIDS.,0,,0,
12053550,20,2008-11-04,IDSC,0,,0,
12053550,16,2010-09-24,TI1050,0,,0,
12053550,17,2010-09-25,DOCK,0,,0,
12053550,18,2010-10-14,DOCK,0,,0,
12053550,25,2010-12-17,CTNF,0,,0,
12053550,26,2010-12-22,MCTNF,580,PTO,.5,
12053550,27,2010-12-22,EML_NTF,0,,0,
12053550,28,2010-12-22,ELC_RVW,0,,0,
12053550,29,2011-03-21,A...,0,,0,
12053550,30,2011-03-22,FWDX,0,,0,
12053550,31,2011-06-06,CTFR,0,,0,
12053550,33,2011-06-14,MCTFR,0,,0,
12053550,34,2011-06-14,EML_NTF,0,,0,
12053550,35,2011-06-14,ELC_RVW,0,,0,
12053550,36,2011-10-25,XT/G,0,,0,
12053550,37,2011-10-25,A.NE,0,,0,
12053550,38,2011-10-27,FWDX,0,,0,
12053550,42,2011-11-26,N/=.,0,,0,
12053550,43,2011-11-26,DVER,0,,0,
