application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
12304017,47,2012-04-19,PILS,0,,0,
12304017,48,2012-04-20,D1935,0,,0,
12304017,49,2012-05-15,PTAC,0,,0,
12304017,49.5,2012-05-15,PTA36M,158,PTO,49.4,
12304017,49.4,2008-12-09,COMMN,0,,0,
12304017,40,2012-01-24,MN/=.,46,,9,
12347504,1,2008-12-31,IEXX,0,,0,
12347504,2,2008-12-31,SCAN,0,,0,
12347504,3,2008-12-31,WIDS,0,,0,
12347504,5,2008-12-31,APPERMS,0,,0,
12347504,10,2008-12-31,M844,0,,0,
12347504,11,2008-12-31,RCAP,0,,0,
12347504,17,2008-12-31,IDSC,0,,0,
12347504,4,2009-01-06,L194,0,,0,
12347504,7,2009-02-06,PGPC,0,,0,
12347504,6,2009-02-09,FLRCPT.O,0,,0,
12347504,8,2009-02-09,EML_NTR,0,,0,
12347504,9,2009-02-13,OIPE,0,,0,
12347504,12,2009-02-26,TSSCOMP,0,,0,
12347504,13,2010-06-20,DOCK,0,,0,
12347504,14,2010-07-01,PG-ISSUE,0,,0,
12347504,15,2010-07-02,EML_NTR,0,,0,
12347504,16,2011-03-30,DOCK,0,,0,
12347504,24,2011-11-20,CTNF,0,,0,
12347504,26,2011-12-01,MCTNF,641,PTO,.5,
12347504,27,2011-12-01,EML_NTF,0,,0,
12347504,28,2011-12-01,ELC_RVW,0,,0,
12347504,29,2012-03-06,XT/G,0,,0,
12347504,30,2012-03-06,A...,5,APPL,26,
12347504,31,2012-03-08,FWDX,0,,0,
12614227,1,2009-11-06,IEXX,0,,0,
12614227,2,2009-11-06,SCAN,0,,0,
12614227,4,2009-11-06,PDREQUST,0,,0,
12614227,3,2009-11-09,L194,0,,0,
12614227,5,2009-11-23,INCD,0,,0,
12614227,6,2009-11-23,FLRCPT.O,0,,0,
12614227,7,2009-11-23,EML_NTF,0,,0,
12614227,8,2009-11-23,EML_NTR,0,,0,
12614227,9,2009-11-23,ELC_RVW,0,,0,
12614227,11,2009-12-02,OATHDECL,0,,0,
12614227,12,2009-12-02,ADDFLFEE,0,,0,
12614227,13,2009-12-11,INCR,0,,0,
12614227,14,2009-12-11,PA..,0,,0,
12614227,15,2009-12-11,EML_NTR,0,,0,
12614227,16,2009-12-11,EML_NTR,0,,0,
12614227,17,2009-12-23,CORRDRW,0,,0,
12614227,18,2009-12-23,ADDFLFEE,0,,0,
12614227,20,2010-01-05,PGPC,0,,0,
12614227,19,2010-01-06,FLRCPT.U,0,,0,
12614227,21,2010-01-06,EML_NTR,0,,0,
12614227,22,2010-01-20,OIPE,0,,0,
12614227,23,2010-06-18,DOCK,0,,0,
12614227,24,2010-06-18,DOCK,0,,0,
12614227,25,2011-04-07,PG-ISSUE,0,,0,
12614227,26,2011-04-08,EML_NTR,0,,0,
12614227,31,2012-03-15,EX.A,0,,0,
12614227,32,2012-03-15,EX.R,0,,0,
12614227,33,2012-03-19,DOCK,0,,0,
12614227,34,2012-03-19,N/=.,0,,0,
12614227,35,2012-03-19,DVER,0,,0,
12614227,40,2012-03-22,MN/=.,441,PTO,.5,
12614227,.5,2009-11-06,EFILE,0,,0,
12614227,44,2012-04-06,IFEE,0,,0,
12614227,45,2012-04-06,N084,0,,0,
12614227,46,2012-04-09,PILS,0,,0,
11279793,12,2007-04-02,WIDS,0,,0,
11279793,12.7,2007-04-02,EIDS.,0,,0,
11279793,43,2007-04-02,IDSC,0,,0,
11279793,13,2007-04-30,DOCK,0,,0,
11279793,14,2007-05-03,PG-ISSUE,0,,0,
11279793,16,2007-05-30,M844,0,,0,
11279793,17,2007-05-30,WIDS,0,,0,
11279793,42,2007-05-30,IDSC,0,,0,
11279793,20,2007-11-20,WIDS,0,,0,
11279793,21,2007-11-20,EIDS.,0,,0,
11279793,41,2007-11-20,IDSC,0,,0,
11279793,22,2008-02-28,WIDS,0,,0,
11279793,27,2008-02-28,M844,0,,0,
11279793,28,2008-02-28,RCAP,0,,0,
11279793,40,2008-02-28,IDSC,0,,0,
11279793,23,2008-05-19,WIDS,0,,0,
11279793,25,2008-05-19,RCAP,0,,0,
11279793,26,2008-05-19,EIDS.,0,,0,
11279793,39,2008-05-19,IDSC,0,,0,
11279793,24,2008-06-24,DOCK,0,,0,
11279793,29,2008-08-20,WIDS,0,,0,
11279793,31,2008-08-20,M844,0,,0,
11279793,38,2008-08-20,IDSC,0,,0,
11279793,30,2008-09-13,DOCK,0,,0,
11279793,32,2008-10-06,DOCK,0,,0,
11279793,33,2008-10-20,WIDS,0,,0,
11279793,34,2008-10-20,M844,0,,0,
11279793,35,2008-10-20,RCAP,0,,0,
11279793,37,2008-10-20,IDSC,0,,0,
11279793,36,2008-11-13,DOCK,0,,0,
11279793,49,2008-12-07,CTNF,0,,0,
11279793,50,2008-12-10,MCTNF,545,PTO,.5,
11279793,51,2009-02-19,WIDS,0,,0,
