application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
09654949,32,2006-03-07,MCTFR,0,PTO,29,
09654949,33,2006-05-08,A.NE,0,,0,
09654949,34,2006-05-19,FWDX,0,,0,
09654949,35,2006-05-22,CTAV,0,,0,
09654949,36,2006-05-23,MCTAV,0,,0,
09654949,37,2006-08-01,BRCE,0,,0,
09654949,39,2006-08-01,RCEX,55,APPL,32,
09654949,38,2006-08-09,ABN9,0,,0,
09654949,40,2006-08-09,FWDX,0,,0,
09654949,42,2006-08-09,FWDX,0,,0,
09654949,43,2006-08-18,CTNF,0,,0,
09654949,44,2006-08-24,MCTNF,0,,0,
09654949,45,2006-10-12,DOCK,0,,0,
09654949,46,2006-12-18,XT/G,0,,0,
09654949,47,2006-12-18,A...,24,APPL,44,
09654949,48,2007-01-08,FWDX,0,,0,
09654949,49,2007-02-22,DOCK,0,,0,
09654949,50,2007-04-05,DOCK,0,,0,
09654949,51,2007-04-10,DOCK,0,,0,
09654949,52,2007-04-27,CTFR,0,,0,
09654949,53,2007-05-01,MCTFR,13,PTO,47,
09654949,54,2007-07-02,XT/G,0,,0,
09654949,55,2007-07-02,A.NE,0,,0,
09654949,56,2007-07-10,FWDX,0,,0,
09654949,57,2007-07-16,CTAV,0,,0,
09654949,58,2007-07-17,MCTAV,0,,0,
09654949,59,2007-09-04,BRCE,0,,0,
09654949,60,2007-09-04,XT/G,0,,0,
09654949,62,2007-09-04,RCEX,34,APPL,53,
09654949,61,2007-09-11,ABN9,0,,0,
09654949,63,2007-09-11,FWDX,0,,0,
09654949,65,2007-09-11,FWDX,0,,0,
09654949,68,2007-10-15,C.AD,0,,0,
09654949,69,2007-10-16,PA..,0,,0,
09654949,70,2007-10-16,PA..,0,,0,
09654949,71,2007-10-16,PA..,0,,0,
09654949,72,2007-11-20,CTNF,0,,0,
09654949,73,2007-11-21,MCTNF,0,,0,
09654949,74,2008-03-21,XT/G,0,,0,
09654949,75,2008-03-21,A...,29,APPL,73,
09654949,76,2008-04-16,FWDX,0,,0,
09654949,77,2008-06-23,CTFR,0,,0,
09654949,78,2008-06-26,MCTFR,0,,0,
12952217,1,2010-11-23,IEXX,0,,0,
12952217,2,2010-11-23,SCAN,0,,0,
12952217,3,2010-11-30,L194,0,,0,
12952217,5,2010-12-09,PGPC,0,,0,
12952217,4,2010-12-10,FLRCPT.O,0,,0,
12952217,6,2010-12-10,EML_NTR,0,,0,
12952217,7,2010-12-10,COMP,0,,0,
12952217,8,2011-01-04,OIPE,0,,0,
12952217,9,2011-11-07,DOCK,0,,0,
12952217,10,2012-01-18,DOCK,0,,0,
12952217,15,2012-02-10,EX.R,0,,0,
12952217,16,2012-02-15,DVER,0,,0,
12952217,17,2012-02-15,DOCK,0,,0,
12952217,18,2012-02-15,N/=.,0,,0,
12603287,1,2009-10-21,IEXX,0,,0,
12603287,2,2009-10-21,SCAN,0,,0,
12603287,3,2009-10-27,L194,0,,0,
12603287,5,2009-11-12,FLRCPT.O,0,,0,
12603287,6,2009-11-12,INCD,0,,0,
12603287,7,2009-11-12,MPDX,0,,0,
12603287,8,2009-11-23,OATHDECL,0,,0,
12603287,9,2009-11-23,APPERMS,0,,0,
12603287,10,2009-11-23,ADDFLFEE,0,,0,
12603287,11,2009-12-07,FLRCPT.U,0,,0,
12603287,12,2009-12-07,PGPC,0,,0,
12603287,13,2009-12-16,OIPE,0,,0,
12603287,14,2010-01-20,WIDS,0,,0,
12603287,15,2010-01-20,EIDS.,0,,0,
12603287,23,2010-01-20,IDSC,0,,0,
12603287,16,2010-02-09,DOCK,0,,0,
12603287,24,2010-03-04,CTNF,0,,0,
12603287,25,2010-03-09,MCTNF,0,,0,
12603287,26,2010-06-09,A...,0,,0,
12572622,1,2009-10-02,IEXX,0,,0,
12572622,11,2009-10-02,NPRQ,0,,0,
12572622,3,2009-10-03,SCAN,0,,0,
12572622,4,2009-10-06,L194,0,,0,
12572622,5,2009-10-20,FLRCPT.O,0,,0,
12572622,6,2009-10-20,INCD,0,,0,
12572622,7,2009-12-21,WIDS,0,,0,
12572622,8,2009-12-21,CORRDRW,0,,0,
12572622,9,2009-12-21,OATHDECL,0,,0,
12572622,10,2009-12-21,FLFEE,0,,0,
12572622,16,2009-12-21,M844,0,,0,
11858204,72.5,2010-06-30,PTA36M,0,PTO,.5,
10922478,1,2004-08-18,IEXX,0,,0,
10922478,2,2004-09-14,SCAN,0,,0,
10922478,4,2004-09-28,L194,0,,0,
10922478,5,2004-10-25,INCD,0,,0,
10922478,6,2005-01-25,OATHDECL,0,,0,
10922478,7,2005-01-25,ADDFLFEE,0,,0,
10922478,8,2005-02-17,COMP,0,,0,
10922478,9,2005-02-17,OIPE,0,,0,
10922478,10,2005-02-17,ROIPE,0,,0,
10922478,11,2005-02-17,WROIPE,0,,0,
10922478,12,2005-12-02,DOCK,0,,0,
10922478,13,2005-12-02,TSSCOMP,0,,0,
10922478,14,2006-01-18,DOCK,0,,0,
10922478,15,2007-01-10,DOCK,0,,0,
10922478,16,2007-01-23,PET.,0,,0,
10922478,17,2007-03-22,DOCK,0,,0,
10922478,18,2007-03-22,DOCK,0,,0,
