application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
11942820,53,2011-11-14,CTFR,0,,0,
11942820,55,2011-11-21,MCTFR,0,,0,
11942820,56,2011-11-21,EML_NTF,0,,0,
11942820,57,2011-11-29,PST_CRD,0,,0,
11942820,58,2012-02-15,BRCE,0,,0,
11942820,60,2012-02-15,RCEX,0,,0,
11942820,59,2012-02-21,ABN9,0,,0,
11942820,62,2012-02-21,FWDX,0,,0,
11942820,66,2012-03-21,EX.R,0,,0,
11942820,67,2012-03-25,N/=.,0,,0,
11942820,68,2012-03-25,DVER,0,,0,
11942820,72,2012-04-03,MN/=.,0,,0,
11942820,.5,2007-11-20,EFILE,0,,0,
11942820,76,2012-05-12,PUBTC,0,,0,
11942820,77,2012-05-22,M327,0,,0,
11942820,81,2012-05-30,EML_NTR,0,,0,
11942820,80,2012-05-30,TCPB,0,,0,
11942820,79,2012-05-30,MM327,0,,0,
11942820,83,2012-06-18,IFEE,0,,0,
11942820,84,2012-06-18,N084,0,,0,
11942820,85,2012-06-19,PILS,0,,0,
11942820,86,2012-06-20,D1935,0,,0,
11942820,88,2012-07-17,PTAC,0,,0,
11942820,88.5,2009-09-13,PTA36M,0,PTO,.5,
12790859,6,2010-06-14,COMP,0,,0,
12790859,7,2010-07-01,OIPE,0,,0,
12790859,8,2010-10-15,DOCK,0,,0,
12790859,9,2011-10-20,PG-ISSUE,0,,0,
12790859,10,2011-10-21,EML_NTR,0,,0,
12790859,11,2011-12-23,DOCK,0,,0,
12790859,12,2012-01-04,DOCK,0,,0,
12790859,13,2012-03-02,DOCK,0,,0,
12790859,14,2012-03-08,DOCK,0,,0,
12790859,21,2012-03-09,EXIE,0,,0,
12790859,19,2012-03-13,EX.A,0,,0,
12790859,20,2012-03-13,EX.R,0,,0,
12790859,22,2012-03-15,N/=.,0,,0,
12790859,23,2012-03-15,DVER,0,,0,
12790859,29,2012-03-21,MN/=.,234,PTO,.5,
12790859,.5,2010-05-31,EFILE,0,,0,
12790859,33,2012-04-02,RQPR,10,APPL,35,
12790859,34,2012-04-09,P327-P,0,,0,
12790859,36,2012-04-11,EML_NTR,0,,0,
12790859,35,2012-04-11,MP327-P,0,,0,
12790859,38,2012-06-19,IFEE,0,,0,
12790859,39,2012-06-19,N084,0,,0,
12790859,40,2012-06-20,PILS,0,,0,
12790859,41,2012-06-20,D1935,0,,0,
12790859,43,2012-07-17,PTAC,0,,0,
12790859,43.5,2012-07-17,PTA36M,0,PTO,.5,
13113577,1,2011-05-23,IEXX,0,,0,
13113577,2,2011-05-23,SCAN,0,,0,
13113577,8,2011-05-23,A.PE,0,,0,
13113577,3,2011-05-24,L194,0,,0,
13113577,4,2011-06-03,FLRCPT.O,0,,0,
13113577,5,2011-06-03,PGPC,0,,0,
13113577,6,2011-06-03,COMP,0,,0,
13113577,9,2011-06-06,RQPR,0,,0,
13113577,7,2011-06-28,OIPE,0,,0,
13113577,10,2011-11-25,PG-ISSUE,0,,0,
13113577,11,2012-01-17,DOCK,0,,0,
13113577,21,2012-04-23,DOCK,0,,0,
13113577,22,2012-04-23,N/=.,0,,0,
13113577,23,2012-04-23,DVER,0,,0,
11691149,50,2011-02-16,ABN9,0,,0,
11691149,53,2011-02-16,FWDX,0,,0,
11691149,54,2011-03-04,CTNF,0,,0,
11691149,55,2011-03-09,MCTNF,0,,0,
11691149,56,2011-03-09,EML_NTF,0,,0,
11691149,57,2011-03-09,ELC_RVW,0,,0,
11691149,58,2011-06-09,A...,0,,0,
11691149,59,2011-06-23,FWDX,0,,0,
11691149,60,2011-07-28,CTFR,0,,0,
11691149,62,2011-08-03,MCTFR,0,,0,
