application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
11138025,127,2010-10-19,ELC_RVW,0,,0,
11138025,129,2011-01-19,BRCE,0,,0,
11138025,130,2011-01-19,WIDS,0,,0,
11138025,132,2011-01-19,RCEX,0,,0,
11138025,133,2011-01-19,EIDS.,0,,0,
11138025,135,2011-01-19,IDSC,0,,0,
11138025,131,2011-01-20,ABN9,0,,0,
11138025,137,2011-01-28,DVER,0,,0,
11138025,138,2011-01-28,N/=.,0,,0,
11138025,140,2011-02-02,MN/=.,0,,0,
11138025,141,2011-02-02,EML_NTF,0,,0,
11138025,142,2011-02-04,ELC_RVW,0,,0,
12486316,48,2012-07-06,PA..,0,,0,
12486316,50,2012-07-11,N271,0,,0,
12486316,52,2012-07-16,MN271,0,,0,
12486316,53,2012-07-16,TCPB,0,,0,
12486316,54,2012-07-17,D1935,0,,0,
12486316,56,2012-08-14,PTAC,0,,0,
12486316,56.5,2012-08-14,PTA36M,58,PTO,.5,
12286992,18,2009-04-23,PG-ISSUE,0,,0,
12286992,19,2009-05-07,TI1054,0,,0,
12286992,20,2009-05-07,TI1052,0,,0,
12286992,21,2009-05-07,DOCK,0,,0,
12286992,22,2011-04-14,DOCK,0,,0,
12286992,23,2011-04-29,DOCK,0,,0,
12286992,24,2011-07-18,DOCK,0,,0,
12286992,28,2011-10-03,CTNF,0,,0,
12286992,30,2011-10-07,MCTNF,669,PTO,.5,
12286992,31,2012-01-05,A...,0,,0,
12286992,33,2012-01-05,C614,0,,0,
12286992,32,2012-01-09,FWDX,0,,0,
12286992,35,2012-05-26,EX.R,0,,0,
12286992,38,2012-06-05,DVER,0,,0,
12286992,42,2012-06-19,DOCK,0,,0,
12286992,43,2012-06-19,N/=.,0,,0,
12286992,47,2012-06-22,MN/=.,0,PTO,31,
12286992,.5,2008-10-03,EFILE,0,,0,
12286992,48,2012-06-29,IFEE,0,,0,
12286992,50,2012-06-29,N084,0,,0,
12286992,51,2012-07-03,PILS,0,,0,
12286992,54,2012-07-19,D1935,0,,0,
12286992,52,2012-07-19,D1935,0,,0,
12286992,53,2012-07-19,D1935,0,,0,
12286992,57,2012-08-14,PTAC,0,,0,
12286992,57.5,2012-08-14,PTA36M,316,PTO,.5,
12286992,30,2011-10-07,MCTNF,4,,.5,
12286992,47,2012-06-22,MN/=.,48,,31,
11029104,111,2010-12-07,DVER,0,,0,
11029104,112,2010-12-07,N/=.,0,,0,
11029104,114,2010-12-13,MN/=.,0,,0,
11029104,115,2010-12-13,EML_NTF,0,,0,
11029104,117,2010-12-21,PST_CRD,0,,0,
11029104,118,2011-03-14,BRCE,0,,0,
11029104,119,2011-03-14,WIDS,0,,0,
11029104,121,2011-03-14,RCEX,1,APPL,114,
11029104,122,2011-03-14,IDSC,0,,0,
11029104,120,2011-03-15,ABN9,0,,0,
11029104,124,2011-03-25,DVER,0,,0,
11029104,125,2011-03-28,N/=.,0,,0,
11029104,127,2011-03-31,MN/=.,0,,0,
11029104,128,2011-03-31,EML_NTF,0,,0,
11029104,129,2011-03-31,ELC_RVW,0,,0,
11029104,131,2011-06-29,BRCE,0,,0,
11029104,132,2011-06-29,WIDS,0,,0,
11029104,133,2011-06-29,EIDS.,0,,0,
11029104,135,2011-06-29,RCEX,0,,0,
