application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
11042545,156,2012-06-02,APCR,0,,0,
11042545,159,2012-06-04,FWDX,0,,0,
11042545,158,2012-06-05,MAPCR,0,,0,
11042545,169,2012-06-08,EX.A,0,,0,
11042545,170,2012-06-08,EX.R,0,,0,
11042545,171,2012-06-11,DVER,0,,0,
11042545,172,2012-06-11,DOCK,0,,0,
11042545,173,2012-06-11,N/=.,0,,0,
11042545,178,2012-06-14,MN/=.,39,,154,
12303344,8,2009-03-27,371COMP,0,,0,
12303344,5,2009-04-30,M903,0,,0,
12303344,6,2009-04-30,FLRCPT.O,0,,0,
12303344,7,2009-04-30,PGPC,0,,0,
12101491,79,2012-07-24,PILS,0,,0,
12101491,82,2012-08-28,PTAC,0,,0,
12101491,82.5,2012-08-28,PTA36M,390,PTO,.5,
11453148,1,2006-06-15,IEXX,0,,0,
11453148,7,2006-06-15,WIDS,0,,0,
11453148,7.7,2006-06-15,M844,0,,0,
11453148,8,2006-06-15,RQPR,0,,0,
11453148,12,2006-06-15,IDSC,0,,0,
11453148,2,2006-06-22,SCAN,0,,0,
11453148,3,2006-06-29,L194,0,,0,
11453148,5,2006-07-10,OIPE,0,,0,
11453148,4,2006-07-11,COMP,0,,0,
11453148,6,2006-07-14,TSSCOMP,0,,0,
11453148,9,2007-01-11,PG-ISSUE,0,,0,
11453148,10,2007-11-15,DOCK,0,,0,
11453148,11,2009-09-14,DOCK,0,,0,
11453148,16,2010-02-01,CTNF,0,,0,
11453148,17,2010-02-03,MCTNF,670,PTO,.5,
11453148,18,2010-05-03,A...,0,,0,
11453148,19,2010-05-13,FWDX,0,,0,
11453148,23,2010-07-17,CTFR,0,,0,
11453148,24,2010-07-20,MCTFR,0,,0,
11453148,25,2010-09-20,A.NE,0,,0,
11453148,26,2010-09-28,FWDX,0,,0,
11453148,27,2010-10-14,CTAV,0,,0,
11453148,28,2010-10-15,MCTAV,0,,0,
11453148,29,2010-10-20,BRCE,0,,0,
11453148,31,2010-10-20,RCEX,0,,0,
11453148,30,2010-10-28,ABN9,0,,0,
11453148,33,2010-10-28,FWDX,0,,0,
11453148,38,2010-12-13,CTNF,0,,0,
11453148,39,2010-12-13,MCTNF,0,,0,
11453148,40,2011-03-11,A...,0,,0,
11453148,41,2011-03-18,FWDX,0,,0,
11453148,42,2011-05-22,CTFR,0,,0,
11453148,44,2011-05-23,MCTFR,0,,0,
11453148,45,2011-07-25,A.NE,0,,0,
11453148,46,2011-07-29,FWDX,0,,0,
11453148,47,2011-09-01,CTNF,0,,0,
11453148,49,2011-09-21,MCTNF,0,,0,
11453148,50,2011-12-02,A...,0,,0,
11453148,51,2011-12-07,FWDX,0,,0,
12366268,51,2012-05-29,DVER,0,,0,
12366268,55,2012-05-29,MN/=.,0,,0,
12366268,.5,2009-02-05,EFILE,0,,0,
12366268,59,2012-07-30,N084,0,,0,
12366268,58,2012-07-30,IFEE,0,,0,
