application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
11497509,26,2008-03-18,MCTNF,0,,0,
11497509,27,2008-07-18,XT/G,0,,0,
11805909,14,2007-05-25,OATHDECL,0,,0,
11805909,1,2007-05-29,IEXX,0,,0,
11805909,2,2007-06-08,SCAN,0,,0,
11805909,3,2007-06-15,L198,0,,0,
11805909,4,2007-06-21,L196,0,,0,
11805909,5,2007-06-27,ML196,0,,0,
11805909,11,2007-07-02,INCD,0,,0,
11805909,12,2007-07-23,WIDS,0,,0,
11805909,15,2007-07-23,ADDFLFEE,0,,0,
11805909,26,2007-07-23,M844,0,,0,
11805909,27,2007-07-23,IDSC,0,,0,
11805909,16,2007-08-01,COMP,0,,0,
11805909,17,2007-08-01,PGPW,0,,0,
11805909,18,2010-01-04,L197,0,,0,
11805909,19,2010-01-04,L130,0,,0,
11805909,20,2010-01-07,PGPC,0,,0,
11805909,21,2010-01-07,PG-PB-DT,0,,0,
11805909,22,2010-01-19,OIPE,0,,0,
11805909,23,2010-04-15,PG-ISSUE,0,,0,
11805909,24,2010-05-10,DOCK,0,,0,
11805909,25,2010-05-11,DOCK,0,,0,
11805909,28,2010-06-06,CTNF,0,,0,
11805909,29,2010-06-08,MCTNF,669,PTO,.5,
11805909,30,2010-09-21,A...,13,APPL,29,
11805909,31,2010-09-28,FWDX,0,,0,
11805909,33,2010-12-06,CTNF,0,,0,
11805909,34,2010-12-07,MCTNF,0,,0,
11805909,35,2011-04-13,PET.,0,,0,
11805909,36,2011-04-26,PTGR,0,,0,
11805909,37,2011-04-26,MPTGR,0,,0,
11805909,38,2011-04-28,NRES,0,,0,
11805909,39,2011-04-29,MNRES,0,,0,
11805909,40,2011-08-05,A...,7,APPL,39,
11805909,41,2011-08-20,FWDX,0,,0,
11805909,42,2012-01-03,CTNF,0,,0,
11805909,44,2012-01-06,MCTNF,0,PTO,40,
11805909,45,2012-03-28,EXIA,0,,0,
11805909,47,2012-04-03,MEXIA,0,,0,
11805909,48,2012-04-23,XT/G,0,,0,
11805909,49,2012-04-23,A...,17,APPL,44,
11805909,51,2012-04-23,LET.,0,,0,
11805909,50,2012-05-02,FWDX,0,,0,
12488993,27,2011-12-19,XT/G,0,,0,
12488993,28,2011-12-19,A...,31,APPL,23,
12488993,29,2011-12-21,FWDX,0,,0,
12488993,31,2012-02-22,CTNF,0,,0,
12488993,33,2012-02-23,MCTNF,0,,0,
12488993,34,2012-05-15,EXIA,0,,0,
12488993,37,2012-05-16,A...,0,,0,
12488993,36,2012-05-17,MEXIA,0,,0,
12488993,38,2012-05-17,FWDX,0,,0,
12488993,41,2012-07-10,EX.A,0,,0,
12488993,42,2012-07-10,EX.R,0,,0,
12488993,43,2012-07-13,N/=.,0,,0,
12488993,44,2012-07-13,DVER,0,,0,
12488993,58,2012-07-23,MN/=.,0,,0,
12488993,.5,2009-06-22,EFILE,0,,0,
12488993,62,2012-10-02,N084,0,,0,
12488993,61,2012-10-02,IFEE,0,,0,
12488993,64,2012-10-08,D1935,0,,0,
12488993,63,2012-10-08,PILS,0,,0,
12488993,66,2012-11-06,PTAC,0,,0,
12488993,66.5,2012-11-06,PTA36M,137,PTO,.5,
12046021,62,2012-07-23,MN/=.,154,PTO,52,
12046021,.5,2008-03-11,EFILE,0,,0,
12046021,67,2012-10-02,IFEE,0,,0,
12046021,68,2012-10-02,N084,0,,0,
12046021,69,2012-10-06,PILS,0,,0,
12046021,70,2012-10-08,D1935,0,,0,
12046021,72,2012-11-06,PTAC,0,,0,
12046021,72.5,2011-10-19,PTA36M,222,PTO,.5,
11335166,1,2006-01-18,IEXX,0,,0,
11335166,2,2006-01-30,SCAN,0,,0,
11335166,4,2006-02-08,L194,0,,0,
11335166,6,2006-03-01,INCD,0,,0,
11335166,7,2006-07-31,OATHDECL,0,,0,
11335166,8,2006-07-31,FLFEE,60,APPL,6,
11335166,9,2006-08-18,COMP,0,,0,
11335166,10,2006-08-18,OIPE,0,,0,
11335166,11,2006-08-30,TSSCOMP,0,,0,
11335166,12,2007-07-19,PG-ISSUE,0,,0,
11335166,13,2007-08-14,DOCK,0,,0,
11335166,14,2007-10-15,F525,0,,0,
11335166,15,2007-10-15,F525,0,,0,
11335166,16,2007-10-17,W525,0,,0,
11335166,17,2007-10-17,W525,0,,0,
11335166,18,2008-10-28,DOCK,0,,0,
11335166,19,2008-11-18,DOCK,0,,0,
11335166,20,2008-11-18,DOCK,0,,0,
11335166,27,2008-11-24,CTNF,0,,0,
11335166,28,2008-12-05,MCTNF,628,PTO,.5,
11335166,29,2008-12-05,EML_NTF,0,,0,
11335166,30,2008-12-06,ELC_RVW,0,,0,
11335166,31,2009-04-06,WIDS,0,,0,
11335166,32,2009-04-06,XT/G,0,,0,
11335166,33,2009-04-06,A...,32,APPL,28,
11335166,35,2009-04-06,IDSC,0,,0,
11335166,34,2009-04-28,FWDX,0,,0,
11335166,36,2009-06-08,CTFR,0,,0,
11335166,37,2009-06-12,MCTFR,0,,0,
11335166,38,2009-06-12,EML_NTF,0,,0,
11335166,39,2009-06-12,ELC_RVW,0,,0,
11335166,40,2009-12-07,BRCE,0,,0,
11335166,41,2009-12-07,XT/G,0,,0,
11335166,43,2009-12-07,RCEX,86,APPL,37,
11335166,42,2009-12-09,ABN9,0,,0,
11335166,45,2009-12-09,FWDX,0,,0,
11335166,46,2010-01-13,CTNF,0,,0,
11335166,47,2010-01-19,MCTNF,0,,0,
11335166,48,2010-01-19,EML_NTF,0,,0,
11335166,49,2010-01-19,ELC_RVW,0,,0,
11335166,50,2010-06-21,WIDS,0,,0,
12472249,13,2010-06-09,RCAP,0,,0,
12472249,24,2010-06-09,IDSC,0,,0,
