application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
12743904,7,2010-07-12,371COMP,0,,0,
12743904,11,2010-07-12,A.PE,0,,0,
12743904,12,2010-07-12,C604,0,,0,
12743904,4,2010-08-04,M903,0,,0,
12743904,5,2010-08-04,FLRCPT.O,0,,0,
12743904,6,2010-08-04,PGPC,0,,0,
12743904,8,2010-08-30,OIPE,0,,0,
12743904,13,2010-11-12,PG-ISSUE,0,,0,
12743904,14,2011-01-20,DOCK,0,,0,
12743904,15,2011-03-29,DOCK,0,,0,
12743904,16,2012-04-13,DOCK,0,,0,
12743904,22,2012-10-05,CTEQ,0,,0,
12743904,24,2012-10-15,MCTEQ,399,PTO,7,
13542250,1,2012-07-05,IEXX,0,,0,
13542250,2,2012-07-05,SCAN,0,,0,
13542250,3,2012-07-05,WIDS,0,,0,
13542250,12,2012-07-05,M844,0,,0,
13542250,13,2012-07-05,RCAP,0,,0,
13542250,14,2012-07-05,C614,0,,0,
13542250,15,2012-07-05,C602,0,,0,
13542250,20,2012-07-05,IDSC,0,,0,
13542250,4,2012-07-08,L194,0,,0,
13542250,6,2012-07-19,OIPE,0,,0,
13542250,5,2012-07-20,FLRCPT.O,0,,0,
12892277,13,2011-03-29,RCAP,0,,0,
12892277,14,2011-03-29,M844,0,,0,
12892277,15,2011-03-29,M844,0,,0,
12892277,29,2011-03-29,IDSC,0,,0,
12892277,30,2011-03-29,IDSC,0,,0,
12892277,16,2011-08-28,TI1050,0,,0,
12892277,17,2011-09-19,TI1050,0,,0,
12892277,18,2011-12-08,WIDS,0,,0,
12892277,19,2011-12-08,WIDS,0,,0,
12892277,20,2011-12-08,M844,0,,0,
12892277,21,2011-12-08,RCAP,0,,0,
12892277,22,2011-12-08,M844,0,,0,
12892277,32,2011-12-08,IDSC,0,,0,
12892277,33,2011-12-08,IDSC,0,,0,
12892277,23,2012-09-18,DOCK,0,,0,
12892277,24,2012-09-28,DOCK,0,,0,
12892277,35,2012-11-05,EX.R,0,,0,
12892277,36,2012-11-14,DVER,0,,0,
12892277,40,2012-11-19,DOCK,0,,0,
12892277,41,2012-11-19,N/=.,0,,0,
12892277,46,2012-11-23,MN/=.,361,PTO,.5,
12892277,.5,2010-09-28,EFILE,0,,0,
12892277,47,2012-11-28,WIDS,0,,0,
12892277,50,2012-11-28,RCAP,0,,0,
12892277,52,2012-11-28,IDSC,0,,0,
12892277,49,2012-11-28,M844,22,APPL,55,
12892277,51,2012-12-11,PUBTC,0,,0,
12892277,53,2012-12-14,M327,0,,0,
12892277,58,2012-12-19,MP327,0,,0,
12892277,56,2012-12-19,TCPB,0,,0,
12892277,57,2012-12-19,P327,0,,0,
12892277,55,2012-12-19,MM327,0,,0,
12892277,60,2013-02-06,WIDS,0,,0,
12892277,62,2013-02-06,RCAP,0,,0,
12892277,61,2013-02-06,M844,8,APPL,67,
13466043,1,2012-05-07,IEXX,0,,0,
13466043,2,2012-05-07,SCAN,0,,0,
13466043,3,2012-05-10,L194,0,,0,
13466043,5,2012-05-22,OIPE,0,,0,
13466043,4,2012-05-23,FLRCPT.O,0,,0,
13466043,6,2012-05-23,EML_NTR,0,,0,
13466043,7,2012-05-23,COMP,0,,0,
13466043,8,2012-05-29,DOCK,0,,0,
13466043,9,2012-07-01,CTNF,0,,0,
13466043,11,2012-07-16,MCTNF,0,,0,
13466043,12,2012-07-16,EML_NTF,0,,0,
13466043,13,2012-07-17,ELC_RVW,0,,0,
13466043,14,2012-08-30,PG-ISSUE,0,,0,
13466043,15,2012-08-31,EML_NTR,0,,0,
13466043,16,2012-10-15,A...,0,,0,
13466043,17,2012-10-17,FWDX,0,,0,
13466043,21,2012-11-19,N/=.,0,,0,
13466043,22,2012-11-19,DVER,0,,0,
13466043,25,2012-11-26,MN/=.,0,,0,
13466043,.5,2012-05-07,EFILE,0,,0,
13466043,28,2012-11-27,ELC_RVW,0,,0,
12490344,1,2009-06-24,IEXX,0,,0,
12490344,2,2009-06-24,SCAN,0,,0,
12490344,3,2009-06-25,L194,0,,0,
12490344,5,2009-07-08,PGPC,0,,0,
12490344,4,2009-07-09,FLRCPT.O,0,,0,
11734053,5,2007-04-24,PGPC,0,,0,
11734053,4,2007-04-25,COMP,0,,0,
11734053,6,2007-05-15,OIPE,0,,0,
11734053,7,2007-05-23,TSSCOMP,0,,0,
11734053,8,2007-08-02,PG-ISSUE,0,,0,
11734053,9,2007-08-16,WIDS,0,,0,
11734053,22,2007-08-16,IDSC,0,,0,
