application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
12857928,29,2012-07-27,A...,0,,0,
12857928,30,2012-08-09,FWDX,0,,0,
12857928,31,2012-10-19,CTFR,0,,0,
12857928,33,2012-10-22,MCTFR,0,,0,
12857928,34,2013-01-17,A.NE,0,,0,
12857928,35,2013-01-18,FWDX,0,,0,
12857928,40,2013-01-24,N/=.,0,,0,
12857928,41,2013-01-24,DVER,0,,0,
12857928,46,2013-01-28,MN/=.,0,,0,
12857928,.5,2010-08-17,EFILE,0,,0,
12857928,49,2013-03-11,PDREQUST,0,,0,
12857928,57,2013-03-11,LET.,36,APPL,0,
12538313,1,2009-08-10,IEXX,0,,0,
12538313,2,2009-08-10,SCAN,0,,0,
12538313,3,2009-08-10,WIDS,0,,0,
12538313,12,2009-08-10,M844,0,,0,
12538313,13,2009-08-10,RCAP,0,,0,
12538313,20,2009-08-10,IDSC,0,,0,
12538313,4,2009-08-11,L194,0,,0,
12538313,5,2009-08-26,INCD,0,,0,
12538313,6,2009-08-26,FLRCPT.O,0,,0,
12538313,14,2009-09-03,RQPR,0,,0,
12538313,7,2009-09-09,OATHDECL,0,,0,
12538313,8,2009-09-09,FLFEE,0,,0,
12538313,9,2009-09-18,FLRCPT.U,0,,0,
12538313,10,2009-09-18,PGPC,0,,0,
12538313,11,2009-09-28,OIPE,0,,0,
12538313,15,2010-02-08,DOCK,0,,0,
12538313,16,2010-02-25,PG-ISSUE,0,,0,
12538313,17,2010-06-17,DOCK,0,,0,
12538313,18,2010-06-17,DOCK,0,,0,
13060763,69,2013-01-17,MCNOA,0,,0,
13060763,70,2013-03-25,D1935,0,,0,
13060763,72,2013-04-23,PTAC,11,PTO,62,
13060763,72.5,2013-04-23,PTA36M,0,PTO,72.4,
13060763,72.4,2011-03-04,COMMN,0,,0,
12887271,59.5,2013-04-23,PTA36M,0,PTO,.5,
12717272,62,2013-03-21,N084,0,,0,
12717272,61,2013-03-21,IFEE,0,,0,
12717272,63,2013-03-22,PILS,0,,0,
12717272,65,2013-03-22,D1935,0,,0,
12717272,64,2013-03-22,D1935,0,,0,
12717272,67,2013-04-23,PTAC,0,,0,
12717272,67.5,2013-04-23,PTA36M,50,PTO,.5,
12795533,1,2010-06-07,IEXX,0,,0,
12795533,2,2010-06-07,SCAN,0,,0,
12795533,3,2010-06-08,L194,0,,0,
12795533,4,2010-06-18,FLRCPT.O,0,,0,
12795533,5,2010-06-18,PGPC,0,,0,
12795533,6,2010-06-18,COMP,0,,0,
12795533,7,2010-07-15,OIPE,0,,0,
12795533,8,2011-01-03,DOCK,0,,0,
12795533,9,2011-03-29,DOCK,0,,0,
12795533,10,2011-12-08,PG-ISSUE,0,,0,
12795533,11,2012-04-12,DOCK,0,,0,
12795533,16,2012-05-20,CTNF,0,,0,
12795533,21,2012-06-12,MCTNF,310,PTO,.5,
12795533,22,2012-08-17,A...,0,,0,
12795533,23,2012-08-21,FWDX,0,,0,
12795533,24,2012-11-17,DOCK,0,,0,
12795533,26,2012-11-30,CTNF,0,,0,
12795533,28,2012-12-04,MCTNF,0,,0,
12795533,29,2013-02-07,A...,0,,0,
12795533,30,2013-02-10,FWDX,0,,0,
12795533,34,2013-02-26,EX.R,0,,0,
12795533,35,2013-02-28,DVER,0,,0,
12795533,36,2013-02-28,N/=.,0,,0,
12795533,40,2013-03-04,MN/=.,0,,0,
12795533,.5,2010-06-07,EFILE,0,,0,
12795533,43,2013-03-19,N084,0,,0,
12795533,42,2013-03-19,IFEE,0,,0,
13024379,1,2011-02-10,IEXX,0,,0,
13024379,2,2011-02-10,SCAN,0,,0,
13024379,3,2011-02-10,L194,0,,0,
13024379,9,2011-02-10,A.PE,0,,0,
13024379,5,2011-02-28,OIPE,0,,0,
12631249,6,2010-02-23,CORRSPEC,0,,0,
12631249,7,2010-02-23,OATHDECL,0,,0,
12631249,8,2010-02-23,ADDFLFEE,0,,0,
12631249,9,2010-03-03,COMP,0,,0,
12631249,10,2010-03-03,FLRCPT.U,0,,0,
12631249,11,2010-03-03,PGPC,0,,0,
12631249,12,2010-03-25,OIPE,0,,0,
12631249,13,2010-06-10,PG-ISSUE,0,,0,
12631249,14,2010-06-11,EML_NTR,0,,0,
12631249,15,2010-09-30,DOCK,0,,0,
12631249,16,2010-09-30,DOCK,0,,0,
12631249,17,2011-02-02,WIDS,0,,0,
12631249,18,2011-02-02,M844,0,,0,
12631249,27,2011-02-02,IDSC,0,,0,
12631249,20,2011-03-14,CTRS,0,,0,
12631249,21,2011-03-21,MCTRS,45,PTO,.5,
12631249,22,2011-03-21,EML_NTF,0,,0,
12631249,23,2011-03-21,ELC_RVW,0,,0,
12631249,24,2011-04-21,ELC.,0,,0,
12631249,25,2011-04-25,FWDX,0,,0,
12631249,33,2011-05-09,CTNF,0,,0,
12631249,35,2011-05-12,MCTNF,0,,0,
12631249,36,2011-05-12,EML_NTF,0,,0,
12631249,37,2011-05-12,ELC_RVW,0,,0,
12631249,38,2011-09-12,XT/G,0,,0,
12631249,39,2011-09-12,A...,31,APPL,35,
12631249,41,2011-09-12,AF/D,0,,0,
12631249,40,2011-09-15,FWDX,0,,0,
12631249,43,2011-12-12,CTFR,0,,0,
12631249,45,2011-12-16,MCTFR,0,,0,
12631249,46,2011-12-16,EML_NTF,0,,0,
12631249,47,2011-12-16,ELC_RVW,0,,0,
12631249,48,2012-04-19,EXIA,0,,0,
12631249,51,2012-05-03,MEXIA,0,,0,
12631249,52,2012-05-04,EML_NTR,0,,0,
12631249,53,2012-05-16,XT/G,0,,0,
12631249,55,2012-05-16,RCEX,61,APPL,45,
12631249,58,2012-05-16,BRCE,0,,0,
12631249,54,2012-05-17,ABN9,0,,0,
12631249,57,2012-05-17,FWDX,0,,0,
12631249,62,2012-11-14,EXET,0,,0,
12736285,6,2010-11-15,OATHDECL,0,,0,
12736285,7,2010-11-15,ADDFLFEE,0,,0,
12736285,11,2010-11-15,371COMP,0,,0,
12736285,5,2010-12-28,WIDS,0,,0,
12736285,18,2010-12-28,M844,0,,0,
12736285,24,2010-12-28,IDSC,0,,0,
12736285,8,2011-01-10,M903,0,,0,
12736285,9,2011-01-10,FLRCPT.O,0,,0,
12736285,10,2011-01-10,PGPC,0,,0,
12736285,12,2011-02-02,OIPE,0,,0,
12736285,19,2011-03-21,TI1050,0,,0,
12736285,20,2011-04-21,PG-ISSUE,0,,0,
12736285,21,2011-04-25,DOCK,0,,0,
12736285,22,2011-11-16,M865,0,,0,
12736285,23,2011-11-16,SMAL,0,,0,
12736285,26,2012-08-12,CTNF,0,,0,
12736285,28,2012-08-14,MCTNF,212,PTO,11,
12736285,29,2012-11-14,A...,0,,0,
12736285,30,2012-11-27,FWDX,0,,0,
12736285,36,2012-12-17,EX.R,0,,0,
12736285,37,2012-12-18,DOCK,0,,0,
12736285,38,2012-12-18,N/=.,0,,0,
12736285,39,2012-12-18,DVER,0,,0,
12736285,43,2012-12-20,MN/=.,0,,0,
12736285,.5,2009-03-27,NEFILE,0,,0,
12736285,45,2012-12-26,WIDS,0,,0,
12736285,49,2012-12-26,IDSC,0,,0,
12736285,46,2012-12-26,M844,17,APPL,52,
12736285,48,2013-01-09,PUBTC,0,,0,
12736285,47,2013-01-09,RCAP,0,,0,
12736285,50,2013-01-10,M327,0,,0,
12736285,52,2013-01-11,MM327,0,,0,
12736285,53,2013-01-11,TCPB,0,,0,
12742915,4,2010-08-13,OATHDECL,0,,0,
12742915,5,2010-08-13,ADDFLFEE,0,,0,
12742915,9,2010-08-13,371COMP,0,,0,
12742915,6,2010-08-19,M903,0,,0,
12742915,7,2010-08-19,FLRCPT.O,0,,0,
12742915,8,2010-08-19,PGPC,0,,0,
12742915,10,2010-09-14,OIPE,0,,0,
12742915,12,2010-10-19,DOCK,0,,0,
12742915,13,2010-11-01,WIDS,0,,0,
12742915,14,2010-11-01,M844,0,,0,
12742915,15,2010-11-01,RCAP,0,,0,
12742915,32,2010-11-01,IDSC,0,,0,
12742915,16,2010-11-26,PG-ISSUE,0,,0,
12742915,18,2011-03-21,WIDS,0,,0,
12742915,19,2011-03-21,M844,0,,0,
12742915,20,2011-03-21,RCAP,0,,0,
12742915,33,2011-03-21,IDSC,0,,0,
12742915,21,2012-03-20,CTRS,0,,0,
12742915,23,2012-03-22,MCTRS,161,PTO,9,
12742915,24,2012-05-17,XT/G,0,,0,
12742915,25,2012-05-17,ELC.,0,,0,
12742915,26,2012-05-21,FWDX,0,,0,
13062353,1,2011-03-04,IEXX,0,,0,
13062353,2,2011-03-04,L194,0,,0,
13062353,4,2011-03-04,WIDS,0,,0,
13062353,8,2011-03-04,371COMP,0,,0,
13062353,10,2011-03-04,A.PE,0,,0,
13062353,11,2011-03-04,M844,0,,0,
13062353,12,2011-03-04,RCAP,0,,0,
13062353,13,2011-03-04,RQPR,0,,0,
13062353,18,2011-03-04,IDSC,0,,0,
13062353,5,2011-03-28,M903,0,,0,
13062353,6,2011-03-28,FLRCPT.O,0,,0,
13062353,7,2011-03-28,PGPC,0,,0,
13062353,9,2011-04-11,OIPE,0,,0,
13062353,14,2011-07-07,PG-ISSUE,0,,0,
13062353,15,2011-11-03,DOCK,0,,0,
13062353,19,2012-10-24,CTRS,0,,0,
12086547,21,2010-11-18,PG-ISSUE,0,,0,
12086547,23,2012-07-20,WIDS,0,,0,
12086547,24,2012-07-20,M844,0,,0,
12086547,25,2012-07-20,RCAP,0,,0,
12086547,29,2012-07-20,IDSC,0,,0,
12086547,30,2012-07-24,CTNF,0,,0,
12086547,32,2012-07-27,MCTNF,0,PTO,15,
12086547,33,2012-11-30,WIDS,0,,0,
12086547,34,2012-11-30,XT/G,0,,0,
12086547,35,2012-11-30,A...,34,APPL,32,
12086547,37,2012-11-30,M844,0,APPL,35,
12086547,41,2012-11-30,IDSC,0,,0,
12086547,36,2012-12-05,FWDX,0,,0,
12086547,43,2012-12-14,DOCK,0,,0,
12086547,44,2012-12-14,N/=.,0,,0,
12086547,45,2012-12-14,DVER,0,,0,
12086547,48,2012-12-17,MN/=.,0,,0,
12086547,.5,2006-12-21,NEFILE,0,,0,
12086547,50,2013-01-15,PUBTC,0,,0,
12086547,53,2013-01-16,TCPB,0,,0,
12086547,54,2013-01-16,TCPB,0,,0,
12086547,52,2013-01-16,EX.A,0,,0,
12086547,51,2013-01-16,CNOA,0,,0,
12086547,57,2013-01-18,MCNOA,0,,0,
12086547,59,2013-03-18,IFEE,0,,0,
12086547,60,2013-03-18,N084,1,APPL,48,
12086547,62,2013-03-19,D1935,0,,0,
12086547,61,2013-03-19,PILS,0,,0,
12086547,64,2013-04-23,PTAC,0,,0,
12086547,64.5,2013-04-23,PTA36M,670,PTO,64.4,
12086547,64.4,2008-06-23,COMMN,0,,0,
12086547,32,2012-07-27,MCTNF,302,,15,
12605952,1,2009-10-26,IEXX,0,,0,
12605952,2,2009-10-26,SCAN,0,,0,
12605952,3,2009-10-26,WIDS,0,,0,
12605952,5,2009-10-26,PDREQUST,0,,0,
12605952,13,2009-10-26,M844,0,,0,
13024602,1,2011-02-10,IEXX,0,,0,
13024602,2,2011-02-10,SCAN,0,,0,
13024602,7,2011-02-10,A.PE,0,,0,
13024602,8,2011-02-10,A.PE,0,,0,
13024602,3,2011-02-11,L194,0,,0,
13024602,4,2011-02-23,FLRCPT.O,0,,0,
13024602,5,2011-02-23,OIPE,0,,0,
13024602,6,2011-02-23,COMP,0,,0,
13024602,9,2011-03-16,DOCK,0,,0,
13024602,10,2011-06-02,PG-ISSUE,0,,0,
13024602,11,2011-09-11,DOCK,0,,0,
13024602,12,2012-01-27,DOCK,0,,0,
13024602,13,2012-03-12,CTNF,0,,0,
13024602,17,2012-03-13,MCTNF,0,,0,
13024602,18,2012-06-05,A...,0,,0,
13024602,19,2012-06-11,FWDX,0,,0,
13024602,21,2012-07-26,CTFR,0,,0,
13024602,23,2012-07-30,MCTFR,0,,0,
12452861,5,2010-04-12,OATHDECL,0,,0,
12452861,9,2010-04-12,371COMP,0,,0,
12452861,6,2010-04-28,M903,0,,0,
12452861,7,2010-04-28,FLRCPT.O,0,,0,
12452861,8,2010-04-28,PGPC,0,,0,
12452861,10,2010-05-17,OIPE,0,,0,
12452861,15,2010-08-05,PG-ISSUE,0,,0,
12452861,16,2011-07-19,DOCK,0,,0,
12452861,17,2011-10-11,DOCK,0,,0,
12452861,19,2012-07-29,CTNF,0,,0,
12452861,21,2012-07-31,MCTNF,415,PTO,9,
12452861,22,2012-10-17,A...,0,,0,
12452861,23,2012-10-24,FWDX,0,,0,
12452861,31,2012-12-29,DVER,0,,0,
12452861,33,2012-12-29,N/=.,0,,0,
12452861,35,2012-12-31,MN/=.,0,,0,
12452861,.5,2008-07-12,NEFILE,0,,0,
12452861,39,2013-03-19,N084,0,,0,
12452861,38,2013-03-19,IFEE,0,,0,
12452861,40,2013-03-27,PILS,0,,0,
12452861,42,2013-03-28,D1935,0,,0,
12452861,41,2013-03-28,D1935,0,,0,
12452861,44,2013-04-23,PTAC,0,,0,
12796100,60,2012-12-21,MN/=.,0,,0,
12796100,.5,2010-06-08,EFILE,0,,0,
12796100,62,2013-01-02,C.ADB,0,,0,
12796100,63,2013-01-08,CRFT,0,,0,
12796100,64,2013-01-24,PUBTC,0,,0,
12796100,65,2013-01-25,M327,0,,0,
12796100,66,2013-01-25,EX.A,0,,0,
12796100,73,2013-01-31,MM327,0,,0,
12796100,74,2013-01-31,TCPB,0,,0,
12796100,75,2013-02-15,A.NA,12,APPL,79,
12796100,76,2013-02-20,PUBTC,0,,0,
12796100,77,2013-02-21,N271,0,,0,
12796100,80,2013-02-26,TCPB,0,,0,
12796100,79,2013-02-26,MN271,0,,0,
12796100,83,2013-03-21,PILS,0,,0,
12796100,82,2013-03-21,IFEE,0,,0,
12796100,84,2013-03-21,N084,0,,0,
12796100,85,2013-03-22,D1935,0,,0,
12796100,87,2013-04-23,PTAC,0,,0,
12796100,87.5,2013-04-23,PTA36M,0,PTO,.5,
12839094,1,2010-07-19,IEXX,0,,0,
12839094,2,2010-07-19,SCAN,0,,0,
12839094,3,2010-07-19,WIDS,0,,0,
12839094,9,2010-07-19,EIDS.,0,,0,
12839094,10,2010-07-19,RCAP,0,,0,
12839094,26,2010-07-19,IDSC,0,,0,
12839094,4,2010-07-20,L194,0,,0,
12839094,6,2010-08-02,OIPE,0,,0,
12839094,5,2010-08-03,FLRCPT.O,0,,0,
12839094,7,2010-08-03,EML_NTR,0,,0,
12839094,8,2010-08-03,COMP,0,,0,
12839094,11,2010-11-12,PG-ISSUE,0,,0,
12839094,12,2010-11-12,EML_NTR,0,,0,
12839094,14,2011-05-26,DOCK,0,,0,
12839094,15,2012-01-23,DOCK,0,,0,
12839094,16,2012-02-22,DOCK,0,,0,
12839094,17,2012-03-26,CTRS,0,,0,
12839094,19,2012-04-02,MCTRS,196,PTO,.5,
12839094,20,2012-04-02,EML_NTF,0,,0,
12839094,21,2012-04-02,ELC_RVW,0,,0,
12839094,22,2012-04-25,ELC.,0,,0,
12634045,1,2009-12-09,IEXX,0,,0,
12634045,2,2009-12-09,SCAN,0,,0,
12634045,3,2009-12-09,WIDS,0,,0,
12634045,9,2009-12-09,M844,0,,0,
12634045,13,2009-12-09,M844,0,,0,
12634045,25,2009-12-09,IDSC,0,,0,
12634045,12,2009-12-11,RQPR,0,,0,
12634045,4,2009-12-15,L194,0,,0,
12634045,5,2009-12-30,FLRCPT.O,0,,0,
12634045,6,2009-12-30,PGPC,0,,0,
12634045,7,2010-01-07,OIPE,0,,0,
12634045,8,2010-05-04,WIDS,0,,0,
12634045,10,2010-05-04,M844,0,,0,
12634045,14,2010-05-04,M844,0,,0,
12634045,24,2010-05-04,IDSC,0,,0,
12634045,11,2010-06-17,PG-ISSUE,0,,0,
12634045,15,2011-06-13,DOCK,0,,0,
12634045,16,2011-09-19,DOCK,0,,0,
12634045,17,2012-02-16,DOCK,0,,0,
12634045,18,2012-02-21,DOCK,0,,0,
12634045,19,2012-02-29,DOCK,0,,0,
12634045,20,2012-03-08,DOCK,0,,0,
12634045,21,2012-03-13,DOCK,0,,0,
12634045,22,2012-03-15,DOCK,0,,0,
12634045,23,2012-03-21,DOCK,0,,0,
12634045,26,2012-05-07,CTNF,0,,0,
12634045,28,2012-05-11,MCTNF,457,PTO,.5,
12634045,29,2012-09-06,XT/G,0,,0,
12634045,30,2012-09-06,A...,26,APPL,28,
12634045,32,2012-09-06,DIST,0,APPL,30,
12634045,31,2012-09-09,FWDX,0,,0,
12634045,33,2012-09-11,P574,0,,0,
12634045,38,2012-12-13,EX.R,0,,0,
12303125,88,2013-02-26,MN/=.,0,,0,
12303125,.5,2008-02-01,NEFILE,0,,0,
12303125,91,2013-03-07,N084,0,,0,
12303125,90,2013-03-07,IFEE,0,,0,
12303125,92,2013-03-11,PILS,0,,0,
12303125,93,2013-03-13,PUBTC,0,,0,
12303125,96,2013-03-25,M327,0,,0,
12303125,100,2013-03-28,TCPB,0,,0,
12303125,99,2013-03-28,MM327,0,,0,
12303125,101,2013-03-29,D1935,0,,0,
12303125,103,2013-04-23,PTAC,0,,0,
12303125,103.5,2012-01-03,PTA36M,32,PTO,103.4,
12303125,103.4,2008-12-02,COMMN,0,,0,
12812992,7,2010-11-17,OATHDECL,0,,0,
12812992,9,2010-11-17,ADDFLFEE,0,,0,
12812992,13,2010-11-17,371COMP,0,,0,
12812992,12,2011-02-02,PGPC,0,,0,
12812992,10,2011-02-03,M903,0,,0,
12812992,11,2011-02-03,FLRCPT.O,0,,0,
12812992,14,2011-02-03,EML_NTR,0,,0,
12812992,15,2011-02-03,EML_NTR,0,,0,
12812992,16,2011-02-25,OIPE,0,,0,
12812992,21,2011-05-12,PG-ISSUE,0,,0,
12812992,22,2011-05-13,EML_NTR,0,,0,
12812992,23,2011-06-07,DOCK,0,,0,
12812992,27,2012-04-08,CTNF,0,,0,
12812992,29,2012-04-13,MCTNF,87,PTO,13,
12812992,30,2012-04-13,EML_NTF,0,,0,
12812992,31,2012-04-13,ELC_RVW,0,,0,
12812992,32,2012-10-12,XT/G,0,,0,
12812992,33,2012-10-12,A...,91,APPL,29,
12812992,34,2012-10-15,FWDX,0,,0,
12812992,36,2012-12-20,EX.A,0,,0,
12812992,37,2012-12-20,EX.R,0,,0,
12812992,38,2013-01-17,DVER,0,,0,
13102863,1,2011-05-06,IEXX,0,,0,
13102863,2,2011-05-06,SCAN,0,,0,
13245256,1,2011-09-26,IEXX,0,,0,
13245256,2,2011-09-26,SCAN,0,,0,
13245256,3,2011-09-28,L194,0,,0,
13245256,4,2011-10-12,FLRCPT.O,0,,0,
13245256,5,2011-10-12,CPAP,0,,0,
13245256,6,2011-10-12,EML_NTR,0,,0,
