application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
11503268,28,2007-12-31,MCTNF,78,PTO,.5,
11503268,29,2008-02-20,EXIN,0,,0,
11503268,30,2008-03-03,MEXIN,0,,0,
11503268,31,2008-03-26,A...,0,,0,
11503268,32,2008-04-15,FWDX,0,,0,
11503268,36,2008-06-23,CTFR,0,,0,
11503268,37,2008-06-25,MCTFR,0,,0,
11503268,38,2008-09-16,EXIN,0,,0,
11503268,39,2008-09-16,EXIN,0,,0,
11503268,40,2008-09-24,MEXIN,0,,0,
11503268,41,2008-09-25,A.NE,0,,0,
11503268,42,2008-10-06,FWDX,0,,0,
11503268,43,2008-10-09,CTAV,0,,0,
11503268,44,2008-10-10,MCTAV,0,,0,
11503268,45,2008-11-12,BRCE,0,,0,
11503268,46,2008-11-12,XT/G,0,,0,
11503268,48,2008-11-12,RCEX,48,APPL,37,
11503268,47,2008-11-25,ABN9,0,,0,
11503268,49,2008-11-25,FWDX,0,,0,
11503268,51,2008-11-25,FWDX,0,,0,
11503268,53,2009-01-02,CTNF,0,,0,
11503268,54,2009-01-02,MCTNF,0,,0,
11503268,55,2009-02-20,EXIN,0,,0,
11503268,56,2009-03-04,MEXIN,0,,0,
11503268,57,2009-03-05,A...,0,,0,
11503268,58,2009-03-17,FWDX,0,,0,
11503268,59,2009-05-19,CTFR,0,,0,
11503268,60,2009-05-20,MCTFR,0,,0,
11503268,61,2009-06-30,A.NE,0,,0,
11503268,62,2009-07-08,FWDX,0,,0,
11503268,63,2009-07-15,CTAV,0,,0,
11503268,64,2009-07-16,MCTAV,0,,0,
11503268,66,2009-07-30,N/AP,0,,0,
11503268,65,2009-08-12,DOCK,0,,0,
11503268,67,2009-09-30,AP.B,0,,0,
11503268,68,2009-10-19,FWDX,0,,0,
11503268,69,2009-10-19,APBR,0,,0,
11503268,70,2009-11-06,DOCK,0,,0,
11503268,73,2010-01-22,APEA,0,,0,
11503268,74,2010-01-26,MAPEA,0,,0,
11503268,75,2010-02-13,PACC,0,,0,
11503268,76,2010-02-13,TCRD,0,,0,
11503268,80,2010-02-23,APRB,0,,0,
11503268,77,2010-03-11,M327,0,,0,
12181027,45,2012-12-20,MN/=.,0,,0,
12181027,.5,2008-07-28,EFILE,0,,0,
12181027,49,2013-03-11,N084,0,,0,
12181027,48,2013-03-11,IFEE,0,,0,
12181027,50,2013-03-13,PILS,0,,0,
12181027,52,2013-03-14,PUBTC,0,,0,
12181027,53,2013-04-02,N271,0,,0,
12181027,55,2013-04-03,MN271,0,,0,
12181027,56,2013-04-03,TCPB,0,,0,
12181027,57,2013-04-05,D1935,0,,0,
12181027,59,2013-05-07,PTAC,0,,0,
12181027,59.5,2012-10-23,PTA36M,453,PTO,.5,
12181027,26,2012-03-09,MCTNF,225,,.5,
12758968,55,2012-12-15,EX.R,0,,0,
12758968,58,2012-12-18,N/=.,0,,0,
12758968,59,2012-12-18,DVER,0,,0,
12758968,60,2012-12-18,WIDS,0,,0,
12758968,64,2012-12-21,MN/=.,0,,0,
12758968,.5,2010-04-13,EFILE,0,,0,
12758968,68,2013-01-02,PUBTC,0,,0,
