application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
12314266,50,2010-05-17,MCTAV,0,,0,
12314266,51,2010-06-07,BRCE,0,,0,
12314266,53,2010-06-07,RCEX,0,,0,
12314266,52,2010-06-10,ABN9,0,,0,
12314266,55,2010-06-10,FWDX,0,,0,
12314266,56,2010-07-07,WIDS,0,,0,
12314266,57,2010-07-07,M844,30,APPL,53,
12314266,58,2010-07-07,RCAP,0,,0,
12314266,59,2010-07-07,IDSC,0,,0,
12314266,60,2010-07-27,CTNF,0,,0,
12314266,61,2010-07-28,MCTNF,0,,0,
12314266,62,2010-08-30,A...,0,,0,
12314266,63,2010-09-01,FWDX,0,,0,
12314266,64,2010-11-21,CTFR,0,,0,
12314266,65,2010-11-23,MCTFR,0,,0,
12314266,66,2011-01-06,BRCE,0,,0,
12314266,68,2011-01-06,RCEX,0,,0,
12314266,67,2011-01-10,ABN9,0,,0,
12314266,70,2011-01-10,FWDX,0,,0,
12314266,71,2011-10-14,CTNF,0,,0,
12314266,73,2011-10-21,MCTNF,168,PTO,68,
12314266,74,2011-11-01,WIDS,0,,0,
12314266,75,2011-11-01,M844,0,,0,
12314266,83,2011-11-01,IDSC,0,,0,
12314266,76,2011-11-11,WIDS,0,,0,
12314266,77,2011-11-11,M844,0,,0,
12471152,1,2009-05-22,IEXX,0,,0,
12471152,3,2009-05-22,WIDS,0,,0,
12471152,12,2009-05-22,M844,0,,0,
12471152,13,2009-05-22,RCAP,0,,0,
12471152,21,2009-05-22,IDSC,0,,0,
12471152,2,2009-05-23,SCAN,0,,0,
12471152,4,2009-05-26,L194,0,,0,
12471152,5,2009-06-04,CPAP,0,,0,
12471152,6,2009-06-04,FLRCPT.O,0,,0,
12471152,7,2009-06-30,CORRDRW,0,,0,
12471152,8,2009-06-30,ADDFLFEE,0,,0,
12471152,14,2009-06-30,A.PE,0,,0,
12471152,9,2009-07-07,FLRCPT.U,0,,0,
12471152,10,2009-07-07,PGPC,0,,0,
12471152,11,2009-07-23,OIPE,0,,0,
12471152,15,2010-09-06,DOCK,0,,0,
12471152,16,2010-10-07,WIDS,0,,0,
12471152,17,2010-10-07,M844,0,,0,
12471152,18,2010-10-07,RCAP,0,,0,
12471152,22,2010-10-07,IDSC,0,,0,
12471152,19,2010-11-26,PG-ISSUE,0,,0,
12471152,20,2011-08-01,DOCK,0,,0,
12471152,26,2011-11-19,CTNF,0,,0,
11984144,16,2010-10-06,DOCK,0,,0,
11984144,20,2010-12-20,CTNF,0,,0,
11984144,21,2010-12-27,MCTNF,669,PTO,.5,
11984144,22,2011-04-27,XT/G,0,,0,
11984144,23,2011-04-27,A...,31,APPL,21,
11984144,24,2011-05-02,FWDX,0,,0,
11984144,25,2011-05-11,WIDS,0,,0,
11984144,26,2011-05-11,M844,14,APPL,23,
11984144,27,2011-05-11,RCAP,0,,0,
11984144,28,2011-05-11,IDSC,0,,0,
11984144,29,2011-06-27,CTNF,0,,0,
11984144,31,2011-06-28,MCTNF,0,,0,
11984144,32,2011-09-27,A...,0,,0,
11984144,33,2011-10-10,FWDX,0,,0,
11984144,34,2011-12-12,CTFR,0,,0,
11984144,36,2011-12-14,MCTFR,0,,0,
11984144,37,2012-04-11,BRCE,0,,0,
11984144,38,2012-04-11,XT/G,0,,0,
11984144,40,2012-04-11,RCEX,28,APPL,36,
11984144,39,2012-04-12,ABN9,0,,0,
11984144,42,2012-04-12,FWDX,0,,0,
11984144,43,2012-07-24,CTNF,0,,0,
11984144,45,2012-07-30,MCTNF,0,,0,
11984144,46,2012-10-31,A...,1,APPL,45,
11984144,47,2012-11-05,FWDX,0,,0,
11984144,48,2012-11-20,CTNF,0,,0,
11984144,50,2012-11-26,MCTNF,0,,0,
11984144,51,2013-02-06,WIDS,0,,0,
11984144,52,2013-02-06,A...,0,,0,
11984144,54,2013-02-06,M844,0,APPL,52,
11984144,55,2013-02-06,RCAP,0,,0,
11984144,56,2013-02-06,IDSC,0,,0,
11984144,53,2013-02-11,FWDX,0,,0,
11984144,58,2013-03-04,EX.R,0,,0,
11984144,59,2013-03-06,N/=.,0,,0,
11984144,61,2013-03-06,DVER,0,,0,
10702462,23,2007-08-02,M844,0,,0,
10702462,24,2007-08-02,A...,0,,0,
10702462,26,2007-08-02,IDSC,0,,0,
10702462,25,2007-08-04,FWDX,0,,0,
10702462,27,2007-09-19,IRFND,0,,0,
10702462,28,2007-10-15,CTFR,0,,0,
10702462,29,2007-10-19,MCTFR,0,,0,
10702462,30,2007-10-23,EML_NTF,0,,0,
10702462,31,2007-10-24,ELC_RVW,0,,0,
10702462,32,2008-01-28,XT/G,0,,0,
10702462,33,2008-01-28,A.NE,0,,0,
10702462,34,2008-02-07,FWDX,0,,0,
10702462,35,2008-02-12,CTAV,0,,0,
10702462,36,2008-02-15,MCTAV,0,,0,
10702462,37,2008-02-15,EML_NTR,0,,0,
10702462,38,2008-02-19,BRCE,0,,0,
10702462,40,2008-02-19,RCEX,31,APPL,29,
10702462,39,2008-02-20,ABN9,0,,0,
10702462,41,2008-02-20,FWDX,0,,0,
10702462,43,2008-02-20,FWDX,0,,0,
10702462,44,2008-03-03,CTNF,0,,0,
10702462,45,2008-03-13,MCTNF,0,,0,
10702462,46,2008-03-13,EML_NTF,0,,0,
10702462,47,2008-03-14,ELC_RVW,0,,0,
10702462,48,2008-06-13,A...,0,,0,
10702462,49,2008-07-09,FWDX,0,,0,
10702462,52,2008-08-28,WIDS,0,,0,
10702462,56,2008-08-28,M844,76,APPL,48,
10702462,73,2008-08-28,IDSC,0,,0,
10702462,50,2008-09-05,CTFR,0,,0,
10702462,51,2008-09-10,MCTFR,0,,0,
10702462,53,2008-09-10,EML_NTF,0,,0,
10702462,54,2008-09-10,ELC_RVW,0,,0,
10702462,55,2008-10-06,DOCK,0,,0,
10702462,58,2009-04-08,EXIN,0,,0,
10702462,57,2009-04-10,ABN2,0,,0,
10702462,59,2009-04-14,MABN2,0,,0,
10702462,60,2009-04-14,EML_NTR,0,,0,
10702462,61,2010-08-09,BRCE,0,,0,
10702462,65,2010-08-09,PET.,604,APPL,59,
10702462,70,2010-08-09,RCEX,0,,0,
10702462,62,2010-08-17,C.AD,0,,0,
10702462,63,2010-08-19,PA..,0,,0,
13031121,1,2011-02-18,IEXX,0,,0,
13031121,2,2011-02-18,SCAN,0,,0,
13031121,3,2011-02-18,WIDS,0,,0,
13031121,25,2011-02-18,A.PE,0,,0,
13031121,37,2011-02-18,IDSC,0,,0,
13031121,39,2011-02-18,M844,0,,0,
13031121,40,2011-02-18,RCAP,0,,0,
13031121,4,2011-02-22,L194,0,,0,
13031121,5,2011-03-07,FLRCPT.O,0,,0,
13031121,6,2011-03-07,CPAP,0,,0,
13031121,7,2011-03-07,PA..,0,,0,
13031121,8,2011-03-07,EML_NTR,0,,0,
13031121,9,2011-03-07,EML_NTF,0,,0,
13031121,10,2011-03-07,EML_NTR,0,,0,
13031121,11,2011-03-07,ELC_RVW,0,,0,
13031121,12,2011-03-11,FLRCPT.C,0,,0,
13031121,13,2011-03-11,EML_NTR,0,,0,
13031121,14,2011-03-16,FLRCPT.C,0,,0,
13031121,15,2011-03-16,EML_NTR,0,,0,
13031121,16,2011-03-18,CORRSPEC,0,,0,
13031121,17,2011-03-18,CORRDRW,0,,0,
13031121,18,2011-03-18,ADDFLFEE,0,,0,
13031121,20,2011-03-29,PGPC,0,,0,
13031121,19,2011-03-30,FLRCPT.U,0,,0,
13031121,21,2011-03-30,EML_NTR,0,,0,
13031121,22,2011-03-30,COMP,0,,0,
13031121,23,2011-04-18,OIPE,0,,0,
13031121,24,2011-04-20,DOCK,0,,0,
13031121,26,2011-04-22,WIDS,0,,0,
13031121,27,2011-04-22,M844,0,,0,
13031121,28,2011-04-22,RCAP,0,,0,
13031121,36,2011-04-22,IDSC,0,,0,
13031121,29,2011-06-15,DOCK,0,,0,
13031121,30,2011-07-07,PG-ISSUE,0,,0,
13031121,31,2011-07-08,EML_NTR,0,,0,
13031121,32,2011-08-04,WIDS,0,,0,
13031121,33,2011-08-04,M844,0,,0,
13031121,34,2011-08-04,RCAP,0,,0,
13031121,35,2011-08-04,IDSC,0,,0,
13031121,38,2011-09-30,CTRS,0,,0,
12028355,73,2012-05-23,A...,0,,0,
12028355,74,2012-05-25,FWDX,0,,0,
12028355,75,2012-08-03,CTFR,0,,0,
12028355,77,2012-08-07,MCTFR,0,,0,
12028355,78,2012-10-17,EXIA,0,,0,
12028355,80,2012-10-23,MEXIA,0,,0,
12028355,81,2012-11-07,BRCE,0,,0,
12028355,83,2012-11-07,RCEX,0,,0,
12028355,82,2012-11-09,ABN9,0,,0,
12028355,85,2012-11-09,FWDX,0,,0,
12028355,89,2013-02-21,EX.A,0,,0,
12028355,90,2013-02-21,EX.R,0,,0,
12028355,91,2013-02-21,EXIE,0,,0,
12028355,92,2013-02-22,N/=.,0,,0,
12028355,94,2013-02-22,DVER,0,,0,
12028355,99,2013-02-25,MN/=.,0,,0,
12028355,.5,2008-02-08,EFILE,0,,0,
12028355,103,2013-04-29,N084,0,,0,
12028355,102,2013-04-29,IFEE,0,,0,
12028355,104,2013-04-30,PILS,0,,0,
12028355,105,2013-05-01,D1935,0,,0,
12028355,106,2013-05-01,D1935,0,,0,
12028355,107,2013-06-07,D1935,0,,0,
12028355,109,2013-07-09,PTAC,0,,0,
12028355,109.5,2011-03-13,PTA36M,33,PTO,.5,
12877955,11,2011-10-05,WIDS,0,,0,
12877955,12,2011-10-05,WIDS,0,,0,
12877955,13,2011-10-05,M844,0,,0,
12877955,14,2011-10-05,RCAP,0,,0,
12877955,15,2011-10-05,M844,0,,0,
12877955,17,2011-10-05,IDSC,0,,0,
12877955,18,2011-10-05,IDSC,0,,0,
12877955,16,2012-03-20,DOCK,0,,0,
12877955,21,2012-05-21,CTNF,0,,0,
12877955,23,2012-05-24,MCTNF,198,PTO,.5,
12877955,24,2012-08-24,A...,0,,0,
12877955,25,2012-08-29,FWDX,0,,0,
