application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
13295399,2,2011-11-15,SCAN,0,,0,
13295399,3,2011-11-16,L194,0,,0,
13295399,4,2011-12-05,INCD,0,,0,
13295399,5,2011-12-05,FLRCPT.O,0,,0,
13295399,6,2012-02-03,WIDS,0,,0,
13295399,7,2012-02-03,WIDS,0,,0,
13295399,8,2012-02-03,FLFEE,0,,0,
13295399,15,2012-02-03,IDSC,0,,0,
13295399,16,2012-02-03,IDSC,0,,0,
13295399,31,2012-02-03,M844,0,,0,
13295399,32,2012-02-03,RCAP,0,,0,
13295399,10,2012-02-15,OIPE,0,,0,
13295399,9,2012-02-16,FLRCPT.U,0,,0,
13295399,11,2012-02-16,COMP,0,,0,
13295399,12,2012-03-15,PA..,0,,0,
13295399,13,2012-04-13,C.ADB,0,,0,
13295399,14,2012-04-20,DOCK,0,,0,
13295399,27,2012-05-23,CTNF,0,,0,
13295399,28,2012-05-24,PG-ISSUE,0,,0,
13295399,30,2012-05-29,MCTNF,0,,0,
13295399,33,2012-10-23,EXAP,0,,0,
13295399,34,2012-10-23,EXIA,0,,0,
13295399,37,2012-11-02,MEXAP,0,,0,
13295399,40,2012-11-29,XT/G,0,,0,
13295399,41,2012-11-29,A...,92,APPL,30,
13295399,43,2012-11-29,DIST,0,,0,
13295399,42,2012-12-03,FWDX,0,,0,
13295399,44,2012-12-04,P574,0,,0,
13295399,45,2012-12-11,PA..,0,,0,
13295399,46,2012-12-11,EML_NTR,0,,0,
13295399,47,2012-12-14,DIST,15,APPL,41,
13295399,48,2012-12-14,P574,0,,0,
13295399,50,2012-12-18,EX.A,0,,0,
13295399,51,2012-12-18,EX.R,0,,0,
11514324,27,2006-10-20,IDSC,0,,0,
11514324,53,2006-10-20,WIDS,0,,0,
11514324,54,2006-10-20,IDSC,0,,0,
11514324,5,2006-11-30,OATHDECL,0,,0,
11514324,6,2006-11-30,FLFEE,0,,0,
11514324,7,2006-12-06,COMP,0,,0,
11514324,8,2006-12-06,OIPE,0,,0,
11514324,11,2006-12-26,TSSCOMP,0,,0,
11514324,12,2007-03-15,PG-ISSUE,0,,0,
11514324,13,2007-04-26,LET.,0,,0,
11514324,14,2007-10-16,F525,0,,0,
11514324,15,2007-10-17,W525,0,,0,
11514324,16,2007-11-08,LET.,0,,0,
11514324,17,2007-11-08,LET.,0,,0,
11514324,18,2007-11-08,LET.,0,,0,
11514324,19,2007-11-08,LET.,0,,0,
11514324,20,2007-12-21,DOCK,0,,0,
11514324,21,2009-09-01,DOCK,0,,0,
11514324,22,2009-12-18,CTRS,0,,0,
11514324,23,2009-12-21,MCTRS,670,PTO,.5,
