application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
12944847,20,2011-04-13,OIPE,0,,0,
12944847,23,2011-04-22,DOCK,0,,0,
12944847,24,2012-05-17,PG-ISSUE,0,,0,
12944847,25,2012-05-18,EML_NTR,0,,0,
12944847,26,2012-09-13,DOCK,0,,0,
12944847,32,2012-11-23,CTNF,0,,0,
12944847,34,2012-11-29,MCTNF,322,PTO,.5,
12944847,35,2012-11-29,EML_NTF,0,,0,
12944847,36,2012-11-29,ELC_RVW,0,,0,
12944847,37,2013-02-26,WIDS,0,,0,
12944847,38,2013-02-26,M844,0,,0,
12944847,39,2013-02-26,A...,0,,0,
12944847,42,2013-02-26,IDSC,0,,0,
12944847,40,2013-02-28,FWDX,0,,0,
12944847,44,2013-03-13,DVER,0,,0,
12944847,45,2013-03-13,DOCK,0,,0,
12944847,46,2013-03-13,N/=.,0,,0,
12944847,52,2013-04-03,MN/=.,0,,0,
12944847,.5,2010-11-12,EFILE,0,,0,
12944847,57,2013-07-02,IFEE,0,,0,
12944847,58,2013-07-02,N084,0,,0,
12944847,59,2013-07-03,PILS,0,,0,
12944847,60,2013-07-03,D1935,0,,0,
11201886,42,2009-08-25,RCAP,0,,0,
11201886,43,2009-08-25,IDSC,0,,0,
11201886,38,2009-09-04,FWDX,0,,0,
11201886,45,2009-11-09,CTFR,0,,0,
11201886,46,2009-11-10,MCTFR,0,,0,
11201886,47,2010-02-24,BRCE,0,,0,
11201886,48,2010-02-24,XT/G,0,,0,
11201886,50,2010-02-24,RCEX,14,APPL,46,
11201886,49,2010-02-28,ABN9,0,,0,
11201886,52,2010-02-28,FWDX,0,,0,
11201886,53,2010-10-06,DOCK,0,,0,
11201886,54,2010-12-06,CTNF,0,,0,
11201886,55,2010-12-09,MCTNF,168,PTO,50,
11201886,56,2010-12-09,EML_NTF,0,,0,
11201886,57,2010-12-09,ELC_RVW,0,,0,
11201886,58,2011-03-08,A...,0,,0,
11201886,59,2011-03-09,FWDX,0,,0,
11201886,60,2011-05-21,CTFR,0,,0,
