application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
13166364,36,2013-07-16,IFEE,0,,0,
13166364,38,2013-07-17,P327-P,0,,0,
13166364,41,2013-07-18,PILS,0,,0,
13166364,42,2013-07-18,D1935,0,,0,
13166364,39,2013-07-19,MP327-P,0,,0,
13166364,43,2013-07-20,EML_NTR,0,,0,
13166364,46,2013-08-20,PTAC,0,,0,
13166364,46.5,2013-08-20,PTA36M,0,PTO,.5,
12845018,1,2010-07-28,IEXX,0,,0,
12845018,2,2010-08-06,SCAN,0,,0,
12845018,3,2010-08-09,L194,0,,0,
12845018,4,2010-08-19,FLRCPT.O,0,,0,
12845018,5,2010-08-19,CPAP,0,,0,
12845018,6,2010-08-19,PA..,0,,0,
12845018,7,2010-09-14,CORRDRW,0,,0,
12845018,9,2010-09-14,ADDFLFEE,0,,0,
12845018,14,2010-09-14,C614,0,,0,
12845018,15,2010-09-14,A.PE,0,,0,
12845018,10,2010-09-24,FLRCPT.U,0,,0,
12845018,11,2010-09-24,PGPC,0,,0,
12845018,12,2010-09-24,COMP,0,,0,
12845018,13,2010-10-20,OIPE,0,,0,
12845018,16,2010-11-18,DOCK,0,,0,
12845018,17,2012-02-02,PG-ISSUE,0,,0,
12845018,18,2012-03-27,DOCK,0,,0,
12845018,19,2012-06-04,DOCK,0,,0,
12845018,23,2012-09-30,CTNF,0,,0,
12845018,25,2012-10-04,MCTNF,372,PTO,.5,
12845018,26,2013-01-02,A...,0,,0,
12845018,27,2013-01-09,FWDX,0,,0,
13569243,1,2012-08-08,IEXX,0,,0,
13569243,2,2012-08-08,SCAN,0,,0,
13569243,3,2012-08-08,L194,0,,0,
13569243,4,2012-08-08,WIDS,0,,0,
13569243,18,2012-08-08,EIDS.,0,,0,
13569243,33,2012-08-08,IDSC,0,,0,
13569243,5,2012-08-27,INCD,0,,0,
13569243,6,2012-08-27,FLRCPT.O,0,,0,
13569243,7,2012-08-27,EML_NTR,0,,0,
13569243,8,2012-08-27,EML_NTF,0,,0,
13569243,9,2012-08-29,ELC_RVW,0,,0,
13569243,10,2012-10-02,ODRWNFD,0,,0,
13569243,11,2012-10-02,OATHDECL,0,,0,
13193013,47,2013-04-17,MN/=.,0,,0,
13193013,.5,2011-07-28,EFILE,0,,0,
13193013,53,2013-07-15,N084,0,,0,
13193013,52,2013-07-15,IFEE,0,,0,
13193013,55,2013-07-17,D1935,0,,0,
13193013,54,2013-07-17,PILS,0,,0,
13193013,57,2013-08-20,PTAC,0,,0,
13193013,57.5,2013-08-20,PTA36M,0,PTO,.5,
12747050,57,2013-01-17,EX.A,0,,0,
12747050,58,2013-01-18,N/=.,0,,0,
12747050,59,2013-01-18,DVER,0,,0,
12747050,63,2013-01-23,MN/=.,0,,0,
12747050,.5,2008-12-03,NEFILE,0,,0,
12747050,68,2013-04-19,N084,0,,0,
12747050,67,2013-04-19,IFEE,0,,0,
12747050,69,2013-04-23,PILS,0,,0,
12747050,72,2013-04-25,ELC_RVW,0,,0,
12747050,70,2013-04-25,MPEN,0,,0,
