application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
09548237,32,2003-05-07,FWDX,0,PTO,0,Y
09548237,33,2003-07-14,CTFR,0,PTO,0,Y
09548237,34,2003-07-16,MCTFR,0,PTO,0,Y
09548237,35,2004-01-12,XT/G,0,PTO,0,Y
09548237,36,2004-01-12,A.NE,0,PTO,0,Y
09548237,53,2004-01-12,AF/D,0,PTO,0,Y
09548237,40,2004-01-20,RCEX,0,PTO,0,Y
09548237,37,2004-01-20,FWDX,0,PTO,0,Y
09548237,38,2004-01-20,BRCE,0,PTO,0,Y
09548237,41,2004-01-28,FWDX,0,PTO,0,Y
09548237,39,2004-01-28,ABN9,0,PTO,0,Y
09548237,42,2004-04-05,CTNF,0,PTO,0,Y
09548237,43,2004-04-07,MCTNF,0,PTO,0,Y
09548237,44,2004-07-16,DOCK,0,PTO,0,Y
09548237,46,2004-09-01,EXIN,0,PTO,0,Y
09548237,48,2004-09-10,WAMD,0,PTO,0,Y
09548237,47,2004-09-14,MEXIN,0,PTO,0,Y
09548237,49.7,2005-03-28,M844,0,PTO,0,Y
09548237,50,2005-03-28,RCAP,0,PTO,0,Y
09548237,49,2005-03-28,WIDS,0,PTO,0,Y
09548237,55,2005-06-29,TSSCOMP,0,PTO,0,Y
09548237,56,2005-09-08,LET.,0,PTO,0,Y
09548237,58,2005-09-08,A...,0,PTO,0,Y
09548237,57,2005-09-08,XT/G,0,PTO,0,Y
09548237,59,2005-09-27,FWDX,0,PTO,0,Y
09548237,60,2005-12-12,CTFR,0,PTO,0,Y
09548237,61,2005-12-15,MCTFR,0,PTO,0,Y
09548237,64,2006-01-11,NRES,0,PTO,0,Y
09548237,62,2006-01-11,PA..,0,PTO,0,Y
09548237,63,2006-01-11,C.AD,0,PTO,0,Y
09548237,65,2006-01-12,MNRES,0,PTO,0,Y
09548237,69,2006-05-22,RCEX,0,PTO,0,Y
09548237,67,2006-05-22,XT/G,0,PTO,0,Y
