application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
11632533,67,2013-08-07,IFEE,0,,0,
11632533,68,2013-08-07,N084,0,,0,
11632533,69,2013-08-08,PILS,0,,0,
11632533,70,2013-08-09,D1935,0,,0,
11632533,72,2013-09-10,PTAC,0,,0,
11632533,72.5,2010-09-21,PTA36M,247,PTO,72.4,
11632533,72.4,2007-01-17,COMMN,0,,0,
12800240,2,2010-05-11,WIDS,0,,0,
12800240,9,2010-05-11,CLAIM,0,,0,
12800240,17,2010-05-11,M844,0,,0,
12800240,18,2010-05-11,RCAP,0,,0,
12800240,41,2010-05-11,IDSC,0,,0,
12800240,1,2010-05-12,IEXX,0,,0,
12800240,3,2010-05-14,SCAN,0,,0,
12800240,4,2010-05-14,L194,0,,0,
12800240,5,2010-05-26,FLRCPT.O,0,,0,
12800240,6,2010-05-26,INCD,0,,0,
12800240,8,2010-07-16,OATHDECL,0,,0,
12800240,10,2010-07-16,FLFEE,0,,0,
12800240,19,2010-07-16,A.PE,0,,0,
12800240,7,2010-07-21,C.AD,0,,0,
12800240,11,2010-07-26,FLRCPT.U,0,,0,
12800240,12,2010-07-26,PGPC,0,,0,
12800240,13,2010-07-26,PA..,0,,0,
12800240,14,2010-07-26,COMP,0,,0,
12800240,15,2010-08-16,OIPE,0,,0,
12800240,16,2010-08-18,FLRCPT.C,0,,0,
12800240,20,2011-01-28,LET.,0,,0,
12800240,21,2011-03-07,M327,0,,0,
12800240,22,2011-03-07,MM327,0,,0,
12800240,23,2011-06-30,TI1050,0,,0,
12800240,24,2011-07-07,DOCK,0,,0,
13472618,1,2012-05-16,IEXX,0,,0,
13472618,2,2012-05-16,SCAN,0,,0,
13472618,4,2012-05-16,APPERMS,0,,0,
13472618,3,2012-05-21,L194,0,,0,
13472618,5,2012-05-29,FLRCPT.O,0,,0,
13472618,6,2012-05-29,PGPC,0,,0,
13472618,7,2012-05-29,COMP,0,,0,
12997319,7,2011-01-14,371COMP,0,,0,
12997319,6,2011-01-18,PGPC,0,,0,
12997319,4,2011-01-19,M903,0,,0,
12997319,5,2011-01-19,FLRCPT.O,0,,0,
12997319,8,2011-01-19,EML_NTR,0,,0,
12997319,9,2011-01-19,EML_NTR,0,,0,
12997319,10,2011-02-10,OIPE,0,,0,
12997319,14,2011-03-19,DOCK,0,,0,
12997319,15,2011-04-28,PG-ISSUE,0,,0,
12997319,16,2011-04-29,EML_NTR,0,,0,
12997319,18,2012-07-24,DOCK,0,,0,
12997319,19,2012-10-24,PA..,0,,0,
12997319,20,2012-10-24,EML_NTR,0,,0,
12997319,24,2012-11-16,CTNF,0,,0,
12997319,26,2012-11-23,MCTNF,254,PTO,7,
12997319,27,2012-11-23,EML_NTF,0,,0,
12997319,28,2012-12-01,PST_CRD,0,,0,
13117050,1,2011-05-26,IEXX,0,,0,
13117050,2,2011-05-26,SCAN,0,,0,
13117050,4,2011-05-26,APPERMS,0,,0,
13117050,3,2011-05-29,L194,0,,0,
13117050,5,2011-06-10,FLRCPT.O,0,,0,
13117050,6,2011-06-10,PGPC,0,,0,
13117050,7,2011-06-10,PA..,0,,0,
13117050,8,2011-06-10,COMP,0,,0,
13117050,9,2011-07-05,OIPE,0,,0,
13117050,10,2011-07-26,WIDS,0,,0,
13117050,11,2011-07-26,C614,0,,0,
13117050,12,2011-07-26,EIDS.,0,,0,
13117050,20,2011-07-26,IDSC,0,,0,
13117050,13,2011-08-04,DOCK,0,,0,
13117050,14,2012-07-11,DOCK,0,,0,
13117050,15,2012-07-11,DOCK,0,,0,
11447450,117,2013-05-10,MN/=.,272,PTO,105,
11447450,.5,2006-06-06,EFILE,0,,0,
11447450,121,2013-08-08,IFEE,0,,0,
11447450,122,2013-08-08,N084,0,,0,
11447450,123,2013-08-09,PILS,0,,0,
11447450,124,2013-08-09,D1935,0,,0,
11447450,126,2013-09-10,PTAC,0,,0,
11447450,126.5,2010-03-11,PTA36M,278,PTO,.5,
12498588,14,2009-07-07,RCAP,0,,0,
12498588,34,2009-07-07,IDSC,0,,0,
12498588,2,2009-07-08,SCAN,0,,0,
12498588,4,2009-07-09,L194,0,,0,
12498588,6,2009-07-24,FLRCPT.O,0,,0,
12498588,7,2009-07-24,INCD,0,,0,
12498588,8,2009-08-13,OATHDECL,0,,0,
12498588,9,2009-08-13,ADDFLFEE,0,,0,
12498588,11,2009-08-25,PGPC,0,,0,
12498588,10,2009-08-26,FLRCPT.U,0,,0,
12498588,15,2009-09-01,RQPR,0,,0,
12498588,12,2009-09-04,OIPE,0,,0,
12498588,16,2010-01-07,PG-ISSUE,0,,0,
12498588,17,2010-05-20,DOCK,0,,0,
12498588,18,2010-05-20,DOCK,0,,0,
12498588,19,2010-06-29,DOCK,0,,0,
12498588,20,2011-02-01,DOCK,0,,0,
12498588,21,2011-09-26,DOCK,0,,0,
12498588,22,2012-03-22,CTRS,0,,0,
12498588,24,2012-03-26,MCTRS,566,PTO,.5,
12498588,25,2012-04-25,ELC.,0,,0,
12498588,27,2012-04-25,M844,0,APPL,25,
12498588,28,2012-04-25,RCAP,0,,0,
12498588,26,2012-04-26,FWDX,0,,0,
12498588,29,2012-07-04,CTRS,0,,0,
12498588,31,2012-07-06,MCTRS,0,,0,
12498588,32,2012-08-06,ELC.,0,,0,
12498588,33,2012-08-08,FWDX,0,,0,
12498588,38,2012-10-10,CTNF,0,,0,
12498588,41,2012-10-19,MCTNF,0,,0,
12498588,42,2013-02-12,EXAT,0,,0,
12498588,43,2013-02-12,EXIA,0,,0,
12498588,47,2013-02-19,XT/G,0,,0,
12498588,48,2013-02-19,A...,31,APPL,41,
12498588,46,2013-02-22,MEXAT,0,,0,
12498588,49,2013-05-15,FWDX,0,,0,
12498588,51,2013-05-20,N/=.,0,,0,
12498588,52,2013-05-20,DVER,0,,0,
