application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
13128071,57,2013-09-20,N084,0,,0,
13128071,58,2013-09-24,PILS,0,,0,
13128071,59,2013-09-25,D1935,0,,0,
13128071,61,2013-10-22,PTAC,0,,0,
13128071,61.5,2013-10-22,PTA36M,0,PTO,61.4,
13128071,61.4,2011-05-09,COMMN,0,,0,
13685257,1,2012-11-26,IEXX,0,,0,
13685257,2,2012-11-26,SCAN,0,,0,
13685257,4,2012-11-26,APPERMS,0,,0,
13685257,7,2012-11-26,NPRQ,0,,0,
13685257,3,2012-11-29,L194,0,,0,
13685257,10,2013-01-07,PGPC,0,,0,
13685257,8,2013-01-08,FLRCPT.O,0,,0,
13685257,9,2013-01-08,COMP,0,,0,
13685257,11,2013-01-08,EML_NTR,0,,0,
13685257,12,2013-01-28,OIPE,0,,0,
13685257,13,2013-01-29,WIDS,0,,0,
13685257,14,2013-01-29,M844,0,,0,
13685257,15,2013-01-29,RCAP,0,,0,
13685257,23,2013-01-29,M844,0,,0,
13685257,30,2013-01-29,IDSC,0,,0,
13685257,16,2013-01-31,A.PE,0,,0,
13685257,17,2013-01-31,DIST,0,,0,
13685257,18,2013-01-31,DIST,0,,0,
13685257,19,2013-01-31,DIST,0,,0,
13685257,20,2013-02-05,P575,0,,0,
13685257,21,2013-02-05,P575,0,,0,
13685257,22,2013-02-05,P575,0,,0,
13685257,24,2013-03-20,DOCK,0,,0,
13526284,57,2013-07-22,QPREQ,0,,0,
13526284,71,2013-07-22,FRCE,0,,0,
13526284,50,2013-07-22,BRCE,0,,0,
13526284,49,2013-07-22,D1935,0,,0,
13526284,48,2013-07-22,D1935,0,,0,
13526284,47,2013-07-22,D1935,0,,0,
13526284,53,2013-07-22,MP006,0,,0,
13526284,52,2013-07-22,P006,0,,0,
13526284,59,2013-08-06,PUBTC,0,,0,
13526284,64,2013-08-28,PA..,0,,0,
13526284,67,2013-09-15,CNOA,0,,0,
13526284,70,2013-09-19,EML_NTR,0,,0,
