application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
12834105,36,2013-07-01,N/=.,0,,0,
12834105,37,2013-07-03,DVER,0,,0,
12834105,43,2013-07-09,MN/=.,0,,0,
12834105,.5,2010-07-12,EFILE,0,,0,
12834105,49,2013-10-02,N084,0,,0,
12834105,48,2013-10-02,IFEE,0,,0,
12834105,50,2013-10-08,PILS,0,,0,
12834105,51,2013-10-08,D1935,0,,0,
12834105,53,2013-11-05,PTAC,0,,0,
13035136,16,2011-06-14,OIPE,0,,0,
13035136,17,2011-06-15,DOCK,0,,0,
13035136,18,2011-08-25,WIDS,0,,0,
13035136,19,2011-08-25,EIDS.,0,,0,
13035136,23,2011-08-25,IDSC,0,,0,
13035136,20,2012-07-25,DOCK,0,,0,
13035136,21,2012-08-30,PG-ISSUE,0,,0,
13035136,22,2012-08-31,EML_NTR,0,,0,
13035136,24,2012-11-21,CTNF,0,,0,
13035136,26,2012-11-28,MCTNF,217,PTO,.5,
13035136,27,2012-11-28,EML_NTF,0,,0,
13035136,28,2012-11-28,ELC_RVW,0,,0,
13035136,29,2013-02-26,A...,0,,0,
13035136,30,2013-02-28,FWDX,0,,0,
13035136,31,2013-05-29,CTFR,0,,0,
13035136,33,2013-06-03,MCTFR,0,,0,
13035136,34,2013-06-03,EML_NTF,0,,0,
13035136,35,2013-06-03,ELC_RVW,0,,0,
13035136,36,2013-07-16,A.NE,0,,0,
13035136,38,2013-07-16,RAFC,0,,0,
13035136,37,2013-07-22,FWDX,0,,0,
13035136,44,2013-08-02,N/=.,0,,0,
13035136,45,2013-08-02,DVER,0,,0,
13035136,48,2013-08-06,MN/=.,0,,0,
13035136,.5,2011-02-25,EFILE,0,,0,
13035136,53,2013-09-30,IFEE,0,,0,
13035136,54,2013-09-30,N084,0,,0,
13035136,55,2013-10-05,PILS,0,,0,
13035136,56,2013-10-07,D1935,0,,0,
13035136,58,2013-11-05,PTAC,0,,0,
13035136,58.5,2013-11-05,PTA36M,0,PTO,.5,
12831284,1,2010-07-07,IEXX,0,,0,
12969682,13,2011-01-20,OIPE,0,,0,
12969682,19,2011-03-03,WIDS,0,,0,
12969682,20,2011-03-03,M844,0,,0,
12969682,21,2011-03-03,RCAP,0,,0,
12969682,33,2011-03-03,IDSC,0,,0,
12969682,22,2011-05-27,WIDS,0,,0,
12969682,23,2011-05-27,M844,0,,0,
12969682,24,2011-05-27,RCAP,0,,0,
12969682,34,2011-05-27,IDSC,0,,0,
12969682,25,2011-07-18,DOCK,0,,0,
12969682,26,2011-08-29,WIDS,0,,0,
12969682,35,2011-08-29,IDSC,0,,0,
12969682,36,2011-10-13,CTNF,0,,0,
12969682,38,2011-10-21,MCTNF,0,,0,
12969682,39,2011-10-21,EML_NTF,0,,0,
12969682,40,2011-10-21,ELC_RVW,0,,0,
12969682,41,2011-11-30,WIDS,0,,0,
12969682,42,2011-11-30,M844,0,,0,
12969682,43,2011-11-30,RCAP,0,,0,
12969682,46,2011-11-30,IDSC,0,,0,
12969682,44,2012-01-16,A...,0,,0,
12969682,45,2012-01-23,FWDX,0,,0,
