application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
13316031,25,2012-05-17,IDSC,0,,0,
13316031,26,2012-05-17,IDSC,0,,0,
13316031,13,2012-06-14,PG-ISSUE,0,,0,
13316031,14,2012-06-15,EML_NTR,0,,0,
13316031,15,2013-05-17,CTRS,0,,0,
13316031,17,2013-05-21,MCTRS,101,PTO,.5,
13316031,18,2013-05-21,EML_NTF,0,,0,
13316031,19,2013-05-21,ELC_RVW,0,,0,
13316031,20,2013-06-20,ELC.,0,,0,
13316031,21,2013-06-26,FWDX,0,,0,
13316031,30,2013-08-15,EXIE,0,,0,
13316031,28,2013-08-16,EX.A,0,,0,
13316031,29,2013-08-16,EX.R,0,,0,
13316031,31,2013-08-20,DOCK,0,,0,
13316031,32,2013-08-20,N/=.,0,,0,
13316031,33,2013-08-20,DVER,0,,0,
13316031,38,2013-08-23,MN/=.,0,,0,
13316031,.5,2011-12-09,EFILE,0,,0,
13316031,42,2013-10-04,M327-D,0,,0,
13316031,43,2013-10-08,MM327-D,0,,0,
13316031,44,2013-10-08,EML_NTR,0,,0,
13316031,45,2013-11-08,A.NA,18,APPL,47,
13316031,46,2013-11-21,N271,0,,0,
13316031,47,2013-11-25,MN271,0,,0,
13316031,48,2013-11-25,EML_NTR,0,,0,
13316031,49,2013-11-25,IFEE,0,,0,
13316031,50,2013-11-25,PILS,0,,0,
13316031,51,2013-11-25,N084,0,,0,
13316031,52,2013-12-04,D1935,0,,0,
13316031,55,2013-12-31,PTAC,0,,0,
13316031,55.5,2013-12-31,PTA36M,0,PTO,.5,
13705147,1,2012-12-04,IEXX,0,,0,
13705147,3,2012-12-04,WIDS,0,,0,
13705147,5,2012-12-04,TK1R,0,,0,
13321801,34,2011-11-22,IDSC,0,,0,
13321801,6,2011-12-07,PGPC,0,,0,
13321801,4,2011-12-08,M903,0,,0,
13321801,5,2011-12-08,FLRCPT.O,0,,0,
13321801,8,2011-12-08,EML_NTR,0,,0,
13321801,9,2011-12-08,EML_NTR,0,,0,
13321801,10,2011-12-28,OIPE,0,,0,
13321801,15,2012-01-19,WIDS,0,,0,
13321801,16,2012-01-19,M844,0,,0,
13321801,33,2012-01-19,IDSC,0,,0,
13321801,17,2012-03-15,PG-ISSUE,0,,0,
13321801,18,2012-03-16,EML_NTR,0,,0,
13321801,19,2012-08-14,DOCK,0,,0,
13321801,20,2012-11-21,CTRS,0,,0,
13321801,22,2012-11-28,MCTRS,0,,0,
13321801,23,2012-11-28,EML_NTF,0,,0,
13321801,24,2012-11-28,ELC_RVW,0,,0,
13321801,25,2013-01-08,EXAT,0,,0,
13321801,26,2013-01-08,EXIA,0,,0,
13321801,29,2013-01-11,MEXAT,0,,0,
13321801,30,2013-01-24,XT/G,0,,0,
13321801,31,2013-01-24,ELC.,0,,0,
13321801,32,2013-01-30,FWDX,0,,0,
13321801,37,2013-03-12,CTNF,0,,0,
13321801,40,2013-03-21,MCTNF,0,,0,
13321801,41,2013-03-21,EML_NTF,0,,0,
13321801,42,2013-03-21,ELC_RVW,0,,0,
13321801,43,2013-06-18,A...,0,,0,
13321801,45,2013-06-18,AF/D,0,,0,
13321801,44,2013-06-20,FWDX,0,,0,
13321801,47,2013-08-23,EX.A,0,,0,
13321801,48,2013-08-23,EX.R,0,,0,
13321801,49,2013-08-23,EXIE,0,,0,
13321801,50,2013-08-24,DOCK,0,,0,
13321801,51,2013-08-24,N/=.,0,,0,
13321801,52,2013-08-24,DVER,0,,0,
13238667,47,2013-08-19,EX.A,0,,0,
13238667,48,2013-08-19,EX.R,0,,0,
13238667,49,2013-08-19,EXIE,0,,0,
13238667,55,2013-08-21,MCNOA,0,,0,
13238667,78,2013-08-21,C/N=,0,,0,
13238667,79,2013-08-21,MC/N=,0,,0,
13238667,.5,2011-09-21,EFILE,0,,0,
13238667,57,2013-10-18,WIDS,0,,0,
13238667,62,2013-10-18,IDSC,0,,0,
13238667,60,2013-10-18,RCAP,0,,0,
13238667,59,2013-10-18,M844,11,APPL,65,
13238667,61,2013-10-21,PUBTC,0,,0,
13238667,63,2013-10-24,M327,0,,0,
13238667,66,2013-10-28,TCPB,0,,0,
13238667,65,2013-10-28,MM327,0,,0,
13238667,70,2013-11-06,IDSC,0,,0,
13238667,68,2013-11-06,M844,17,APPL,76,
13238667,67,2013-11-06,WIDS,0,,0,
13238667,69,2013-11-07,PUBTC,0,,0,
13238667,71,2013-11-10,M327,0,,0,
13238667,80,2013-11-18,N084,0,,0,
13238667,74,2013-11-18,IFEE,0,,0,
13238667,77,2013-11-22,TCPB,0,,0,
13238667,76,2013-11-22,MM327,0,,0,
13238667,81,2013-12-02,PILS,0,,0,
13238667,82,2013-12-02,D1935,0,,0,
13238667,84,2013-12-31,PTAC,0,,0,
13238667,84.5,2012-08-13,PTA36M,0,PTO,.5,
11773689,156,2013-06-10,MN/=.,53,PTO,145,
11773689,157,2013-06-10,EML_NTF,0,,0,
11773689,159,2013-06-10,ELC_RVW,0,,0,
11773689,160,2013-08-06,BRCE,0,,0,
11773689,161,2013-08-06,WIDS,0,,0,
